piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	musicbrainz	viaf	wikidata	originalFormat	transcriber	typesetter	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
10-3	1: 3/8	1: 1	255	254	381.0	255	254	381.0		732.5	2019	1426	0	0	318	G	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1799	1799	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 10	3	Scherzo: Allegro assai	op.14/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 10	3. Scherzo: Allegro assai		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/10-3.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/ab2150e6-632a-3aef-b869-99e31fc613cd	https://viaf.org/viaf/184077987	https://www.wikidata.org/wiki/Q145699	xml			42-89 (F#2-F6)	piano	30-76 (F#1-E5)	piano
11-1	1: 4/4	1: -2	201	199	796.0	270	267	1068.0		2207.5	3828	2357	0	0	0					1800	1800	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 11	1	Allegro con brio	op.22					2019-03-05	3.02	Apple Macintosh			Sonata no. 11	1. Allegro con brio		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/11-1.mscx	False	27-89 (Eb1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/ad7807bd-bb3f-3a11-a1ac-fff2d6948453	https://viaf.org/viaf/178278584	https://www.wikidata.org/wiki/Q145699	xml			46-89 (Bb2-F6)		27-77 (Eb1-F5)	
11-2	1: 9/8	1: -3	78	77	346.5	78	77	346.5		1133.0	2134	966	0	0	0					1800	1800	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 11	2	Adagio con molto espressione	op.22					2019-03-05	3.02	Apple Macintosh			Sonata no. 11	2. Adagio con molto espressione		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/11-2.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/9f728d17-47e2-30ff-b6ca-3b99ef5cf8d6	https://viaf.org/viaf/178278584	https://www.wikidata.org/wiki/Q145699	xml			50-89 (D3-F6)		31-75 (G1-Eb5)	
11-3	1: 3/4	1: -2	50	46	138.0	91	84	252.0		390.5	741	420	0	0	0					1800	1800	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 11	3	Menuetto	op.22					2019-03-05	3.02	Apple Macintosh			Sonata no. 11	3. Menuetto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/11-3.mscx	False	33-86 (A1-D6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/96686c7f-f45c-3bd6-97c2-ec5bbb0aee0b	https://viaf.org/viaf/178278584	https://www.wikidata.org/wiki/Q145699	xml			56-86 (Ab3-D6)	piano	33-70 (A1-Bb4)	piano
11-4	1: 2/4	1: -2	200	199	398.0	200	199	398.0		1268.29	3687	1933	0	0	0					1800	1800	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 11	4	Rondo: Allegretto	op.22					2019-03-05	3.02	Apple Macintosh			Sonata no. 11	4. Rondo: Allegretto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/11-4.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/89c83d85-2d06-38fa-8c79-c703e3f5b85e	https://viaf.org/viaf/178278584	https://www.wikidata.org/wiki/Q145699	xml			50-89 (D3-F6)		29-72 (F1-C5)	
12-1	1: 3/8	1: -4, 106: -7, 141: 0	225	219	328.5	225	219	328.5		1091.21	3331	1569	0	0	0					1800	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 12	1	Andante con variazioni	op.26					2019-03-05	3.02	Apple Macintosh			Sonata no. 12	1. Andante con variazioni		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/12-1.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/4609500c-f6c3-3d31-af7e-9a557e18f933		https://www.wikidata.org/wiki/Q145699	xml			48-89 (C3-F6)		31-72 (G1-C5)	
12-2	1: 3/4	1: -4, 70: -6	100	95	287.0	177	170	510.0	[[[95], [96]]]	857.0	723	335	0	0	0					1800	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 12	2	Scherzo: Allegro molto	op.26					2019-03-05	3.02	Apple Macintosh			Sonata no. 12	2. Scherzo: Allegro molto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/12-2.mscx	False	32-85 (Ab1-Db6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/e9ff3daa-a11b-3dfb-a278-5e4c66d8bd96		https://www.wikidata.org/wiki/Q145699	xml			51-85 (Eb3-Db6)	piano	32-72 (Ab1-C5)	piano
12-3	1: 4/4	1: -7, 32: -4, 41: -7	77	75	305.0	115	113	454.0	[[[39], [40]]]	1355.0	1761	510	0	0	0					1800	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 12	3	Maestoso andante: Marcia funebre sulla morte d'n eroe	op.26					2019-03-05	3.02	Apple Macintosh			Sonata no. 12	3. Maestoso andante: Marcia funebre sulla morte d'n eroe		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/12-3.mscx	False	30-87 (Gb1-Eb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/5f8833b6-03aa-31d9-98f1-ae754c7067ea		https://www.wikidata.org/wiki/Q145699	xml			46-87 (Bb2-Eb6)		30-75 (Gb1-Eb5)	
12-4	1: 2/4	1: -4	171	170	340.0	179	178	356.0		821.75	2234	1309	0	0	0					1800	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 12	4	Allegro	op.26					2019-03-05	3.02	Apple Macintosh			Sonata no. 12	4. Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/12-4.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/90f2732e-b7f6-33c4-9829-f60e4cb32108		https://www.wikidata.org/wiki/Q145699	xml			36-89 (C2-F6)	piano	29-70 (F1-Bb4)	piano
13-1	1: 2/2, 39: 6/8, 67: 2/2	1: -3, 39: 0, 67: -3	90	86	326.0	109	106	390.0	[[[8], [9]], [[13], [14]]]	1023.5	1697	843	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 13 'quasi una fantasia'	1	Andante	op.27/1					2020-05-28	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/6237100		Sonata no. 13 'quasi una fantasia'	1. Andante		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/13-1.mscx	False	31-87 (G1-Eb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/fce5a48d-a54d-3e5d-8275-c529ab2aa880	https://viaf.org/viaf/182690402	https://www.wikidata.org/wiki/Q145699		https://musescore.com/user/3797871		45-87 (A2-Eb6)	Piano	31-68 (G1-Ab4)	Piano
13-2	1: 3/4	1: 0	149	140	443.0	214	212	636.0	[[[16, 17], [18, 19]], [[42, 43], [44, 45]], [[58, 59], [60, 61]], [[79, 80], [81, 82]]]	979.0	993	594	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 13 'quasi una fantasia'	2	Allegro molto e vivace	op.27/1					2020-05-28	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/6237100		Sonata no. 13 'quasi una fantasia'	2. Allegro molto e vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/13-2.mscx	False	31-84 (G1-C6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/b9d471bf-ac74-3927-abdc-641bf6289ae5	https://viaf.org/viaf/182690402	https://www.wikidata.org/wiki/Q145699		https://musescore.com/user/3797871		47-84 (B2-C6)	Piano	31-70 (G1-Bb4)	Piano
13-3	1: 3/4	1: -4	26	26	85.75	26	26	85.75		367.47	820	342	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 13 'quasi una fantasia'	3	Adagio con espressione	op.27/1					2020-05-28	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/6237100		Sonata no. 13 'quasi una fantasia'	3. Adagio con espressione		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/13-3.mscx	False	32-89 (Ab1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/4d40cb00-f659-3d11-b935-80009a9667d3	https://viaf.org/viaf/182690402	https://www.wikidata.org/wiki/Q145699		https://musescore.com/user/3797871		43-89 (G2-F6)	Piano	32-73 (Ab1-Db5)	Piano
13-4	1: 2/4, 257: 3/4, 267: 2/4	1: -3	286	285	589.5	286	285	589.5		1720.87	4074	2048	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 13 'quasi una fantasia'	4	Allegro vivace	op.27/1					2020-05-28	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/6237100		Sonata no. 13 'quasi una fantasia'	4. Allegro vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/13-4.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/da187923-a131-364e-b30f-38f8bf2ed0e2	https://viaf.org/viaf/182690402	https://www.wikidata.org/wiki/Q145699		https://musescore.com/user/3797871		43-89 (G2-F6)	Piano	29-73 (F1-Db5)	Piano
14-1	1: 2/2	1: 4	69	69	276.0	69	69	276.0		1036.0	1169	823	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 'quasi una fantasia' ('Moonlight')	1	Adagio sostenuto	op.27/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 'quasi una fantasia' ('Moonlight')	1. Adagio sostenuto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/14-1.mscx	False	29-87 (E#1-D#6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/11e7e520-f430-306c-90b8-183cbf3cc761		https://www.wikidata.org/wiki/Q12008	xml			48-87 (B#2-D#6)	piano	29-64 (E#1-E4)	piano
14-2	1: 3/4	1: -6	64	60	180.0	94	88	264.0		614.0	374	145	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 'quasi una fantasia' ('Moonlight')	2	Allegretto	op.27/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 'quasi una fantasia' ('Moonlight')	2. Allegretto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/14-2.mscx	False	32-82 (Ab1-Bb5)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/670cf65d-db7d-3ef0-936b-f0817fe647b2		https://www.wikidata.org/wiki/Q12008	xml			48-82 (C3-Bb5)	piano	32-70 (Ab1-Bb4)	piano
14-3	1: 4/4	1: 4	201	201	813.5	265	265	1069.5		2404.5	4869	2801	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 'quasi una fantasia' ('Moonlight')	3	Presto agitato	op.27/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 'quasi una fantasia' ('Moonlight')	3. Presto agitato		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/14-3.mscx	False	29-88 (E#1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/9632b37d-010b-3936-9293-36053e95e146		https://www.wikidata.org/wiki/Q12008	xml			44-88 (G#2-E6)	piano	29-76 (E#1-E5)	piano
15-1	1: 3/4	1: 2	462	462	1386.0	624	624	1872.0		4574.83	3940	2001	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 15 ('Pastoral')	1	Allegro	op.28					2019-03-05	3.02	Apple Macintosh			Sonata no. 15 ('Pastoral')	1. Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/15-1.mscx	False	30-88 (F#1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/fbd1d119-17dc-32fa-a9eb-4fdff75f42da		https://www.wikidata.org/wiki/Q145699	xml			46-88 (A#2-E6)	piano	30-74 (F#1-D5)	piano
15-2	1: 2/4	1: -1, 25: 2, 43: -1	103	103	206.0	141	141	282.0		613.42	1796	988	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 15 ('Pastoral')	2	Andante	op.28					2019-03-05	3.02	Apple Macintosh			Sonata no. 15 ('Pastoral')	2. Andante		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/15-2.mscx	False	31-88 (G1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/2952a1e5-6f44-3c2c-9c70-1c300926f9ee		https://www.wikidata.org/wiki/Q145699	xml			45-88 (A2-E6)	piano	31-71 (G1-B4)	piano
15-3	1: 3/4	1: 2	94	94	282.0	140	140	420.0		656.0	574	290	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 15 ('Pastoral')	3	Scherzo: Allegro vivace	op.28					2019-03-05	3.02	Apple Macintosh			Sonata no. 15 ('Pastoral')	3. Scherzo: Allegro vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/15-3.mscx	False	30-86 (F#1-D6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/39cfa23b-844f-3c2e-a3f2-5d7dee2840d4		https://www.wikidata.org/wiki/Q145699	xml			54-86 (F#3-D6)	piano	30-70 (F#1-A#4)	piano
15-4	1: 6/8	1: 2	211	210	630.0	211	210	630.0		1594.0	2619	1502	0	0	0					1801	1801	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 15 ('Pastoral')	4	Rondo: Allegro ma non troppo	op.28					2019-03-05	3.02	Apple Macintosh			Sonata no. 15 ('Pastoral')	4. Rondo: Allegro ma non troppo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/15-4.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/82c09e45-fc6f-35f2-9b5e-9fa54053c5cc		https://www.wikidata.org/wiki/Q145699	xml			52-89 (E3-F6)	piano	30-76 (F#1-E5)	piano
16-1	1: 2/4	1: 1	326	325	650.0	437	436	872.0		1654.75	3381	1572	0	0	303	G	2.3.0	Adrian Nagel (2.2.0), Hanné Becker (2.3.0)	AN	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 16	1	Allegro vivace	op.31/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 16	1. Allegro vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/16-1.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/64a80c49-0f2a-37c9-b46d-a94e25a481c1	https://viaf.org/viaf/183674106	https://www.wikidata.org/wiki/Q145699	xml			42-89 (F#2-F6)	piano	30-87 (F#1-Eb6)	piano
16-2	1: 9/8	1: 0	119	119	552.62	119	119	552.62		1620.5	3982	2027	0	0	285	C	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	VZ, AB	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 16	2	Adagio grazioso	op.31/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 16	2. Adagio grazioso		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/16-2.mscx	False	30-89 (F#1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/5d6411d4-cd22-3b4c-9902-060e51aee5d5	https://viaf.org/viaf/183674106	https://www.wikidata.org/wiki/Q145699	xml			45-89 (A2-F6)		30-74 (F#1-D5)	
16-3	1: 2/2	1: 1	276	275	1102.0	276	275	1102.0		3060.08	4058	2571	0	0	703	G	2.3.0	Adrian Nagel (2.3.0)	VZ	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 16	3	Rondo: Allegretto - presto	op.31/1					2019-03-05	3.02	Apple Macintosh			Sonata no. 16	3. Rondo: Allegretto - presto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/16-3.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/6a9453ff-5eb6-339d-9241-e71525e0bf9c	https://viaf.org/viaf/183674106	https://www.wikidata.org/wiki/Q145699	xml			42-89 (F#2-F6)	piano	31-84 (G1-C6)	piano
17-1	1: 4/4	1: -1	232	228	934.5	320	317	1286.5	[[[89, 90, 91, 92], [93]]]	2625.5	2872	1623	0	0	352	d	2.3.0	Adrian Nagel (2.2.0), Hanné Becker (2.3.0)	AN	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 17	1	Largo: Allegro	op.31/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 17	1. Largo: Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/17-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/e8440c0e-14c6-365f-9527-95c8dee93eef		https://www.wikidata.org/wiki/Q146311	xml			41-89 (F2-F6)	piano	29-81 (F1-A5)	piano
17-2	1: 3/4	1: -2	103	103	309.0	103	103	309.0		984.67	1627	913	0	0	223	Bb	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 17	2	Adagio	op.31/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 17	2. Adagio		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/17-2.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/4d62af62-c5af-3400-9ab8-809732514650		https://www.wikidata.org/wiki/Q146311	xml			45-87 (A2-Eb6)		29-89 (F1-F6)	
17-3	1: 3/8	1: -1	400	399	598.5	494	493	739.5		1468.13	3611	2383	0	0	460	d	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 17	3	Allegretto	op.31/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 17	3. Allegretto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/17-3.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/3d8ae4dd-a5f9-3bdf-b63f-4544a99e0fc6		https://www.wikidata.org/wiki/Q146311	xml			43-89 (G2-F6)		29-77 (F1-F5)	
18-1	1: 3/4	1: -3	253	253	759.0	341	341	1023.0		2060.0	3067	1701	0	0	268	Eb	2.3.0	Adrian Nagel (2.2.0), Hanné Becker (2.3.0)	AN	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 18	1	Allegro	op.31/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 18	1. Allegro		Ludwig van Beethoven	3.6.2	2.5.3	MS3	MS3/18-1.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/78e92c5a-d4ac-3745-a887-d06d2e6f3ed9		https://www.wikidata.org/wiki/Q145699	xml			48-89 (C3-F6)	piano	29-81 (F1-A5)	piano
18-2	1: 2/4	1: -4	173	169	346.0	232	228	464.0	[[[62, 63], [64, 65]]]	785.38	2237	1251	0	0	273	Ab	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 18	2	Scherzo: Allegretto vivace	op.31/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 18	2. Scherzo: Allegretto vivace		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/18-2.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/55fe6750-72c2-3ed5-8825-894bd42ed01b		https://www.wikidata.org/wiki/Q145699	xml			43-89 (G2-F6)	piano	31-80 (G1-Ab5)	piano
18-3	1: 3/4	1: -3	73	61	203.0	124	112	348.0	[[[9, 10], [11]], [[19], [20]], [[53, 54], [55]], [[64], [65]]]	678.25	816	327	0	0	178	Eb	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 18	3	Menuetto: Moderato e grazioso	op.31/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 18	3. Menuetto: Moderato e grazioso		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/18-3.mscx	False	34-87 (Bb1-Eb6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/563e8800-234e-3b8f-b336-e71d1115b674		https://www.wikidata.org/wiki/Q145699	xml			55-87 (G3-Eb6)		34-69 (Bb1-A4)	
18-4	1: 6/8	1: -3	336	333	1005.0	413	411	1236.0	[[[79, 80], [81, 82]]]	1995.0	2769	1727	2	0	410	Eb	2.3.0	Adrian Nagel (2.3.0)	Victor Zheng	1802	1802	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 18	4	Presto con fuoco	op.31/3					2019-03-05	3.02	Apple Macintosh			Sonata no. 18	4. Presto con fuoco		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/18-4.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/b10deee7-c8d6-3465-a9ea-61a20a3bca15		https://www.wikidata.org/wiki/Q145699	xml			47-89 (B2-F6)	piano	29-87 (F1-Eb6)	piano
19-1	1: 2/4	1: -2	112	110	220.0	146	143	286.0		537.0	1270	715	0	0	193	g	2.3.0	Daniel Grote (2.2.0), Hanné Becker (2.3.0)	AN (2.2.0 + 2.3.0)	1797	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 19	1	Andante	op.49/1					2017-10-24	3.02	Microsoft Windows			Sonata no. 19; SONATE	1. Andante		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/19-1.mscx	False	31-89 (G1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/8547e452-2d64-31b9-8076-0750bf454cfe		https://www.wikidata.org/wiki/Q146492	capx			47-89 (B2-F6)	Klavier linke Hand	31-75 (G1-Eb5)	Klavier linke Hand
19-2	1: 6/8	1: 1, 21: -2, 82: 1	165	164	493.5	165	164	493.5		1146.0	2013	1075	0	0	384	G	2.3.0	Daniel Grote (2.2.0), Adrian Nagel (2.3.0)	Adrian Nagel, Victor Zheng	1797	1797	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 19	2	Rondo: Allegro	op.49/1					2017-10-24	3.02	Microsoft Windows			Sonata no. 19	2. Rondo: Allegro		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/19-2.mscx	False	38-89 (D2-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/c61a2acd-a5ec-3df2-9edb-7d05518cb212		https://www.wikidata.org/wiki/Q146492	capx			54-89 (F#3-F6)	Klavier linke Hand	38-76 (D2-E5)	Klavier linke Hand
20-1	1: 2/2	1: 1	122	122	488.0	174	174	696.0		982.67	1634	1098	0	0	286	G	2.3.0	Lydia Carlisi (2.2.0), John Heilig (2.3.0)	AN	1795	1796	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 20	1	Allegro ma non troppo	op.49/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 20	1. Allegro ma non troppo		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/20-1.mscx	False	31-88 (G1-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/8cc68ace-398d-3ddc-b614-9ea2ba4bc2e5		https://www.wikidata.org/wiki/Q146492	xml			54-88 (F#3-E6)	piano	31-79 (G1-G5)	piano
20-2	1: 3/4	1: 1, 69: 0, 87: 1	121	120	360.0	121	120	360.0		749.75	1280	807	0	0	169	G	2.3.0	Lydia Carlisi (2.2.0), Adrian Nagel (2.3.0)	Victor Zheng	1795	1796	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 20	2	Tempo di Menuetto	op.49/2					2019-03-05	3.02	Apple Macintosh			Sonata no. 20	2. Tempo di Menuetto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/20-2.mscx	False	43-88 (G2-E6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/f013473f-725f-34e6-bde0-e9845ea17b7a		https://www.wikidata.org/wiki/Q146492	xml			59-88 (B3-E6)	piano	43-74 (G2-D5)	piano
21-1	1: 4/4	1: 0	304	302	1216.0	387	386	1548.0	[[[86, 87], [88, 89]]]	3808.42	6652	3518	0	0	616	C	2.3.0	Adrian Nagel (2.2.0), Amelia Brey (2.3.0)	AB, AN	1803	1804	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 21 'Waldstein'	1	Allegro con brio	op.53					2019-03-05	3.02	Apple Macintosh			Sonata no. 21 'Waldstein'	1. Allegro con brio		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/21-1.mscx	False	29-93 (F1-A6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/bd6d9d60-ac80-3cac-9d82-28fb02a7b064		https://www.wikidata.org/wiki/Q145699	xml			41-93 (F2-A6)	piano	29-84 (F1-C6)	piano
21-2	1: 6/8	1: -1	28	28	84.0	28	28	84.0		232.12	494	250	0	0	82	F	2.3.0	Adrian Nagel (2.3.0)	VZ	1803	1804	OxfordMusicOnline	Ludwig van Beethoven	Sonata no. 21 'Waldstein'	2	Introduzione: Adagio molto	op.53					2019-03-05	3.02	Apple Macintosh			Sonata no. 21 'Waldstein'	2. Introduzione: Adagio molto		Ludwig van Beethoven	3.6.2	2.5.4	MS3	MS3/21-2.mscx	False	29-89 (F1-F6)	https://imslp.org/wiki/Klaviersonaten_(Beethoven,_Ludwig_van)	https://musicbrainz.org/work/50587852-9cd7-338a-a41a-131967df2ca4		https://www.wikidata.org/wiki/Q145699	xml			47-89 (B2-F6)	piano	29-60 (F1-C4)	piano
