mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	11	1/4	1/4	4/4	2	1	vi6		D	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
12	11	1/2	1/2	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
12	11	3/4	3/4	4/4	2	1	V[vi6		D	I	V	vi6		vi		6						m	0	0	0, 4, 3		3	0
13	12	0	0	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
13	12	1/4	1/4	4/4	2	1	IV6		D	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
13	12	1/2	1/2	4/4	2	1	iii6		D	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
13	12	3/4	3/4	4/4	2	1	IV6		D	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
14	13	0	0	4/4	2	1	iii6		D	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
14	13	1/4	1/4	4/4	2	1	ii6		D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
14	13	1/2	1/2	4/4	2	1	I6]		D	I		I6		I		6			]			M	0	0	4, 1, 0		0	4
14	13	3/4	3/4	4/4	2	1	#viio7/vi		D	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
15	14	0	0	4/4	2	1	vi		D	I		vi		vi								m	0	0	3, 0, 4		3	3
15	14	1/4	1/4	4/4	2	1	#viio64/ii		D	I		#viio64/ii		#vii	o	64		ii				o	0	0	1, 7, 4		7	1
15	14	1/2	1/2	4/4	2	1	ii6		D	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
15	14	3/4	3/4	4/4	2	1	#viio6/ii		D	I		#viio6/ii		#vii	o	6		ii				o	0	0	4, 1, 7		7	4
16	15	0	0	4/4	2	1	ii		D	I		ii		ii								m	0	0	2, -1, 3		2	2
16	15	1/2	1/2	4/4	2	1	V7		D	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	4/4	2	1	I|PAC}		D	I		I		I						PAC	}	M	0	0	0, 4, 1		0	0
17	16	3/4	3/4	4/4	2	1	{		D	I											{		0	0				
18	17	0	0	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
19	18	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
19	18	1/2	1/2	4/4	2	1	V		D	I		V		V								M	0	0	1, 5, 2		1	1
20	19	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
21	20	0	0	4/4	2	1	V		D	I		V		V								M	0	0	1, 5, 2		1	1
21	20	1/4	1/4	4/4	2	1	#viio/vi		D	I		#viio/vi		#vii	o			vi				o	0	0	8, 5, 2		8	8
21	20	1/2	1/2	4/4	2	1	vi		D	I		vi		vi								m	0	0	3, 0, 4		3	3
21	20	3/4	3/4	4/4	2	1	viio		D	I		viio		vii	o							o	0	0	5, 2, -1		5	5
22	21	0	0	4/4	2	1	I		D	I		I		I								M	0	0	0, 4, 1		0	0
22	21	1/2	1/2	4/4	2	1	viio6	iv/vi	D	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
23	22	0	0	4/4	2	1	I6|IAC}	ii/V.V|HC}	D	I		I6		I		6				IAC	}	M	0	0	4, 1, 0		0	4
23	22	3/4	3/4	4/4	2	1	{		D	I											{		0	0				
24	23	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
24	23	1/2	1/2	4/4	2	1	V65		D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
25	24	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
26	25	0	0	4/4	2	1	V43		D	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
26	25	1/2	1/2	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
27	26	0	0	4/4	2	1	V		D	I		V		V								M	0	0	1, 5, 2		1	1
28	27	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
28	27	1/2	1/2	4/4	2	1	V65		D	I		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
29	28	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
29	28	1/2	1/2	4/4	2	1	i6		D	I		i6		i		6						m	0	0	-3, 1, 0		0	-3
30	29	0	0	4/4	2	1	vi/V.V(64)		D	vi/V		V(64)		V			64					M	0	0	1, 0, 4		1	1
30	29	1/2	1/2	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
31	30	0	0	4/4	2	1	i|PAC}		D	vi/V		i		i						PAC	}	m	0	0	0, -3, 1		0	0
31	30	3/4	3/4	4/4	2	1	V[V7{		D	vi/V	V	V7		V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
32	31	1/2	1/2	4/4	2	1	i		D	vi/V		i		i								m	0	0	0, -3, 1		0	0
33	32	0	0	4/4	2	1	V7]		D	vi/V		V7		V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
34	33	0	0	4/4	2	1	i		D	vi/V		i		i								m	0	0	0, -3, 1		0	0
34	33	1/2	1/2	4/4	2	1	#viio6		D	vi/V		#viio6		#vii	o	6						o	0	0	2, -1, 5		5	2
35	34	0	0	4/4	2	1	i6	V.I	D	vi/V		i6		i		6						m	0	0	-3, 1, 0		0	-3
36	35	0	0	4/4	2	1	V[V7		D	vi/V	V	V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
36	35	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
37	36	0	0	4/4	2	1	V7]		D	vi/V		V7		V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
38	37	0	0	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
38	37	1/2	1/2	4/4	2	1	viio6		D	vi/V		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
39	38	0	0	4/4	2	1	I6		D	vi/V		I6		I		6						M	0	0	4, 1, 0		0	4
40	39	0	0	4/4	2	1	IV		D	vi/V		IV		IV								M	0	0	-1, 3, 0		-1	-1
41	40	0	0	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
43	42	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
44	43	0	0	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
45	44	0	0	4/4	2	1	V7/vi		D	vi/V		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
46	45	0	0	4/4	2	1	vi		D	vi/V		vi		vi								m	0	0	3, 0, 4		3	3
47	46	0	0	4/4	2	1	viio6/V		D	vi/V		viio6/V		vii	o	6		V				o	0	0	3, 0, 6		6	3
48	47	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
49	48	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
50	49	0	0	4/4	2	1	I6		D	vi/V		I6		I		6						M	0	0	4, 1, 0		0	4
51	50	0	0	4/4	2	1	IV		D	vi/V		IV		IV								M	0	0	-1, 3, 0		-1	-1
51	50	1/2	1/2	4/4	2	1	viio/V		D	vi/V		viio/V		vii	o			V				o	0	0	6, 3, 0		6	6
52	51	0	0	4/4	2	1	V(64)		D	vi/V		V(64)		V			64					M	0	0	1, 0, 4		1	1
53	52	0	0	4/4	2	1	V(4)		D	vi/V		V(4)		V			4					M	0	0	1, 0, 2		1	1
53	52	1/2	1/2	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
54	53	0	0	4/4	2	1	I|PAC}		D	vi/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
54	53	1/2	1/2	4/4	2	1	{		D	vi/V											{		0	0				
55	54	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
55	54	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
56	55	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
56	55	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
57	56	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
57	56	1/2	1/2	4/4	2	1	vi	IV6	D	vi/V		vi		vi								m	0	0	3, 0, 4		3	3
58	57	0	0	4/4	2	1	IV	ii6	D	vi/V		IV		IV								M	0	0	-1, 3, 0		-1	-1
58	57	1/2	1/2	4/4	2	1	ii	viio6	D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
59	58	0	0	4/4	2	1	viio	V6	D	vi/V		viio		vii	o							o	0	0	5, 2, -1		5	5
59	58	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
60	59	0	0	4/4	2	1	IV	ii6	D	vi/V		IV		IV								M	0	0	-1, 3, 0		-1	-1
60	59	1/2	1/2	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
61	60	0	0	4/4	2	1	I|PAC}		D	vi/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
61	60	1/2	1/2	4/4	2	1	i{		D	vi/V		i		i							{	m	0	0	0, -3, 1		0	0
62	61	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
62	61	1/2	1/2	4/4	2	1	i		D	vi/V		i		i								m	0	0	0, -3, 1		0	0
63	62	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
63	62	1/2	1/2	4/4	2	1	i		D	vi/V		i		i								m	0	0	0, -3, 1		0	0
64	63	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
64	63	1/2	1/2	4/4	2	1	bVI	iv6	D	vi/V		bVI		bVI								M	0	0	-4, 0, -3		-4	-4
65	64	0	0	4/4	2	1	iv	iio6	D	vi/V		iv		iv								m	0	0	-1, -4, 0		-1	-1
65	64	1/2	1/2	4/4	2	1	iio	viio6	D	vi/V		iio		ii	o							o	0	0	2, -1, -4		2	2
66	65	0	0	4/4	2	1	viio|HC}	V6|HC}	D	vi/V		viio		vii	o					HC	}	o	0	0	5, 2, -1		5	5
67	66	3/4	3/4	4/4	2	1	I{		D	vi/V		I		I							{	M	0	0	0, 4, 1		0	0
68	67	0	0	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
68	67	3/4	3/4	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
69	68	0	0	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
69	68	3/4	3/4	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
70	69	0	0	4/4	2	1	ii65		D	vi/V		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
70	69	1/4	1/4	4/4	2	1	V65/V		D	vi/V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
70	69	1/2	1/2	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
71	70	0	0	4/4	2	1	I|IAC}		D	vi/V		I		I						IAC	}	M	0	0	0, 4, 1		0	0
71	70	3/4	3/4	4/4	2	1	{		D	vi/V											{		0	0				
72	71	0	0	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
72	71	3/4	3/4	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
73	72	0	0	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
73	72	3/4	3/4	4/4	2	1	V2/IV		D	vi/V		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
74	73	0	0	4/4	2	1	I6/IV		D	vi/V		I6/IV		I		6		IV				M	0	0	3, 0, -1		-1	3
74	73	3/4	3/4	4/4	2	1	V2/IV		D	vi/V		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
75	74	0	0	4/4	2	1	I6/IV		D	vi/V		I6/IV		I		6		IV				M	0	0	3, 0, -1		-1	3
75	74	3/4	3/4	4/4	2	1	V2/bIII		D	vi/V		V2/bIII		V		2		bIII				Mm7	0	0	-4, -2, 2, -1		-2	-4
76	75	0	0	4/4	2	1	I6/bIII		D	vi/V		I6/bIII		I		6		bIII				M	0	0	1, -2, -3		-3	1
76	75	3/4	3/4	4/4	2	1	V2/bIII		D	vi/V		V2/bIII		V		2		bIII				Mm7	0	0	-4, -2, 2, -1		-2	-4
77	76	0	0	4/4	2	1	I6/bIII		D	vi/V		I6/bIII		I		6		bIII				M	0	0	1, -2, -3		-3	1
77	76	3/4	3/4	4/4	2	1	V65/bIII		D	vi/V		V65/bIII		V		65		bIII				Mm7	0	0	2, -1, -4, -2		-2	2
78	77	0	0	4/4	2	1	bIII		D	vi/V		bIII		bIII								M	0	0	-3, 1, -2		-3	-3
78	77	3/4	3/4	4/4	2	1	V2/bIII		D	vi/V		V2/bIII		V		2		bIII				Mm7	0	0	-4, -2, 2, -1		-2	-4
79	78	0	0	4/4	2	1	I6/bIII		D	vi/V		I6/bIII		I		6		bIII				M	0	0	1, -2, -3		-3	1
79	78	3/4	3/4	4/4	2	1	V2/iv		D	vi/V		V2/iv		V		2		iv				Mm7	0	0	-2, 0, 4, 1		0	-2
80	79	0	0	4/4	2	1	i6/iv		D	vi/V		i6/iv		i		6		iv				m	0	0	-4, 0, -1		-1	-4
80	79	3/4	3/4	4/4	2	1	V2/iv		D	vi/V		V2/iv		V		2		iv				Mm7	0	0	-2, 0, 4, 1		0	-2
81	80	0	0	4/4	2	1	i6/iv		D	vi/V		i6/iv		i		6		iv				m	0	0	-4, 0, -1		-1	-4
81	80	3/4	3/4	4/4	2	1	V65/iv		D	vi/V		V65/iv		V		65		iv				Mm7	0	0	4, 1, -2, 0		0	4
82	81	0	0	4/4	2	1	i/iv		D	vi/V		i/iv		i				iv				m	0	0	-1, -4, 0		-1	-1
82	81	3/4	3/4	4/4	2	1	V2/iv		D	vi/V		V2/iv		V		2		iv				Mm7	0	0	-2, 0, 4, 1		0	-2
83	82	0	0	4/4	2	1	i6/iv		D	vi/V		i6/iv		i		6		iv				m	0	0	-4, 0, -1		-1	-4
83	82	3/4	3/4	4/4	2	1	V2/bII		D	vi/V		V2/bII		V		2		bII				Mm7	0	0	-6, -4, 0, -3		-4	-6
84	83	0	0	4/4	2	1	I6/bII		D	vi/V		I6/bII		I		6		bII				M	0	0	-1, -4, -5		-5	-1
84	83	3/4	3/4	4/4	2	1	V2/bII		D	vi/V		V2/bII		V		2		bII				Mm7	0	0	-6, -4, 0, -3		-4	-6
85	84	0	0	4/4	2	1	I6/bII		D	vi/V		I6/bII		I		6		bII				M	0	0	-1, -4, -5		-5	-1
85	84	3/4	3/4	4/4	2	1	V2/bII		D	vi/V		V2/bII		V		2		bII				Mm7	0	0	-6, -4, 0, -3		-4	-6
86	85	0	0	4/4	2	1	I6/bII		D	vi/V		I6/bII		I		6		bII				M	0	0	-1, -4, -5		-5	-1
87	86	0	0	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
88	87	0	0	4/4	2	1	I6		D	vi/V		I6		I		6						M	0	0	4, 1, 0		0	4
89	88	0	0	4/4	2	1	vi		D	vi/V		vi		vi								m	0	0	3, 0, 4		3	3
90	89	0	0	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
91	90	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
92	91	0	0	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
92	91	3/4	3/4	4/4	2	1	ii6		D	vi/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
93	92	0	0	4/4	2	1	V7(9)		D	vi/V		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
93	92	1/2	1/2	4/4	2	1	V(64)		D	vi/V		V(64)		V			64					M	0	0	1, 0, 4		1	1
93	92	3/4	3/4	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
94	93	0	0	4/4	2	1	I|PAC}		D	vi/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
94	93	3/4	3/4	4/4	2	1	{		D	vi/V											{		0	0				
95	94	0	0	4/4	2	1	V7(9)/IV		D	vi/V		V7(9)/IV		V		7	9	IV				Mm7	0	0	0, 4, 1, -2	2	0	0
95	94	1/2	1/2	4/4	2	1	V65/IV		D	vi/V		V65/IV		V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
96	95	0	0	4/4	2	1	IV		D	vi/V		IV		IV								M	0	0	-1, 3, 0		-1	-1
96	95	1/2	1/2	4/4	2	1	I64		D	vi/V		I64		I		64						M	0	0	1, 0, 4		0	1
97	96	0	0	4/4	2	1	ii43		D	vi/V		ii43		ii		43						mm7	0	0	3, 0, 2, -1		2	3
97	96	1/2	1/2	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
98	97	0	0	4/4	2	1	I[I|IAC}		D	vi/V	I	I		I						IAC	}	M	0	0	0, 4, 1		0	0
98	97	3/4	3/4	4/4	2	1	{		D	vi/V											{		0	0				
99	98	0	0	4/4	2	1	V7(9)/IV		D	vi/V		V7(9)/IV		V		7	9	IV				Mm7	0	0	0, 4, 1, -2	2	0	0
99	98	1/2	1/2	4/4	2	1	V7/IV		D	vi/V		V7/IV		V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
100	99	0	0	4/4	2	1	IV6		D	vi/V		IV6		IV		6						M	0	0	3, 0, -1		-1	3
100	99	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
101	100	0	0	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
101	100	1/2	1/2	4/4	2	1	V2		D	vi/V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
102	101	0	0	4/4	2	1	I|PAC}		D	vi/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
102	101	3/4	3/4	4/4	2	1	{		D	vi/V											{		0	0				
103	102	0	0	4/4	2	1	V7(9)/IV		D	vi/V		V7(9)/IV		V		7	9	IV				Mm7	0	0	0, 4, 1, -2	2	0	0
103	102	1/2	1/2	4/4	2	1	V7/IV		D	vi/V		V7/IV		V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
104	103	0	0	4/4	2	1	IV6		D	vi/V		IV6		IV		6						M	0	0	3, 0, -1		-1	3
104	103	1/2	1/2	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
105	104	0	0	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
105	104	1/2	1/2	4/4	2	1	V2		D	vi/V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
106	105	0	0	4/4	2	1	I]|PAC}		D	vi/V		I		I					]	PAC	}	M	0	0	0, 4, 1		0	0
106	105	1/2	1/2	4/4	2	1	V{		D	vi/V		V		V							{	M	0	0	1, 5, 2		1	1
107	106	0	0	4/4	2	1	vi	IV6	D	vi/V		vi		vi								m	0	0	3, 0, 4		3	3
107	106	1/2	1/2	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
108	107	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
108	107	1/2	1/2	4/4	2	1	V/ii		D	vi/V		V/ii		V				ii				M	0	0	3, 7, 4		3	3
109	108	0	0	4/4	2	1	ii6		D	vi/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
109	108	1/2	1/2	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
110	109	0	0	4/4	2	1	I|PAC}		D	vi/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
110	109	1/2	1/2	4/4	2	1	#viio/vi{		D	vi/V		#viio/vi		#vii	o			vi			{	o	0	0	8, 5, 2		8	8
111	110	0	0	4/4	2	1	vi		D	vi/V		vi		vi								m	0	0	3, 0, 4		3	3
111	110	1/2	1/2	4/4	2	1	ii		D	vi/V		ii		ii								m	0	0	2, -1, 3		2	2
112	111	0	0	4/4	2	1	V		D	vi/V		V		V								M	0	0	1, 5, 2		1	1
112	111	1/2	1/2	4/4	2	1	V/ii		D	vi/V		V/ii		V				ii				M	0	0	3, 7, 4		3	3
113	112	0	0	4/4	2	1	vi6		D	vi/V		vi6		vi		6						m	0	0	0, 4, 3		3	0
113	112	1/2	1/2	4/4	2	1	V7		D	vi/V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
114	113	0	0	4/4	2	1	I[I|PAC}		D	vi/V	I	I		I						PAC	}	M	0	0	0, 4, 1		0	0
114	113	3/4	3/4	4/4	2	1	{		D	vi/V											{		0	0				
115	114	0	0	4/4	2	1	V6		D	vi/V		V6		V		6						M	0	0	5, 2, 1		1	5
116	115	0	0	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
117	116	0	0	4/4	2	1	V65		D	vi/V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
118	117	0	0	4/4	2	1	I		D	vi/V		I		I								M	0	0	0, 4, 1		0	0
119	118	0	0	4/4	2	1	V6		D	vi/V		V6		V		6						M	0	0	5, 2, 1		1	5
120	119	3/4	3/4	4/4	2	1	I.V7]|HC}		D	I		V7		V		7			]	HC	}	Mm7	0	0	1, 5, 2, -1		1	1
126	124	0	3/4	4/4	2	1	{		D	I											{		0	0				
130	128	3/4	3/4	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
131	129	0	0	4/4	2	1	V6		D	I		V6		V		6						M	0	0	5, 2, 1		1	5
132	130	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
132	130	1/2	1/2	4/4	2	1	V		D	I		V		V								M	0	0	1, 5, 2		1	1
133	131	0	0	4/4	2	1	i		D	I		i		i								m	0	0	0, -3, 1		0	0
134	132	0	0	4/4	2	1	V|HC}		D	I		V		V						HC	}	M	0	0	1, 5, 2		1	1
135	133	0	0	4/4	2	1	bII/V.I[I{		D	bII/V	I	I		I							{	M	0	0	0, 4, 1		0	0
136	134	0	0	4/4	2	1	ii		D	bII/V		ii		ii								m	0	0	2, -1, 3		2	2
136	134	1/2	1/2	4/4	2	1	I		D	bII/V		I		I								M	0	0	0, 4, 1		0	0
137	135	0	0	4/4	2	1	ii6		D	bII/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
137	135	1/2	1/2	4/4	2	1	I		D	bII/V		I		I								M	0	0	0, 4, 1		0	0
138	136	0	0	4/4	2	1	ii6		D	bII/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
138	136	1/2	1/2	4/4	2	1	V2		D	bII/V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
139	137	0	0	4/4	2	1	I|PAC}		D	bII/V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
139	137	3/4	3/4	4/4	2	1	{		D	bII/V											{		0	0				
140	138	0	0	4/4	2	1	ii		D	bII/V		ii		ii								m	0	0	2, -1, 3		2	2
140	138	1/2	1/2	4/4	2	1	I		D	bII/V		I		I								M	0	0	0, 4, 1		0	0
141	139	0	0	4/4	2	1	ii6		D	bII/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
141	139	1/2	1/2	4/4	2	1	I		D	bII/V		I		I								M	0	0	0, 4, 1		0	0
142	140	0	0	4/4	2	1	ii6		D	bII/V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
142	140	1/2	1/2	4/4	2	1	V2		D	bII/V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
143	141	0	0	4/4	2	1	I]|PAC}		D	bII/V		I		I					]	PAC	}	M	0	0	0, 4, 1		0	0
143	141	3/4	3/4	4/4	2	1	{		D	bII/V											{		0	0				
148	146	0	0	4/4	2	1	iv.#viio6		D	iv		#viio6		#vii	o	6						o	0	1	2, -1, 5		5	2
