mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	12	5/8	#viio43/vi	E	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8	2
13	13	5/8	VI6	E	I		VI6	VI		6				M	0	0	7, 4, 3		3	7
13	13	11/16	VII	E	I		VII	VII						M	0	0	5, 9, 6		5	5
14	14	11/16	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
15	15	3/16	IV6/V	E	I		IV6/V	IV		6		V		M	0	0	4, 1, 0		0	4
15	15	5/16	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
15	15	3/8	V6/V	E	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
15	15	7/16	IV6/V	E	I		IV6/V	IV		6		V		M	0	0	4, 1, 0		0	4
15	15	1/2	iii6/V	E	I		iii6/V	iii		6		V		m	0	0	2, 6, 5		5	2
15	15	9/16	ii6/V	E	I		ii6/V	ii		6		V		m	0	0	0, 4, 3		3	0
15	15	5/8	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
15	15	11/16	viio6/V	E	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
16	16	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
16	16	1/16	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
16	16	1/8	ii43/V	E	I		ii43/V	ii		43		V		mm7	0	0	4, 1, 3, 0		3	4
16	16	3/16	vii%7/V	E	I		vii%7/V	vii	%	7		V		%7	0	0	6, 5, 12, 4		6	6
16	16	1/4	V\\	E	I		V	V					\\	M	0	0	1, 5, 2		1	1
17	17	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
18	18	1/4	V64/V	E	I		V64/V	V		64		V		M	0	0	3, 2, 6		2	3
18	18	1/2	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
19	19	0	V64/vi	E	I		V64/vi	V		64		vi		M	0	0	5, 4, 8		4	5
19	19	1/4	#viio43/vi	E	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8	2
20	20	0	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
20	20	1/4	V43/vi	E	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
21	21	0	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
