mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	11	1/2	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
13	12	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
13	12	3/4	v.V65/V		f	v		V65/V	V			65		V		Mm7	1	1	6, 3, 0, 2		2.0	6.0
14	13	0	V[V}		f	v	V	V	V						}	M	1	1	1, 5, 2		1.0	1.0
14	13	1/2	{		f	v	V								{		1	1				
14	13	3/4	viio43/V		f	v	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
15	14	0	V		f	v	V	V	V							M	1	1	1, 5, 2		1.0	1.0
16	15	3/4	viio43/V		f	v	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
17	16	0	V		f	v	V	V	V							M	1	1	1, 5, 2		1.0	1.0
18	17	1/2	V7]}		f	v	V	V7	V			7			}	Mm7	1	1	1, 5, 2, -1		1.0	1.0
23	22	0	i{		f	v		i	i						{	m	1	1	0, -3, 1		0.0	0.0
23	22	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
23	22	1/2	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
23	22	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
24	23	0	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
24	23	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
24	23	1/2	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
24	23	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
25	24	0	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
25	24	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
25	24	1/2	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
25	24	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
26	25	0	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
26	25	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
26	25	1/2	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
26	25	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
27	26	0	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
27	26	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
27	26	1/2	.bIIM65		f	v		bIIM65	bII		M	65				MM7	1	1	-1, -4, 0, -5		-5.0	-1.0
27	26	3/4	vo		f	v		vo	v		o					o	1	1	1, -2, -5		1.0	1.0
28	27	0	V65/iv		f	v		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
28	27	1/4	iv		f	v		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
28	27	1/2	V65		f	v		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
28	27	3/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
29	28	0	#viio6		f	v		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
29	28	1/4	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
29	28	1/2	#viio43		f	v		#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
29	28	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
30	29	0	V(64)		f	v		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
30	29	1/2	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
31	30	0	i}{		f	v		i	i						}{	m	1	1	0, -3, 1		0.0	0.0
31	30	1/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
31	30	1/2	.bIIM65		f	v		bIIM65	bII		M	65				MM7	1	1	-1, -4, 0, -5		-5.0	-1.0
31	30	3/4	vo		f	v		vo	v		o					o	1	1	1, -2, -5		1.0	1.0
32	31	0	V65/iv		f	v		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
32	31	1/4	iv		f	v		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
32	31	1/2	V65		f	v		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
32	31	3/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
33	32	0	V43		f	v		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
33	32	1/4	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
33	32	1/2	iio6		f	v		iio6	ii		o	6				o	1	1	-1, -4, 2		2.0	-1.0
33	32	3/4	viio7/V		f	v		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
34	33	0	V(64)		f	v		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
34	33	1/2	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
35	34	0	i}		f	v		i	i						}	m	1	1	0, -3, 1		0.0	0.0
35	34	1/2	{		f	v									{		1	1				
36	35	0	V6/III		f	v		V6/III	V			6		III		M	1	1	2, -1, -2		-2.0	2.0
36	35	3/4	V65/III		f	v		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
37	36	0	III		f	v		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
37	36	1/2	V6/iv		f	v		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
38	37	0	iv		f	v		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
38	37	1/2	viio6/III		f	v		viio6/III	vii		o	6		III		o	1	1	-1, -4, 2		2.0	-1.0
39	38	0	III6		f	v		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
39	38	1/2	#viio6/iv		f	v		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
40	39	0	iv6		f	v		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
40	39	1/2	.Fr6		f	v		Fr6	V	Fr		7	b5	V		M	1	1	2, 6, -4, 0		2.0	2.0
41	40	0	V(64)		f	v		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
42	41	0	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
43	42	0	i}		f	v		i	i						}	m	1	1	0, -3, 1		0.0	0.0
43	42	1/2	{		f	v									{		1	1				
44	43	0	V6/III		f	v		V6/III	V			6		III		M	1	1	2, -1, -2		-2.0	2.0
44	43	3/4	V65/III		f	v		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
45	44	0	III		f	v		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
45	44	1/2	V6/iv		f	v		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
46	45	0	iv		f	v		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
46	45	1/2	viio6/III		f	v		viio6/III	vii		o	6		III		o	1	1	-1, -4, 2		2.0	-1.0
47	46	0	III6		f	v		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
47	46	1/2	#viio6/iv		f	v		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
48	47	0	iv6		f	v		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
48	47	1/2	.Fr6		f	v		Fr6	V	Fr		7	b5	V		M	1	1	2, 6, -4, 0		2.0	2.0
49	48	0	V(64)		f	v		V(64)	V				64			M	1	1	1, 0, -3		1.0	1.0
50	49	0	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
51	50	0	i[i}		f	v	i	i	i						}	m	1	1	0, -3, 1		0.0	0.0
51	50	1/2	{		f	v	i								{		1	1				
51	50	3/4	#viio43		f	v	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
52	51	0	i]		f	v	i	i	i							m	1	1	0, -3, 1		0.0	0.0
52	51	3/4	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
53	52	0	i[i		f	v	i	i	i							m	1	1	0, -3, 1		0.0	0.0
53	52	3/4	#viio43		f	v	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
54	53	0	i]		f	v	i	i	i							m	1	1	0, -3, 1		0.0	0.0
54	53	3/4	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
55	54	0	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
55	54	3/4	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
56	55	0	i}		f	v		i	i						}	m	1	1	0, -3, 1		0.0	0.0
57	56	1/2	i.V7	1	f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
58	57	0	i{	1	f	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0
60	57	0	III.V43	2	f	III		V43	V			43				Mm7	1	0	2, -1, 1, 5		1.0	2.0
62	59	0	I{		f	III		I	I						{	M	1	0	0, 4, 1		0.0	0.0
64	61	0	V6		f	III		V6	V			6				M	1	0	5, 2, 1		1.0	5.0
66	63	0	IV6		f	III		IV6	IV			6				M	1	0	3, 0, -1		-1.0	3.0
67	64	0	V(64)		f	III		V(64)	V				64			M	1	0	1, 0, 4		1.0	1.0
68	65	0	ii6		f	III		ii6	ii			6				m	1	0	-1, 3, 2		2.0	-1.0
69	66	0	V(64)		f	III		V(64)	V				64			M	1	0	1, 0, 4		1.0	1.0
69	66	1/2	V7		f	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
70	67	0	I(94)}		f	III		I(94)	I				94		}	M	1	0	0, -1, 1	2	0.0	0.0
71	68	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
72	69	0	{		f	III									{		1	0				
74	71	0	V6		f	III		V6	V			6				M	1	0	5, 2, 1		1.0	5.0
76	73	0	IV6		f	III		IV6	IV			6				M	1	0	3, 0, -1		-1.0	3.0
77	74	0	#viio64/ii		f	III		#viio64/ii	#vii		o	64		ii		o	1	0	1, 7, 4		7.0	1.0
78	75	0	ii6		f	III		ii6	ii			6				m	1	0	-1, 3, 2		2.0	-1.0
79	76	0	V(64)		f	III		V(64)	V				64			M	1	0	1, 0, 4		1.0	1.0
79	76	1/2	V7		f	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
80	77	0	viio		f	III		viio	vii		o					o	1	0	5, 2, -1		5.0	5.0
81	78	0	I}		f	III		I	I						}	M	1	0	0, 4, 1		0.0	0.0
81	78	3/4	{		f	III									{		1	0				
82	79	0	V6		f	III		V6	V			6				M	1	0	5, 2, 1		1.0	5.0
83	80	0	V43		f	III		V43	V			43				Mm7	1	0	2, -1, 1, 5		1.0	2.0
84	81	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
85	82	0	I6		f	III		I6	I			6				M	1	0	4, 1, 0		0.0	4.0
86	83	0	V64		f	III		V64	V			64				M	1	0	2, 1, 5		1.0	2.0
87	84	0	V2		f	III		V2	V			2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
88	85	0	V		f	III		V	V							M	1	0	1, 5, 2		1.0	1.0
88	85	1/2	V65		f	III		V65	V			65				Mm7	1	0	5, 2, -1, 1		1.0	5.0
89	86	0	I}		f	III		I	I						}	M	1	0	0, 4, 1		0.0	0.0
90	87	0	{		f	III									{		1	0				
91	88	0	V2/IV		f	III		V2/IV	V			2		IV		Mm7	1	0	-2, 0, 4, 1		0.0	-2.0
92	89	0	IV6		f	III		IV6	IV			6				M	1	0	3, 0, -1		-1.0	3.0
93	90	0	#viio43/ii		f	III		#viio43/ii	#vii		o	43		ii		o7	1	0	1, -2, 7, 4		7.0	1.0
94	91	0	ii6		f	III		ii6	ii			6				m	1	0	-1, 3, 2		2.0	-1.0
95	92	0	V7		f	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
96	93	0	I(94)}		f	III		I(94)	I				94		}	M	1	0	0, -1, 1	2	0.0	0.0
97	94	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
97	94	3/4	{		f	III									{		1	0				
98	95	0	V6		f	III		V6	V			6				M	1	0	5, 2, 1		1.0	5.0
99	96	0	V43		f	III		V43	V			43				Mm7	1	0	2, -1, 1, 5		1.0	2.0
100	97	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
101	98	0	I6		f	III		I6	I			6				M	1	0	4, 1, 0		0.0	4.0
102	99	0	V64		f	III		V64	V			64				M	1	0	2, 1, 5		1.0	2.0
103	100	0	V2		f	III		V2	V			2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
104	101	0	V		f	III		V	V							M	1	0	1, 5, 2		1.0	1.0
104	101	1/2	V65		f	III		V65	V			65				Mm7	1	0	5, 2, -1, 1		1.0	5.0
105	102	0	I}		f	III		I	I						}	M	1	0	0, 4, 1		0.0	0.0
106	103	0	{		f	III									{		1	0				
107	104	0	V2/IV		f	III		V2/IV	V			2		IV		Mm7	1	0	-2, 0, 4, 1		0.0	-2.0
108	105	0	IV6		f	III		IV6	IV			6				M	1	0	3, 0, -1		-1.0	3.0
109	106	0	#viio43/ii		f	III		#viio43/ii	#vii		o	43		ii		o7	1	0	1, -2, 7, 4		7.0	1.0
110	107	0	ii6		f	III		ii6	ii			6				m	1	0	-1, 3, 2		2.0	-1.0
111	108	0	V7		f	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
112	109	0	I}		f	III		I	I						}	M	1	0	0, 4, 1		0.0	0.0
112	109	1/2	{		f	III									{		1	0				
112	109	3/4	I(#9)		f	III		I(#9)	I				#9			M	1	0	0, 4, 1	9	0.0	0.0
113	110	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
113	110	3/4	I(#9)		f	III		I(#9)	I				#9			M	1	0	0, 4, 1	9	0.0	0.0
114	111	0	I		f	III		I	I							M	1	0	0, 4, 1		0.0	0.0
116	113	0	i.V43}		f	i		V43	V			43			}	Mm7	1	1	2, -1, 1, 5		1.0	2.0
116	113	1/2	{		f	i									{		1	1				
116	113	3/4	V43(#6)		f	i		V43(#6)	V			43	#6			Mm7	1	1	2, 4, 1, 5		1.0	2.0
117	114	0	V43		f	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
117	114	3/4	V43(#6)		f	i		V43(#6)	V			43	#6			Mm7	1	1	2, 4, 1, 5		1.0	2.0
118	115	0	#viio6		f	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
120	117	0	i}		f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
120	117	1/2	{		f	i									{		1	1				
120	117	3/4	i(9)		f	i		i(9)	i				9			m	1	1	0, -3, 1	2	0.0	0.0
121	118	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
121	118	3/4	i(9)		f	i		i(9)	i				9			m	1	1	0, -3, 1	2	0.0	0.0
122	119	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
123	120	0	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
124	121	0	V65/VI		f	i		V65/VI	V			65		VI		Mm7	1	1	1, -2, -5, -3		-3.0	1.0
125	122	0	V43/VI		f	i		V43/VI	V			43		VI		Mm7	1	1	-2, -5, -3, 1		-3.0	-2.0
126	123	0	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
127	124	0	V43/iv		f	i		V43/iv	V			43		iv		Mm7	1	1	1, -2, 0, 4		0.0	1.0
128	125	0	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
129	126	0	iio6		f	i		iio6	ii		o	6				o	1	1	-1, -4, 2		2.0	-1.0
129	126	1/2	V65/V		f	i		V65/V	V			65		V		Mm7	1	1	6, 3, 0, 2		2.0	6.0
130	127	0	V[V}		f	i	V	V	V						}	M	1	1	1, 5, 2		1.0	1.0
130	127	1/4	{		f	i	V								{		1	1				
130	127	3/4	viio43/V		f	i	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
131	128	0	V]		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
131	128	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
132	129	0	V[V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
132	129	3/4	viio43/V		f	i	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
133	130	0	V]		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
133	130	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
134	131	0	V[V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
134	131	1/2	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
134	131	3/4	V(#6)		f	i	V	V(#6)	V				#6			M	1	1	1, 5, 2	4	1.0	1.0
135	132	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
135	132	3/4	V(#6)		f	i	V	V(#6)	V				#6			M	1	1	1, 5, 2	4	1.0	1.0
136	133	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
136	133	3/4	V(#6)		f	i	V	V(#6)	V				#6			M	1	1	1, 5, 2	4	1.0	1.0
137	134	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
137	134	1/4	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
137	134	1/2	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
137	134	3/4	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
138	135	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
138	135	1/4	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
138	135	1/2	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
138	135	3/4	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
139	136	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
139	136	1/4	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
139	136	1/2	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
139	136	3/4	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
140	137	0	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
140	137	1/4	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
140	137	1/2	#viio43		f	i	V	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
140	137	3/4	V7]		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
141	138	0	i[i}{		f	i	i	i	i						}{	m	1	1	0, -3, 1		0.0	0.0
141	138	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
142	139	0	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
142	139	3/4	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
143	140	0	i[i		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
143	140	3/4	#viio43		f	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
144	141	0	i]		f	i	i	i	i							m	1	1	0, -3, 1		0.0	0.0
144	141	3/4	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
145	142	0	i}		f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
145	142	1/2	V65/III{		f	i		V65/III	V			65		III	{	Mm7	1	1	2, -1, -4, -2		-2.0	2.0
146	143	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
146	143	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
147	144	0	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
147	144	1/2	V65/III		f	i		V65/III	V			65		III		Mm7	1	1	2, -1, -4, -2		-2.0	2.0
147	144	3/4	#viio6		f	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
148	145	0	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
148	145	1/4	#viio		f	i		#viio	#vii		o					o	1	1	5, 2, -1		5.0	5.0
148	145	1/2	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
148	145	3/4	.It6		f	i		It6	vii	It	o	6	b3	V		M	1	1	-4, 0, 6		6.0	-4.0
149	146	0	V}		f	i		V	V						}	M	1	1	1, 5, 2		1.0	1.0
149	146	1/2	V65{		f	i		V65	V			65			{	Mm7	1	1	5, 2, -1, 1		1.0	5.0
150	147	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
150	147	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
151	148	1/4	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
151	148	1/2	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
152	149	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
152	149	1/2	V		f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
153	150	1/4	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
153	150	1/2	#viio7		f	i		#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5.0	5.0
153	150	3/4	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
154	151	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
154	151	1/2	.It6		f	i		It6	vii	It	o	6	b3	V		M	1	1	-4, 0, 6		6.0	-4.0
155	152	0	V[V}		f	i	V	V	V						}	M	1	1	1, 5, 2		1.0	1.0
155	152	1/2	{		f	i	V								{		1	1				
155	152	3/4	viio43/V		f	i	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
156	153	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
157	154	3/4	viio43/V		f	i	V	viio43/V	vii		o	43		V		o7	1	1	0, -3, 6, 3		6.0	0.0
158	155	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
159	156	1/2	V7]}		f	i	V	V7	V			7			}	Mm7	1	1	1, 5, 2, -1		1.0	1.0
164	161	0	i{		f	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0
164	161	1/4	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
164	161	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
164	161	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
165	162	0	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
165	162	1/4	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
165	162	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
165	162	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
166	163	0	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
166	163	1/4	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
166	163	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
166	163	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
167	164	0	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
167	164	1/4	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
167	164	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
167	164	3/4	viio7/V		f	i		viio7/V	vii		o	7		V		o7	1	1	6, 3, 0, -3		6.0	6.0
168	165	0	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
168	165	1/4	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
168	165	1/2	V65/vii		f	i		V65/vii	V			65		vii		Mm7	1	1	3, 0, -3, -1		-1.0	3.0
168	165	3/4	vii		f	i		vii	vii							m	1	1	-2, -5, -1		-2.0	-2.0
169	166	0	V65/iv		f	i		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
169	166	1/4	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
