mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
39	35	0	0	6/8	1	1	IV(2)		ab	I		IV(2)	IV			2			M	1	0	1, 3, 0		-1	1
39	35	1/4	1/4	6/8	1	1	IV		ab	I		IV	IV						M	1	0	-1, 3, 0		-1	-1
39	35	1/2	1/2	6/8	1	1	#viio7/iii		ab	I		#viio7/iii	#vii	o	7		iii		o7	1	0	9, 6, 3, 0		9	9
39	35	5/8	5/8	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
40	36	0	0	6/8	1	1	ii		ab	I		ii	ii						m	1	0	2, -1, 3		2	2
40	36	1/4	1/4	6/8	1	1	IV		ab	I		IV	IV						M	1	0	-1, 3, 0		-1	-1
40	36	3/8	3/8	6/8	1	1	V(4)		ab	I		V(4)	V			4			M	1	0	1, 0, 2		1	1
40	36	5/8	5/8	6/8	1	1	viio64		ab	I		viio64	vii	o	64				o	1	0	-1, 5, 2		5	-1
41	37	0	0	6/8	1	1	ii/ii		ab	I		ii/ii	ii				ii		m	1	0	4, 1, 5		4	4
41	37	1/4	1/4	6/8	1	1	ii7/ii		ab	I		ii7/ii	ii		7		ii		mm7	1	0	4, 1, 5, 2		4	4
41	37	3/8	3/8	6/8	1	1	V(4)/ii		ab	I		V(4)/ii	V			4	ii		M	1	0	3, 2, 4		3	3
41	37	5/8	5/8	6/8	1	1	#viio64/ii		ab	I		#viio64/ii	#vii	o	64		ii		o	1	0	1, 7, 4		7	1
42	38	0	0	6/8	1	1	ii6		ab	I		ii6	ii		6				m	1	0	-1, 3, 2		2	-1
42	38	1/4	1/4	6/8	1	1	viio/V		ab	I		viio/V	vii	o			V		o	1	0	6, 3, 0		6	6
42	38	3/8	3/8	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
42	38	5/8	5/8	6/8	1	1	viio		ab	I		viio	vii	o					o	1	0	5, 2, -1		5	5
43	39	0	0	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
43	39	1/2	1/2	6/8	1	1	V65		ab	I		V65	V		65				Mm7	1	0	5, 2, -1, 1		1	5
44	40	0	0	6/8	1	1	vi7		ab	I		vi7	vi		7				mm7	1	0	3, 0, 4, 1		3	3
44	40	1/8	1/8	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
44	40	1/4	1/4	6/8	1	1	V6		ab	I		V6	V		6				M	1	0	5, 2, 1		1	5
44	40	3/8	3/8	6/8	1	1	IV6		ab	I		IV6	IV		6				M	1	0	3, 0, -1		-1	3
44	40	1/2	1/2	6/8	1	1	#viio7/vi		ab	I		#viio7/vi	#vii	o	7		vi		o7	1	0	8, 5, 2, -1		8	8
44	40	5/8	5/8	6/8	1	1	vi		ab	I		vi	vi						m	1	0	3, 0, 4		3	3
45	41	0	0	6/8	1	1	#viio6/vi		ab	I		#viio6/vi	#vii	o	6		vi		o	1	0	5, 2, 8		8	5
45	41	1/4	1/4	6/8	1	1	vi6(11)		ab	I		vi6(11)	vi		6	11			m	1	0	0, 4, 3	2	3	0
45	41	3/8	3/8	6/8	1	1	iio/vi		ab	I		iio/vi	ii	o			vi		o	1	0	5, 2, -1		5	5
45	41	1/2	1/2	6/8	1	1	vi(13)		ab	I		vi(13)	vi			13			m	1	0	3, 0, 4	-1	3	3
46	42	0	0	6/8	1	1	#viio7/vi		ab	I		#viio7/vi	#vii	o	7		vi		o7	1	0	8, 5, 2, -1		8	8
46	42	1/4	1/4	6/8	1	1	VI6/vi		ab	I		VI6/vi	VI		6		vi		M	1	0	3, 0, -1		-1	3
46	42	3/8	3/8	6/8	1	1	V6/vi		ab	I		V6/vi	V		6		vi		M	1	0	8, 5, 4		4	8
46	42	5/8	5/8	6/8	1	1	#viio/vi		ab	I		#viio/vi	#vii	o			vi		o	1	0	8, 5, 2		8	8
47	43	0	0	6/8	1	1	vi(9)		ab	I		vi(9)	vi			9			m	1	0	3, 0, 4	5	3	3
47	43	1/4	1/4	6/8	1	1	V6/V		ab	I		V6/V	V		6		V		M	1	0	6, 3, 2		2	6
47	43	3/8	3/8	6/8	1	1	V(9)		ab	I		V(9)	V			9			M	1	0	1, 5, 2	3	1	1
47	43	1/2	1/2	6/8	1	1	vi/V		ab	I		vi/V	vi				V		m	1	0	4, 1, 5		4	4
47	43	5/8	5/8	6/8	1	1	ii6/V		ab	I		ii6/V	ii		6		V		m	1	0	0, 4, 3		3	0
48	44	0	0	6/8	1	1	V65/ii		ab	I		V65/ii	V		65		ii		Mm7	1	0	7, 4, 1, 3		3	7
48	44	1/8	1/8	6/8	1	1	V/V		ab	I		V/V	V				V		M	1	0	2, 6, 3		2	2
48	44	1/4	1/4	6/8	1	1	V7/V		ab	I		V7/V	V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
48	44	3/8	3/8	6/8	1	1	V		ab	I		V	V						M	1	0	1, 5, 2		1	1
48	44	5/8	5/8	6/8	1	1	V7		ab	I		V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
49	45	0	0	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
49	45	1/8	1/8	6/8	1	1	viio6(+2)		ab	I		viio6(+2)	vii	o	6	+2			o	1	0	2, -1, 5	0	5	2
49	45	3/8	3/8	6/8	1	1	vi		ab	I		vi	vi						m	1	0	3, 0, 4		3	3
50	46	0	0	6/8	1	1	V43		ab	I		V43	V		43				Mm7	1	0	2, -1, 1, 5		1	2
50	46	3/8	3/8	6/8	1	1	viio		ab	I		viio	vii	o					o	1	0	5, 2, -1		5	5
51	47	0	0	6/8	1	1	I6(2)		ab	I		I6(2)	I		6	2			M	1	0	4, 1, 2		0	4
51	47	1/4	1/4	6/8	1	1	I6		ab	I		I6	I		6				M	1	0	4, 1, 0		0	4
51	47	3/8	3/8	6/8	1	1	V7/V		ab	I		V7/V	V		7		V		Mm7	1	0	2, 6, 3, 0		2	2
51	47	5/8	5/8	6/8	1	1	vii%43/V		ab	I		vii%43/V	vii	%	43		V		%7	1	0	0, 4, 6, 3		6	0
52	48	0	0	6/8	1	1	V6(6)		ab	I		V6(6)	V		6	6			M	1	0	5, 4, 1		1	5
52	48	1/4	1/4	6/8	1	1	V6		ab	I		V6	V		6				M	1	0	5, 2, 1		1	5
52	48	3/8	3/8	6/8	1	1	V43		ab	I		V43	V		43				Mm7	1	0	2, -1, 1, 5		1	2
53	49	0	0	6/8	1	1	ii7		ab	I		ii7	ii		7				mm7	1	0	2, -1, 3, 0		2	2
53	49	1/4	1/4	6/8	1	1	viio6		ab	I		viio6	vii	o	6				o	1	0	2, -1, 5		5	2
53	49	3/8	3/8	6/8	1	1	I		ab	I		I	I						M	1	0	0, 4, 1		0	0
53	49	5/8	5/8	6/8	1	1	vii%43/IV		ab	I		vii%43/IV	vii	%	43		IV		%7	1	0	-2, 2, 4, 1		4	-2
54	50	0	0	6/8	1	1	IV6(6)		ab	I		IV6(6)	IV		6	6			M	1	0	3, 2, -1		-1	3
54	50	1/4	1/4	6/8	1	1	IV6		ab	I		IV6	IV		6				M	1	0	3, 0, -1		-1	3
