mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
19	19	0	V43(4)			Eb	I		V43(4)	V		43	4			Mm7	0	0	2, -1, 1, 0		1.0	2.0
19	19	1/2	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
19	19	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
20	20	0	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
20	20	1/4	vi			Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
20	20	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
20	20	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
21	21	0	I\\			Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
22	22	0	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
23	23	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
24	24	0	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
24	24	1/2	V(b9)			Eb	I		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
24	24	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
25	25	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
26	26	0	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
27	27	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
28	28	0	ii65(#7)			Eb	I		ii65(#7)	ii		65	#7			mm7	0	0	-1, 3, 0, 2	7	2.0	-1.0
28	28	1/4	ii65			Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
28	28	1/2	V65/V			Eb	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
29	29	0	V\\			Eb	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
29	29	1/4	viio64/V			Eb	I		viio64/V	vii	o	64		V		o	0	0	0, 6, 3		6.0	0.0
29	29	3/8	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
29	29	1/2	viio6/V			Eb	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6.0	3.0
29	29	5/8	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
29	29	3/4	viio/V			Eb	I		viio/V	vii	o			V		o	0	0	6, 3, 0		6.0	6.0
29	29	7/8	viio64			Eb	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5.0	-1.0
30	30	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
30	30	1/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
31	31	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
31	31	1/2	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
32	32	0	V\\			Eb	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
32	32	1/4	vii%43			Eb	I		vii%43	vii	%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
32	32	3/8	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
32	32	1/2	#viio43/vi			Eb	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8.0	2.0
32	32	5/8	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
32	32	3/4	V43/vi			Eb	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4.0	5.0
32	32	7/8	#viio43/iii			Eb	I		#viio43/iii	#vii	o	43		iii		o7	0	0	3, 0, 9, 6		9.0	3.0
33	33	0	V6/vi			Eb	I		V6/vi	V		6		vi		M	0	0	8, 5, 4		4.0	8.0
33	33	1/8	V64/iii			Eb	I		V64/iii	V		64		iii		M	0	0	6, 5, 9		5.0	6.0
33	33	1/4	V/vi			Eb	I		V/vi	V				vi		M	0	0	4, 8, 5		4.0	4.0
33	33	3/8	V2/vi			Eb	I		V2/vi	V		2		vi		Mm7	0	0	2, 4, 8, 5		4.0	2.0
33	33	1/2	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
33	33	5/8	#viio6/vi			Eb	I		#viio6/vi	#vii	o	6		vi		o	0	0	5, 2, 8		8.0	5.0
33	33	3/4	vi			Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
33	33	7/8	V.V2/V			Eb	V		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2.0	0.0
34	34	1/2	V6			Eb	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
35	35	0	ii%43			Eb	V		ii%43	ii	%	43				%7	0	0	8, 0, 2, 1		2.0	8.0
35	35	3/4	V(4)			Eb	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
36	36	0	ii%65			Eb	V		ii%65	ii	%	65				%7	0	0	1, 8, 0, 2		2.0	1.0
37	37	0	ii%43			Eb	V		ii%43	ii	%	43				%7	0	0	8, 0, 2, 1		2.0	8.0
37	37	3/4	V(4)			Eb	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
38	38	0	V65/V			Eb	V		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
39	39	0	V(b9)			Eb	V		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
40	40	0	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
41	41	0	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
41	41	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
42	42	0	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
42	42	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
43	43	0	V(b9)			Eb	V		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
44	44	0	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
45	45	0	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
45	45	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
46	46	0	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
46	46	1/2	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
46	46	3/4	viio			Eb	V		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
47	47	0	I(94)			Eb	V		I(94)	I			94			M	0	0	0, -1, 1	2	0.0	0.0
47	47	1/4	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
47	47	1/2	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
47	47	3/4	viio			Eb	V		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
48	48	0	I(94)			Eb	V		I(94)	I			94			M	0	0	0, -1, 1	2	0.0	0.0
48	48	1/4	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
48	48	1/2	V\\			Eb	V		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
48	48	3/4	vii%43			Eb	V		vii%43	vii	%	43				%7	0	0	11, 3, 5, 4		5.0	11.0
49	49	0	I6(13)			Eb	V		I6(13)	I		6	13			M	0	0	4, 1, 0	3	0.0	4.0
49	49	1/4	i6			Eb	V		i6	i		6				m	0	0	-3, 1, 0		0.0	-3.0
49	49	1/2	ii7(4)			Eb	V		ii7(4)	ii		7	4			mm7	0	0	2, 1, 3, 0		2.0	2.0
49	49	3/4	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
50	50	0	I[I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
50	50	1/4	I(#96#4)			Eb	V	I	I(#96#4)	I			#96#4			M	0	0	0, 4, 6	9	0.0	0.0
50	50	3/4	I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
51	51	0	viio2			Eb	V	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5.0	-4.0
51	51	3/4	V7			Eb	V	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
52	52	0	I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
52	52	1/2	IV			Eb	V	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
52	52	3/4	I]			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
53	53	0	V(64)			Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
53	53	1/4	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
53	53	1/2	V(64)			Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
53	53	3/4	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
54	54	0	I[I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
54	54	1/4	I(#96#4)			Eb	V	I	I(#96#4)	I			#96#4			M	0	0	0, 4, 6	9	0.0	0.0
54	54	3/4	I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
55	55	0	viio2			Eb	V	I	viio2	vii	o	2				o7	0	0	-4, 5, 2, -1		5.0	-4.0
55	55	3/4	V7			Eb	V	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
56	56	0	I			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
56	56	1/2	IV			Eb	V	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
56	56	3/4	I]			Eb	V	I	I	I						M	0	0	0, 4, 1		0.0	0.0
57	57	0	V(64)			Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
57	57	1/4	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
57	57	1/2	V(64)			Eb	V		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
57	57	3/4	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
58	58	0	I(b6)			Eb	V		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
58	58	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
58	58	3/4	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
59	59	0	V(4)			Eb	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
59	59	1/4	V2			Eb	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
59	59	3/8	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
59	59	1/2	viio6			Eb	V		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
59	59	5/8	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
59	59	3/4	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
59	59	7/8	V			Eb	V		V	V						M	0	0	1, 5, 2		1.0	1.0
60	60	0	I(b6)			Eb	V		I(b6)	I			b6			M	0	0	0, 4, -4		0.0	0.0
60	60	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
60	60	3/4	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
61	61	0	V(4)			Eb	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
61	61	1/4	V2			Eb	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
61	61	3/8	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
61	61	1/2	viio6			Eb	V		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
61	61	5/8	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
61	61	3/4	V7			Eb	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
61	61	7/8	viio6			Eb	V		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
62	62	0	I\\			Eb	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
63	63	0	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
63	63	1/2	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
64	64	0	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
64	64	1/2	I64			Eb	V		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
65	65	0	I6			Eb	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
65	65	1/2	I			Eb	V		I	I						M	0	0	0, 4, 1		0.0	0.0
66	66	0	I.V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
67	67	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
68	67	0	V6		1	Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
69	67	0	V2/IV		1	Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0.0	-2.0
70	68	0	V6		2	Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
71	69	0	IV6			Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
72	70	0	V6/vi			Eb	I		V6/vi	V		6		vi		M	0	0	8, 5, 4		4.0	8.0
72	70	3/4	v6/vi			Eb	I		v6/vi	v		6		vi		m	0	0	1, 5, 4		4.0	1.0
73	71	0	IV6(2)/vi			Eb	I		IV6(2)/vi	IV		6	2	vi		M	0	0	6, 3, 4		2.0	6.0
73	71	1/2	iv6/vi			Eb	I		iv6/vi	iv		6		vi		m	0	0	-1, 3, 2		2.0	-1.0
74	72	0	V(64)/vi			Eb	I		V(64)/vi	V			64	vi		M	0	0	4, 3, 0		4.0	4.0
74	72	1/4	V65/iii			Eb	I		V65/iii	V		65		iii		Mm7	0	0	9, 6, 3, 5		5.0	9.0
74	72	1/2	V2/vi			Eb	I		V2/vi	V		2		vi		Mm7	0	0	2, 4, 8, 5		4.0	2.0
74	72	3/4	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
75	73	0	iv/vi	iio6/vi		Eb	I		iv/vi	iv				vi		m	0	0	2, -1, 3		2.0	2.0
76	74	0	vi6	I		Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
77	75	0	#viio2/v			Eb	I		#viio2/v	#vii	o	2		v		o7	0	0	-3, 6, 3, 0		6.0	-3.0
77	75	1/4	#viio65/v			Eb	I		#viio65/v	#vii	o	65		v		o7	0	0	3, 0, -3, 6		6.0	3.0
77	75	3/4	#viio7/v			Eb	I		#viio7/v	#vii	o	7		v		o7	0	0	6, 3, 0, -3		6.0	6.0
78	76	1/4	V7(b9)/v			Eb	I		V7(b9)/v	V		7	b9	v		Mm7	0	0	2, 6, 3, 0	-10	2.0	2.0
78	76	3/4	v6			Eb	I		v6	v		6				m	0	0	-2, 2, 1		1.0	-2.0
80	78	0	#viio6/v	vi		Eb	I		#viio6/v	#vii	o	6		v		o	0	0	3, 0, 6		6.0	3.0
81	79	0	V2/iii			Eb	I		V2/iii	V		2		iii		Mm7	0	0	3, 5, 9, 6		5.0	3.0
81	79	1/4	V7/iii			Eb	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
81	79	3/4	V65/iii			Eb	I		V65/iii	V		65		iii		Mm7	0	0	9, 6, 3, 5		5.0	9.0
82	80	1/4	V7/iii			Eb	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
83	81	0	#viio64/iii	iio6/iii		Eb	I		#viio64/iii	#vii	o	64		iii		o	0	0	3, 9, 6		9.0	3.0
84	82	0	III6	Ger6		Eb	I		III6	III		6				M	0	0	8, 5, 4		4.0	8.0
85	83	0	.Ger6			Eb	I										0	0				
88	86	0	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
89	87	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
89	87	1/4	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
89	87	3/4	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
90	88	1/4	V65			Eb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
90	88	1/2	iio			Eb	I		iio	ii	o					o	0	0	2, -1, -4		2.0	2.0
90	88	3/4	V65			Eb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
91	89	0	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
91	89	1/4	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
91	89	3/4	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
92	90	1/4	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
92	90	1/2	.bVI6			Eb	I										0	0				
92	90	3/4	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
93	91	0	V2/IV			Eb	I		V2/IV	V		2		IV		Mm7	0	0	-2, 0, 4, 1		0.0	-2.0
93	91	3/4	V2/bIII			Eb	I		V2/bIII	V		2		bIII		Mm7	0	0	-4, -2, 2, -1		-2.0	-4.0
94	92	0	.bIII6			Eb	I										0	0				
94	92	1/4	V43/bIII			Eb	I		V43/bIII	V		43		bIII		Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0
94	92	1/2	V65/bIII			Eb	I		V65/bIII	V		65		bIII		Mm7	0	0	2, -1, -4, -2		-2.0	2.0
94	92	3/4	.bIII			Eb	I										0	0				
95	93	0	ii6/bIII			Eb	I		ii6/bIII	ii		6		bIII		m	0	0	-4, 0, -1		-1.0	-4.0
95	93	1/4	.bIII			Eb	I										0	0				
95	93	1/2	viio6/bIII			Eb	I		viio6/bIII	vii	o	6		bIII		o	0	0	-1, -4, 2		2.0	-1.0
95	93	3/4	.bIII			Eb	I										0	0				
96	94	0	V65/bIII			Eb	I		V65/bIII	V		65		bIII		Mm7	0	0	2, -1, -4, -2		-2.0	2.0
97	95	0	#viio43/vi			Eb	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8.0	2.0
98	96	0	vi6			Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
99	97	0	V43/vi			Eb	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4.0	5.0
100	98	0	vi[vi			Eb	I	vi	vi	vi						m	0	0	3, 0, 4		3.0	3.0
101	99	0	#viio43/vi			Eb	I	vi	#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8.0	2.0
102	100	0	vi			Eb	I	vi	vi	vi						m	0	0	3, 0, 4		3.0	3.0
103	101	0	#viio7/vi			Eb	I	vi	#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
104	102	0	vi			Eb	I	vi	vi	vi						m	0	0	3, 0, 4		3.0	3.0
105	103	0	IV6]			Eb	I	vi	IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
107	105	0	#viio7/vi			Eb	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
108	106	0	IV6			Eb	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
112	110	3/4	III6			Eb	I		III6	III		6				M	0	0	8, 5, 4		4.0	8.0
112	110	7/8	iiio6			Eb	I		iiio6	iii	o	6				o	0	0	1, -2, 4		4.0	1.0
113	111	1/4	II6			Eb	I		II6	II		6				M	0	0	6, 3, 2		2.0	6.0
113	111	3/8	iio6			Eb	I		iio6	ii	o	6				o	0	0	-1, -4, 2		2.0	-1.0
113	111	3/4	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
113	111	7/8	#viio7/iii			Eb	I		#viio7/iii	#vii	o	7		iii		o7	0	0	9, 6, 3, 0		9.0	9.0
114	112	0	V43(4)			Eb	I		V43(4)	V		43	4			Mm7	0	0	2, -1, 1, 0		1.0	2.0
114	112	1/2	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
114	112	3/4	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
115	113	0	V6			Eb	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
115	113	1/4	vi			Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
115	113	1/2	V7			Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
115	113	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
116	114	0	I\\			Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
117	115	0	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
118	116	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
119	117	0	V2			Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
119	117	1/2	V(b9)			Eb	I		V(b9)	V			b9			M	0	0	1, 5, 2	-4	1.0	1.0
119	117	3/4	V			Eb	I		V	V						M	0	0	1, 5, 2		1.0	1.0
120	118	0	I			Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
121	119	0	V43			Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
122	120	0	I6			Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
123	121	0	ii65(#7)			Eb	I		ii65(#7)	ii		65	#7			mm7	0	0	-1, 3, 0, 2	7	2.0	-1.0
123	121	1/4	ii65			Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
123	121	1/2	V65/V			Eb	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2.0	6.0
124	122	0	V\\			Eb	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
124	122	1/4	viio64/V			Eb	I		viio64/V	vii	o	64		V		o	0	0	0, 6, 3		6.0	0.0
