mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
138	138	1/2	V[V			C	I	V	V	V							M	0	0	1, 5, 2		1	1
138	138	3/4	V7			C	I	V	V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
139	139	1/4	V(b13)			C	I	V	V(b13)	V				b13			M	0	0	1, 5, 2	-3	1	1
139	139	1/2	V(b64)			C	I	V	V(b64)	V				b64			M	0	0	1, 0, -3		1	1
139	139	3/4	V65/V]			C	I	V	V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2	6
140	140	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
140	140	1/2	V[V			C	I	V	V	V							M	0	0	1, 5, 2		1	1
140	140	3/4	V7			C	I	V	V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
141	141	1/4	V(b13)			C	I	V	V(b13)	V				b13			M	0	0	1, 5, 2	-3	1	1
141	141	1/2	V(b64)			C	I	V	V(b64)	V				b64			M	0	0	1, 0, -3		1	1
141	141	3/4	V65/V			C	I	V	V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2	6
142	142	0	V]			C	I	V	V	V							M	0	0	1, 5, 2		1	1
142	142	1/4	i			C	I		i	i							m	0	0	0, -3, 1		0	0
142	142	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
142	142	3/4	iio6/V			C	I		iio6/V	ii		o	6		V		o	0	0	0, -3, 3		3	0
143	143	0	V			C	I		V	V							M	0	0	1, 5, 2		1	1
143	143	1/4	viio43/V			C	I		viio43/V	vii		o	43		V		o7	0	0	0, -3, 6, 3		6	0
143	143	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
143	143	3/4	viio43/V			C	I		viio43/V	vii		o	43		V		o7	0	0	0, -3, 6, 3		6	0
144	144	0	V\\			C	I		V	V						\\	M	0	0	1, 5, 2		1	1
154	154	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
158	158	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
159	159	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
160	160	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
162	162	0	IV/IV			C	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2	-2
163	163	3/4	V2/IV			C	I		V2/IV	V			2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
164	164	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
165	165	0	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
166	166	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
166	166	3/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
167	167	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
167	167	1/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
167	167	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
167	167	3/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
168	168	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
169	169	0	i			C	I		i	i							m	0	0	0, -3, 1		0	0
170	170	0	V/bII\\			C	I		V/bII	V					bII	\\	M	0	0	-4, 0, -3		-4	-4
171	171	0	.bII			C	I		bII	bII							M	0	0	-5, -1, -4		-5	-5
172	172	0	V/bIII\\			C	I		V/bIII	V					bIII	\\	M	0	0	-2, 2, -1		-2	-2
173	173	0	.bIII			C	I		bIII	bIII							M	0	0	-3, 1, -2		-3	-3
173	173	1/4	.bIII64			C	I		bIII64	bIII			64				M	0	0	-2, -3, 1		-3	-2
173	173	1/2	.bIII6			C	I		bIII6	bIII			6				M	0	0	1, -2, -3		-3	1
173	173	3/4	.bIII			C	I		bIII	bIII							M	0	0	-3, 1, -2		-3	-3
174	174	0	viio6(2)/bIII			C	I		viio6(2)/bIII	vii		o	6	2	bIII		o	0	0	-1, -4, -3		2	-1
174	174	1/4	viio2			C	I		viio2	vii		o	2				o7	0	0	-4, 5, 2, -1		5	-4
174	174	1/2	viio65(6)/V			C	I		viio65(6)/V	vii		o	65	6	V		o7	0	0	3, 2, -3, 6		6	3
174	174	3/4	viio7/V			C	I		viio7/V	vii		o	7		V		o7	0	0	6, 3, 0, -3		6	6
175	175	0	V(4)			C	I		V(4)	V				4			M	0	0	1, 0, 2		1	1
175	175	1/4	V65(11)/V			C	I		V65(11)/V	V			65	11	V		Mm7	0	0	6, 3, 0, 2	1	2	6
175	175	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
175	175	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
176	176	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
177	177	3/4	V2/V			C	I		V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
178	178	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
180	180	0	iv/vi			C	I		iv/vi	iv					vi		m	0	0	2, -1, 3		2	2
181	181	3/4	V2/vi			C	I		V2/vi	V			2		vi		Mm7	0	0	2, 4, 8, 5		4	2
182	182	0	vi6			C	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
184	184	0	VI/vi			C	I		VI/vi	VI					vi		M	0	0	-1, 3, 0		-1	-1
184	184	1/2	iv6/VI			C	I		iv6/VI	iv			6		VI		m	0	0	-1, 3, 2		2	-1
185	185	0	.Ger6/vi			C	I		Ger6/vi	vii	Ger	o	65	b3	V/vi		M	0	0	-1, 3, 0, 9		9	-1
185	185	1/2	VI/vi			C	I		VI/vi	VI					vi		M	0	0	-1, 3, 0		-1	-1
185	185	3/4	.Ger6/vi			C	I		Ger6/vi	vii	Ger	o	65	b3	V/vi		M	0	0	-1, 3, 0, 9		9	-1
186	186	0	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
186	186	1/2	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
187	187	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
187	187	1/2	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
188	188	0	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
188	188	1/2	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
189	189	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
189	189	1/2	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
190	190	0	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
190	190	1/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
190	190	1/2	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
190	190	3/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
191	191	0	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
191	191	1/4	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
191	191	1/2	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
191	191	3/4	V(64)/vi			C	I		V(64)/vi	V				64	vi		M	0	0	4, 3, 0		4	4
192	192	0	V/vi\\			C	I		V/vi	V					vi	\\	M	0	0	4, 8, 5		4	4
192	192	1/4	V64/vi			C	I		V64/vi	V			64		vi		M	0	0	5, 4, 8		4	5
192	192	1/2	V6/vi			C	I		V6/vi	V			6		vi		M	0	0	8, 5, 4		4	8
192	192	3/4	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
193	193	0	V64/vi			C	I		V64/vi	V			64		vi		M	0	0	5, 4, 8		4	5
193	193	1/4	V6/vi			C	I		V6/vi	V			6		vi		M	0	0	8, 5, 4		4	8
193	193	1/2	V/vi			C	I		V/vi	V					vi		M	0	0	4, 8, 5		4	4
194	194	1/4	IV6/VI	vi/VI		C	I		IV6/VI	IV			6		VI		M	0	0	6, 3, 2		2	6
194	194	1/2	V6/VI			C	I		V6/VI	V			6		VI		M	0	0	8, 5, 4		4	8
194	194	3/4	IV6/VI	vi/VI		C	I		IV6/VI	IV			6		VI		M	0	0	6, 3, 2		2	6
195	195	0	V6/VI	viio/VI		C	I		V6/VI	V			6		VI		M	0	0	8, 5, 4		4	8
195	195	1/4	VI			C	I		VI	VI							M	0	0	3, 7, 4		3	3
195	195	1/2	viio6/VI	V64/VI		C	I		viio6/VI	vii		o	6		VI		o	0	0	5, 2, 8		8	5
195	195	3/4	VI			C	I		VI	VI							M	0	0	3, 7, 4		3	3
196	196	0	viio6/VI	ii/VI		C	I		viio6/VI	vii		o	6		VI		o	0	0	5, 2, 8		8	5
196	196	1/4	VI6			C	I		VI6	VI			6				M	0	0	7, 4, 3		3	7
196	196	1/2	viio6/VI	ii/VI		C	I		viio6/VI	vii		o	6		VI		o	0	0	5, 2, 8		8	5
196	196	3/4	VI6(11)			C	I		VI6(11)	VI			6	11			M	0	0	7, 4, 3	2	3	7
197	197	0	IV/VI			C	I		IV/VI	IV					VI		M	0	0	2, 6, 3		2	2
197	197	1/4	V7/VI			C	I		V7/VI	V			7		VI		Mm7	0	0	4, 8, 5, 2		4	4
197	197	1/2	IV6/VI			C	I		IV6/VI	IV			6		VI		M	0	0	6, 3, 2		2	6
197	197	3/4	viio/VI			C	I		viio/VI	vii		o			VI		o	0	0	8, 5, 2		8	8
198	198	0	VI			C	I		VI	VI							M	0	0	3, 7, 4		3	3
198	198	1/2	V/VI			C	I		V/VI	V					VI		M	0	0	4, 8, 5		4	4
198	198	3/4	vi/VI			C	I		vi/VI	vi					VI		m	0	0	6, 3, 7		6	6
199	199	0	V7/#iv			C	I		V7/#iv	V			7		#iv		Mm7	0	0	7, 11, 8, 5		7	7
199	199	1/2	IV/VI			C	I		IV/VI	IV					VI		M	0	0	2, 6, 3		2	2
200	200	0	V43/VI			C	I		V43/VI	V			43		VI		Mm7	0	0	5, 2, 4, 8		4	5
200	200	1/2	VI6			C	I		VI6	VI			6				M	0	0	7, 4, 3		3	7
200	200	3/4	ii65/VI			C	I		ii65/VI	ii			65		VI		mm7	0	0	2, 6, 3, 5		5	2
201	201	0	V(64)/VI			C	I		V(64)/VI	V				64	VI		M	0	0	4, 3, 7		4	4
201	201	1/2	V/VI			C	I		V/VI	V					VI		M	0	0	4, 8, 5		4	4
201	201	3/4	V7/VI			C	I		V7/VI	V			7		VI		Mm7	0	0	4, 8, 5, 2		4	4
202	202	0	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
202	202	1/2	iii			C	I		iii	iii							m	0	0	4, 1, 5		4	4
202	202	3/4	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
203	203	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
203	203	1/2	ii			C	I		ii	ii							m	0	0	2, -1, 3		2	2
204	204	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
204	204	1/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
204	204	1/2	V7(9)			C	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
204	204	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
205	205	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
206	206	1/2	#viio7/vi			C	I		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8	8
206	206	3/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
207	207	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
207	207	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
208	208	0	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
208	208	1/2	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
208	208	3/4	ii65			C	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2	-1
209	209	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
209	209	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
209	209	3/4	V7(9)			C	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
209	209	5/6	vi7			C	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3	3
209	209	11/12	viio			C	I		viio	vii		o					o	0	0	5, 2, -1		5	5
210	210	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
210	210	1/2	#viio7/vi			C	I		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8	8
210	210	3/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
211	211	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
211	211	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
212	212	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
212	212	1/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
212	212	1/2	V7(9)			C	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
212	212	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
213	213	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
213	213	1/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
213	213	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
213	213	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
214	214	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
214	214	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
215	215	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
215	215	1/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
215	215	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
215	215	3/4	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
216	216	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
216	216	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
216	216	1/2	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
216	216	3/4	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
217	217	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
217	217	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
217	217	1/2	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
217	217	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
218	218	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
218	218	1/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
218	218	1/2	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
218	218	3/4	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
219	219	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
219	219	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
219	219	1/2	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
219	219	3/4	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
220	220	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
220	220	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
220	220	1/2	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
220	220	3/4	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
221	221	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
221	221	1/4	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
221	221	1/2	I			C	I		I	I							M	0	0	0, 4, 1		0	0
221	221	3/4	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
222	222	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
222	222	1/8	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
222	222	1/4	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
222	222	3/8	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
222	222	1/2	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
222	222	5/8	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
222	222	3/4	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
222	222	7/8	V2			C	I		V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
223	223	0	I6\\			C	I		I6	I			6			\\	M	0	0	4, 1, 0		0	4
223	223	1/8	V65/IV			C	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0	4
225	225	0	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
227	227	0	V65/V			C	I		V65/V	V			65		V		Mm7	0	0	6, 3, 0, 2		2	6
229	229	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
230	230	1/2	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
230	230	3/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
230	230	7/8	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
231	231	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
231	231	1/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
231	231	1/2	I			C	I		I	I							M	0	0	0, 4, 1		0	0
231	231	3/4	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
232	232	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
232	232	1/4	I			C	I		I	I							M	0	0	0, 4, 1		0	0
232	232	1/2	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
232	232	3/4	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
233	233	0	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
235	235	0	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
237	237	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
237	237	1/2	V7/iv			C	I		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
238	238	0	V(64)/iv			C	I		V(64)/iv	V				64	iv		M	0	0	0, -1, -4		0	0
238	238	1/2	V7/iv			C	I		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
239	239	0	iv			C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
239	239	1/2	.bII6			C	I		bII6	bII			6				M	0	0	-1, -4, -5		-5	-1
240	240	0	V(b64)			C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
240	240	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
241	241	0	I	i		C	I		I	I							M	0	0	0, 4, 1		0	0
241	241	1/2	V7/IV			C	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
242	242	0	V(64)/IV			C	I		V(64)/IV	V				64	IV		M	0	0	0, -1, 3		0	0
242	242	1/2	V7/IV			C	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0	0
243	243	0	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
243	243	1/2	ii6			C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
244	244	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
244	244	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
245	245	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
245	245	1/4	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
245	245	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
245	245	3/4	ii6			C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
246	246	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
246	246	1/2	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
247	247	0	I\\			C	I		I	I						\\	M	0	0	0, 4, 1		0	0
247	247	1/4	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
247	247	1/2	IV/IV			C	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2	-2
247	247	3/4	ii6/IV			C	I		ii6/IV	ii			6		IV		m	0	0	-2, 2, 1		1	-2
248	248	0	V(64)/IV			C	I		V(64)/IV	V				64	IV		M	0	0	0, -1, 3		0	0
248	248	1/2	V7/iv			C	I		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
249	249	0	iv\\			C	I		iv	iv						\\	m	0	0	-1, -4, 0		-1	-1
249	249	1/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
249	249	1/2	iv/iv			C	I		iv/iv	iv					iv		m	0	0	-2, -5, -1		-2	-2
249	249	3/4	iio6/iv			C	I		iio6/iv	ii		o	6		iv		o	0	0	-2, -5, 1		1	-2
250	250	0	V(64)/iv			C	I		V(64)/iv	V				64	iv		M	0	0	0, -1, -4		0	0
250	250	1/2	V7/iv			C	I		V7/iv	V			7		iv		Mm7	0	0	0, 4, 1, -2		0	0
251	251	0	.bII\\			C	I		bII	bII						\\	M	0	0	-5, -1, -4		-5	-5
252	252	3/4	V2/bVI			C	I		V2/bVI	V			2		bVI		Mm7	0	0	-5, -3, 1, -2		-3	-5
253	253	0	.bVI6			C	I		bVI6	bVI			6				M	0	0	0, -3, -4		-4	0
254	254	0	V43/bvii			C	I		V43/bvii	V			43		bvii		Mm7	0	0	0, -3, -1, 3		-1	0
255	255	0	.bvii6			C	I		bvii6	bvii			6				m	0	0	-5, -1, -2		-2	-5
256	256	0	viio6			C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
257	257	0	i6(#7)			C	I		i6(#7)	i			6	#7			m	0	0	-3, 1, 12		0	-3
257	257	1/4	i6			C	I		i6	i			6				m	0	0	-3, 1, 0		0	-3
257	257	1/2	iv			C	I		iv	iv							m	0	0	-1, -4, 0		-1	-1
257	257	3/4	iio6			C	I		iio6	ii		o	6				o	0	0	-1, -4, 2		2	-1
258	258	0	#vii%65/iv			C	I		#vii%65/iv	#vii		%	65		iv		%7	0	0	3, 10, 2, 4		4	3
258	258	1/4	#viio6/iv			C	I		#viio6/iv	#vii		o	6		iv		o	0	0	1, -2, 4		4	1
258	258	1/2	iv6(#7)			C	I		iv6(#7)	iv			6	#7			m	0	0	-4, 0, 11		-1	-4
258	258	3/4	iv6			C	I		iv6	iv			6				m	0	0	-4, 0, -1		-1	-4
259	259	0	viio65/V			C	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6	3
259	259	1/4	viio6/V			C	I		viio6/V	vii		o	6		V		o	0	0	3, 0, 6		6	3
259	259	1/2	viio65/V			C	I		viio65/V	vii		o	65		V		o7	0	0	3, 0, -3, 6		6	3
259	259	3/4	viio6/V			C	I		viio6/V	vii		o	6		V		o	0	0	3, 0, 6		6	3
260	260	0	.Ger6			C	I		Ger6	vii	Ger	o	65	b3	V		M	0	0	-4, 0, -3, 6		6	-4
260	260	1/4	.It6			C	I		It6	vii	It	o	6	b3	V		M	0	0	-4, 0, 6		6	-4
260	260	1/2	.bVI			C	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
260	260	3/4	.Ger6			C	I		Ger6	vii	Ger	o	65	b3	V		M	0	0	-4, 0, -3, 6		6	-4
261	261	0	V\\			C	I		V	V						\\	M	0	0	1, 5, 2		1	1
262	262	0	#viio43/ii			C	I		#viio43/ii	#vii		o	43		ii		o7	0	0	1, -2, 7, 4		7	1
263	263	0	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
264	264	3/4	V65/ii			C	I		V65/ii	V			65		ii		Mm7	0	0	7, 4, 1, 3		3	7
265	265	0	ii			C	I		ii	ii							m	0	0	2, -1, 3		2	2
266	266	0	ii64			C	I		ii64	ii			64				m	0	0	3, 2, -1		2	3
266	266	1/2	ii			C	I		ii	ii							m	0	0	2, -1, 3		2	2
267	267	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
268	268	3/4	V65			C	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
269	269	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
270	270	0	vi6			C	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
270	270	1/2	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
271	271	0	viio6			C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
272	272	1/2	viio			C	I		viio	vii		o					o	0	0	5, 2, -1		5	5
273	273	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
273	273	1/2	#viio/ii			C	I		#viio/ii	#vii		o			ii		o	0	0	7, 4, 1		7	7
274	274	0	ii6			C	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
274	274	1/2	iii6			C	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
275	275	0	IV6			C	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
275	275	1/2	V6			C	I		V6	V			6				M	0	0	5, 2, 1		1	5
276	276	0	vi6			C	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
276	276	1/2	viio6			C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
277	277	0	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
277	277	1/2	V+6/IV			C	I		V+6/IV	V		+	6		IV		+	0	0	4, 8, 0		0	4
278	278	0	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
280	280	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
284	284	0	V7\\			C	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
286	286	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
286	286	1/2	#viio7/vi			C	I		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8	8
286	286	3/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
287	287	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
287	287	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
288	288	0	V43			C	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1	2
288	288	1/2	I6			C	I		I6	I			6				M	0	0	4, 1, 0		0	4
288	288	3/4	ii65			C	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2	-1
289	289	0	V(64)			C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
289	289	1/2	V			C	I		V	V							M	0	0	1, 5, 2		1	1
289	289	3/4	V7			C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
290	290	0	I			C	I		I	I							M	0	0	0, 4, 1		0	0
290	290	1/2	#viio7/vi			C	I		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8	8
290	290	3/4	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3
291	291	0	V7/vi			C	I		V7/vi	V			7		vi		Mm7	0	0	4, 8, 5, 2		4	4
291	291	1/2	IV			C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
