mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
18	18	70	2.0	1/2	1/2	4/4	2	1		viio2/V	E	V		viio2/V		vii	o	2		V				o7	0	0	-3, 6, 3, 0		6	-3
19	19	72	2.0	0	0	4/4	2	1		V	E	V		V		V								M	0	0	1, 5, 2		1	1
19	19	74	2.0	1/2	1/2	4/4	2	1		viio43/V	E	V		viio43/V		vii	o	43		V				o7	0	0	0, -3, 6, 3		6	0
20	20	76	2.0	0	0	4/4	2	1		V	E	V		V		V								M	0	0	1, 5, 2		1	1
20	20	78	2.0	1/2	1/2	4/4	2	1		viio43/V	E	V		viio43/V		vii	o	43		V				o7	0	0	0, -3, 6, 3		6	0
21	21	80	8.0	0	0	4/4	2	1		V]|HC}	E	V		V		V					]	HC	}	M	0	0	1, 5, 2		1	1
22	22	86	0.0	1/2	1/2	4/4	2	1		{	E	V											{		0	0				
23	23	88	8.0	0	0	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
25	25	96	4.0	0	0	4/4	2	1		V65/ii	E	V		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
26	26	100	1.0	0	0	4/4	2	1		ii(11)	E	V		ii(11)		ii			11					m	0	0	2, -1, 3	1	2	2
26	26	101	3.0	1/4	1/4	4/4	2	1		ii	E	V		ii		ii								m	0	0	2, -1, 3		2	2
27	27	104	2.0	0	0	4/4	2	1		viio	E	V		viio		vii	o							o	0	0	5, 2, -1		5	5
27	27	106	6.0	1/2	1/2	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
29	29	112	4.0	0	0	4/4	2	1		V65	E	V		V65		V		65						Mm7	0	0	5, 2, -1, 1		1	5
30	30	116	1.0	0	0	4/4	2	1		I(11)	E	V		I(11)		I			11					M	0	0	0, 4, 1	-1	0	0
30	30	117	1.0	1/4	1/4	4/4	2	1		I|IAC}	E	V		I		I						IAC	}	M	0	0	0, 4, 1		0	0
30	30	118	2.0	1/2	1/2	4/4	2	1		V{	E	V		V		V							{	M	0	0	1, 5, 2		1	1
31	31	120	2.0	0	0	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
31	31	122	1.0	1/2	1/2	4/4	2	1		#viio/ii	E	V		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
31	31	123	1.0	3/4	3/4	4/4	2	1		ii	E	V		ii		ii								m	0	0	2, -1, 3		2	2
32	32	124	4.0	0	0	4/4	2	1		#viio/ii	E	V		#viio/ii		#vii	o			ii				o	0	0	7, 4, 1		7	7
33	33	128	2.0	0	0	4/4	2	1		V/ii	E	V		V/ii		V				ii				M	0	0	3, 7, 4		3	3
33	33	130	2.0	1/2	1/2	4/4	2	1		V7(9)/ii	E	V		V7(9)/ii		V		7	9	ii				Mm7	0	0	3, 7, 4, 1	-2	3	3
34	34	132	1.0	0	0	4/4	2	1		ii(9#764)	E	V		ii(9#764)		ii			9#764					m	0	0	2, 1, 5	4, 7	2	2
34	34	133	3.0	1/4	1/4	4/4	2	1		ii	E	V		ii		ii								m	0	0	2, -1, 3		2	2
35	35	136	2.0	0	0	4/4	2	1		viio	E	V		viio		vii	o							o	0	0	5, 2, -1		5	5
35	35	138	2.0	1/2	1/2	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
36	36	140	1.0	0	0	4/4	2	1		viio	E	V		viio		vii	o							o	0	0	5, 2, -1		5	5
36	36	141	1.0	1/4	1/4	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
36	36	142	1.0	1/2	1/2	4/4	2	1		IV	E	V		IV		IV								M	0	0	-1, 3, 0		-1	-1
36	36	143	1.0	3/4	3/4	4/4	2	1		V65/V	E	V		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
37	37	144	2.0	0	0	4/4	2	1		V	E	V		V		V								M	0	0	1, 5, 2		1	1
37	37	146	2.0	1/2	1/2	4/4	2	1		V7(b9)	E	V		V7(b9)		V		7	b9					Mm7	0	0	1, 5, 2, -1	-4	1	1
38	38	148	1.0	0	0	4/4	2	1		I(97b64)	E	V		I(97b64)		I			97b64					M	0	0	0, -1, -4	2, 5	0	0
38	38	149	1.0	1/4	1/4	4/4	2	1		I|IAC}	E	V		I		I						IAC	}	M	0	0	0, 4, 1		0	0
38	38	150	2.0	1/2	1/2	4/4	2	1		I6{	E	V		I6		I		6					{	M	0	0	4, 1, 0		0	4
39	39	152	2.0	0	0	4/4	2	1		V2	E	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
39	39	154	2.0	1/2	1/2	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
40	40	156	2.0	0	0	4/4	2	1		V2	E	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
40	40	158	1.0	1/2	1/2	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
40	40	159	1.0	3/4	3/4	4/4	2	1		#viio65/ii	E	V		#viio65/ii		#vii	o	65		ii				o7	0	0	4, 1, -2, 7		7	4
41	41	160	2.0	0	0	4/4	2	1		ii6	E	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
41	41	162	2.0	1/2	1/2	4/4	2	1		V7	E	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
42	42	164	2.0	0	0	4/4	2	1		I(4)	E	V		I(4)		I			4					M	0	0	0, -1, 1		0	0
42	42	166	1.0	1/2	1/2	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
42	42	167	1.0	3/4	3/4	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
43	43	168	2.0	0	0	4/4	2	1		V2	E	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
43	43	170	2.0	1/2	1/2	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
44	44	172	2.0	0	0	4/4	2	1		V2	E	V		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
44	44	174	1.0	1/2	1/2	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
44	44	175	1.0	3/4	3/4	4/4	2	1		#viio65/ii	E	V		#viio65/ii		#vii	o	65		ii				o7	0	0	4, 1, -2, 7		7	4
45	45	176	2.0	0	0	4/4	2	1		ii6	E	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
45	45	178	2.0	1/2	1/2	4/4	2	1		V7	E	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
46	46	180	2.0	0	0	4/4	2	1		I|PAC}	E	V		I		I						PAC	}	M	0	0	0, 4, 1		0	0
46	46	181	0.0	1/4	1/4	4/4	2	1		{	E	V											{		0	0				
46	46	182	1.0	1/2	1/2	4/4	2	1		V7(b94)	E	V		V7(b94)		V		7	b94					Mm7	0	0	1, 0, 2, -1	-4	1	1
46	46	183	1.0	3/4	3/4	4/4	2	1		V7(b9)	E	V		V7(b9)		V		7	b9					Mm7	0	0	1, 5, 2, -1	-4	1	1
47	47	184	1.0	0	0	4/4	2	1		I(b64)	E	V		I(b64)		I			b64					M	0	0	0, -1, -4		0	0
47	47	185	1.0	1/4	1/4	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
47	47	186	1.0	1/2	1/2	4/4	2	1		V7(94)	E	V		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
47	47	187	1.0	3/4	3/4	4/4	2	1		V7(9)	E	V		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
48	48	188	1.0	0	0	4/4	2	1		I(64)	E	V		I(64)		I			64					M	0	0	0, -1, 3		0	0
48	48	189	1.0	1/4	1/4	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
48	48	190	1.0	1/2	1/2	4/4	2	1		V7(b94)	E	V		V7(b94)		V		7	b94					Mm7	0	0	1, 0, 2, -1	-4	1	1
48	48	191	1.0	3/4	3/4	4/4	2	1		V7(b9)	E	V		V7(b9)		V		7	b9					Mm7	0	0	1, 5, 2, -1	-4	1	1
49	49	192	1.0	0	0	4/4	2	1		I(b64)	E	V		I(b64)		I			b64					M	0	0	0, -1, -4		0	0
49	49	193	1.0	1/4	1/4	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
49	49	194	1.0	1/2	1/2	4/4	2	1		V7(94)	E	V		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
49	49	195	1.0	3/4	3/4	4/4	2	1		V7(9)	E	V		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
50	50	196	1.0	0	0	4/4	2	1		I(64)	E	V		I(64)		I			64					M	0	0	0, -1, 3		0	0
50	50	197	1.0	1/4	1/4	4/4	2	1		I|IAC}{	E	V		I		I						IAC	}{	M	0	0	0, 4, 1		0	0
50	50	198	1.0	1/2	1/2	4/4	2	1		V43	E	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
50	50	199	1.0	3/4	3/4	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
51	51	200	1.5	0	0	4/4	2	1		ii6(9)	E	V		ii6(9)		ii		6	9					m	0	0	-1, 3, 2	4	2	-1
51	51	403/2	0.5	3/8	3/8	4/4	2	1		ii6	E	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
51	51	202	1.0	1/2	1/2	4/4	2	1		V(64)	E	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
51	51	203	2.0	3/4	3/4	4/4	2	1		V	E	V		V		V								M	0	0	1, 5, 2		1	1
52	52	205	1.0	1/4	1/4	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
52	52	206	1.0	1/2	1/2	4/4	2	1		V64	E	V		V64		V		64						M	0	0	2, 1, 5		1	2
52	52	207	1.0	3/4	3/4	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
53	53	208	1.5	0	0	4/4	2	1		ii6(112)	E	V		ii6(112)		ii		6	112					m	0	0	-1, 3, 4	1	2	-1
53	53	419/2	0.5	3/8	3/8	4/4	2	1		ii6	E	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
53	53	210	1.0	1/2	1/2	4/4	2	1		V(64)	E	V		V(64)		V			64					M	0	0	1, 0, 4		1	1
53	53	211	2.0	3/4	3/4	4/4	2	1		V	E	V		V		V								M	0	0	1, 5, 2		1	1
54	54	213	1.0	1/4	1/4	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
54	54	214	1.0	1/2	1/2	4/4	2	1		V43	E	V		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
54	54	215	1.0	3/4	3/4	4/4	2	1		I	E	V		I		I								M	0	0	0, 4, 1		0	0
55	55	216	4.0	0	0	4/4	2	1		ii6	E	V		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
56	56	220	4.0	0	0	4/4	2	1		V7	E	V		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
57	57	224	2.0	0	0	4/4	2	1		I|PAC}{	E	V		I		I						PAC	}{	M	0	0	0, 4, 1		0	0
57	57	226	2.0	1/2	1/2	4/4	2	1		IV	E	V		IV		IV								M	0	0	-1, 3, 0		-1	-1
58	58	228	2.0	0	0	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
58	58	230	2.0	1/2	1/2	4/4	2	1		IV6	E	V		IV6		IV		6						M	0	0	3, 0, -1		-1	3
59	59	232	2.0	0	0	4/4	2	1		I64	E	V		I64		I		64						M	0	0	1, 0, 4		0	1
59	59	234	2.0	1/2	1/2	4/4	2	1		viio64(+2)	E	V		viio64(+2)		vii	o	64	+2					o	0	0	-1, 5, 2	0	5	-1
60	60	236	2.0	0	0	4/4	2	1		I6	E	V		I6		I		6						M	0	0	4, 1, 0		0	4
60	60	238	2.0	1/2	1/2	4/4	2	1		I.V7	E	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
61	60			0	0	4/4	2	1	1	I[I|IAC}{	E	I	I	I		I						IAC	}{	M	0	0	0, 4, 1		0	0
62	60	240	4.0	0	0	4/4	2	1	2	I[I|IAC}{	E	I	I	I		I						IAC	}{	M	0	0	0, 4, 1		0	0
63	61	244	2.0	0	0	4/4	2	1		iv.i	E	iv		i		i								m	0	1	0, -3, 1		0	0
63	61	246	2.0	1/2	1/2	4/4	2	1		VI6]	E	iv		VI6		VI		6			]			M	0	1	0, -3, -4		-4	0
64	62	248	4.0	0	0	4/4	2	1		ii%65	E	iv		ii%65		ii	%	65						%7	0	1	-1, -4, 0, 2		2	-1
65	63	252	4.0	0	0	4/4	2	1		#viio43	E	iv		#viio43		#vii	o	43						o7	0	1	-1, -4, 5, 2		5	-1
66	64	256	8.0	0	0	4/4	2	1		i6|IAC}{	E	iv		i6		i		6				IAC	}{	m	0	1	-3, 1, 0		0	-3
68	66	264	8.0	0	0	4/4	2	1		iv7	E	iv		iv7		iv		7						mm7	0	1	-1, -4, 0, -3		-1	-1
70	68	272	8.0	0	0	4/4	2	1		i64	E	iv		i64		i		64						m	0	1	1, 0, -3		0	1
72	70	280	4.0	0	0	4/4	2	1		iv65	E	iv		iv65		iv		65						mm7	0	1	-4, 0, -3, -1		-1	-4
73	71	284	4.0	0	0	4/4	2	1		bVI.V65/V	E	bVI		V65/V		V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
74	72	288	4.0	0	0	4/4	2	1		V(64)	E	bVI		V(64)		V			64					M	0	0	1, 0, 4		1	1
75	73	292	4.0	0	0	4/4	2	1		V7	E	bVI		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
76	74	296	8.0	0	0	4/4	2	1		I|PAC}{	E	bVI		I		I						PAC	}{	M	0	0	0, 4, 1		0	0
78	76	304	8.0	0	0	4/4	2	1		I.V(b64)	E	I		V(b64)		V			b64					M	0	0	1, 0, -3		1	1
80	78	312	8.0	0	0	4/4	2	1		viio7/V	E	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
82	80	320	2.0	0	0	4/4	2	1		V[V|HC}{	E	I	V	V		V						HC	}{	M	0	0	1, 5, 2		1	1
82	80	322	2.0	1/2	1/2	4/4	2	1		i	E	I		i		i								m	0	0	0, -3, 1		0	0
83	81	324	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
83	81	326	2.0	1/2	1/2	4/4	2	1		i6	E	I		i6		i		6						m	0	0	-3, 1, 0		0	-3
84	82	328	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
84	82	330	2.0	1/2	1/2	4/4	2	1		i	E	I		i		i								m	0	0	0, -3, 1		0	0
85	83	332	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
85	83	334	2.0	1/2	1/2	4/4	2	1		viio6/V	E	I		viio6/V		vii	o	6		V				o	0	0	3, 0, 6		6	3
86	84	336	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
86	84	338	2.0	1/2	1/2	4/4	2	1		i	E	I		i		i								m	0	0	0, -3, 1		0	0
87	85	340	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
87	85	342	2.0	1/2	1/2	4/4	2	1		i6	E	I		i6		i		6						m	0	0	-3, 1, 0		0	-3
88	86	344	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
88	86	346	2.0	1/2	1/2	4/4	2	1		i	E	I		i		i								m	0	0	0, -3, 1		0	0
89	87	348	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
89	87	350	2.0	1/2	1/2	4/4	2	1		viio6/V	E	I		viio6/V		vii	o	6		V				o	0	0	3, 0, 6		6	3
90	88	352	2.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
90	88	354	2.0	1/2	1/2	4/4	2	1		IV6	E	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
91	89	356	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
91	89	358	2.0	1/2	1/2	4/4	2	1		V7]	E	I		V7		V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
92	90	360	4.0	0	0	4/4	2	1		I[I|IAC}{	E	I	I	I		I						IAC	}{	M	0	0	0, 4, 1		0	0
93	91	364	2.0	0	0	4/4	2	1		IV	E	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
93	91	366	2.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
94	92	368	2.0	0	0	4/4	2	1		V2	E	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
94	92	370	2.0	1/2	1/2	4/4	2	1		V43	E	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
95	93	372	4.5	0	0	4/4	2	1		I]|IAC}	E	I		I		I					]	IAC	}	M	0	0	0, 4, 1		0	0
96	94	376	0.0	0	0	4/4	2	1		{	E	I											{		0	0				
96	94	753/2	0.5	1/8	1/8	4/4	2	1		viio6	E	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
96	94	377	0.5	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
96	94	755/2	0.5	3/8	3/8	4/4	2	1		IV	E	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
96	94	378	0.5	1/2	1/2	4/4	2	1		I	E	I		I		I								M	0	0	0, 4, 1		0	0
96	94	757/2	0.5	5/8	5/8	4/4	2	1		viio6	E	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
96	94	379	0.5	3/4	3/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
96	94	759/2	0.5	7/8	7/8	4/4	2	1		IV	E	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
97	95	380	0.5	0	0	4/4	2	1		I	E	I		I		I								M	0	0	0, 4, 1		0	0
97	95	761/2	0.5	1/8	1/8	4/4	2	1		viio6	E	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
97	95	381	0.5	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
97	95	763/2	0.5	3/8	3/8	4/4	2	1		IV	E	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
97	95	382	0.5	1/2	1/2	4/4	2	1		I	E	I		I		I								M	0	0	0, 4, 1		0	0
97	95	765/2	0.5	5/8	5/8	4/4	2	1		viio6	E	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
97	95	383	0.5	3/4	3/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
97	95	767/2	0.5	7/8	7/8	4/4	2	1		viio/V	E	I		viio/V		vii	o			V				o	0	0	6, 3, 0		6	6
98	96	384	1.0	0	0	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
98	96	385	1.0	1/4	1/4	4/4	2	1		V(64)	E	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
98	96	386	2.0	1/2	1/2	4/4	2	1		V7	E	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
99	97	388	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
99	97	390	2.0	1/2	1/2	4/4	2	1		V7	E	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
100	98	392	1.0	0	0	4/4	2	1		I	E	I		I		I								M	0	0	0, 4, 1		0	0
100	98	393	1.0	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
100	98	394	1.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
100	98	395	1.0	3/4	3/4	4/4	2	1		V6/V	E	I		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
101	99	396	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
101	99	398	1.0	1/2	1/2	4/4	2	1		V(4)	E	I		V(4)		V			4					M	0	0	1, 0, 2		1	1
101	99	399	1.0	3/4	3/4	4/4	2	1		V7	E	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
102	100	400	1.0	0	0	4/4	2	1		I	E	I		I		I								M	0	0	0, 4, 1		0	0
102	100	401	1.0	1/4	1/4	4/4	2	1		I6	E	I		I6		I		6						M	0	0	4, 1, 0		0	4
102	100	402	1.0	1/2	1/2	4/4	2	1		ii6	E	I		ii6		ii		6						m	0	0	-1, 3, 2		2	-1
102	100	403	1.0	3/4	3/4	4/4	2	1		V6/V	E	I		V6/V		V		6		V				M	0	0	6, 3, 2		2	6
103	101	404	2.0	0	0	4/4	2	1		V(64)	E	I		V(64)		V			64					M	0	0	1, 0, 4		1	1
103	101	406	1.0	1/2	1/2	4/4	2	1		V(4)	E	I		V(4)		V			4					M	0	0	1, 0, 2		1	1
103	101	407	1.0	3/4	3/4	4/4	2	1		V	E	I		V		V								M	0	0	1, 5, 2		1	1
