mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
355	355	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
355	355	1/4	viio6		C	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
356	356	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
357	357	0	IV64		C	I	I	IV64	IV			64				M	0	0	0, -1, 3		-1	0
357	357	1/4	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
358	358	0	ii2		C	I	I	ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
358	358	1/4	#viio2/iii		C	I	I	#viio2/iii	#vii		o	2		iii		o7	0	0	0, 9, 6, 3		9	0
359	359	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
359	359	1/4	viio6		C	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
360	360	0	I]\\		C	I	I	I	I						\\	M	0	0	0, 4, 1		0	0
361	361	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
361	361	1/4	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
362	362	0	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
362	362	1/4	ii65		C	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2	-1
363	363	0	V(4)		C	I		V(4)	V				4			M	0	0	1, 0, 2		1	1
363	363	1/4	V		C	I		V	V							M	0	0	1, 5, 2		1	1
364	364	0	I		C	I		I	I							M	0	0	0, 4, 1		0	0
365	365	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
365	365	1/4	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
366	366	0	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
367	367	0	V7/V		C	I		V7/V	V			7		V		Mm7	0	0	2, 6, 3, 0		2	2
368	368	0	V[V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
368	368	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
369	369	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
369	369	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
370	370	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
370	370	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
371	371	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
371	371	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
372	372	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
372	372	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
373	373	0	V		C	I	V	V	V							M	0	0	1, 5, 2		1	1
373	373	1/4	V2/V		C	I	V	V2/V	V			2		V		Mm7	0	0	0, 2, 6, 3		2	0
