mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
64	60	1/2	1/2	3/4	2	1		#viio	V6	A	i		#viio	#vii	o						o	0	1	5, 2, -1		5	5
65	61	0	0	3/4	2	1		i		A	i		i	i							m	0	1	0, -3, 1		0	0
65	61	1/4	1/4	3/4	2	1		V64		A	i		V64	V		64					M	0	1	2, 1, 5		1	2
65	61	1/2	1/2	3/4	2	1		i6		A	i		i6	i		6					m	0	1	-3, 1, 0		0	-3
66	62	0	0	3/4	2	2		V7(9)		A	i		V7(9)	V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
66	62	1/4	1/4	3/4	2	2		V(6)		A	i		V(6)	V			6				M	0	1	1, 5, -3		1	1
66	62	1/2	1/2	3/4	2	2		V7		A	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
67	63	0	0	3/4	2	2		V(64)		A	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
67	63	1/4	1/4	3/4	2	2		V		A	i		V	V							M	0	1	1, 5, 2		1	1
67	63	1/2	1/2	3/4	2	2		V(64)		A	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
68	64	0	0	3/4	2	2		V7(9)		A	i		V7(9)	V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
68	64	1/4	1/4	3/4	2	2		V(6)		A	i		V(6)	V			6				M	0	1	1, 5, -3		1	1
68	64	1/2	1/2	3/4	2	2		V7		A	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
69	65	0	0	3/4	2	2		V(64)		A	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
69	65	1/4	1/4	3/4	2	2		V		A	i		V	V							M	0	1	1, 5, 2		1	1
69	65	1/2	1/2	3/4	2	2		V(64)		A	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
70	66	0	0	3/4	2	2		V7(9)		A	i		V7(9)	V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
70	66	1/4	1/4	3/4	2	2		V(64)		A	i		V(64)	V			64				M	0	1	1, 0, -3		1	1
70	66	1/2	1/2	3/4	2	2		V7		A	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
71	67	0	0	3/4	2	2		i		A	i		i	i							m	0	1	0, -3, 1		0	0
71	67	1/4	1/4	3/4	2	2		iio6		A	i		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
71	67	1/2	1/2	3/4	2	2		V7		A	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
72	68	0	0	3/4	2	2		i|PAC}		A	i		i	i					PAC	}	m	0	1	0, -3, 1		0	0
