mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
164	164	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
164	164	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
165	165	0	0	3/4	1	1	I	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
168	168	0	0	3/4	1	1	viio	e	VI	I	viio		vii	o					o	1	0	5, 2, -1		5	5
168	168	1/2	1/2	3/4	1	1	viio6	e	VI	I	viio6		vii	o	6				o	1	0	2, -1, 5		5	2
169	169	0	0	3/4	1	1	I]	e	VI	I	I		I						M	1	0	0, 4, 1		0	0
172	172	0	0	3/4	1	1	i.iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
173	173	0	0	3/4	1	1	V(64)	e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
174	174	0	0	3/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
175	175	0	0	3/4	1	1	i}	e	i		i		i					}	m	1	1	0, -3, 1		0	0
