mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
13	13	3/4	3/4	4/4	2	1	I6								C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	11	0.0	0.0	1.0	0.0
14	14	1/4	1/4	4/4	2	1	I64		0	-4.32669		/			C	I		I64		I		64					M	0	0	1, 0, 4		0	1	0	11	0.0	0.0	1.0	0.0
14	14	3/4	3/4	4/4	2	1	I		0	-4.33		/			C	I		I		I							M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	0.75	0.0
15	15	1/8	1/8	4/4	2	1	viio		0	-4.33		/		V6	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5	0	6	0.0	0.0	0.5	0.0
15	15	3/8	3/8	4/4	2	1	vi		0	-4.33		/		IV6	C	I		vi		vi							m	0	0	3, 0, 4		3	3	0	6	0.0	0.0	0.5	0.0
15	15	5/8	5/8	4/4	2	1	V		0	-4.33		/		iii6	C	I		V		V							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.5	0.0
15	15	7/8	7/8	4/4	2	1	IV		0	-4.33		/		ii6	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.5	0.0
16	16	1/8	1/8	4/4	2	1	iii							I6	C	I		iii		iii							m	0	0	4, 1, 5		4	4	0	6	0.0	0.0	0.5	0.0
16	16	3/8	3/8	4/4	2	1	ii							viio6	C	I		ii		ii							m	0	0	2, -1, 3		2	2	0	6	0.0	0.0	0.5	0.0
16	16	5/8	5/8	4/4	2	1	I							vi6	C	I		I		I							M	0	0	0, 4, 1		0	0	0	6	0.0	0.0	0.5	0.0
16	16	7/8	7/8	4/4	2	1	viio							V6	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5	0	3	0.0	0.0	0.25	0.0
17	17	0	0	4/4	2	1	I|IAC}{								C	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0	0	19	0.0	0.0	2.25	0.0
17	17	3/4	3/4	4/4	2	1	I6								C	I		I6		I		6					M	0	0	4, 1, 0		0	4	0	11	0.0	0.0	1.0	0.0
18	18	1/4	1/4	4/4	2	1	I64		0	-3.68093		/			C	I		I64		I		64					M	0	0	1, 0, 4		0	1	0	11	0.0	0.0	1.0	0.0
18	18	3/4	3/4	4/4	2	1	I		0	-4.30613		/			C	I		I		I							M	0	0	0, 4, 1		0	0	0	9	0.0	0.0	0.75	0.0
19	19	1/8	1/8	4/4	2	1	viio		0	-4.9629		/		V6	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5	0	3	0.0	0.0	0.25	0.0
19	19	1/4	1/4	4/4	2	1	#viio/vi		0	-4.96		/			C	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8	0	3	0.0	0.0	0.25	0.0
19	19	3/8	3/8	4/4	2	1	vi		0	-4.96		/			C	I		vi		vi							m	0	0	3, 0, 4		3	3	0	3	0.0	0.0	0.25	0.0
19	19	1/2	1/2	4/4	2	1	iii		0	-4.96		/			C	I		iii		iii							m	0	0	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
19	19	5/8	5/8	4/4	2	1	IV		0	-4.96		/			C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.25	0.0
19	19	3/4	3/4	4/4	2	1	vii%7		0	-4.96		/			C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	3	0.0	0.0	0.25	0.0
19	19	7/8	7/8	4/4	2	1	#viio/ii		0	-4.96		/			C	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7	0	3	0.0	0.0	0.25	0.0
20	20	0	0	4/4	2	1	ii(4)		0	-4.96		/			C	I		ii(4)		ii			4				m	0	0	2, 1, 3		2	2	0	3	0.0	0.0	0.25	0.0
20	20	1/8	1/8	4/4	2	1	ii		0	-4.96		/			C	I		ii		ii							m	0	0	2, -1, 3		2	2	3	5	0.375	0.25	0.5	0.3333333333333333
20	20	1/2	1/2	4/4	2	1	ii6(2)		0	-4.96		/			C	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1	0	3	0.0	0.0	0.375	0.0
20	20	5/8	5/8	4/4	2	1	ii6		0	-4.96		/			C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.125	0.0
20	20	3/4	3/4	4/4	2	1	V6/V		0	-4.96		/			C	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
20	20	7/8	7/8	4/4	2	1	viio/V		0	-4.96		/		V65/V	C	I		viio/V		vii	o			V			o	0	0	6, 3, 0		6	6	0	2	0.0	0.0	0.125	0.0
21	21	0	0	4/4	2	1	V|HC}{								C	I		V		V					HC	}{	M	0	0	1, 5, 2		1	1	3	7	0.3	0.1875	0.8125	0.1875
21	21	1/2	1/2	4/4	2	1	V43								C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	10	0.09090909090909091	0.03125	0.71875	0.041666666666666664
22	22	0	0	4/4	2	1	I		0	-3.69987		/			C	I		I		I							M	0	0	0, 4, 1		0	0	2	11	0.15384615384615385	0.0625	0.9375	0.0625
22	22	1/2	1/2	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	6	0.14285714285714285	0.0625	0.5625	0.1
22	22	3/4	3/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	1	7	0.125	0.0625	0.6875	0.08333333333333333
23	23	0	0	4/4	2	1	V|HC}								C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1	3	7	0.3	0.1875	0.8125	0.1875
23	23	1/2	1/2	4/4	2	1	V43								C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	11	0.08333333333333333	0.03125	0.90625	0.03333333333333333
24	24	0	0	4/4	2	1	I		0	-4.58399		/			C	I		I		I							M	0	0	0, 4, 1		0	0	4	12	0.25	0.125	1.25	0.09090909090909091
24	24	1/2	1/2	4/4	2	1	V65								C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	1	6	0.14285714285714285	0.0625	0.5625	0.1
24	24	3/4	3/4	4/4	2	1	I								C	I		I		I							M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.5625	0.1
25	25	0	0	4/4	2	1	V|HC								C	I		V		V					HC		M	0	0	1, 5, 2		1	1	12	15	0.4444444444444444	0.75	1.5	0.3333333333333333
27	27	0	0	4/4	2	1	v.i{		0	-3.57357		/			C	v		i		i						{	m	0	1	1, -2, 2		1	1	3	12	0.2	0.375	1.625	0.1875
28	28	0	0	4/4	2	1	V2(4)/V								C	v		V2(4)/V		V		2	4	V			Mm7	0	1	1, 3, 2, 4		3	1	0	3	0.0	0.0	0.25	0.0
28	28	1/8	1/8	4/4	2	1	V2/V								C	v		V2/V		V		2		V			Mm7	0	1	1, 3, 7, 4		3	1	0	11	0.0	0.0	1.75	0.0
29	29	0	0	4/4	2	1	V65		0	-3.31953		/			C	v		V65		V		65					Mm7	0	1	6, 3, 0, 2		2	6	0	16	0.0	0.0	2.0	0.0
30	30	0	0	4/4	2	1	V2/iv		0.0431332	-4.61564		/			C	v		V2/iv		V		2		iv			Mm7	0	1	-1, 1, 5, 2		1	-1	3	13	0.1875	0.375	1.625	0.1875
31	31	0	0	4/4	2	1	iv6(2)								C	v		iv6(2)		iv		6	2				m	0	1	-3, 1, 2		0	-3	0	3	0.0	0.0	0.5	0.0
31	31	1/4	1/4	4/4	2	1	iv6								C	v		iv6		iv		6					m	0	1	-3, 1, 0		0	-3	0	3	0.0	0.0	0.75	0.0
31	31	1/2	1/2	4/4	2	1	i64(4)								C	v		i64(4)		i		64	4				m	0	1	2, 1, 0		1	2	0	2	0.0	0.0	0.25	0.0
31	31	3/4	3/4	4/4	2	1	i64								C	v		i64		i		64					m	0	1	2, 1, -2		1	2	0	3	0.0	0.0	0.5	0.0
32	32	0	0	4/4	2	1	v/v.V6(2)								C	v/v		V6(2)		V		6	2				M	0	1	7, 4, -2		3	7	0	3	0.0	0.0	0.5	0.0
32	32	1/4	1/4	4/4	2	1	V6								C	v/v		V6		V		6					M	0	1	7, 4, 3		3	7	0	5	0.0	0.0	1.0	0.0
32	32	3/4	3/4	4/4	2	1	V65		0	-3.26413		/			C	v/v		V65		V		65					Mm7	0	1	7, 4, 1, 3		3	7	0	3	0.0	0.0	0.5	0.0
33	33	0	0	4/4	2	1	i|IAC}{		0.453195	-3.6572		/			C	v/v		i		i					IAC	}{	m	0	1	2, -1, 3		2	2	3	13	0.1875	0.375	1.625	0.1875
34	34	0	0	4/4	2	1	V2/V		0	-4.33713		/			C	v/v		V2/V		V		2		V			Mm7	0	1	2, 4, 8, 5		4	2	1	13	0.07142857142857142	0.125	1.875	0.0625
35	35	0	0	4/4	2	1	V65		0	-4.05008		/			C	v/v		V65		V		65					Mm7	0	1	7, 4, 1, 3		3	7	0	16	0.0	0.0	2.0	0.0
36	36	0	0	4/4	2	1	V2/iv		-1.54054	-6.25916		/			C	v/v		V2/iv		V		2		iv			Mm7	0	1	0, 2, 6, 3		2	0	3	13	0.1875	0.375	1.625	0.1875
37	37	0	0	4/4	2	1	iv6(2)		0	-3.78106		/			C	v/v		iv6(2)		iv		6	2				m	0	1	-2, 2, 3		1	-2	0	3	0.0	0.0	0.5	0.0
37	37	1/4	1/4	4/4	2	1	iv6		0	-3.78		/			C	v/v		iv6		iv		6					m	0	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.75	0.0
37	37	1/2	1/2	4/4	2	1	i64(4)		0	-3.78		/			C	v/v		i64(4)		i		64	4				m	0	1	3, 2, 1		2	3	0	2	0.0	0.0	0.25	0.0
37	37	3/4	3/4	4/4	2	1	i64								C	v/v		i64		i		64					m	0	1	3, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
38	38	0	0	4/4	2	1	v/v/v.V6(2)		0	-3.78		/			C	v/v/v		V6(2)		V		6	2				M	0	1	8, 5, -1		4	8	0	3	0.0	0.0	0.5	0.0
38	38	1/4	1/4	4/4	2	1	V		0	-3.78		/			C	v/v/v		V		V							M	0	1	4, 8, 5		4	4	0	5	0.0	0.0	1.0	0.0
38	38	3/4	3/4	4/4	2	1	V7		0	-4.58659		/			C	v/v/v		V7		V		7					Mm7	0	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
39	39	0	0	4/4	2	1	i|IAC}{		0	-4.82382		/			C	v/v/v		i		i					IAC	}{	m	0	1	3, 0, 4		3	3	4	16	0.2	0.25	1.875	0.11764705882352941
39	39	3/4	3/4	4/4	2	1	V2		0	-3.78		/			C	v/v/v		V2		V		2					Mm7	0	1	2, 4, 8, 5		4	2	1	7	0.125	0.0625	0.6875	0.08333333333333333
40	40	0	0	4/4	2	1	i								C	v/v/v		i		i							m	0	1	3, 0, 4		3	3	0	8	0.0	0.0	1.125	0.0
40	40	1/2	1/2	4/4	2	1	v.V7								C	v		V7		V		7					Mm7	0	1	2, 6, 3, 0		2	2	0	12	0.0	0.0	2.125	0.0
41	41	0	0	4/4	2	1	i								C	v		i		i							m	0	1	1, -2, 2		1	1	4	19	0.17391304347826086	0.25	2.625	0.08695652173913043
41	41	3/4	3/4	4/4	2	1	V2								C	v		V2		V		2					Mm7	0	1	0, 2, 6, 3		2	0	1	7	0.125	0.0625	0.6875	0.08333333333333333
42	42	0	0	4/4	2	1	i								C	v		i		i							m	0	1	1, -2, 2		1	1	0	8	0.0	0.0	1.125	0.0
42	42	1/2	1/2	4/4	2	1	It6		0	-4.72999		/			C	v		It6	It	vii	o	6	b3	V			It	0	1	-3, 1, 7		7	-3	0	7	0.0	0.0	1.25	0.0
43	43	0	0	4/4	2	1	V.V[V|HC}		-0.378947	-6.03684		/			C	V	V	V		V					HC	}	M	0	0	2, 6, 3		2	2	4	20	0.16666666666666666	0.25	2.75	0.08333333333333333
43	43	3/4	3/4	4/4	2	1	V2/V								C	V	V	V2/V		V		2		V			Mm7	0	0	1, 3, 7, 4		3	1	2	6	0.25	0.1875	0.5625	0.25
44	44	0	0	4/4	2	1	V|HC								C	V	V	V		V					HC		M	0	0	2, 6, 3		2	2	4	17	0.19047619047619047	0.25	2.0	0.1111111111111111
44	44	3/4	3/4	4/4	2	1	V2/V								C	V	V	V2/V		V		2		V			Mm7	0	0	1, 3, 7, 4		3	1	2	5	0.2857142857142857	0.1875	0.4375	0.3
45	45	0	0	4/4	2	1	V]|HC}		0	-2.97447		/			C	V	V	V		V					HC	}	M	0	0	2, 6, 3		2	2	8	11	0.42105263157894735	1.0	1.75	0.36363636363636365
47	47	0	0	4/4	2	1	I{								C	V		I		I						{	M	0	0	1, 5, 2		1	1	1	9	0.1	0.125	2.875	0.041666666666666664
48	48	0	0	4/4	2	1	I6								C	V		I6		I		6					M	0	0	5, 2, 1		1	5	1	10	0.09090909090909091	0.125	2.75	0.043478260869565216
49	49	0	0	4/4	2	1	V2								C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	1	11	0.08333333333333333	0.125	2.875	0.041666666666666664
50	50	0	0	4/4	2	1	V43								C	V		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	1	10	0.09090909090909091	0.125	2.75	0.043478260869565216
51	51	0	0	4/4	2	1	I6		0	-4.33		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	1	9	0.1	0.125	2.875	0.041666666666666664
52	52	0	0	4/4	2	1	ii65/V		0	-4.33139		/			C	V		ii65/V		ii		65		V			mm7	0	0	1, 5, 2, 4		4	1	2	10	0.16666666666666666	0.25	4.75	0.05
53	53	0	0	4/4	2	1	V7/V		0	-4.33		/			C	V		V7/V		V		7		V			Mm7	0	0	3, 7, 4, 1		3	3	3	9	0.25	0.375	4.625	0.075
54	54	0	0	4/4	2	1	V|HC}		0	-4.33527		/			C	V		V		V					HC	}	M	0	0	2, 6, 3		2	2	4	6	0.4	0.5	1.0	0.3333333333333333
55	55	0	0	4/4	2	1	I{								C	V		I		I						{	M	0	0	1, 5, 2		1	1	1	8	0.1111111111111111	0.125	1.125	0.1
56	56	0	0	4/4	2	1	I6		0	-3.12739		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	1	10	0.09090909090909091	0.125	2.75	0.043478260869565216
57	57	0	0	4/4	2	1	V43		0	-4.79641		/			C	V		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	1	11	0.08333333333333333	0.125	2.875	0.041666666666666664
58	58	0	0	4/4	2	1	V2		0	-3.23068		/			C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	1	10	0.09090909090909091	0.125	2.75	0.043478260869565216
59	59	0	0	4/4	2	1	I6		0	-3.43944		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	1	10	0.09090909090909091	0.125	3.875	0.03125
60	60	0	0	4/4	2	1	V7/IV		0.252631	-5.88544		/			C	V		V7/IV		V		7		IV			Mm7	0	0	1, 5, 2, -1		1	1	0	12	0.0	0.0	5.0	0.0
61	61	0	0	4/4	2	1	IV}{								C	V		IV		IV						}{	M	0	0	0, 4, 1		0	0	0	22	0.0	0.0	2.75	0.0
61	61	3/4	3/4	4/4	2	1	IV6		0	-3.43944		/			C	V		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	14	0.0	0.0	1.5	0.0
62	62	1/4	1/4	4/4	2	1	IV64		0	-4.32669		/			C	V		IV64		IV		64					M	0	0	1, 0, 4		0	1	0	18	0.0	0.0	1.75	0.0
63	63	0	0	4/4	2	1	V2								C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	22	0.0	0.0	2.75	0.0
63	63	3/4	3/4	4/4	2	1	V65		0	-3.47253		/			C	V		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	14	0.0	0.0	1.5	0.0
64	64	1/4	1/4	4/4	2	1	V2								C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	18	0.0	0.0	1.75	0.0
65	65	0	0	4/4	2	1	I6		0	-3.9588		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	7	0.0	0.0	1.0	0.0
65	65	1/4	1/4	4/4	2	1	I		0	-3.3336		/			C	V		I		I							M	0	0	1, 5, 2		1	1	0	14	0.0	0.0	1.5	0.0
65	65	3/4	3/4	4/4	2	1	I6		0	-3.7504		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	14	0.0	0.0	1.5	0.0
66	66	1/4	1/4	4/4	2	1	I64		0	-3.81986		/			C	V		I64		I		64					M	0	0	2, 1, 5		1	2	0	14	0.0	0.0	1.5	0.0
66	66	3/4	3/4	4/4	2	1	I		0	-3.7504		/			C	V		I		I							M	0	0	1, 5, 2		1	1	24	36	0.4	2.0	3.25	0.38095238095238093
69	69	0	0	4/4	2	1	I6		0	-5.55652		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	1.0	0.0
69	69	1/4	1/4	4/4	2	1	viio6		0	-5.56		/			C	V		viio6		vii	o	6					o	0	0	3, 0, 6		6	3	0	4	0.0	0.0	1.0	0.0
69	69	1/2	1/2	4/4	2	1	I		0	-5.56		/			C	V		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
69	69	3/4	3/4	4/4	2	1	V6		0	-5.56		/			C	V		V6		V		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.75	0.0
70	70	0	0	4/4	2	1	vi		0	-5.56		/			C	V		vi		vi							m	0	0	4, 1, 5		4	4	2	4	0.3333333333333333	0.25	1.0	0.2
70	70	1/4	1/4	4/4	2	1	iii6		0	-5.56		/			C	V		iii6		iii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	1.0	0.0
70	70	1/2	1/2	4/4	2	1	IV		0	-5.56		/			C	V		IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
70	70	3/4	3/4	4/4	2	1	I6		0	-5.56		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.75	0.0
71	71	0	0	4/4	2	1	ii		0	-5.56		/			C	V		ii		ii							m	0	0	3, 0, 4		3	3	2	4	0.3333333333333333	0.25	1.0	0.2
71	71	1/4	1/4	4/4	2	1	vi6		0	-5.56		/			C	V		vi6		vi		6					m	0	0	1, 5, 4		4	1	0	4	0.0	0.0	1.0	0.0
71	71	1/2	1/2	4/4	2	1	viio		0	-5.56		/			C	V		viio		vii	o						o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	1.0	0.0
71	71	3/4	3/4	4/4	2	1	viio6/V		0	-5.56		/			C	V		viio6/V		vii	o	6		V			o	0	0	4, 1, 7		7	4	0	4	0.0	0.0	0.75	0.0
72	72	0	0	4/4	2	1	V		0	-2.38474	-4.74291	/			C	V		V		V							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.25	1.0	0.2
72	72	1/4	1/4	4/4	2	1	V2								C	V		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	5	0.0	0.0	1.25	0.0
72	72	1/2	1/2	4/4	2	1	vi43							I6(+6)	C	V		vi43		vi		43					mm7	0	0	5, 2, 4, 1		4	5	0	5	0.0	0.0	1.25	0.0
72	72	3/4	3/4	4/4	2	1	V64								C	V		V64		V		64					M	0	0	3, 2, 6		2	3	0	5	0.0	0.0	1.0	0.0
73	73	0	0	4/4	2	1	I|IAC}{								C	V		I		I					IAC	}{	M	0	0	1, 5, 2		1	1	0	12	0.0	0.0	1.75	0.0
74	74	0	0	4/4	2	1	I64(#5)							V6(6)/vi	C	V		I64(#5)		I		64	#5				M	0	0	9, 1, 5		1	9	0	10	0.0	0.0	1.25	0.0
75	75	0	0	4/4	2	1	vi								C	V		vi		vi							m	0	0	4, 1, 5		4	4	0	10	0.0	0.0	1.25	0.0
76	76	0	0	4/4	2	1	IV								C	V		IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
76	76	1/2	1/2	4/4	2	1	V								C	V		V		V							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
77	77	0	0	4/4	2	1	I|PAC}								C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
77	77	1/2	1/2	4/4	2	1	IV{								C	V		IV		IV						{	M	0	0	0, 4, 1		0	0	4	8	0.3333333333333333	0.125	1.375	0.08333333333333333
78	78	1/4	1/4	4/4	2	1	ii								C	V		ii		ii							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
78	78	1/2	1/2	4/4	2	1	V7								C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	2.0	0.0
79	79	0	0	4/4	2	1	I|PAC}								C	V		I		I					PAC	}	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
79	79	1/2	1/2	4/4	2	1	IV{								C	V		IV		IV						{	M	0	0	0, 4, 1		0	0	4	8	0.3333333333333333	0.125	1.375	0.08333333333333333
80	80	1/4	1/4	4/4	2	1	ii								C	V		ii		ii							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
80	80	1/2	1/2	4/4	2	1	V7								C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	2.0	0.0
81	81	0	0	4/4	2	1	I|IAC}								C	V		I		I					IAC	}	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
81	81	1/2	1/2	4/4	2	1	IV{								C	V		IV		IV						{	M	0	0	0, 4, 1		0	0	4	8	0.3333333333333333	0.125	1.375	0.08333333333333333
82	82	1/4	1/4	4/4	2	1	ii								C	V		ii		ii							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
82	82	1/2	1/2	4/4	2	1	V6		0	-4.22231		/			C	V		V6		V		6					M	0	0	6, 3, 2		2	6	4	4	0.5	0.125	0.375	0.25
82	82	3/4	3/4	4/4	2	1	V								C	V		V		V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
83	83	0	0	4/4	2	1	I6		0	-4.16719		/			C	V		I6		I		6					M	0	0	5, 2, 1		1	5	4	4	0.5	0.125	0.375	0.25
83	83	1/4	1/4	4/4	2	1	I		0	-4.17		/			C	V		I		I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
83	83	1/2	1/2	4/4	2	1	viio6/V		0	-4.17		/			C	V		viio6/V		vii	o	6		V			o	0	0	4, 1, 7		7	4	4	4	0.5	0.125	0.375	0.25
83	83	3/4	3/4	4/4	2	1	viio/V		0	-4.17		/			C	V		viio/V		vii	o			V			o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.5	0.0
