mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
71	71	3/4	3/4	4/4	2	1	#viio						d	v		#viio		#vii	o						o	1	1	8, 5, 2		8	8	1	3	0.25	0.125	0.625	0.16666666666666666
72	72	0	0	4/4	2	1	i						d	v		i		i							m	1	1	3, 0, 4		3	3	2	6	0.25	0.25	1.0	0.2
72	72	3/4	3/4	4/4	2	1	i6						d	v		i6		i		6					m	1	1	0, 4, 3		3	0	1	3	0.25	0.125	0.625	0.16666666666666666
73	73	0	0	4/4	2	1	ii%65						d	v		ii%65		ii	%	65					%7	1	1	2, -1, 3, 5		5	2	2	6	0.25	0.25	1.0	0.2
73	73	3/4	3/4	4/4	2	1	ii%43						d	v		ii%43		ii	%	43					%7	1	1	-1, 3, 5, 2		5	-1	1	3	0.25	0.125	0.625	0.16666666666666666
74	74	0	0	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	3	9	0.25	0.375	1.625	0.1875
75	75	0	0	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	7	0.0	0.0	2.5	0.0
75	75	1/2	1/2	4/4	2	1	V7						d	v		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	6	0.0	0.0	1.5	0.0
76	76	0	0	4/4	2	1	V(64)						d	v		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	7	0.0	0.0	2.5	0.0
76	76	1/2	1/2	4/4	2	1	V						d	v		V		V							M	1	1	4, 8, 5		4	4	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
77	77	0	0	4/4	2	1	i|IAC}{						d	v		i		i					IAC	}{	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.75	0.0
