mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
17	17	1/2	1/2	4/4	2	1	viio43/V	0	-3.71201		/		E	V	V	viio43/V		vii	o	43		V			o7	0	0	5, 2, 11, 8		11	5	5	5	0.5	0.5625	1.9375	0.225
18	18	0	0	4/4	2	1	V	0	-3.60507		/		E	V	V	V		V							M	0	0	6, 10, 7		6	6	0	9	0.0	0.0	2.5	0.0
18	18	1/2	1/2	4/4	2	1	viio2/V	0	-3.19466		/		E	V	V	viio2/V		vii	o	2		V			o7	0	0	2, 11, 8, 5		11	2	4	5	0.4444444444444444	0.5	2.5	0.16666666666666666
19	19	0	0	4/4	2	1	V	0	-3.11573		/		E	V	V	V		V							M	0	0	6, 10, 7		6	6	0	9	0.0	0.0	2.5	0.0
19	19	1/2	1/2	4/4	2	1	viio43/V	0	-3.78106		/		E	V	V	viio43/V		vii	o	43		V			o7	0	0	5, 2, 11, 8		11	5	5	5	0.5	0.5625	1.9375	0.225
20	20	0	0	4/4	2	1	V	0	-4.01829		/		E	V	V	V		V							M	0	0	6, 10, 7		6	6	0	9	0.0	0.0	2.5	0.0
20	20	1/2	1/2	4/4	2	1	viio43/V	0	-5.39424		/		E	V	V	viio43/V		vii	o	43		V			o7	0	0	5, 2, 11, 8		11	5	5	7	0.4166666666666667	0.5625	2.9375	0.16071428571428573
21	21	0	0	4/4	2	1	V]|HC}	0	-5.20445		/		E	V	V	V		V					HC	}	M	0	0	6, 10, 7		6	6	2	19	0.09523809523809523	0.25	4.5	0.05263157894736842
23	23	0	0	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	4	3	0.5714285714285714	1.0	1.0	0.5
25	25	0	0	4/4	2	1	V65/ii	0	-4.90079		/		E	V		V65/ii		V		65		ii			Mm7	0	0	12, 9, 6, 8		8	12	1	5	0.16666666666666666	0.25	2.25	0.1
26	26	0	0	4/4	2	1	ii(11)	0	-5.24491		/		E	V		ii(11)		ii			11				m	0	0	7, 4, 8	6	7	7	0	4	0.0	0.0	1.75	0.0
26	26	1/4	1/4	4/4	2	1	ii	0	-5.26613		/		E	V		ii		ii							m	0	0	7, 4, 8		7	7	4	4	0.5	0.25	0.5	0.3333333333333333
27	27	0	0	4/4	2	1	viio						E	V		viio		vii	o						o	0	0	10, 7, 4		10	10	0	1	0.0	0.0	0.5	0.0
27	27	1/2	1/2	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	4	2	0.6666666666666666	1.0	0.5	0.6666666666666666
29	29	0	0	4/4	2	1	V65						E	V		V65		V		65					Mm7	0	0	10, 7, 4, 6		6	10	1	5	0.16666666666666666	0.25	2.25	0.1
30	30	0	0	4/4	2	1	I(11)	0	-4.54		/		E	V		I(11)		I			11				M	0	0	5, 9, 6	4	5	5	0	4	0.0	0.0	1.75	0.0
30	30	1/4	1/4	4/4	2	1	I|IAC}	0	-4.54		/		E	V		I		I					IAC	}	M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
30	30	1/2	1/2	4/4	2	1	V{						E	V		V		V						{	M	0	0	6, 10, 7		6	6	2	2	0.5	0.25	0.25	0.5
31	31	0	0	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	0	1	0.0	0.0	0.5	0.0
31	31	1/2	1/2	4/4	2	1	#viio/ii						E	V		#viio/ii		#vii	o			ii			o	0	0	12, 9, 6		12	12	1	2	0.3333333333333333	0.125	0.375	0.25
31	31	3/4	3/4	4/4	2	1	ii						E	V		ii		ii							m	0	0	7, 4, 8		7	7	1	2	0.3333333333333333	0.125	0.375	0.25
32	32	0	0	4/4	2	1	#viio/ii						E	V		#viio/ii		#vii	o			ii			o	0	0	12, 9, 6		12	12	4	5	0.4444444444444444	0.75	1.0	0.42857142857142855
33	33	0	0	4/4	2	1	V/ii						E	V		V/ii		V				ii			M	0	0	8, 12, 9		8	8	1	3	0.25	0.25	2.0	0.1111111111111111
33	33	1/2	1/2	4/4	2	1	V7(9)/ii	-1.22204	-4.45612		/		E	V		V7(9)/ii		V		7	9	ii			Mm7	0	0	8, 12, 9, 6	3	8	8	0	4	0.0	0.0	1.75	0.0
34	34	0	0	4/4	2	1	ii(9#764)	0.603183	-4.44532		/		E	V		ii(9#764)		ii			9#764				m	0	0	7, 6, 10	9, 12	7	7	1	4	0.2	0.25	1.25	0.16666666666666666
34	34	1/4	1/4	4/4	2	1	ii	0	-3.75259		/		E	V		ii		ii							m	0	0	7, 4, 8		7	7	2	6	0.25	0.25	1.25	0.16666666666666666
35	35	0	0	4/4	2	1	viio	0	-3.64821		/		E	V		viio		vii	o						o	0	0	10, 7, 4		10	10	0	1	0.0	0.0	0.5	0.0
35	35	1/2	1/2	4/4	2	1	I	0	-3.5908		/		E	V		I		I							M	0	0	5, 9, 6		5	5	3	3	0.5	0.5	0.5	0.5
36	36	0	0	4/4	2	1	viio	0	-3.06836		/		E	V		viio		vii	o						o	0	0	10, 7, 4		10	10	0	2	0.0	0.0	0.5	0.0
36	36	1/4	1/4	4/4	2	1	I6	0	-3.06836		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	1	0.0	0.0	0.25	0.0
36	36	1/2	1/2	4/4	2	1	IV	0	-3.13151		/		E	V		IV		IV							M	0	0	4, 8, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
36	36	3/4	3/4	4/4	2	1	V65/V	0	-3.06836		/		E	V		V65/V		V		65		V			Mm7	0	0	11, 8, 5, 7		7	11	0	3	0.0	0.0	0.5	0.0
37	37	0	0	4/4	2	1	V	0	-3.95		/		E	V		V		V							M	0	0	6, 10, 7		6	6	1	3	0.25	0.25	2.0	0.1111111111111111
37	37	1/2	1/2	4/4	2	1	V7(b9)	-1.49361	-3.95		/		E	V		V7(b9)		V		7	b9				Mm7	0	0	6, 10, 7, 4	1	6	6	0	4	0.0	0.0	1.75	0.0
38	38	0	0	4/4	2	1	I(97b64)	0	-3.95		/		E	V		I(97b64)		I			97b64				M	0	0	5, 4, 1	7, 10	5	5	0	5	0.0	0.0	1.5	0.0
38	38	1/4	1/4	4/4	2	1	I|IAC}	0	-3.95		/		E	V		I		I					IAC	}	M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
38	38	1/2	1/2	4/4	2	1	I6{	0	-3.95		/		E	V		I6		I		6				{	M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	1.5	0.0
39	39	0	0	4/4	2	1	V2	0	-5.20563		/		E	V		V2		V		2					Mm7	0	0	4, 6, 10, 7		6	4	0	8	0.0	0.0	2.0	0.0
39	39	1/2	1/2	4/4	2	1	I6	0	-6.02908		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	10	0.0	0.0	2.0	0.0
40	40	0	0	4/4	2	1	V2	0	-4.87233		/		E	V		V2		V		2					Mm7	0	0	4, 6, 10, 7		6	4	0	8	0.0	0.0	2.0	0.0
40	40	1/2	1/2	4/4	2	1	I6	0	-5.86439		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	5	0.0	0.0	1.0	0.0
40	40	3/4	3/4	4/4	2	1	#viio65/ii	-0.950476	-5.56091		/		E	V		#viio65/ii		#vii	o	65		ii			o7	0	0	9, 6, 3, 12		12	9	0	5	0.0	0.0	1.0	0.0
41	41	0	0	4/4	2	1	ii6	0	-6.34317		/		E	V		ii6		ii		6					m	0	0	4, 8, 7		7	4	2	8	0.2	0.5	1.5	0.25
41	41	1/2	1/2	4/4	2	1	V7	0	-6.83115		/		E	V		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	10	0.0	0.0	2.0	0.0
42	42	0	0	4/4	2	1	I(4)	0	-5.72636		/		E	V		I(4)		I			4				M	0	0	5, 4, 6		5	5	0	7	0.0	0.0	2.25	0.0
42	42	1/2	1/2	4/4	2	1	I	0	-5.53658		/		E	V		I		I							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	0.75	0.0
42	42	3/4	3/4	4/4	2	1	I6	0	-5.72636		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	5	0.0	0.0	1.0	0.0
43	43	0	0	4/4	2	1	V2	0	-5.53002		/		E	V		V2		V		2					Mm7	0	0	4, 6, 10, 7		6	4	0	8	0.0	0.0	2.0	0.0
43	43	1/2	1/2	4/4	2	1	I6	0	-5.77955		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	10	0.0	0.0	2.0	0.0
44	44	0	0	4/4	2	1	V2	0	-4.42495		/		E	V		V2		V		2					Mm7	0	0	4, 6, 10, 7		6	4	0	8	0.0	0.0	2.0	0.0
44	44	1/2	1/2	4/4	2	1	I6	0	-6.20732		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	5	0.0	0.0	1.0	0.0
44	44	3/4	3/4	4/4	2	1	#viio65/ii	0	-4.53546		/		E	V		#viio65/ii		#vii	o	65		ii			o7	0	0	9, 6, 3, 12		12	9	0	5	0.0	0.0	1.0	0.0
45	45	0	0	4/4	2	1	ii6	0	-4.2745		/		E	V		ii6		ii		6					m	0	0	4, 8, 7		7	4	2	8	0.2	0.5	1.5	0.25
45	45	1/2	1/2	4/4	2	1	V7	0	-4.53546		/		E	V		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	10	0.0	0.0	2.0	0.0
46	46	0	0	4/4	2	1	I|PAC}	0	-4.49981		/		E	V		I		I					PAC	}	M	0	0	5, 9, 6		5	5	0	7	0.0	0.0	1.75	0.0
46	46	1/2	1/2	4/4	2	1	V7(b94)						E	V		V7(b94)		V		7	b94				Mm7	0	0	6, 5, 7, 4	1	6	6	0	3	0.0	0.0	1.25	0.0
46	46	3/4	3/4	4/4	2	1	V7(b9)						E	V		V7(b9)		V		7	b9				Mm7	0	0	6, 10, 7, 4	1	6	6	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
47	47	0	0	4/4	2	1	I(b64)						E	V		I(b64)		I			b64				M	0	0	5, 4, 1		5	5	0	4	0.0	0.0	1.5	0.0
47	47	1/4	1/4	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
47	47	1/2	1/2	4/4	2	1	V7(94)	0	-3.93526		/		E	V		V7(94)		V		7	94				Mm7	0	0	6, 5, 7, 4	8	6	6	0	2	0.0	0.0	1.0	0.0
47	47	3/4	3/4	4/4	2	1	V7(9)	-1.23992	3.33728		/		E	V		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	4	0.0	0.0	0.375	0.0
48	48	0	0	4/4	2	1	I(64)						E	V		I(64)		I			64				M	0	0	5, 4, 8		5	5	0	4	0.0	0.0	1.5	0.0
48	48	1/4	1/4	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
48	48	1/2	1/2	4/4	2	1	V7(b94)						E	V		V7(b94)		V		7	b94				Mm7	0	0	6, 5, 7, 4	1	6	6	0	2	0.0	0.0	1.0	0.0
48	48	3/4	3/4	4/4	2	1	V7(b9)	-0.901761	3.49831	-3.8945	/		E	V		V7(b9)		V		7	b9				Mm7	0	0	6, 10, 7, 4	1	6	6	1	3	0.25	0.041666666666666664	0.3333333333333333	0.1111111111111111
49	49	0	0	4/4	2	1	I(b64)						E	V		I(b64)		I			b64				M	0	0	5, 4, 1		5	5	0	4	0.0	0.0	1.5	0.0
49	49	1/4	1/4	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
49	49	1/2	1/2	4/4	2	1	V7(94)	0	-3.93526		/		E	V		V7(94)		V		7	94				Mm7	0	0	6, 5, 7, 4	8	6	6	0	2	0.0	0.0	1.0	0.0
49	49	3/4	3/4	4/4	2	1	V7(9)	-1.01448	2.66276		/		E	V		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	4	0.0	0.0	0.375	0.0
50	50	0	0	4/4	2	1	I(64)						E	V		I(64)		I			64				M	0	0	5, 4, 8		5	5	0	4	0.0	0.0	1.0	0.0
50	50	1/4	1/4	4/4	2	1	I|IAC}{						E	V		I		I					IAC	}{	M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
50	50	1/2	1/2	4/4	2	1	V43						E	V		V43		V		43					Mm7	0	0	7, 4, 6, 10		6	7	0	4	0.0	0.0	1.0	0.0
50	50	3/4	3/4	4/4	2	1	I6						E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	4	0.0	0.0	1.0	0.0
51	51	0	0	4/4	2	1	ii6(9)	0	-2.97054		/		E	V		ii6(9)		ii		6	9				m	0	0	4, 8, 7	9	7	4	0	6	0.0	0.0	2.875	0.0
51	51	3/8	3/8	4/4	2	1	ii6						E	V		ii6		ii		6					m	0	0	4, 8, 7		7	4	0	1	0.0	0.0	0.125	0.0
51	51	1/2	1/2	4/4	2	1	V(64)	0	-3.04897		/		E	V		V(64)		V			64				M	0	0	6, 5, 9		6	6	0	4	0.0	0.0	1.0	0.0
51	51	3/4	3/4	4/4	2	1	V	0	-3.12739		/		E	V		V		V							M	0	0	6, 10, 7		6	6	0	5	0.0	0.0	1.25	0.0
52	52	1/4	1/4	4/4	2	1	I6	0	-3.23326		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	4	0.0	0.0	1.0	0.0
52	52	1/2	1/2	4/4	2	1	V64	0	-3.10386		/		E	V		V64		V		64					M	0	0	7, 6, 10		6	7	0	4	0.0	0.0	1.0	0.0
52	52	3/4	3/4	4/4	2	1	I	0	-3.75086		/		E	V		I		I							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
53	53	0	0	4/4	2	1	ii6(112)	0	-3.57833		/		E	V		ii6(112)		ii		6	112				m	0	0	4, 8, 9	6	7	4	0	4	0.0	0.0	1.75	0.0
53	53	3/8	3/8	4/4	2	1	ii6						E	V		ii6		ii		6					m	0	0	4, 8, 7		7	4	0	2	0.0	0.0	0.25	0.0
53	53	1/2	1/2	4/4	2	1	V(64)	0	-3.62146		/		E	V		V(64)		V			64				M	0	0	6, 5, 9		6	6	0	4	0.0	0.0	1.0	0.0
53	53	3/4	3/4	4/4	2	1	V	0	-3.83713		/		E	V		V		V							M	0	0	6, 10, 7		6	6	0	6	0.0	0.0	1.5	0.0
54	54	1/4	1/4	4/4	2	1	I6						E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	6	0.0	0.0	1.5	0.0
54	54	1/2	1/2	4/4	2	1	V43						E	V		V43		V		43					Mm7	0	0	7, 4, 6, 10		6	7	0	7	0.0	0.0	1.75	0.0
54	54	3/4	3/4	4/4	2	1	I						E	V		I		I							M	0	0	5, 9, 6		5	5	0	7	0.0	0.0	1.75	0.0
55	55	0	0	4/4	2	1	ii6						E	V		ii6		ii		6					m	0	0	4, 8, 7		7	4	2	6	0.25	0.5	1.5	0.25
56	56	0	0	4/4	2	1	V7						E	V		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
57	57	0	0	4/4	2	1	I|PAC}{						E	V		I		I					PAC	}{	M	0	0	5, 9, 6		5	5	0	10	0.0	0.0	1.625	0.0
57	57	1/2	1/2	4/4	2	1	IV						E	V		IV		IV							M	0	0	4, 8, 5		4	4	0	10	0.0	0.0	1.625	0.0
58	58	0	0	4/4	2	1	I6						E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	10	0.0	0.0	1.625	0.0
58	58	1/2	1/2	4/4	2	1	IV6						E	V		IV6		IV		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	1.625	0.0
59	59	0	0	4/4	2	1	I64	0	-4.63509		/		E	V		I64		I		64					M	0	0	6, 5, 9		5	6	0	10	0.0	0.0	1.625	0.0
59	59	1/2	1/2	4/4	2	1	viio64(+2)	0	-4.87233		/		E	V		viio64(+2)		vii	o	64	+2				o	0	0	4, 10, 7	5	10	4	0	13	0.0	0.0	2.0	0.0
60	60	0	0	4/4	2	1	I6	0	-4.78606		/		E	V		I6		I		6					M	0	0	9, 6, 5		5	9	0	7	0.0	0.0	1.25	0.0
60	60	1/2	1/2	4/4	2	1	I.V7	0	-5.08799		/		E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	13	0.0	0.0	2.0	0.0
61	60	0	0	4/4	2	1	I|IAC}{	0	-4.01563		/	1	E	I		I		I					IAC	}{	M	0	0	4, 8, 5		4	4	0	22	0.0	0.0	3.875	0.0
62	60	0	0	4/4	2	1	I|IAC}{	0.135782	-2.11788		/	2	E	I		I		I					IAC	}{	M	0	0	4, 8, 5		4	4	0	22	0.0	0.0	3.875	0.0
63	61	0	0	4/4	2	1	iv.i	0	-3.78438		/		E	iv		i		i							m	0	1	3, 0, 4		3	3	0	10	0.0	0.0	1.625	0.0
63	61	1/2	1/2	4/4	2	1	VI6	-0.13551	-3.98067		/		E	iv		VI6		VI		6					M	0	1	3, 0, -1		-1	3	3	8	0.2727272727272727	0.375	1.75	0.17647058823529413
64	62	0	0	4/4	2	1	ii%65	0	-4.6319		/		E	iv		ii%65		ii	%	65					%7	0	1	2, -1, 3, 5		5	2	0	28	0.0	0.0	5.0	0.0
65	63	0	0	4/4	2	1	#viio43	0	-4.79239		/		E	iv		#viio43		#vii	o	43					o7	0	1	2, -1, 8, 5		8	2	0	28	0.0	0.0	5.0	0.0
66	64	0	0	4/4	2	1	i6|IAC}{	0	-4.51453		/		E	iv		i6		i		6			IAC	}{	m	0	1	0, 4, 3		3	0	10	44	0.18518518518518517	1.25	4.75	0.20833333333333334
68	66	0	0	4/4	2	1	iv7						E	iv		iv7		iv		7					mm7	0	1	2, -1, 3, 0		2	2	8	46	0.14814814814814814	1.0	5.0	0.16666666666666666
70	68	0	0	4/4	2	1	i64	0	-2.77787		/		E	iv		i64		i		64					m	0	1	4, 3, 0		3	4	10	48	0.1724137931034483	1.25	4.75	0.20833333333333334
72	70	0	0	4/4	2	1	iv65						E	iv		iv65		iv		65					mm7	0	1	-1, 3, 0, 2		2	-1	2	20	0.09090909090909091	0.25	2.75	0.08333333333333333
73	71	0	0	4/4	2	1	bVI.V65/V	0	-5.73609		/		E	bVI		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	8	24	0.25	1.0	2.0	0.3333333333333333
74	72	0	0	4/4	2	1	V(64)	0	-5.18133		/		E	bVI		V(64)		V			64				M	0	0	1, 0, 4		1	1	2	20	0.09090909090909091	0.25	2.75	0.08333333333333333
75	73	0	0	4/4	2	1	V7	0	-5.91017		/		E	bVI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	20	0.09090909090909091	0.5	2.5	0.16666666666666666
76	74	0	0	4/4	2	1	I|PAC}{	0	-4.45769		/		E	bVI		I		I					PAC	}{	M	0	0	0, 4, 1		0	0	10	44	0.18518518518518517	1.25	4.75	0.20833333333333334
78	76	0	0	4/4	2	1	I.V(b64)						E	I		V(b64)		V			b64				M	0	0	5, 4, 1		5	5	10	44	0.18518518518518517	1.25	4.75	0.20833333333333334
80	78	0	0	4/4	2	1	viio7/V	0	-3.8869		/		E	I		viio7/V		vii	o	7		V			o7	0	0	10, 7, 4, 1		10	10	2	44	0.043478260869565216	0.25	5.75	0.041666666666666664
82	80	0	0	4/4	2	1	V[V|HC}{	0	-3.34054		/		E	I	V	V		V					HC	}{	M	0	0	5, 9, 6		5	5	0	13	0.0	0.0	2.875	0.0
