mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	absolute_root	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
15	14	1/4	1/4	2/2	1	1	V/iv		0	-2.94206		/			c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
15	14	1/2	1/2	2/2	1	1	iv		0	-3.13151		/			c	i		iv		iv								m	1	1	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
15	14	3/4	3/4	2/2	1	1	#viio6		0	-3.51042		/			c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5.0	2.0	2	2	0.5	0.25	0.5	0.3333333333333333
16	15	0	0	2/2	1	1	i]		0	-4.58399		/			c	i		i		i					]			m	1	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	2.5	0.0
16	15	1/2	1/2	2/2	1	1	V43		0	-3.61146		/			c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	8	0.0	0.0	2.5	0.0
17	16	0	0	2/2	1	1	i6								c	i		i6		i		6						m	1	1	-3, 1, 0		0.0	-3.0	0	7	0.0	0.0	2.0	0.0
17	16	1/2	1/2	2/2	1	1	iio6								c	i		iio6		ii	o	6						o	1	1	-1, -4, 2		2.0	-1.0	0	7	0.0	0.0	2.0	0.0
18	17	0	0	2/2	1	1	V(64)								c	i		V(64)		V			64					M	1	1	1, 0, -3		1.0	1.0	0	7	0.0	0.0	3.0	0.0
18	17	1/2	1/2	2/2	1	1	Ger6	15	0	-3.36266		/			c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6.0	-4.0	0	5	0.0	0.0	1.0	0.0
19	18	0	0	2/2	1	1	viio7/V		0	-3.08818		/			c	i		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6.0	6.0	0	7	0.0	0.0	2.0	0.0
19	18	1/2	1/2	2/2	1	1	V7		0	-3.08818		/			c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	7	0.0	0.0	2.0	0.0
20	19	0	0	2/2	1	1	i[i|PAC}{								c	i	i	i		i						PAC	}{	m	1	1	0, -3, 1		0.0	0.0	0	10	0.0	0.0	2.0	0.0
20	19	3/4	3/4	2/2	1	1	V7/iv								c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	0.75	0.0
21	20	0	0	2/2	1	1	iv6		1.13684	-3.00526		/			c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.75	0.0
21	20	1/4	1/4	2/2	1	1	V/iv								c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
21	20	1/2	1/2	2/2	1	1	iv								c	i		iv		iv								m	1	1	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
21	20	3/4	3/4	2/2	1	1	#viio6								c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5.0	2.0	2	2	0.5	0.25	0.5	0.3333333333333333
22	21	0	0	2/2	1	1	i								c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
22	21	1/4	1/4	2/2	1	1	V/iv								c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	6	0.0	0.0	1.5	0.0
22	21	3/4	3/4	2/2	1	1	V7/iv								c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	0.75	0.0
23	22	0	0	2/2	1	1	iv6								c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.75	0.0
23	22	1/4	1/4	2/2	1	1	V/iv		0	-2.93133		/			c	i		V/iv		V				iv				M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.75	0.0
23	22	1/2	1/2	2/2	1	1	iv		0	-3.08818		/			c	i		iv		iv								m	1	1	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
23	22	3/4	3/4	2/2	1	1	#viio6		0	-3.28424		/			c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5.0	2.0	2	2	0.5	0.25	0.5	0.3333333333333333
24	23	0	0	2/2	1	1	i]		0	-4.28236		/			c	i		i		i					]			m	1	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	2.5	0.0
24	23	1/2	1/2	2/2	1	1	V43		0	-4.63884		/			c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	8	0.0	0.0	2.5	0.0
25	24	0	0	2/2	1	1	i6		0	-3.74765		/			c	i		i6		i		6						m	1	1	-3, 1, 0		0.0	-3.0	0	7	0.0	0.0	2.0	0.0
25	24	1/2	1/2	2/2	1	1	iio6		0	-3.46248		/			c	i		iio6		ii	o	6						o	1	1	-1, -4, 2		2.0	-1.0	0	7	0.0	0.0	2.0	0.0
26	25	0	0	2/2	1	1	V(64)								c	i		V(64)		V			64					M	1	1	1, 0, -3		1.0	1.0	0	7	0.0	0.0	3.0	0.0
26	25	1/2	1/2	2/2	1	1	.Ger6								c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6.0	-4.0	0	5	0.0	0.0	1.0	0.0
27	26	0	0	2/2	1	1	viio7/V								c	i		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6.0	6.0	0	11	0.0	0.0	4.0	0.0
28	27	0	0	2/2	1	1	V|HC}{								c	i		V		V						HC	}{	M	1	1	1, 5, 2		1.0	1.0	0	13	0.0	0.0	3.75	0.0
29	28	0	0	2/2	1	1	V(64)								c	i		V(64)		V			64					M	1	1	1, 0, -3		1.0	1.0	0	11	0.0	0.0	3.25	0.0
30	29	0	0	2/2	1	1	V43								c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	11	0.0	0.0	1.625	0.0
31	30	0	0	2/2	1	1	i								c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
31	30	1/2	1/2	2/2	1	1	It6								c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6.0	-4.0	0	8	0.0	0.0	1.0	0.0
32	31	0	0	2/2	1	1	V|HC}{								c	i		V		V						HC	}{	M	1	1	1, 5, 2		1.0	1.0	0	11	0.0	0.0	3.25	0.0
33	32	0	0	2/2	1	1	V(64)								c	i		V(64)		V			64					M	1	1	1, 0, -3		1.0	1.0	0	11	0.0	0.0	3.25	0.0
34	33	0	0	2/2	1	1	V43								c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	11	0.0	0.0	1.625	0.0
35	34	0	0	2/2	1	1	i								c	i		i		i								m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
35	34	1/2	1/2	2/2	1	1	It6								c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6.0	-4.0	0	8	0.0	0.0	1.0	0.0
36	35	0	0	2/2	1	1	V[V|HC}{								c	i	V	V		V						HC	}{	M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
36	35	1/4	1/4	2/2	1	1	viio/V								c	i		viio/V		vii	o			V				o	1	1	6, 3, 0		6.0	6.0	2	1	0.6666666666666666	0.25	0.25	0.5
36	35	1/2	1/2	2/2	1	1	V								c	i		V		V								M	1	1	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.5	0.0
36	35	3/4	3/4	2/2	1	1	viio/V								c	i		viio/V		vii	o			V				o	1	1	6, 3, 0		6.0	6.0	2	2	0.5	0.25	0.5	0.3333333333333333
37	36	0	0	2/2	1	1	V								c	i		V		V								M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.75	0.0
37	36	1/4	1/4	2/2	1	1	viio64/V								c	i		viio64/V		vii	o	64		V				o	1	1	0, 6, 3		6.0	0.0	2	2	0.5	0.25	0.5	0.3333333333333333
37	36	1/2	1/2	2/2	1	1	V								c	i		V		V								M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.75	0.0
37	36	3/4	3/4	2/2	1	1	viio/V		0	-4.39786		/			c	i		viio/V		vii	o			V				o	1	1	6, 3, 0		6.0	6.0	2	2	0.5	0.25	0.5	0.3333333333333333
38	37	0	0	2/2	1	1	V|HC}								c	i		V		V						HC	}	M	1	1	1, 5, 2		1.0	1.0	0	10	0.0	0.0	1.5	0.0
39	38	0	0	2/2	1	1	V65/VI]{								c	i		V65/VI		V		65		VI	]		{	Mm7	1	1	1, -2, -5, -3		-3.0	1.0	0	11	0.0	0.0	4.0	0.0
40	39	0	0	2/2	1	1	VI[VI								c	i	VI	VI		VI								M	1	1	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
40	39	1/4	1/4	2/2	1	1	viio64/VI								c	i		viio64/VI		vii	o	64		VI				o	1	1	-5, 1, -2		1.0	-5.0	2	1	0.6666666666666666	0.25	0.25	0.5
40	39	1/2	1/2	2/2	1	1	VI								c	i		VI		VI								M	1	1	-4, 0, -3		-4.0	-4.0	0	3	0.0	0.0	0.5	0.0
40	39	3/4	3/4	2/2	1	1	viio64/VI		0	-3.1773		/			c	i		viio64/VI		vii	o	64		VI				o	1	1	-5, 1, -2		1.0	-5.0	2	2	0.5	0.25	0.5	0.3333333333333333
41	40	0	0	2/2	1	1	VI		-0.345632	-4.7745		/			c	i		VI		VI								M	1	1	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
41	40	1/4	1/4	2/2	1	1	viio/VI		0	-4.67448		/			c	i		viio/VI		vii	o			VI				o	1	1	1, -2, -5		1.0	1.0	2	2	0.5	0.25	0.5	0.3333333333333333
41	40	1/2	1/2	2/2	1	1	VI		0	-4.88837		/			c	i		VI		VI								M	1	1	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
41	40	3/4	3/4	2/2	1	1	viio/VI		0	-4.63884		/			c	i		viio/VI		vii	o			VI				o	1	1	1, -2, -5		1.0	1.0	2	2	0.5	0.25	0.5	0.3333333333333333
42	41	0	0	2/2	1	1	VI]}		0	-4.71013		/			c	i		VI		VI					]		}	M	1	1	-4, 0, -3		-4.0	-4.0	0	10	0.0	0.0	1.5	0.0
43	42	0	0	2/2	1	1	III.viio7/V{								c	III		viio7/V		vii	o	7		V			{	o7	1	0	3, 0, -3, -6		3.0	3.0	0	11	0.0	0.0	4.0	0.0
44	43	0	0	2/2	1	1	V[V								c	III	V	V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
44	43	1/4	1/4	2/2	1	1	viio/V								c	III		viio/V		vii	o			V				o	1	0	3, 0, -3		3.0	3.0	2	2	0.5	0.25	0.5	0.3333333333333333
44	43	1/2	1/2	2/2	1	1	V								c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
44	43	3/4	3/4	2/2	1	1	viio64/V		-1.13684	-3.38421		/			c	III		viio64/V		vii	o	64		V				o	1	0	-3, 3, 0		3.0	-3.0	2	2	0.5	0.25	0.5	0.3333333333333333
45	44	0	0	2/2	1	1	V		0	-3.76303		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
45	44	1/4	1/4	2/2	1	1	viio/V		-0.126316	-4.75069		/			c	III		viio/V		vii	o			V				o	1	0	3, 0, -3		3.0	3.0	2	2	0.5	0.25	0.5	0.3333333333333333
45	44	1/2	1/2	2/2	1	1	V		0.88421	-4.64737		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
45	44	3/4	3/4	2/2	1	1	viio/V		0.631579	-5.37104		/			c	III		viio/V		vii	o			V				o	1	0	3, 0, -3		3.0	3.0	2	2	0.5	0.25	0.5	0.3333333333333333
46	45	0	0	2/2	1	1	V		0.88421	-6.28947		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	6	0.0	0.0	1.0	0.0
46	45	1/2	1/2	2/2	1	1	viio64/V		0	-4.31159		/			c	III		viio64/V		vii	o	64		V				o	1	0	-3, 3, 0		3.0	-3.0	4	2	0.6666666666666666	0.5	1.0	0.3333333333333333
47	46	0	0	2/2	1	1	V		0	-3.49206		/			c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	6	0.0	0.0	1.0	0.0
47	46	1/2	1/2	2/2	1	1	viio/V								c	III		viio/V		vii	o			V				o	1	0	3, 0, -3		3.0	3.0	4	2	0.6666666666666666	0.5	1.0	0.3333333333333333
48	47	0	0	2/2	1	1	V								c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	6	0.0	0.0	1.0	0.0
48	47	1/2	1/2	2/2	1	1	viio64/V		0	-2.80193		/			c	III		viio64/V		vii	o	64		V				o	1	0	-3, 3, 0		3.0	-3.0	4	2	0.6666666666666666	0.5	1.0	0.3333333333333333
49	48	0	0	2/2	1	1	V								c	III		V		V								M	1	0	-2, 2, -1		-2.0	-2.0	0	6	0.0	0.0	1.0	0.0
49	48	1/2	1/2	2/2	1	1	viio/V								c	III		viio/V		vii	o			V				o	1	0	3, 0, -3		3.0	3.0	4	2	0.6666666666666666	0.5	1.0	0.3333333333333333
50	49	0	0	2/2	1	1	V]|HC}								c	III		V		V					]	HC	}	M	1	0	-2, 2, -1		-2.0	-2.0	4	7	0.36363636363636365	1.0	1.75	0.36363636363636365
52	51	0	0	2/2	1	1	iii.V[i{		-1.38947	-1.48947		/			c	iii	V	i		i							{	m	1	1	-3, -6, -2		-3.0	-3.0	2	39	0.04878048780487805	0.5	13.25	0.03636363636363636
56	55	0	0	2/2	1	1	V7								c	iii		V7		V		7						Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	6	38	0.13636363636363635	1.5	12.5	0.10714285714285714
60	59	0	0	2/2	1	1	i]								c	iii		i		i					]			m	1	1	-3, -6, -2		-3.0	-3.0	2	40	0.047619047619047616	0.5	13.5	0.03571428571428571
64	63	0	0	2/2	1	1	V/VII[V7/VII								c	iii	V/VII	V7/VII		V		7		VII				Mm7	1	1	-4, 0, -3, -6		-4.0	-4.0	6	38	0.13636363636363635	1.5	12.5	0.10714285714285714
68	67	0	0	2/2	1	1	I/VII								c	iii		I/VII		I				VII				M	1	1	-5, -1, -4		-5.0	-5.0	2	40	0.047619047619047616	0.5	13.5	0.03571428571428571
72	71	0	0	2/2	1	1	V7/VII]								c	iii		V7/VII		V		7		VII	]			Mm7	1	1	-4, 0, -3, -6		-4.0	-4.0	6	38	0.13636363636363635	1.5	12.5	0.10714285714285714
76	75	0	0	2/2	1	1	I/VII								c	iii		I/VII		I				VII				M	1	1	-5, -1, -4		-5.0	-5.0	0	5	0.0	0.0	1.5	0.0
76	75	1/2	1/2	2/2	1	1	iio64		0	-4.43229		/		V2/IV/VII	c	iii		iio64		ii	o	64						o	1	1	-7, -1, -4		-1.0	-7.0	0	5	0.0	0.0	1.5	0.0
77	76	0	0	2/2	1	1	V7								c	iii		V7		V		7						Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	5	28	0.15151515151515152	1.25	9.25	0.11904761904761904
80	79	0	0	2/2	1	1	i								c	iii		i		i								m	1	1	-3, -6, -2		-3.0	-3.0	0	5	0.0	0.0	1.5	0.0
80	79	1/2	1/2	2/2	1	1	III.iv6/ii								c	III		iv6/ii		iv		6		ii				m	1	0	-5, -1, -2		-2.0	-5.0	0	5	0.0	0.0	1.5	0.0
81	80	0	0	2/2	1	1	V7/ii		0	-3.23068		/			c	III		V7/ii		V		7		ii				Mm7	1	0	0, 4, 1, -2		0.0	0.0	5	28	0.15151515151515152	1.25	9.25	0.11904761904761904
84	83	0	0	2/2	1	1	i/ii		0	-4.11793		/			c	III		i/ii		i				ii				m	1	0	-1, -4, 0		-1.0	-1.0	2	6	0.25	0.5	2.25	0.18181818181818182
