mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation	slur
7	7	27	27	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	62			
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	63			
8	8	28	28	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	64			
8	8	29	29	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	65		ornamentTrill	
8	8	30	30	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	66			
8	8	30	30	0.0	1/2	1/2	Chord	2/2	1	1	0	grace16	1/16	1	67			
8	8	30	30	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	68			3
8	8	61/2	61/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	69			3
8	8	31	31	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	70			3
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	71			
8	8	28	28	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	72			
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	73			
8	8	29	29	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	74			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	75			
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	76			
9	9	32	32	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	77			4
9	9	65/2	65/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	78			
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	79			5
9	9	34	34	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	80			5
9	9	69/2	69/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	81			5
9	9	35	35	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	82			5
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	83			
9	9	33	33	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	84			
10	10	36	36	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	85			6
10	10	73/2	73/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	86			
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	87			7
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	88			7
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	89			7
10	10	39	39	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	90			7
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	91			
10	10	37	37	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	92			
11	11	40	40	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	93			
11	11	81/2	81/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	94			
11	11	41	41	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	95			
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	96			
11	11	42	42	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	97			
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	98			
11	11	43	43	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	99			
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	100			
11	11	40	40	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	101			
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	102			
12	12	44	44	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	103		ornamentTurn	
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	104			
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	105			8
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	106			8
12	12	47	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	107			8
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	108			
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	109			
13	13	48	48	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	110	p		9
13	13	97/2	97/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	111			
13	13	99/2	99/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	112			10
13	13	50	50	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	113			10
13	13	101/2	101/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	114			10
13	13	51	51	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	115			10
13	13	103/2	103/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	116			
13	13	49	49	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	117			
14	14	52	52	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	118			11
14	14	105/2	105/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	119			
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	120			
14	14	54	54	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	121			12
14	14	109/2	109/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	122			12
14	14	55	55	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	123			12
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	124			
14	14	53	53	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	125			
15	15	56	56	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	126	f		
15	15	57	57	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	127			
15	15	172/3	172/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	128			
15	15	173/3	173/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	129			
15	15	58	58	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	130			
15	15	59	59	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	131			
15	15	178/3	178/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	132			
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	133			
15	15	56	56	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	134			
15	15	169/3	169/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	135			
15	15	170/3	170/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	136			
15	15	57	57	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	137			
15	15	172/3	172/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	138			
15	15	173/3	173/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	139			
15	15	58	58	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	140			
15	15	175/3	175/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	141			
15	15	176/3	176/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	142			
15	15	59	59	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	143			
15	15	178/3	178/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	144			
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	145			
16	16	60	60	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	146			
16	16	61	61	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	147			
16	16	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	148			
16	16	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	149			
16	16	62	62	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	150			
16	16	63	63	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	151			
16	16	190/3	190/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	152			
16	16	191/3	191/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	153			
16	16	60	60	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	154			
16	16	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	155			
16	16	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	156			
16	16	61	61	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	157			
16	16	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	158			
16	16	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	159			
16	16	62	62	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	160			
16	16	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	161			
16	16	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	162			
16	16	63	63	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	163			
16	16	190/3	190/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	164			
16	16	191/3	191/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	165			
17	17	64	64	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	166			
17	17	65	65	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	167			
17	17	196/3	196/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	168			
17	17	197/3	197/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	169			
17	17	66	66	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	170			
17	17	67	67	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	171			
17	17	202/3	202/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	172			
17	17	203/3	203/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	173			
17	17	64	64	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	174			
17	17	193/3	193/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	175			
17	17	194/3	194/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	176			
17	17	65	65	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	177			
17	17	196/3	196/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	178			
17	17	197/3	197/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	179			
17	17	66	66	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	180			
17	17	199/3	199/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	181			
17	17	200/3	200/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	182			
17	17	67	67	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	183			
17	17	202/3	202/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	184			
17	17	203/3	203/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	185			
18	18	68	68	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	186			
18	18	69	69	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	187			
18	18	208/3	208/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	188			
18	18	209/3	209/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	189			
18	18	70	70	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	190			
18	18	71	71	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	191			
18	18	214/3	214/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	192			
18	18	215/3	215/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	193			
18	18	68	68	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	194			
18	18	205/3	205/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	195			
18	18	206/3	206/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	196			
18	18	69	69	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	197			
18	18	208/3	208/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	198			
18	18	209/3	209/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	199			
18	18	70	70	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	200			
18	18	211/3	211/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	201			
18	18	212/3	212/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	202			
18	18	71	71	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	203			
18	18	214/3	214/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	204			
18	18	215/3	215/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	205			
19	19	72	72	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	206			
19	19	73	73	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	207			
19	19	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	208			
19	19	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	209			
19	19	74	74	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	210			
19	19	75	75	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	211			
19	19	226/3	226/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	212			
19	19	227/3	227/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	213			
19	19	72	72	0.3333333333333333	0	0	Chord	2/2	2	1	1/12		1/8	2/3	214			
19	19	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	215			
19	19	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	216			
19	19	73	73	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	217			
19	19	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	218			
19	19	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	219			
19	19	74	74	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	220			
19	19	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	221			
19	19	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	222			
19	19	75	75	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	223			
19	19	226/3	226/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	224			
19	19	227/3	227/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	225			
20	20	76	76	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	226			
20	20	157/2	157/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	227	p		
20	20	79	79	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	228			
20	20	159/2	159/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	229			
20	20	76	76	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	230			
21	21	80	80	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	231			13
21	21	81	81	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	232			13
21	21	82	82	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	233			13
21	21	83	83	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	234			
21	21	80	80	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	235			
21	21	161/2	161/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	236			
21	21	81	81	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	237			
21	21	163/2	163/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	238			
21	21	82	82	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	239			
21	21	165/2	165/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	240			
21	21	83	83	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	241			
21	21	167/2	167/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	242			
22	22	84	84	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	243			14
22	22	169/2	169/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	244			
22	22	85	85	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	245			
22	22	173/2	173/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	246			
22	22	87	87	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	247			
22	22	175/2	175/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	248			
22	22	84	84	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	249			
22	22	169/2	169/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	250			
22	22	85	85	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	251			
22	22	171/2	171/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	252			
22	22	86	86	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	253			
23	23	88	88	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	254			15
23	23	89	89	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	255			15
23	23	90	90	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	256			15
23	23	91	91	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	257			
23	23	88	88	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	258			
23	23	177/2	177/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	259			
23	23	89	89	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	260			
23	23	179/2	179/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	261			
23	23	90	90	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	262			
23	23	181/2	181/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	263			
23	23	91	91	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	264			
23	23	183/2	183/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	265			
24	24	92	92	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	266			16
24	24	185/2	185/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	267			16
24	24	93	93	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	268			
24	24	189/2	189/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	269			17
24	24	95	95	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	270			17
24	24	191/2	191/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	271			
24	24	92	92	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	272			
24	24	185/2	185/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	273			
24	24	93	93	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	274			
24	24	187/2	187/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	275			
24	24	94	94	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	276			
25	25	96	96	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	277		articAccentAbove	18
25	25	193/2	193/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	278			
25	25	97	97	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	279		articStaccatoAbove	
