mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin
16	16	61	61	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	129							46				
16	16	123/2	123/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	130											
16	16	62	62	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	131							47				
16	16	125/2	125/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	132											
16	16	63	63	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	133							48				
16	16	127/2	127/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	134											
16	16	63	63	0.0		3/4	3/4	Dynamic	4/4	2	1	0						sf									
16	16	63	63	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	135							49				
16	16	127/2	127/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	136											
17	17	64	64	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	137							50				
17	17	129/2	129/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	138											
17	17	65	65	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	139							51				
17	17	131/2	131/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	140											
17	17	66	66	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	141							52				
17	17	133/2	133/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	142											
17	17	67	67	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	143							53				
17	17	135/2	135/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	144											
17	17	64	64	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	145							54				
17	17	129/2	129/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	146											
17	17	65	65	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	147							55				
17	17	131/2	131/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	148											
17	17	66	66	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	149							56				
17	17	133/2	133/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	150											
17	17	67	67	0.0		3/4	3/4	Dynamic	4/4	2	1	0						sf									
17	17	67	67	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	151							57				
17	17	135/2	135/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	152											
18	18	68	68	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	153							58				
18	18	137/2	137/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	154											
18	18	69	69	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	155							59				
18	18	139/2	139/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	156											
18	18	70	70	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	157							60				
18	18	141/2	141/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	158											
18	18	71	71	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	159							61				
18	18	143/2	143/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	160											
18	18	68	68	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	161							62				
18	18	137/2	137/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	162											
18	18	69	69	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	163							63				
18	18	139/2	139/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	164											
18	18	70	70	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	165							64				
18	18	141/2	141/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	166											
18	18	71	71	0.0		3/4	3/4	Dynamic	4/4	2	1	0						sf									
18	18	71	71	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	167							65				
18	18	143/2	143/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	168											
19	19	72	72	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	169							66				
19	19	145/2	145/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	170							66				
19	19	73	73	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	171							66				
19	19	147/2	147/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	172							66				
19	19	74	74	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	173							66				
19	19	149/2	149/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	174							66				
19	19	75	75	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	175							66				
19	19	151/2	151/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	176							66				
19	19	72	72	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	177											
19	19	73	73	0.0		1/4	1/4	Dynamic	4/4	2	1	0						sf									
19	19	73	73	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	178											
19	19	72	72	4.0		0	0	Chord	4/4	2	2	1		1	1	179											
20	20	76	76	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	180							66				
20	20	153/2	153/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	181							66				
20	20	77	77	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	182							66				
20	20	155/2	155/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	183							66				
20	20	78	78	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	184							66				
20	20	157/2	157/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	185							66				
20	20	79	79	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	186							66				
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	187											
20	20	76	76	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	188											
20	20	77	77	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	189											
20	20	78	78	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	190											
20	20	79	79	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	191											
21	21	80	80	0.0		0	0	Dynamic	4/4	1	1	0						f									
21	21	80	80	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	192											
21	21	241/3	241/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	193											
21	21	242/3	242/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	194											
21	21	81	81	0.3333333333333333		1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	195											
21	21	244/3	244/3	0.3333333333333333		1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	196											
21	21	245/3	245/3	0.3333333333333333		5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	197											
21	21	82	82	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	198											
21	21	247/3	247/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	199											
21	21	248/3	248/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	200											
21	21	83	83	0.3333333333333333		3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	201											
21	21	250/3	250/3	0.3333333333333333		5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	202											
21	21	251/3	251/3	0.3333333333333333		11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	203											
21	21	80	80	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	204											
21	21	82	82	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	205			articStaccatoBelow								
21	21	83	83	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	206			articStaccatoBelow								
22	22	87	87	0.0		3/4	3/4	Dynamic	4/4	1	1	0						p									
22	22	87	87	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	207	p						67				
22	22	84	84	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	208											
22	22	253/3	253/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	209											
22	22	254/3	254/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	210											
22	22	85	85	0.3333333333333333		1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	211											
22	22	256/3	256/3	0.3333333333333333		1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	212											
22	22	257/3	257/3	0.3333333333333333		5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	213											
22	22	86	86	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	214											
22	22	259/3	259/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	215											
22	22	260/3	260/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	216											
22	22	87	87	0.3333333333333333		3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	217											
22	22	262/3	262/3	0.3333333333333333		5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	218											
22	22	263/3	263/3	0.3333333333333333		11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	219											
22	22	84	84	4.0		0	0	Chord	4/4	2	2	1		1	1	220											
23	23	88	88	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	221							67				
23	23	89	89	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	222							67				
23	23	90	90	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	223							67				
23	23	91	91	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	224											
23	23	88	88	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	225											
23	23	265/3	265/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	226											
23	23	266/3	266/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	227											
23	23	89	89	0.3333333333333333		1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	228											
23	23	268/3	268/3	0.3333333333333333		1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	229											
23	23	269/3	269/3	0.3333333333333333		5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	230											
23	23	90	90	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	231											
23	23	271/3	271/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	232											
23	23	272/3	272/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	233											
23	23	91	91	0.3333333333333333		3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	234											
23	23	274/3	274/3	0.3333333333333333		5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	235											
23	23	275/3	275/3	0.3333333333333333		11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	236											
23	23	88	88	4.0		0	0	Chord	4/4	2	2	1		1	1	237											
24	24	92	92	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	238											
24	24	94	94	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	239											
24	24	92	92	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	240											
24	24	277/3	277/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	241											
24	24	278/3	278/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	242											
24	24	93	93	0.3333333333333333		1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	243											
24	24	280/3	280/3	0.3333333333333333		1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	244											
24	24	281/3	281/3	0.3333333333333333		5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	245											
24	24	94	94	0.3333333333333333		1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	246											
24	24	283/3	283/3	0.3333333333333333		7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	247											
24	24	284/3	284/3	0.3333333333333333		2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	248											
24	24	95	95	0.3333333333333333		3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	249											
24	24	286/3	286/3	0.3333333333333333		5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	250											
24	24	287/3	287/3	0.3333333333333333		11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	251											
24	24	92	92	4.0		0	0	Chord	4/4	2	2	1		1	1	252											
25	25	96	96	0.0		0	0	Dynamic	4/4	1	1	0						f									
25	25	96	96	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	253											
25	25	289/3	289/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	254											
25	25	290/3	290/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	255											
25	25	97	97	0.3333333333333333		1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	256											
25	25	292/3	292/3	0.3333333333333333		1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	257											
25	25	293/3	293/3	0.3333333333333333		5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	258											
