mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
14	12	177/4	177/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	98						5		
14	12	181/4	181/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	99						5		
14	12	185/4	185/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	100						5		
14	12	189/4	189/4	0.75		3/4	3/4	Chord	4/4	2	1	3/16		1/8	3/2	101						5		
14	12	48	48	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	102								
15	13	193/4	193/4	0.0		0	0	Dynamic	4/4	1	1	0					p							
15	13	193/4	193/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	103		articStaccatoBelow						
15	13	197/4	197/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	104		articStaccatoBelow						
15	13	201/4	201/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	105		articStaccatoBelow						
15	13	205/4	205/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	106		articStaccatoBelow						
15	13	193/4	193/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	107		articStaccatoBelow						
15	13	197/4	197/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	108		articStaccatoBelow						
15	13	201/4	201/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	109		articStaccatoBelow						
15	13	205/4	205/4	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	110		articStaccatoAbove						
16	14	209/4	209/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	111		articStaccatoBelow						
16	14	213/4	213/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	112		articStaccatoAbove						
16	14	217/4	217/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	113		articStaccatoBelow						
16	14	221/4	221/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	114								
16	14	221/4	221/4	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	115								
16	14	209/4	209/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	116		articStaccatoAbove						
16	14	213/4	213/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	117		articStaccatoBelow						
