mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	61									
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62									
14	13	37	37	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	63							15		
14	13	39	39	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	64									
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	65									
14	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	66									
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67									
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	68									
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	69									
16	14	42	42	0.0	0	1/2	Dynamic	3/4	1	1	0					p								
16	14	42	42	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	70							16		
17	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	71							16		
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72									
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73							17		
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74									
18	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	75							18		
18	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	76									
18	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	77							19		
18	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78									
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	79							20		
19	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80									
19	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81							21		
19	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82									
20	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	83							22		
20	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	84									
20	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85							23		
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86									
21	19	55	55	0.0	0	0	Dynamic	3/4	1	1	0					p								
21	19	55	55	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	87							24		
21	19	57	57	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	88									
21	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	89									
21	19	55	55	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	90									
21	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91									
22	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	92									
22	20	60	60	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf								
22	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	93							25		
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	94									
22	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	95									
23	21	61	61	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	96							26		
23	21	63	63	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	97									
23	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	98									
23	21	61	61	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	99									
23	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100									
24	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	101									
24	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	102							27		
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103									
24	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	104									
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	105									
25	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	106									
25	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	107							28		
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	108									
25	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	109									
25	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110									
26	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	111									
26	24	72	72	0.0	1/2	1/2	Dynamic	3/4	1	1	0					ff								
26	24	72	72	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	112							29		
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	113							29		
26	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	114									
26	24	72	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	115							30		
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	116							30		
27	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	117							29		
27	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	118							29		
27	25	74	74	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	119							29		
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120							29		
27	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	121							29		
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	122							29		
27	25	73	73	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	123							30		
27	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	124							30		
27	25	74	74	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	125							30		
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	126							30		
27	25	75	75	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	127							30		
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	128							30		
28	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	129							29		
28	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	130							29		
28	26	77	77	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	131							29		
28	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	132							29		
28	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	133							29		
28	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	134							29		
28	26	76	76	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	135							30		
28	26	153/2	153/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	136							30		
28	26	77	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	137							30		
28	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	138							30		
28	26	78	78	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	139							30		
28	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	140							30		
29	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	141							29		
29	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	142							29		
29	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	143							29		
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144							29		
29	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	145							29		
29	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	146							29		
29	27	79	79	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	147							30		
29	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	148							30		
29	27	80	80	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	149							30		
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	150							30		
29	27	81	81	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	151							30		
29	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	152							30		
30	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	153		articStaccatoBelow							
30	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	154		articStaccatoBelow							
30	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	155									
30	28	84	84	0.0	1/2	1/2	Dynamic	3/4	2	1	0					f								
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	156									
31	29	87	87	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf								
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	157									
31	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	158							31		
31	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159									
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160									
32	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	161							32		
32	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	162									
32	30	90	90	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf								
32	30	90	90	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	163		ornamentTrill							
32	30	451/5	451/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	164									
32	30	452/5	452/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	165									
32	30	453/5	453/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	166									
32	30	454/5	454/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	167									
32	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	168							33		
32	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	169									
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	170									
33	31	91	91	0.0	0	0	Dynamic	3/4	1	1	0					sf								
33	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	171							34		
33	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172									
33	31	93	93	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	173		ornamentTrill							
33	31	466/5	466/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	174									
33	31	467/5	467/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	175									
33	31	468/5	468/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	176									
33	31	469/5	469/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	177									
33	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	178							35		
33	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	179									
33	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	180									
34	32	94	94	0.0	0	0	Dynamic	3/4	1	1	0					sf								
34	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	181							36		
34	32	95	95	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182									
34	32	96	96	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	183		ornamentTrill							
34	32	481/5	481/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	184									
34	32	482/5	482/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	185									
34	32	483/5	483/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	186									
34	32	484/5	484/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	187									
34	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	188							37		
34	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	189									
34	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190									
35	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0					sf								
35	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	191							38		
35	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	192									
35	33	99	99	0.2	1/2	1/2	Chord	3/4	1	1	1/20		1/16	4/5	193		ornamentTrill							
35	33	496/5	496/5	0.2	11/20	11/20	Chord	3/4	1	1	1/20		1/16	4/5	194									
35	33	497/5	497/5	0.2	3/5	3/5	Chord	3/4	1	1	1/20		1/16	4/5	195									
35	33	498/5	498/5	0.2	13/20	13/20	Chord	3/4	1	1	1/20		1/16	4/5	196									
35	33	499/5	499/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20		1/16	4/5	197									
35	33	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	198							39		
35	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199									
35	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200									
36	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	201							40		
36	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202									
36	34	102	102	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf								
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203		articStaccatoAbove							
36	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	204							41		
36	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	205									
36	34	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	206									
36	34	100	100	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	207									
36	34	102	102	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	208									
37	35	103	103	0.0	0	0	Dynamic	3/4	1	1	0					p								
37	35	103	103	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	209									
37	35	105	105	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	210									
37	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	211									
37	35	103	103	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	212									
37	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	213									
38	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	214									
38	36	108	108	0.0	1/2	1/2	Dynamic	3/4	1	1	0					pp								
38	36	108	108	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	215							42		
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	216									
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217									
39	37	109	109	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	218							43		
39	37	111	111	0.0	1/2	1/2	Chord	3/4	1	1	0	acciaccatura	1/8	1	219									
39	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	220									
39	37	109	109	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	221									
39	37	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	222									
40	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	223									
40	38	112	112	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	224									
41	39	115	115	0.0	0	0	Dynamic	3/4	1	1	0					pp								
41	39	115	115	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	225									
41	39	115	115	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	226									
42	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	227									
42	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	228									
43	40	120	120	0.0	0	1/2	StaffText	3/4	1	1	0							TRIO						
43	40	120	120	0.0	0	1/2	Dynamic	3/4	1	1	0					p								
43	40	120	120	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	229									
44	41	121	121	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	230							44		
44	41	243/2	243/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	231							44		
44	41	122	122	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	232							44		
44	41	245/2	245/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233							44		
44	41	123	123	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234							44		
44	41	247/2	247/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235							44		
44	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236							45		
44	41	122	122	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	237							45		
44	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	238							45		
45	42	124	124	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	239							44		
45	42	249/2	249/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	240							44		
45	42	125	125	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	241							44		
45	42	251/2	251/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	242							44		
45	42	126	126	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	243							44		
45	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	244							44		
45	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245							45		
45	42	125	125	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246							45		
45	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247							45		
46	43	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	248							44		
46	43	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	249							44		
46	43	128	128	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	250							44		
46	43	257/2	257/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	251							44		
46	43	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	252							44		
46	43	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	253							44		
46	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	254							45		
46	43	128	128	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	255							45		
46	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	256							45		
47	44	130	130	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	257							44		
47	44	261/2	261/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	258							44		
47	44	131	131	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	259							44		
47	44	263/2	263/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	260							44		
47	44	132	132	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	261							44		
47	44	265/2	265/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	262									
47	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	263							45		
47	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	264							45		
47	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	265									
48	45	133	133	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	266							46		
48	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	267							46		
48	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	268									
48	45	133	133	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	269									
48	45	133	133	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	270							47		
48	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	271							47		
48	45	134	134	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	272							47		
48	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	273							47		
48	45	135	135	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	274							47		
48	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	275							47		
49	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	276							48		
49	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	277							48		
49	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	278									
