mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	crescendo_line
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37				5			
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	38							
9	8	24	24	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	39	p			6			
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	40				5			
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	41				5			
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42							
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	43				6			
10	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	44				6			
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	45				6			
10	9	25	25	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	46							
10	9	25	25	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	47							
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	48				6			
11	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49				6			
11	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50							
11	10	28	28	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	51							
11	10	28	28	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	52							
11	10	28	28	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	53							
12	11	31	31	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	54				7			
12	11	31	31	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	55							
12	11	31	31	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	56							
12	11	31	31	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	57							
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	58				7			
13	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	59				7			
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60				7, 8			
13	12	34	34	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	61							
13	12	34	34	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	62							
13	12	34	34	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	63							
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	64				7, 8			
14	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	65							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	66			articStaccatoAbove				
14	13	37	37	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	67							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	68							
14	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	69							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70							
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	71							
15	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	72							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	73			articStaccatoAbove				
15	14	40	40	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	74							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	75							
15	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	76							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77							
16	15	43	43	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	78				9			
16	15	43	43	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	79							
16	15	43	43	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	80							
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	81				10			
16	15	43	43	3.0	0	0	Chord	3/4	2	3	3/4		1/2	3/2	82							
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	83							
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	84							
17	16	46	46	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	85							
18	16	48	48	1.0	0	1/2	Chord	3/4	2	1	1/4		1/4	1	86							
19	17	49	49	0.0	0	0	Dynamic	3/4	2	1	0						sf					
19	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	87				11			
19	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	88				11			
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	89				11			
20	18	52	52	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	90				11			
20	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	91				11			
20	18	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	92				11			
20	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	93				11			
20	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	94				11			
20	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	95				11			
21	19	55	55	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	96				11			
21	19	56	56	0.0	1/4	1/4	Dynamic	3/4	2	1	0						sf		11			
21	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	97				11			
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	98				11			
21	19	55	55	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	99			articStaccatoBelow				
21	19	56	56	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	100			articStaccatoBelow				
22	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	101				11			
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	102				11			
22	20	59	59	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	103							
22	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	104							
22	20	60	60	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	105							
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	106							
23	21	61	61	0.0	0	0	Dynamic	3/4	1	1	0						sf					
23	21	61	61	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	107				12			
23	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	108				12			
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	109				12			
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	110			articStaccatoAbove				
23	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	111			articStaccatoAbove				
24	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	112				12			
24	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	113				12			
24	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	114				12			
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	115				12			
24	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	116				12			
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117							
25	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	118			articStaccatoAbove				
25	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	119			articStaccatoAbove				
25	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120			articStaccatoAbove				
25	23	67	67	0.0	0	0	Dynamic	3/4	2	1	0						sf					
25	23	67	67	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	121				13			
25	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	122				13			
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	123				13			
26	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	124			articStaccatoAbove				
26	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	125			articStaccatoAbove				
26	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126			articStaccatoAbove				
26	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	127				13			
26	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	128				13			
26	24	71	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	129				13			
26	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	130				13			
26	24	72	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	131				13			
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	132							
27	25	73	73	0.0	0	0	Spanner	3/4	1	1	0									0		
27	25	73	73	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	133					0		
27	25	74	74	0.0	1/4	1/4	Dynamic	3/4	1	2	0						p					
27	25	74	74	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	134				14			
27	25	75	75	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	135							
27	25	73	73	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	136							
28	26	76	76	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	137					0		
28	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138				15			
28	26	77	77	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139				15			
28	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140				15			
28	26	76	76	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	141							
29	27	79	79	0.0	0	0	Spanner	3/4	1	1	0									0	0	
29	27	79	79	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	142					0	0	
29	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	143				15			
29	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	144				15			
29	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	145				15			
29	27	79	79	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	146							
30	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	147					0	0	
30	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	148					0	0	
30	28	84	84	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	149					0	0	
30	28	84	84	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	150					0	0	
30	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	151			articStaccatoAbove		0	0	
30	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152				15			
30	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153				15			
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154			articStaccatoAbove				
30	28	82	82	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	155							
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	156							
31	29	85	85	0.0	0	0	Dynamic	3/4	1	1	0						p					
31	29	85	85	0.0	0	0	Spanner	3/4	1	1	0											
31	29	85	85	0.0	0	0	Spanner	3/4	1	1	0											
31	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	157				16			
31	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158							
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	159			articStaccatoAbove				
31	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160				17			
31	29	86	86	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161							
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162			articStaccatoAbove				
31	29	85	85	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	163							
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	164							
32	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	165				18			
32	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	166							
32	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	167			articStaccatoAbove				
32	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	168				19			
32	30	89	89	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	169							
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	170			articStaccatoAbove				
32	30	88	88	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	171							
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	172							
33	31	91	91	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	173				20			
33	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174							
33	31	91	91	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	175							
33	31	92	92	0.0	1/4	1/4	Dynamic	3/4	2	1	0						ff					
33	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	176				21			
33	31	93	93	0.0	1/2	1/2	Dynamic	3/4	2	1	0						sf		21			
33	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177				21			
34	32	96	96	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
34	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	178				22			
34	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179				21			
34	32	95	95	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180				21			
34	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181							
35	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	182				22			
35	33	98	98	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	183				22			
35	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	184				22			
35	33	97	97	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	185							
35	33	97	97	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	186							
36	34	100	100	0.0	0	0	Spanner	3/4	1	1	0								22			0
36	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	187				22			0
36	34	101	101	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	188				22			0
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	189							0
36	34	100	100	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	190							0
36	34	100	100	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	191							
37	35	103	103	0.0	0	0	Spanner	3/4	1	1	0											
37	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	192				23			
37	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	193				23			
37	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	194				23			
37	35	103	103	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	195							
37	35	103	103	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	196							
38	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	197				23			
38	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	198				23			
38	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199							
38	36	106	106	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	200							
38	36	106	106	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	201							
39	37	109	109	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	202				24			
39	37	110	110	0.0	1/4	1/4	Dynamic	3/4	1	1	0						sf		24			
39	37	111	111	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203				24			
39	37	110	110	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	204							
39	37	109	109	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	205							
40	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	206				24			
40	38	113	113	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	207				24			
40	38	114	114	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	208							
40	38	112	112	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	209							
40	38	112	112	0.0	0	0	Dynamic	3/4	2	1	0						sf					
40	38	112	112	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	210							
41	39	115	115	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	211				25			
41	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	212				25			
41	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	213				25			
41	39	115	115	0.0	0	0	Dynamic	3/4	1	2	0						p					
41	39	115	115	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	214							
41	39	117	117	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	215							
41	39	115	115	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	216				26			
41	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	217				26			
42	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	218				25			
42	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	219				25			
42	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	220							
42	40	118	118	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	221							
42	40	120	120	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	222							
42	40	118	118	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	223				26			
42	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	224							
43	41	121	121	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	225				27			
43	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	226				27			
43	41	123	123	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	227							
43	41	121	121	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	228							
43	41	123	123	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	229							
43	41	121	121	1.0	0	0	Chord	3/4	1	3	1/4		1/4	1	230							
43	41	122	122	1.0	1/4	1/4	Chord	3/4	1	3	1/4		1/4	1	231							
43	41	123	123	1.0	1/2	1/2	Chord	3/4	1	3	1/4		1/4	1	232							
43	41	121	121	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	233				28			
43	41	123	123	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	234				28			
44	42	124	124	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	235				29			
44	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	236							
44	42	126	126	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	237			articStaccatoAbove				
44	42	124	124	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	238							
44	42	126	126	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	239							
44	42	124	124	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	240				28			
44	42	126	126	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	241							
45	43	127	127	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	242							
45	43	127	127	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	243							
45	43	129	129	0.0	1/2	1/2	Dynamic	3/4	2	1	0						pp					
45	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244							
45	43	127	127	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	245							
46	44	130	130	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	246				30			
46	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247				30			
46	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248							
46	44	130	130	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	249							
47	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	250							
47	45	135	135	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	251							
47	45	133	133	0.0	0	0	Dynamic	3/4	2	1	0						pp					
47	45	133	133	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	252							
47	45	133	133	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	253							
48	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	254				31			
48	46	137	137	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	255							
48	46	138	138	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	256			articStaccatoBelow				
48	46	136	136	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	257							
48	46	136	136	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	258							
48	46	136	136	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	259							
49	47	139	139	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	260							
49	47	139	139	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	261							
49	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	262							
49	47	139	139	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	263							
50	48	142	142	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	264				32			
50	48	143	143	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	265							
50	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	266			articStaccatoAbove				
50	48	142	142	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	267							
51	49	147	147	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	268							
51	49	147	147	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	269							
51	49	145	145	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	270							
51	49	145	145	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	271							
52	50	148	148	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	272				33			
52	50	149	149	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	273							
52	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	274			articStaccatoBelow				
52	50	148	148	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	275							
52	50	148	148	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	276							
52	50	148	148	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	277							
53	51	151	151	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	278				34			
53	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	279							
53	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	280			articStaccatoBelow				
53	51	151	151	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	281							
