mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	Trill:trill
6	6	15	15	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	30								
7	7	18	18	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	31				6				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	32				6				
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	33				6				
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	34				6				
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	35				6				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	36								
7	7	18	18	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	37								
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	38								
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	39								
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	40								
8	8	21	21	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	41								
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	42								
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	43								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	44								
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	45								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	46								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	47								
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	48								
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	49								
9	9	24	24	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	50								
10	10	27	27	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	51								
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	52								
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	53								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	54								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	55								
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	56								
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	57								
10	10	27	27	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	58								
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0										0		
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	59				7		0		
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	60				7		0		
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	61				7		0		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	62				7		0		
11	11	30	30	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	63						0		
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	64						0		
11	11	30	30	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	65								
11	11	63/2	63/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	66								
11	11	30	30	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	67								
12	12	33	33	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	68				7		0		
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	69				7		0		
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								7				
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	70				7				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	71								
12	12	33	33	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	72								
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	2	0									0			
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	73					0			
12	12	33	33	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	74								
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	75								
12	12	33	33	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	76								
13	13	36	36	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	77								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	78								
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	79								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	80								
13	13	36	36	0.0	0	0	Spanner	6/8	1	2	0												
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	81								
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	82								
13	13	75/2	75/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	83								
13	13	36	36	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	84								
14	14	39	39	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	85								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	86								
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	87								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	88								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	89								
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	90								
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	91								
14	14	39	39	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	92								
15	15	42	42	0.0	0	0	Spanner	6/8	1	1	0										1		
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	93				8		1		
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	94				8		1		
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	95				8		1		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	96				8		1		
15	15	42	42	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	97						1		
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	98						1		
15	15	42	42	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	99								
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	100								
15	15	42	42	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	101								
16	16	45	45	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	102				8		1		
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	103				8		1		
16	16	93/2	93/2	0.0	3/8	3/8	Spanner	6/8	1	1	0												
16	16	93/2	93/2	0.0	3/8	3/8	Spanner	6/8	1	1	0									1			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	104					1			
16	16	47	47	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	105				9	1			
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	106					1			
16	16	45	45	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	107					1			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	108					1			
16	16	45	45	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	109								
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	110								
16	16	45	45	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	111								
17	17	48	48	0.0	0	0	Spanner	6/8	1	1	0												
17	17	48	48	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	112								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	113								
17	17	50	50	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	114								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	115								
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	116								
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	117								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	118								
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	119								
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	120								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	121								
17	17	48	48	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	122								
18	18	51	51	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	123								
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	124								
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	125								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	126								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	127								
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	128								
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	129								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	130								
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	131								
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	132								
18	18	51	51	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	133								
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	134				10				
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	135				10				
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	136				10				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	137				10				
19	19	109/2	109/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	138								
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	139								
19	19	56	56	1.0	1/2	1/2	Chord	6/8	1	2	1/4		1/4	1	140								
19	19	54	54	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	141								
19	19	111/2	111/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	142								
19	19	54	54	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	143								
20	20	57	57	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	144				10				
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	145				10				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	146				10				
20	20	59	59	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	147				10				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	148								
20	20	57	57	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	149								
20	20	115/2	115/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	150								
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	151	>							
20	20	57	57	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	152								
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	153								
20	20	57	57	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	154								
21	21	60	60	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	155								
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	156								
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	157								
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	158								
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	159								
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	160								
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	161								
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	162								
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	163								
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	164								
21	21	60	60	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	165								
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	166								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	167								
22	22	65	65	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	168								
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	169								
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	170								
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	171								
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	172								
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	173								
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	174								
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	175								
22	22	63	63	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	176								
23	23	66	66	0.0	0	0	Spanner	6/8	1	1	0										2		
23	23	66	66	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	177				11		2		
23	23	67	67	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	178				11		2		
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	179				11		2		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	180				11		2		
23	23	133/2	133/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	181						2		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	182						2		
23	23	68	68	1.0	1/2	1/2	Chord	6/8	1	2	1/4		1/4	1	183						2		
23	23	66	66	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	184								
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	185								
23	23	66	66	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	186								
24	24	69	69	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	187				11		2		
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	188				11		2		
24	24	141/2	141/2	0.0	3/8	3/8	Spanner	6/8	1	1	0												
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	189								
24	24	69	69	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	190								
24	24	139/2	139/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	191								
24	24	141/2	141/2	0.0	3/8	3/8	Spanner	6/8	1	2	0									2			
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	192					2			
24	24	143/2	143/2	0.0	5/8	5/8	Spanner	6/8	1	2	0												
24	24	69	69	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	193								
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	194								
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	195	p			12				
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	196				12				
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	197				12				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	198								
25	25	72	72	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	199				13				
25	25	73	73	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	200				13				
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	201				13				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	202								
26	26	75	75	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	203								
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	204								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	205								
26	26	75	75	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	206								
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	207								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208								
27	27	78	78	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	209				14				
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	210				14				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	211								
27	27	78	78	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	212				15				
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	213				15				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	214								
28	28	81	81	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	215				16				
28	28	165/2	165/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	216								
28	28	81	81	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	217				17				
28	28	165/2	165/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	218								
29	29	84	84	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	219				18				
29	29	85	85	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	220				18				
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	221				18				
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	222								
29	29	84	84	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	223								
30	30	87	87	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	224								
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	225								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	226								
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	227								
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	228								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	229								
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	230								
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	231								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	232								
31	31	90	90	0.0	0	0	Spanner	6/8	1	1	0										3		
31	31	90	90	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	233				19		3		
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	234				19		3		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	235				19		3		
31	31	90	90	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	236						3		
31	31	91	91	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	237						3		
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	238						3		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	239						3		
31	31	90	90	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	240								
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	241								
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	242								
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	243								
32	32	93	93	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	244				19		3		
32	32	189/2	189/2	0.0	3/8	3/8	Spanner	6/8	1	1	0												
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	245								
32	32	93	93	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	246								
32	32	189/2	189/2	0.0	3/8	3/8	Spanner	6/8	1	2	0									3			
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	247					3			
32	32	93	93	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	248								
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	249								
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	250								
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	251								
33	33	96	96	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	252								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	253								
33	33	98	98	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	254								
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	255								
33	33	96	96	0.0	0	0	Spanner	6/8	1	2	0												
33	33	96	96	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	256								
33	33	193/2	193/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	257								
33	33	97	97	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	258								
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	259								
33	33	96	96	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	260								
33	33	195/2	195/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	261								
33	33	98	98	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	262								
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	263								
33	33	96	96	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	264								
34	34	99	99	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	265								
34	34	201/2	201/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	266								
34	34	101	101	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	267								
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	268								
34	34	99	99	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	269								
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	270								
34	34	100	100	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	271								
34	34	201/2	201/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	272								
34	34	99	99	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	273								
34	34	201/2	201/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	274								
34	34	101	101	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	275								
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	276								
34	34	99	99	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	277								
