mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
11	10	38	38	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	139		
11	10	155/4	155/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	140		
11	10	39	39	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	141		
11	10	40	40	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	142		
11	10	163/4	163/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	143		
12	11	41	41	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	144		
12	11	42	42	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	145		
12	11	171/4	171/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	146		
12	11	43	43	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	147		
12	11	44	44	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	148		
12	11	179/4	179/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	149		
12	11	41	41	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	150		
12	11	42	42	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	151		
12	11	171/4	171/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	152		
12	11	43	43	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	153		
12	11	44	44	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	154		
12	11	179/4	179/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	155		
12	11	41	41	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	156		
12	11	42	42	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	157		
12	11	171/4	171/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	158		
12	11	43	43	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	159		
12	11	44	44	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	160		
12	11	179/4	179/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	161		
13	12	45	45	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	162		
13	12	46	46	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	163		
13	12	47	47	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164		
13	12	48	48	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	165	p	
13	12	195/4	195/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	166		
13	12	45	45	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	167		
13	12	46	46	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	168		
13	12	47	47	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	169		
13	12	48	48	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	170		
13	12	195/4	195/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	171		
13	12	45	45	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	172		
13	12	46	46	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	173		
13	12	47	47	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	174		
14	13	49	49	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	175		
14	13	50	50	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	176		
14	13	203/4	203/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	177		
14	13	51	51	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	178		
14	13	207/4	207/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	179		
14	13	52	52	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	180		
14	13	211/4	211/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	181		
14	13	49	49	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	182		
14	13	50	50	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	183		
14	13	203/4	203/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	184		
14	13	51	51	0.75		1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	185		
14	13	207/4	207/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	186		
14	13	52	52	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	187		
14	13	211/4	211/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	188		
14	13	49	49	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	189		
14	13	51	51	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	190		
14	13	49	49	4.0		0	0	Chord	4/4	2	3	1	1	1	191		
15	14	53	53	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	192		
15	14	56	56	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	193		
15	14	227/4	227/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	194		
15	14	53	53	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	195		
15	14	56	56	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	196		
15	14	227/4	227/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	197		
15	14	53	53	0.75		0	0	Chord	4/4	2	2	3/16	1/8	3/2	198		
15	14	215/4	215/4	0.25		3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	199		
15	14	54	54	0.75		1/4	1/4	Chord	4/4	2	2	3/16	1/8	3/2	200		
15	14	219/4	219/4	0.25		7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	201		
15	14	55	55	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	202		
15	14	56	56	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	203		
15	14	227/4	227/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	204		articStaccatoBelow
16	15	57	57	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	205		
16	15	58	58	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	206		
16	15	235/4	235/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	207		
16	15	59	59	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	208		
16	15	60	60	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	209		
16	15	243/4	243/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	210		
16	15	57	57	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	211		
16	15	58	58	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	212		
16	15	235/4	235/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	213		
16	15	59	59	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	214		
16	15	60	60	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	215		
16	15	243/4	243/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	216		
17	16	61	61	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	217	p	
17	16	62	62	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	218		
17	16	63	63	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	219		
17	16	64	64	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	220	pp	
17	16	259/4	259/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	221		
17	16	61	61	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	222		
17	16	62	62	1.0		1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	223		
17	16	63	63	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	224		
17	16	64	64	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	225		
17	16	259/4	259/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	226		
18	17	65	65	2.0		0	0	Chord	4/4	1	1	1/2	1/2	1	227		
18	17	67	67	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	228		
18	17	68	68	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	229		
18	17	65	65	2.0		0	0	Chord	4/4	2	1	1/2	1/2	1	230		
18	17	67	67	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	231		
18	17	68	68	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	232		
18	17	65	65	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	233		
18	17	66	66	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	234		
18	17	67	67	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	235		
18	17	68	68	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	236		
19	18	69	69	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	237		
19	18	279/4	279/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	238		
19	18	70	70	2.0		1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	239		
19	18	72	72	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	240		
19	18	291/4	291/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	241		
19	18	69	69	0.75		0	0	Chord	4/4	2	1	3/16	1/8	3/2	242		
19	18	279/4	279/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	243		
19	18	70	70	2.0		1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	244		
19	18	69	69	0.75		0	0	Chord	4/4	2	2	3/16	1/8	3/2	245		
19	18	279/4	279/4	0.25		3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	246		
19	18	70	70	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	247		
19	18	71	71	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	248		
19	18	72	72	0.75		3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	249		
19	18	291/4	291/4	0.25		15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	250		
20	19	73	73	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	251		
20	19	295/4	295/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	252	ff	
20	19	74	74	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	253		
20	19	299/4	299/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	254		
20	19	75	75	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	255		
20	19	303/4	303/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	256		
20	19	76	76	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	257		
20	19	307/4	307/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	258		
20	19	73	73	0.75		0	0	Chord	4/4	2	1	3/16	1/8	3/2	259		
20	19	295/4	295/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	260		
20	19	74	74	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	261		
20	19	299/4	299/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	262		
20	19	75	75	0.75		1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	263		
20	19	303/4	303/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	264		
20	19	76	76	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	265		
20	19	307/4	307/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	266		
21	20	77	77	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	267		
21	20	78	78	2.0		1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	268		
21	20	80	80	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	269		
21	20	321/4	321/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	270		
21	20	161/2	161/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	271		
21	20	323/4	323/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	272		
21	20	77	77	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	273		
21	20	78	78	2.0		1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	274		
21	20	80	80	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	275		
21	20	321/4	321/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	276		
21	20	161/2	161/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	277		
21	20	323/4	323/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	278		
22	21	82	82	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	279		
22	21	331/4	331/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	280		
22	21	83	83	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	281		
22	21	335/4	335/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	282		
22	21	84	84	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	283		
22	21	339/4	339/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	284		
22	21	81	81	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	285		
22	21	82	82	0.75		1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	286		
22	21	331/4	331/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	287		
22	21	83	83	0.75		1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	288		
22	21	335/4	335/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	289		
22	21	84	84	0.75		3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	290		
22	21	339/4	339/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	291		
22	21	81	81	2.0		0	0	Chord	4/4	2	2	1/2	1/2	1	292		
22	21	83	83	2.0		1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	293		
22	21	81	81	4.0		0	0	Chord	4/4	2	3	1	1	1	294		
23	22	85	85	3.0		0	0	Chord	4/4	1	1	3/4	1/2	3/2	295		
23	22	88	88	0.75		3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	296		
23	22	355/4	355/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	297		
23	22	85	85	3.0		0	0	Chord	4/4	2	1	3/4	1/2	3/2	298		
