mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	103				16				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	104				16				
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	105								
16	16	30	30	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	106				29				
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	107								
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	108				30				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	109								
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	110				31				
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	111								
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	112				32				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	113								
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	114								
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	115				33				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	116				33				
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	117				33				
17	17	32	32	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	118				34				
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	119								
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	120				35				
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	121								
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	122				36				
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	123								
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	124				37				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	125								
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	126				33				
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	127				33				
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	128				33				
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	129				33				
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	130				38				
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	131								
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	132				39				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	133								
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	134				40				
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	135								
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	136				41				
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	137								
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	138				33				
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	139				33				
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	140				33				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	141				33				
19	19	36	36	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	142				42				
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	143								
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	144				43				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	145								
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	146				44				
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	147								
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	148				45				
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	149								
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	150				33				
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	151				33				
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	152				33				
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	153				33				
20	20	38	38	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	154				46				
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	155								
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	156				47				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	157								
20	20	39	39	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	158				48				
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	159								
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	160				49				
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	161								
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	162				33				
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	163				33				
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	164				33				
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	165				33				
21	21	40	40	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	166				50				
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	167								
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	168				51				
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	169								
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	170				52				
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	171								
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	172				53				
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	173								
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	174				33				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	175				33				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	176				33				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	177								
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	178								
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	179				54				
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	180								
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	181				55				
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	182								
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	183								
22	22	43	43	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	184				56				
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	185								
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	186				57				
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	187								
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	188				58				
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	189								
23	23	44	44	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	190				59				
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	191								
23	23	45	45	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	192				60				
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	193								
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	194				61				
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	195								
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	196				62				
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	197								
24	24	46	46	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	198				63				
24	24	185/4	185/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	199								
24	24	47	47	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	200				64				
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	201								
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	202				65				
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	203								
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	204				66				
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	205								
25	25	48	48	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	206				67				
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	207								
25	25	49	49	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	208				68				
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	209								
26	26	50	50	0.0	0	0	Dynamic	2/4	1	1	0					p						
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	210				69				
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	211								
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	212				70				
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	213								
26	26	50	50	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	214				71				
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	215								
26	26	51	51	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	216				72				
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	217								
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	218				73				
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	219								
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	220				74				
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	221								
27	27	52	52	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	222				75				
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	223								
27	27	53	53	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	224				76				
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	225								
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	226				77				
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	227								
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	228				78				
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	229								
28	28	54	54	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	230				79				
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	231								
28	28	55	55	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	232				80				
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	233								
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	234				81				
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	235								
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	236				82				
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	237								
29	29	56	56	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	238				83				
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	239								
29	29	57	57	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	240				84				
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	241								
30	30	58	58	0.0	0	0	Dynamic	2/4	1	1	0					pp						
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	242				85				
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	243								
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	244				86				
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	245								
30	30	58	58	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	246				87				
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	247								
30	30	59	59	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	248				88				
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	249								
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	250				89				
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	251								
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	252				90				
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	253								
31	31	60	60	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	254				91				
31	31	241/4	241/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	255								
31	31	61	61	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	256				92				
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	257								
32	32	62	62	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	258				93				
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	259								
32	32	62	62	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	260				94				
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	261								
33	33	64	64	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	262								
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	263								
33	33	64	64	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	264								
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	265								
34	34	66	66	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	266				95				
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	267								
34	34	67	67	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	268			articStaccatoBelow					
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	269			articStaccatoBelow					
34	34	66	66	0.75	0	0	Chord	2/4	2	1	3/16	1/8	3/2	270				96				
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	271								
34	34	67	67	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	272			articStaccatoBelow					
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	273			articStaccatoBelow					
35	35	68	68	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	274								
35	35	68	68	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	275								
36	36	70	70	0.0	0	0	Dynamic	2/4	1	1	0					sf						
36	36	70	70	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	276				97				
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	277								
36	36	70	70	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	278				98				
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	279								
