mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	decrescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.	HairPin:3_decresc	crescendo_hairpin
3	3	17/2	17/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0	2							
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	31		articAccentAbove					2							
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	32														
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	33														
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	34														
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	35														
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	36														
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	37														
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																		
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0												7						
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	38								7						
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	39								7						
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	2	1	0												8						
3	3	7	7	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	40								8						
3	3	29/4	29/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	41								8						
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												9						
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	42								9						
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	43								9						
3	3	8	8	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
3	3	8	8	0.0	1/2	1/2	Spanner	3/4	2	1	0												10						
3	3	8	8	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	44								10						
3	3	33/4	33/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	45								10						
3	3	17/2	17/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																		
3	3	17/2	17/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												11						
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	46								11						
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	47								11						
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	48								11						
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	49								11						
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	50								11						
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	51								11						
4	4	9	9	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	52							3							
4	4	39/4	39/4	0.0	3/16	3/16	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0	3							
4	4	39/4	39/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	53							3							
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	54														
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	1	1	0														1				
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	55							4			1				
4	4	21/2	21/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0	4			1				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	56							4			1				
4	4	11	11	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0	4			1				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	57							4			1				
4	4	23/2	23/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=36
"	36.0	0.0				1				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	58										1				
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	59										1				
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	60										1				
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0																		
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0												12						
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	61								12						
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0														2				
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0												13		2				
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	62								13		2				
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														2				
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												14		2				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	63							5	14		2				
4	4	11	11	0.0	1/2	1/2	Spanner	3/4	2	1	0											5			2				
4	4	11	11	0.0	1/2	1/2	Spanner	3/4	2	1	0											5	15		2				
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	64							5	15		2				
4	4	23/2	23/2	0.0	5/8	5/8	Spanner	3/4	2	1	0														2				
4	4	23/2	23/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												16		2				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	65								16		2				
4	4	9	9	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	66								16		2				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	67								16		2				
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					fp													
5	5	12	12	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0																		
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	68														
5	5	27/2	27/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	69														
5	5	14	14	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0								
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	70							6							
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	71							6							
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	72							6							
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	73														
5	5	12	12	0.0	0	0	Dynamic	3/4	2	1	0					fp													
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																		
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																		
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0												17						
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	74								17						
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																		
5	5	25/2	25/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												18						
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	75								18						
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	2	1	0												19						
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	76								19						
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												20						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	77								20						
5	5	14	14	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
5	5	14	14	0.0	1/2	1/2	Spanner	3/4	2	1	0												21						
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	78								21						
5	5	29/2	29/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																		
5	5	29/2	29/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												22						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	79								22						
6	6	15	15	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	80							7							
6	6	31/2	31/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
6	6	31/2	31/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	81														
6	6	33/2	33/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	82														
6	6	17	17	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0								
6	6	17	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	83		articStaccatoBelow												
6	6	69/4	69/4	0.0	9/16	9/16	Spanner	3/4	1	1	0														3				
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	84		ornamentTrill					8			3				
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	85							8			3				
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	86										3				
6	6	69/4	69/4	0.05	9/16	9/16	Chord	3/4	1	2	1/80		1/64	4/5	87										3				
6	6	173/10	173/10	0.05	23/40	23/40	Chord	3/4	1	2	1/80		1/64	4/5	88										3				
6	6	347/20	347/20	0.05	47/80	47/80	Chord	3/4	1	2	1/80		1/64	4/5	89										3				
6	6	87/5	87/5	0.05	3/5	3/5	Chord	3/4	1	2	1/80		1/64	4/5	90										3				
6	6	349/20	349/20	0.05	49/80	49/80	Chord	3/4	1	2	1/80		1/64	4/5	91										3				
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																		
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0												23						
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	92								23						
6	6	31/2	31/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																		
6	6	31/2	31/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												24						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	93								24						
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	94								24						
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												25						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	95								25						
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																		0
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0																		0
6	6	17	17	0.0	1/2	1/2	Spanner	3/4	2	1	0												26						0
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	96								26						0
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												27						0
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												27						0
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	97								27						0
7	7	18	18	0.0	0	0	Dynamic	3/4	1	1	0					sf													
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0																		
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	98							9							
7	7	37/2	37/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
7	7	37/2	37/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	99														
7	7	39/2	39/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	3/4	1	1	0															0	0		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	100											0	0		
7	7	20	20	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0					0	0		
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	101							10				0	0		
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	102							10				0	0		
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	103							10				0	0		
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	104											0	0		
7	7	18	18	0.0	0	0	Dynamic	3/4	2	1	0					sf													
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																		
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0																		
7	7	18	18	0.0	0	0	Spanner	3/4	2	1	0												28						
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	105								28						
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																		
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	3/4	2	1	0												29						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	106								29						
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	107								29						
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	3/4	2	1	0															1	1		
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												30			1	1		
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	108								30			1	1		
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	2	1	0															1	1		
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	2	1	0												31			1	1		
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	109								31			1	1		
7	7	41/2	41/2	0.0	5/8	5/8	Spanner	3/4	2	1	0															1	1		
7	7	41/2	41/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												32			1	1		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	110								32			1	1		
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0					p													
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																		
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	111							11							
8	8	43/2	43/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0	11							
8	8	22	22	0.0	1/4	1/4	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0								
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	112														
8	8	45/2	45/2	0.0	3/8	3/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
8	8	47/2	47/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=38
"	38.0	0.0								
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	113														
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	114														
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																		
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0																		
8	8	21	21	0.0	0	0	Spanner	3/4	2	1	0												33						
8	8	21	21	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	115								33						
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	116								33						
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	2	1	0												34						
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	117								34						
8	8	45/2	45/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0					pp													
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	118							12							
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	119							12							
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	120														
8	8	21	21	0.0	0	0	Dynamic	3/4	2	2	0					p													
8	8	21	21	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	121														
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					pp													
9	9	49/2	49/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
9	9	49/2	49/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	122														
9	9	51/2	51/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	123														
9	9	53/2	53/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	124														
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0												35						
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	125								35						
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	126								35						
9	9	25	25	0.0	1/4	1/4	Spanner	3/4	2	1	0																		
9	9	25	25	0.0	1/4	1/4	Spanner	3/4	2	1	0												36						
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	127								36						
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	128								36						
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	2	1	0												37						
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	129								37						
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	130								37						
10	10	27	27	0.0	0	0	Spanner	3/4	1	1	0														4				
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	131							13			4				
10	10	55/2	55/2	0.0	1/8	1/8	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0	13			4				
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	132							13			4				
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	3/4	1	1	0											13							
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	133							13							
10	10	29	29	0.0	1/2	1/2	Dynamic	3/4	1	1	0					sf						13							
10	10	29	29	0.0	1/2	1/2	Tempo	3/4	1	1	0								"

𝅘𝅥
=39
"	39.0	0.0	13							
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	1	1	0											13		0					
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	134							13		0					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	135									0					
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																		
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0														5				
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0												38		5				
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	136								38		5				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	137								38		5				
10	10	28	28	0.0	1/4	1/4	Spanner	3/4	2	1	0														5				
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	138										5				
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	3/4	2	1	0																		
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	3/4	2	1	0												39						
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	139								39						
10	10	29	29	0.0	1/2	1/2	Dynamic	3/4	2	1	0					sf													
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0																		
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0													1					
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0												40	1					
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	140								40	1					
10	10	59/2	59/2	0.0	5/8	5/8	Spanner	3/4	2	1	0													1					
10	10	59/2	59/2	0.0	5/8	5/8	Spanner	3/4	2	1	0												41	1					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	141								41	1					
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0					p													
11	11	30	30	0.0	0	0	Tempo	3/4	1	1	0								"

𝅘𝅥
=40
"	40.0	0.0								
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0																		
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	142														
11	11	31	31	0.0	1/4	1/4	Spanner	3/4	1	1	0														6				
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	143							14			6				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	144							14			6				
