mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
5	4	29/2	29/2	0.0	1/2	1/2	Spanner	4/4	1	1	0											
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	38							
5	4	31/2	31/2	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	39							
5	4	31/2	31/2	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	40							
5	4	31/2	31/2	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	41							
5	4	31/2	31/2	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	42							
5	4	31/2	31/2	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	43							
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	44							
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	45				8			
5	4	16	16	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	46				9			
5	4	25/2	25/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	47							
5	4	27/2	27/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	48							
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	49							
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	50							
5	4	16	16	0.0	7/8	7/8	Dynamic	4/4	2	1	0						pp					
5	4	16	16	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	51				10			
5	4	25/2	25/2	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	52				11			
5	4	29/2	29/2	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	53							
5	4	31/2	31/2	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	54							
6	5	33/2	33/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	55				8			
6	5	17	17	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	56							
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	57				12			
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	58				12			
6	5	19	19	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	59							
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	60				13			
6	5	33/2	33/2	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	61	pp						
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	62				14			
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	63							
6	5	20	20	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	64				15			
6	5	33/2	33/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	65				10			
6	5	17	17	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	66							
6	5	18	18	0.0	3/8	3/8	Spanner	4/4	2	1	0										1	
6	5	18	18	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	67				16		1	
6	5	37/2	37/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	68				16		1	
6	5	19	19	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	69						1	
6	5	20	20	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	70				17		1	
7	6	41/2	41/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	71				13			
7	6	21	21	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	72							
7	6	22	22	0.0	3/8	3/8	Dynamic	4/4	1	1	0						p					
7	6	22	22	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	73				18			
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	74							
7	6	47/2	47/2	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	75							
7	6	47/2	47/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	76							
7	6	97/4	97/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	77							
7	6	41/2	41/2	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	78							
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	79							
7	6	41/2	41/2	0.0	0	0	Spanner	4/4	2	1	0								17			
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	80							
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	81				19			
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	82							
7	6	41/2	41/2	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	83							
7	6	21	21	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	84							
7	6	22	22	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	85							
7	6	45/2	45/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	86							
8	7	49/2	49/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	87							
8	7	28	28	0.0	7/8	7/8	Dynamic	4/4	1	1	0						ff					
8	7	28	28	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	88				20			
8	7	49/2	49/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	89							
8	7	28	28	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	90				21			
8	7	49/2	49/2	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	91							
9	8	57/2	57/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	92				20			
9	8	29	29	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	93							
9	8	30	30	0.0	3/8	3/8	Dynamic	4/4	1	1	0						p					
9	8	30	30	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	94				22			
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	95							
9	8	63/2	63/2	0.0	3/4	3/4	Chord	4/4	1	1	0	appoggiatura	1/8	1	96							
9	8	63/2	63/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	97							
9	8	129/4	129/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	98							
9	8	63/2	63/2	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	99							
9	8	57/2	57/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	100				21			
9	8	29	29	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	101							
9	8	30	30	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	102							
9	8	61/2	61/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	103				23			
9	8	63/2	63/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	104							
9	8	30	30	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	105							
9	8	61/2	61/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	106							
10	9	65/2	65/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	107							
10	9	71/2	71/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	108				24			
10	9	65/2	65/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	109							
10	9	131/4	131/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	110							
10	9	33	33	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	111							
10	9	133/4	133/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	112							
10	9	67/2	67/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	113							
10	9	135/4	135/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	114							
10	9	34	34	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	115							
10	9	137/4	137/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	116							
10	9	69/2	69/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	117							
10	9	139/4	139/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	118							
10	9	35	35	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	119							
10	9	141/4	141/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	120							
10	9	71/2	71/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	121							
10	9	143/4	143/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	122							
10	9	36	36	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	123							
10	9	145/4	145/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	124							
11	10	73/2	73/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	125				24			
11	10	37	37	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	126							
11	10	75/2	75/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	127			articStaccatoAbove				
11	10	38	38	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	128			articStaccatoAbove				
11	10	77/2	77/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	129			articStaccatoAbove				
11	10	39	39	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	130			articStaccatoAbove				
11	10	79/2	79/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	131			articStaccatoAbove				
11	10	40	40	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	132			articStaccatoAbove				
11	10	73/2	73/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	133							
11	10	147/4	147/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	134							
11	10	37	37	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	135							
11	10	149/4	149/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	136							
11	10	75/2	75/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	137							
11	10	151/4	151/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	138							
11	10	38	38	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	139							
11	10	153/4	153/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	140							
11	10	77/2	77/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	141							
11	10	155/4	155/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	142							
11	10	39	39	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	143							
11	10	157/4	157/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	144							
11	10	79/2	79/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	145							
11	10	159/4	159/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	146							
11	10	40	40	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	147							
11	10	161/4	161/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	148							
12	11	81/2	81/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	149				25			
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	150							
12	11	87/2	87/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	151				26			
12	11	81/2	81/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	152							
12	11	163/4	163/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	153							
12	11	41	41	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	154							
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	155							
12	11	83/2	83/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	156							
12	11	167/4	167/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	157							
12	11	42	42	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	158							
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	159							
12	11	85/2	85/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	160							
12	11	171/4	171/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	161							
12	11	43	43	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	162							
12	11	173/4	173/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	163							
12	11	87/2	87/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	164							
12	11	175/4	175/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	165							
12	11	44	44	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	166							
12	11	177/4	177/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	167							
13	12	89/2	89/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	168				26			
13	12	45	45	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	169							
13	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	170			articStaccatoBelow				
13	12	46	46	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	171			articStaccatoBelow				
13	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	172			articStaccatoBelow				
13	12	47	47	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	173			articStaccatoBelow				
13	12	95/2	95/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	174			articStaccatoBelow				
13	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	175			articStaccatoBelow				
13	12	89/2	89/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	176							
13	12	179/4	179/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	177							
13	12	45	45	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	178							
13	12	181/4	181/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	179							
13	12	91/2	91/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	180							
13	12	183/4	183/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	181							
13	12	46	46	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	182							
13	12	185/4	185/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	183							
13	12	93/2	93/2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	184							
13	12	187/4	187/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	185							
13	12	47	47	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	186							
13	12	189/4	189/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	187							
13	12	95/2	95/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	188							
13	12	191/4	191/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	189							
13	12	48	48	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	190							
13	12	193/4	193/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	191							
14	13	97/2	97/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	192				27			
14	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	193							
14	13	203/4	203/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	194	<			28			
14	13	51	51	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	195				28			
14	13	205/4	205/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	196				28			
14	13	103/2	103/2	0.0	3/4	3/4	Spanner	4/4	1	1	0								28		2	
14	13	103/2	103/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	197				28		2	
14	13	207/4	207/4	0.0	13/16	13/16	Spanner	4/4	1	1	0								28			
14	13	207/4	207/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	198				28			
14	13	52	52	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	199				28			
14	13	209/4	209/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	200							
14	13	97/2	97/2	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	201							
14	13	195/4	195/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	202							
14	13	49	49	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	203							
14	13	197/4	197/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	204							
14	13	99/2	99/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	205							
14	13	199/4	199/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	206							
14	13	50	50	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	207							
14	13	201/4	201/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	208							
14	13	103/2	103/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	209				29			
14	13	101/2	101/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	210							
15	14	211/4	211/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	211				30			
15	14	53	53	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	212				30			
15	14	213/4	213/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	213				30			
15	14	107/2	107/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	214				30			
15	14	215/4	215/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	215				30			
15	14	54	54	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	216				30			
15	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	217							
15	14	219/4	219/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	218				31			
15	14	55	55	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	219				31			
15	14	221/4	221/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	220				31			
15	14	111/2	111/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	221				31			
15	14	223/4	223/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	222				31			
15	14	56	56	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	223				31			
15	14	225/4	225/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	224							
15	14	105/2	105/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	225				29			
15	14	53	53	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	226				29			
15	14	107/2	107/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	227				29			
15	14	54	54	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	228				29			
15	14	109/2	109/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	229				29			
15	14	55	55	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	230				29			
15	14	111/2	111/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	231				29			
15	14	56	56	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	232							
15	14	105/2	105/2	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	233							
15	14	109/2	109/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	234							
16	15	113/2	113/2	0.0	0	0	Dynamic	4/4	1	1	0						sf					
16	15	227/4	227/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	235				32			
16	15	57	57	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	236				32			
16	15	229/4	229/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	237				32			
16	15	115/2	115/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	238				32			
16	15	231/4	231/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	239				32			
16	15	58	58	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	240				32			
16	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	241							
16	15	117/2	117/2	0.0	1/2	1/2	Dynamic	4/4	1	1	0						f					
16	15	235/4	235/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	242	f			33			
16	15	59	59	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	243				33			
16	15	237/4	237/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	244				33			
16	15	119/2	119/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	245				33			
16	15	239/4	239/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	246				33			
16	15	60	60	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	247				33			
16	15	241/4	241/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	248							
16	15	113/2	113/2	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	249				34			
16	15	115/2	115/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	250							
16	15	235/4	235/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	251				35			
16	15	59	59	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	252				35			
16	15	237/4	237/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	253				35			
16	15	119/2	119/2	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	254				35			
16	15	239/4	239/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	255				35			
16	15	60	60	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	256				35			
16	15	241/4	241/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	257							
16	15	113/2	113/2	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	258							
16	15	117/2	117/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	259							
17	16	121/2	121/2	0.0	0	0	Dynamic	4/4	1	1	0						fp					
17	16	121/2	121/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	260				36			
17	16	243/4	243/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	261				36			
17	16	61	61	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	262				36			
17	16	245/4	245/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	263				36			
17	16	123/2	123/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	264				36			
17	16	247/4	247/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	265				36			
17	16	62	62	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	266				36			
