mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin
7	6	16	16	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	34				0			
7	6	18	18	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	35							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	36							
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	37							
7	6	17	17	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	38							
7	6	16	16	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	39				1			
7	6	16	16	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	40							
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	41							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	42							
8	7	19	19	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	43				2			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	44							
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45							
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46							
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47							
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	48							
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49			articStaccatoBelow				
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50			articStaccatoBelow				
10	8	24	24	0.0	0	1/2	Dynamic	3/4	1	1	0						p					
10	8	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	51			articStaccatoAbove				
11	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52				3			
11	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	53				3			
11	9	53/2	53/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						sf					
11	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	54							
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	55			articStaccatoAbove				
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	56			articStaccatoBelow				
11	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57			articStaccatoAbove				
12	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	58			articStaccatoAbove				
12	10	30	30	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	59			articStaccatoAbove				
12	10	28	28	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	60				4			
12	10	29	29	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	61				4			
12	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	62							
12	10	30	30	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf					
12	10	30	30	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	63			articStaccatoBelow				
12	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	64							
12	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65			articStaccatoAbove				
13	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	66				5			
13	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	67				5			
13	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	68							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	69			articStaccatoAbove				
13	11	31	31	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	70			articStaccatoBelow				
13	11	33	33	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf					
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	71			articStaccatoBelow				
13	11	31	31	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	72							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73			articStaccatoAbove				
14	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	74			articStaccatoAbove				
14	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	75			articStaccatoAbove				
14	12	34	34	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	76				6			
14	12	35	35	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	77				6			
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	78							
14	12	36	36	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf					
14	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	79			articStaccatoBelow				
14	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	80							
14	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81			articStaccatoAbove				
15	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	82				7			
15	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	83				7			
15	13	77/2	77/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						sf					
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	84							
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	85			articStaccatoAbove				
15	13	37	37	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	86			articStaccatoBelow				
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	87			articStaccatoBelow				
15	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	88							
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	89			articStaccatoAbove				
16	14	40	40	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	90							
16	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	91			articStaccatoAbove				
16	14	40	40	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	92				8			
16	14	41	41	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	93				8			
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	94							
16	14	42	42	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf					
16	14	42	42	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	95			articStaccatoBelow				
16	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	96							
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97			articStaccatoAbove				
17	15	43	43	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	98			ornamentTrill				
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	99			articStaccatoAbove				
17	15	43	43	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	100							
17	15	45	45	0.0	1/2	1/2	Dynamic	3/4	1	2	0						sf					
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	101			articStaccatoBelow				
17	15	43	43	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	102							
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	103			articStaccatoAbove				
18	16	46	46	0.0	0	0	Dynamic	3/4	1	1	0						sf					
18	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	104							
18	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
18	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	105				9			
18	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	106							
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	107				9			
19	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	108				9			
19	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	109				9			
20	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	110				9			
20	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	111				9			
20	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	112				9			
21	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	113				9			
21	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	114				9			
21	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	115				9			
22	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	116				9			
22	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	117				9			
22	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118				9			
22	20	60	60	0.0	1/2	1/2	Dynamic	3/4	2	1	0						pp					
22	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	119				10			
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	120				9			
23	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	121				9			
23	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	122							
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	123				10			
23	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124				10			
23	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125				10			
24	22	64	64	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	126							
24	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	127							
24	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	128				10			
24	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	129							
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	130				11			
25	23	67	67	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	131				12			
25	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	132							
25	23	67	67	0.0	0	0	Dynamic	3/4	1	2	0						rf					
25	23	67	67	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	133							
25	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134				11			
25	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135				11			
25	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136				11			
26	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	137				13			
26	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	138							
26	24	70	70	0.0	0	0	Dynamic	3/4	1	2	0						rf					
26	24	70	70	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	139							
26	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140				11			
26	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141				11			
26	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	142							
27	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	143				14			
27	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	144				14			
27	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145							
27	25	73	73	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	146							
27	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147							
28	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	148				15			
28	26	77	77	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	149				15			
28	26	78	78	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	150							
28	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	151							
28	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152				16			
29	27	79	79	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	153				17			
29	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	154							
29	27	79	79	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	155							
29	27	79	79	0.0	0	0	Dynamic	3/4	2	1	0						rf		16			
29	27	79	79	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	156				16			
29	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	157				16			
29	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	158				16			
30	28	82	82	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	159				18			
30	28	84	84	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	160							
30	28	82	82	0.0	0	0	Dynamic	3/4	1	2	0						rf					
30	28	82	82	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	161							
30	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	162				16			
30	28	83	83	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	163				16			
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	164							
31	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	165				19			
31	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	166				19			
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	167				19			
31	29	85	85	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	168							
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	169							
32	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	170							
32	30	90	90	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
32	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	171							
32	30	88	88	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	172							
33	31	91	91	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	173				20			
33	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	174							
33	31	91	91	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	175							
33	31	91	91	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	176							
33	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	177							
33	31	91	91	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	178							
34	32	94	94	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	179			articStaccatoBelow	21			
34	32	96	96	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	180			articStaccatoBelow				
34	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	181							
34	32	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182							
34	32	94	94	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	183							
35	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0						ff					
35	33	97	97	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	184							
35	33	197/2	197/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p					
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	185				22			
35	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	186				22			
35	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	187							
35	33	97	97	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	188							
36	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	189				23			
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	190				23			
36	34	101	101	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	191				23			
36	34	203/2	203/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192							
36	34	102	102	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	193							
36	34	102	102	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	194							
36	34	102	102	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195			ornamentTrill				
36	34	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	196							
37	35	103	103	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	197				24			
37	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	198				24			
37	35	103	103	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	199							
37	35	103	103	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	200				25			
37	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	201				25			
37	35	103	103	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	202							
38	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	203							
38	36	108	108	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
38	36	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	204			articStaccatoAbove				
38	36	106	106	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	205							
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	206							
38	36	108	108	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207			articStaccatoAbove				
38	36	106	106	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	208							
39	37	109	109	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	209			articStaccatoAbove				
39	37	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	210			articStaccatoBelow				
41	38	114	114	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	211							
41	38	114	114	0.0	0	1/2	Dynamic	3/4	2	1	0						pp					
41	38	114	114	1.0	0	1/2	Chord	3/4	2	1	1/4		1/4	1	212	pp						
42	39	115	115	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	213			articStaccatoBelow	26			
42	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	214			articStaccatoBelow				
42	39	115	115	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	215			articStaccatoBelow	27			
42	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	216			articStaccatoBelow				
43	40	118	118	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	217			articStaccatoBelow	28			
43	40	120	120	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	218			articStaccatoBelow				
43	40	118	118	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	219			articStaccatoBelow	29			
43	40	120	120	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220			articStaccatoBelow				
44	41	121	121	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	221				30			
44	41	121	121	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	222			articStaccatoBelow				
45	42	124	124	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	223							
45	42	126	126	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	224			ornamentTurn	31			
45	42	253/2	253/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225							
45	42	124	124	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	226			articStaccatoBelow				
46	43	127	127	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	227			articStaccatoBelow	32			
46	43	129	129	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	228			articStaccatoBelow				
46	43	127	127	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	229			articStaccatoBelow	33			
46	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230			articStaccatoBelow				
47	44	130	130	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	231			articStaccatoBelow	34			
47	44	132	132	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	232			articStaccatoBelow				
47	44	130	130	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	233			articStaccatoBelow	35			
47	44	132	132	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	234			articStaccatoBelow				
48	45	133	133	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	235				36			
48	45	133	133	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	236				37			
49	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	237							
49	46	138	138	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	238				38			
49	46	277/2	277/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239							
49	46	136	136	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	240							
50	47	139	139	0.0	0	0	Spanner	3/4	1	1	0											0
50	47	139	139	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	241			articStaccatoBelow	39			0
50	47	141	141	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	242			articStaccatoBelow				0
50	47	139	139	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	243			articStaccatoAbove	40			
50	47	141	141	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244			articStaccatoAbove				
51	48	142	142	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	245			articStaccatoBelow				0
51	48	144	144	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	246			articStaccatoBelow				0
51	48	142	142	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	247			articStaccatoAbove				
51	48	144	144	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248			articStaccatoAbove				
52	49	145	145	0.0	0	0	Dynamic	3/4	1	1	0						sf					
52	49	145	145	0.0	0	0	Spanner	3/4	1	1	0											
52	49	145	145	0.0	0	0	Spanner	3/4	1	1	0										0	
52	49	145	145	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	249				41		0	
52	49	145	145	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	250				42			
53	50	148	148	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	251				41		0	
53	50	150	150	0.0	1/2	1/2	Spanner	3/4	1	1	0											
53	50	150	150	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	252							
53	50	148	148	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	253				42			
53	50	150	150	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254							
54	51	151	151	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	255				43			
54	51	152	152	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	256							
54	51	153	153	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257							
54	51	151	151	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	258							
54	51	153	153	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	259							
54	51	151	151	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	260							
54	51	153	153	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	261							
55	52	154	154	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	262				44			
55	52	156	156	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	263							
55	52	154	154	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	264							
55	52	156	156	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	265							
55	52	154	154	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	266							
55	52	156	156	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	267							
56	53	157	157	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	268				45			
56	53	157	157	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	269				46			
56	53	159	159	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	270				46			
56	53	157	157	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	271							
