mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
2	2	31/4	31/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16		1/16	1	21			articStaccatoBelow	0					
2	2	8	8	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	22			articStaccatoBelow	0					
2	2	33/4	33/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	23			articStaccatoBelow	0					
2	2	17/2	17/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	24			articStaccatoBelow	0					
2	2	35/4	35/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	25			articStaccatoBelow						
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	26			articStaccatoAbove						
2	2	5	5	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	27			articStaccatoAbove						
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	28			articStaccatoAbove						
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	29			articStaccatoAbove						
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	30			articStaccatoAbove						
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	31			articStaccatoAbove						
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	32			articStaccatoAbove						
2	2	8	8	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	33			articStaccatoAbove						
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	34			articStaccatoAbove						
2	2	9/2	9/2	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	35									
3	3	9	9	0.0	0	0	Spanner	9/8	1	1	0									1				
3	3	9	9	3.0	0	0	Chord	9/8	1	1	3/4		1/2	3/2	36					1				
3	3	12	12	0.0	3/4	3/4	Chord	9/8	1	1	0	grace16	1/16	1	37					1				
3	3	12	12	0.0	3/4	3/4	Chord	9/8	1	1	0	grace16	1/16	1	38					1				
3	3	12	12	1.0	3/4	3/4	Chord	9/8	1	1	1/4		1/4	1	39					1				
3	3	13	13	0.375	1	1	Chord	9/8	1	1	3/32		1/16	3/2	40					1				
3	3	107/8	107/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32		1/32	1	41					1				
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	42			articStaccatoAbove						
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	43			articStaccatoAbove						
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	44			articStaccatoAbove						
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	45			articStaccatoAbove						
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	46			articStaccatoAbove						
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	47			articStaccatoAbove						
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	48			articStaccatoAbove						
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	49			articStaccatoAbove						
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	50			articStaccatoAbove						
3	3	9	9	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	51									
4	4	27/2	27/2	0.0	0	0	Spanner	9/8	1	1	0													
4	4	27/2	27/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	52									
4	4	15	15	1.0	3/8	3/8	Chord	9/8	1	1	1/4		1/4	1	53									
4	4	16	16	0.25	5/8	5/8	Chord	9/8	1	1	1/16		1/16	1	54			articStaccatoBelow	1					
4	4	65/4	65/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16		1/16	1	55			articStaccatoBelow	1					
4	4	33/2	33/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16		1/16	1	56			articStaccatoAbove	1					
4	4	67/4	67/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16		1/16	1	57			articStaccatoAbove	1					
4	4	17	17	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	58			articStaccatoAbove	1					
4	4	69/4	69/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	59			articStaccatoAbove	1					
4	4	35/2	35/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	60			articStaccatoAbove	1					
4	4	71/4	71/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	61			articStaccatoAbove						
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	62			articStaccatoAbove						
4	4	14	14	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	63			articStaccatoAbove						
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	64			articStaccatoAbove						
4	4	15	15	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	65			articStaccatoAbove						
4	4	31/2	31/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	66			articStaccatoAbove						
4	4	16	16	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	67			articStaccatoAbove						
4	4	33/2	33/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	68			articStaccatoAbove						
4	4	17	17	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	69			articStaccatoAbove						
4	4	35/2	35/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	70			articStaccatoAbove						
4	4	27/2	27/2	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	71									
4	4	33/2	33/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	72									
5	5	18	18	0.0	0	0	Chord	9/8	1	1	0	acciaccatura	1/8	1	73									
5	5	18	18	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	74	<								
5	5	39/2	39/2	0.0	3/8	3/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	75									
5	5	39/2	39/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	76									
5	5	21	21	0.0	3/4	3/4	Chord	9/8	1	1	0	acciaccatura	1/8	1	77									
5	5	21	21	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	78									
5	5	18	18	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	79			articStaccatoAbove						
5	5	37/2	37/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	80			articStaccatoAbove						
5	5	19	19	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	81			articStaccatoAbove						
5	5	39/2	39/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	82			articStaccatoAbove						
5	5	20	20	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	83			articStaccatoAbove						
5	5	41/2	41/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	84			articStaccatoAbove						
5	5	21	21	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	85			articStaccatoAbove						
5	5	43/2	43/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	86			articStaccatoAbove						
5	5	22	22	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	87			articStaccatoAbove						
6	6	45/2	45/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	88									
6	6	23	23	0.0	1/8	1/8	Dynamic	9/8	1	1	0						sf							
6	6	23	23	1.0	1/8	1/8	Chord	9/8	1	1	1/4		1/4	1	89	sf								
6	6	24	24	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	90									
6	6	49/2	49/2	1.0	1/2	1/2	Chord	9/8	1	1	1/4		1/4	1	91	sf								
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	92	>								
6	6	26	26	0.0	7/8	7/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	93									
6	6	26	26	0.25	7/8	7/8	Chord	9/8	1	1	1/16		1/16	1	94				2					
6	6	105/4	105/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16		1/16	1	95				2					
6	6	53/2	53/2	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	96				2					
6	6	107/4	107/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16		1/16	1	97	]								
6	6	45/2	45/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	98			articStaccatoAbove						
6	6	23	23	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	99			articStaccatoAbove						
6	6	47/2	47/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	100			articStaccatoAbove						
6	6	24	24	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	101			articStaccatoAbove						
6	6	49/2	49/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	102			articStaccatoAbove						
6	6	25	25	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	103			articStaccatoAbove						
6	6	51/2	51/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	104			articStaccatoAbove						
6	6	26	26	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	105			articStaccatoAbove						
6	6	53/2	53/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	106			articStaccatoAbove						
7	7	27	27	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	107	p								
7	7	55/2	55/2	0.0	1/8	1/8	Chord	9/8	1	1	0	acciaccatura	1/8	1	108									
7	7	55/2	55/2	0.375	1/8	1/8	Chord	9/8	1	1	3/32		1/16	3/2	109				3					
7	7	223/8	223/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32		1/32	1	110				3					
7	7	28	28	0.375	1/4	1/4	Chord	9/8	1	1	3/32		1/16	3/2	111				3					
7	7	227/8	227/8	0.125	11/32	11/32	Chord	9/8	1	1	1/32		1/32	1	112									
7	7	57/2	57/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	113				4					
7	7	30	30	0.125	3/4	3/4	Chord	9/8	1	1	1/32		1/32	1	114				4					
7	7	241/8	241/8	0.125	25/32	25/32	Chord	9/8	1	1	1/32		1/32	1	115				4					
7	7	121/4	121/4	0.125	13/16	13/16	Chord	9/8	1	1	1/32		1/32	1	116				4					
7	7	243/8	243/8	0.125	27/32	27/32	Chord	9/8	1	1	1/32		1/32	1	117				4					
7	7	61/2	61/2	0.08333333333333333	7/8	7/8	Chord	9/8	1	1	1/48		1/32	2/3	118				4					
7	7	367/12	367/12	0.08333333333333333	43/48	43/48	Chord	9/8	1	1	1/48		1/32	2/3	119				4					
7	7	92/3	92/3	0.08333333333333333	11/12	11/12	Chord	9/8	1	1	1/48		1/32	2/3	120				4					
7	7	123/4	123/4	0.08333333333333333	15/16	15/16	Chord	9/8	1	1	1/48		1/32	2/3	121				4					
7	7	185/6	185/6	0.08333333333333333	23/24	23/24	Chord	9/8	1	1	1/48		1/32	2/3	122				4					
7	7	371/12	371/12	0.08333333333333333	47/48	47/48	Chord	9/8	1	1	1/48		1/32	2/3	123				4					
7	7	31	31	0.25	1	1	Chord	9/8	1	1	1/16		1/16	1	124									
7	7	251/8	251/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32		1/32	1	125									
7	7	27	27	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	126			articStaccatoAbove						
7	7	55/2	55/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	127			articStaccatoAbove						
7	7	28	28	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	128			articStaccatoAbove						
7	7	57/2	57/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	129			articStaccatoAbove						
7	7	29	29	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	130			articStaccatoAbove						
7	7	59/2	59/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	131			articStaccatoAbove						
7	7	30	30	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	132			articStaccatoAbove						
7	7	61/2	61/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	133			articStaccatoAbove						
7	7	31	31	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	134			articStaccatoAbove						
8	8	63/2	63/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	135				5					
8	8	33	33	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	136									
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	137				6					
8	8	34	34	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	138				6					
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	139				6					
8	8	35	35	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	140				6					
8	8	71/2	71/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	141									
8	8	63/2	63/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	142			articStaccatoAbove						
8	8	32	32	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	143			articStaccatoAbove						
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	144			articStaccatoAbove						
8	8	33	33	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	145			articStaccatoAbove						
8	8	67/2	67/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	146				7					
8	8	34	34	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	147				7					
8	8	69/2	69/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	148				7					
8	8	35	35	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	149				7					
8	8	71/2	71/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	150									
9	9	36	36	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	151									
9	9	73/2	73/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	152									
9	9	37	37	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	153									
9	9	75/2	75/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	154									
9	9	38	38	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	155									
9	9	77/2	77/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	156									
9	9	39	39	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	157									
9	9	79/2	79/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	158									
9	9	40	40	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	159									
9	9	36	36	0.0	0	0	Spanner	9/8	2	1	0									2				
9	9	36	36	0.0	0	0	Chord	9/8	2	1	0	acciaccatura	1/8	1	160					2				
9	9	36	36	3.0	0	0	Chord	9/8	2	1	3/4		1/2	3/2	161					2				
9	9	39	39	0.0	3/4	3/4	Chord	9/8	2	1	0	grace16	1/16	1	162					2				
9	9	39	39	0.0	3/4	3/4	Chord	9/8	2	1	0	grace16	1/16	1	163					2				
9	9	39	39	1.0	3/4	3/4	Chord	9/8	2	1	1/4		1/4	1	164					2				
9	9	40	40	0.375	1	1	Chord	9/8	2	1	3/32		1/16	3/2	165					2				
9	9	323/8	323/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32		1/32	1	166					2				
10	10	325/8	325/8	0.125	1/32	1/32	Chord	9/8	1	1	1/32		1/32	1	167									
10	10	163/4	163/4	0.125	1/16	1/16	Chord	9/8	1	1	1/32		1/32	1	168									
10	10	327/8	327/8	0.125	3/32	3/32	Chord	9/8	1	1	1/32		1/32	1	169									
10	10	41	41	0.125	1/8	1/8	Chord	9/8	1	1	1/32		1/32	1	170									
10	10	329/8	329/8	0.125	5/32	5/32	Chord	9/8	1	1	1/32		1/32	1	171									
10	10	165/4	165/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32		1/32	1	172									
10	10	331/8	331/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32		1/32	1	173									
10	10	83/2	83/2	0.125	1/4	1/4	Chord	9/8	1	1	1/32		1/32	1	174									
10	10	333/8	333/8	0.125	9/32	9/32	Chord	9/8	1	1	1/32		1/32	1	175									
10	10	167/4	167/4	0.125	5/16	5/16	Chord	9/8	1	1	1/32		1/32	1	176									
10	10	335/8	335/8	0.125	11/32	11/32	Chord	9/8	1	1	1/32		1/32	1	177									
10	10	42	42	0.125	3/8	3/8	Chord	9/8	1	1	1/32		1/32	1	178									
10	10	337/8	337/8	0.125	13/32	13/32	Chord	9/8	1	1	1/32		1/32	1	179									
10	10	169/4	169/4	0.125	7/16	7/16	Chord	9/8	1	1	1/32		1/32	1	180									
10	10	339/8	339/8	0.125	15/32	15/32	Chord	9/8	1	1	1/32		1/32	1	181									
10	10	85/2	85/2	0.08333333333333333	1/2	1/2	Chord	9/8	1	1	1/48		1/32	2/3	182									
10	10	511/12	511/12	0.08333333333333333	25/48	25/48	Chord	9/8	1	1	1/48		1/32	2/3	183									
10	10	128/3	128/3	0.08333333333333333	13/24	13/24	Chord	9/8	1	1	1/48		1/32	2/3	184									
10	10	171/4	171/4	0.08333333333333333	9/16	9/16	Chord	9/8	1	1	1/48		1/32	2/3	185									
10	10	257/6	257/6	0.08333333333333333	7/12	7/12	Chord	9/8	1	1	1/48		1/32	2/3	186									
10	10	515/12	515/12	0.08333333333333333	29/48	29/48	Chord	9/8	1	1	1/48		1/32	2/3	187									
10	10	43	43	0.08333333333333333	5/8	5/8	Chord	9/8	1	1	1/48		1/32	2/3	188									
10	10	517/12	517/12	0.08333333333333333	31/48	31/48	Chord	9/8	1	1	1/48		1/32	2/3	189									
10	10	259/6	259/6	0.08333333333333333	2/3	2/3	Chord	9/8	1	1	1/48		1/32	2/3	190									
10	10	173/4	173/4	0.08333333333333333	11/16	11/16	Chord	9/8	1	1	1/48		1/32	2/3	191									
10	10	130/3	130/3	0.08333333333333333	17/24	17/24	Chord	9/8	1	1	1/48		1/32	2/3	192									
10	10	521/12	521/12	0.08333333333333333	35/48	35/48	Chord	9/8	1	1	1/48		1/32	2/3	193									
10	10	87/2	87/2	0.08333333333333333	3/4	3/4	Chord	9/8	1	1	1/48		1/32	2/3	194									
10	10	523/12	523/12	0.08333333333333333	37/48	37/48	Chord	9/8	1	1	1/48		1/32	2/3	195									
10	10	131/3	131/3	0.08333333333333333	19/24	19/24	Chord	9/8	1	1	1/48		1/32	2/3	196									
10	10	175/4	175/4	0.08333333333333333	13/16	13/16	Chord	9/8	1	1	1/48		1/32	2/3	197									
10	10	263/6	263/6	0.08333333333333333	5/6	5/6	Chord	9/8	1	1	1/48		1/32	2/3	198									
10	10	527/12	527/12	0.08333333333333333	41/48	41/48	Chord	9/8	1	1	1/48		1/32	2/3	199									
10	10	44	44	0.08333333333333333	7/8	7/8	Chord	9/8	1	1	1/48		1/32	2/3	200									
10	10	529/12	529/12	0.08333333333333333	43/48	43/48	Chord	9/8	1	1	1/48		1/32	2/3	201									
10	10	265/6	265/6	0.08333333333333333	11/12	11/12	Chord	9/8	1	1	1/48		1/32	2/3	202									
10	10	177/4	177/4	0.08333333333333333	15/16	15/16	Chord	9/8	1	1	1/48		1/32	2/3	203									
10	10	133/3	133/3	0.08333333333333333	23/24	23/24	Chord	9/8	1	1	1/48		1/32	2/3	204									
10	10	533/12	533/12	0.08333333333333333	47/48	47/48	Chord	9/8	1	1	1/48		1/32	2/3	205									
10	10	89/2	89/2	0.07142857142857142	1	1	Chord	9/8	1	1	1/56		1/32	4/7	206									
10	10	312/7	312/7	0.07142857142857142	57/56	57/56	Chord	9/8	1	1	1/56		1/32	4/7	207									
10	10	7143/160	7143/160	0.07142857142857142	663/640	663/640	Chord	9/8	1	1	1/56		1/32	4/7	208									
10	10	50081/1120	50081/1120	0.07142857142857142	4721/4480	4721/4480	Chord	9/8	1	1	1/56		1/32	4/7	209									
10	10	50161/1120	50161/1120	0.07142857142857142	4801/4480	4801/4480	Chord	9/8	1	1	1/56		1/32	4/7	210									
10	10	50241/1120	50241/1120	0.07142857142857142	4881/4480	4881/4480	Chord	9/8	1	1	1/56		1/32	4/7	211									
10	10	10783/240	10783/240	0.07142857142857142	1063/960	1063/960	Chord	9/8	1	1	1/56		1/32	4/7	212									
10	10	81/2	81/2	0.0	0	0	Spanner	9/8	2	1	0													
10	10	81/2	81/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	213									
10	10	41	41	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	214									
10	10	83/2	83/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	215									
10	10	42	42	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	216									
10	10	85/2	85/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	217									
10	10	43	43	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	218									
10	10	87/2	87/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	219									
10	10	44	44	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	220									
10	10	89/2	89/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	221									
10	10	41	41	1.0	1/8	1/8	Chord	9/8	2	2	1/4		1/4	1	222									
10	10	42	42	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	223									
10	10	87/2	87/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	224									
11	11	45	45	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	225									
11	11	91/2	91/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	226									
11	11	46	46	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	227									
11	11	93/2	93/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	228									
11	11	47	47	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	229									
11	11	95/2	95/2	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	230									
11	11	48	48	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	231									
11	11	97/2	97/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	232									
11	11	49	49	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	233									
11	11	45	45	0.0	0	0	Spanner	9/8	2	1	0									3				
11	11	45	45	0.0	0	0	Chord	9/8	2	1	0	acciaccatura	1/8	1	234					3				
11	11	45	45	3.0	0	0	Chord	9/8	2	1	3/4		1/2	3/2	235					3				
11	11	48	48	0.0	3/4	3/4	Chord	9/8	2	1	0	grace16	1/16	1	236					3				
11	11	48	48	0.0	3/4	3/4	Chord	9/8	2	1	0	grace16	1/16	1	237					3				
11	11	48	48	1.0	3/4	3/4	Chord	9/8	2	1	1/4		1/4	1	238					3				
11	11	49	49	0.375	1	1	Chord	9/8	2	1	3/32		1/16	3/2	239					3				
11	11	395/8	395/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32		1/32	1	240					3				
12	12	397/8	397/8	0.125	1/32	1/32	Chord	9/8	1	1	1/32		1/32	1	241									
12	12	199/4	199/4	0.125	1/16	1/16	Chord	9/8	1	1	1/32		1/32	1	242									
12	12	399/8	399/8	0.125	3/32	3/32	Chord	9/8	1	1	1/32		1/32	1	243									
12	12	50	50	0.125	1/8	1/8	Chord	9/8	1	1	1/32		1/32	1	244									
12	12	401/8	401/8	0.125	5/32	5/32	Chord	9/8	1	1	1/32		1/32	1	245									
12	12	201/4	201/4	0.125	3/16	3/16	Chord	9/8	1	1	1/32		1/32	1	246									
12	12	403/8	403/8	0.125	7/32	7/32	Chord	9/8	1	1	1/32		1/32	1	247									
12	12	101/2	101/2	0.125	1/4	1/4	Chord	9/8	1	1	1/32		1/32	1	248									
12	12	405/8	405/8	0.125	9/32	9/32	Chord	9/8	1	1	1/32		1/32	1	249									
12	12	203/4	203/4	0.125	5/16	5/16	Chord	9/8	1	1	1/32		1/32	1	250									
12	12	407/8	407/8	0.125	11/32	11/32	Chord	9/8	1	1	1/32		1/32	1	251									
12	12	51	51	0.125	3/8	3/8	Chord	9/8	1	1	1/32		1/32	1	252									
12	12	409/8	409/8	0.125	13/32	13/32	Chord	9/8	1	1	1/32		1/32	1	253									
12	12	205/4	205/4	0.125	7/16	7/16	Chord	9/8	1	1	1/32		1/32	1	254									
12	12	411/8	411/8	0.125	15/32	15/32	Chord	9/8	1	1	1/32		1/32	1	255									
12	12	103/2	103/2	0.08333333333333333	1/2	1/2	Chord	9/8	1	1	1/48		1/32	2/3	256									
