mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	81												
10	10	18	18	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	82												
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	83												
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	84												
10	10	39/2	39/2	0.375		3/8	3/8	Chord	2/4	1	1	3/32	1/16	3/2	85			ornamentTurn									
10	10	159/8	159/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32	1/32	1	86												
10	10	18	18	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	87												
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	88												
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	89												
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	90												
10	10	18	18	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	91												
10	10	37/2	37/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	92												
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	93												
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	94												
10	10	18	18	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	95												
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	96												
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	97												
11	11	20	20	0.75		0	0	Chord	2/4	1	1	3/16	1/8	3/2	98												
11	11	83/4	83/4	0.125		3/16	3/16	Chord	2/4	1	1	1/32	1/32	1	99												
11	11	167/8	167/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	100												
11	11	21	21	0.0		1/4	1/4	Spanner	2/4	1	1	0														1	
11	11	21	21	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	101											1	
11	11	43/2	43/2	0.0		3/8	3/8	Spanner	2/4	1	1	0															
11	11	43/2	43/2	0.0		3/8	3/8	Spanner	2/4	1	1	0													1		
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	102										1		
11	11	20	20	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	103										1		
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	104										1		
11	11	21	21	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	105										1		
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	106										1		
11	11	20	20	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	107												
11	11	41/2	41/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	108												
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	109												
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	110												
11	11	20	20	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	111												
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	112												
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	113												
12	12	22	22	0.0		0	0	Spanner	2/4	1	1	0															
12	12	22	22	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	114												
12	12	93/4	93/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	115									6			
12	12	47/2	47/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	116												
12	12	95/4	95/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	117												
12	12	22	22	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	118												
12	12	93/4	93/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	119									7			
12	12	47/2	47/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	120												
12	12	95/4	95/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	121												
13	13	24	24	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	122												
13	13	101/4	101/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	123									8			
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	124												
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	125												
13	13	24	24	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	126												
13	13	101/4	101/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	127									9			
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	128												
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	129												
14	14	26	26	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	130												
14	14	109/4	109/4	0.0		5/16	5/16	Spanner	2/4	1	1	0														2	
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	131									10		2	
14	14	55/2	55/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												10			
14	14	55/2	55/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												10	2		
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	132									10	2		
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	133										2		
14	14	26	26	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	134												
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	135									11			
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	136									11			
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	137												
15	15	28	28	0.0		0	0	Spanner	2/4	1	1	0															
15	15	28	28	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	138												
15	15	117/4	117/4	0.0		5/16	5/16	Spanner	2/4	1	1	0														3	
15	15	117/4	117/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	139									12		3	
15	15	59/2	59/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												12			
15	15	59/2	59/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												12	3		
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	140									12	3		
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	141										3		
15	15	28	28	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	142												
15	15	117/4	117/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	143									13			
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	144									13			
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	145												
16	16	30	30	0.0		0	0	Spanner	2/4	1	1	0															
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	146												
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	147												
16	16	61/2	61/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	148												
16	16	63/2	63/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	149												
17	17	32	32	0.0		0	0	Dynamic	2/2	1	1	0					f										
17	17	32	32	0.0		0	0	Tempo	2/2	1	1	0							𝅗𝅥=100	200.0	𝅗𝅥	100.0	0.0				
17	17	32	32	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	150												
17	17	35	35	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	151									14			
17	17	71/2	71/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	152												
17	17	35	35	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	153												
17	17	32	32	3.0		0	0	Chord	2/2	2	1	3/4	1/2	3/2	154												
17	17	35	35	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	155									15			
17	17	71/2	71/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	156												
18	18	36	36	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	157												
18	18	37	37	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	158									16			
18	18	75/2	75/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	159												
18	18	38	38	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	160												
18	18	39	39	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	161									17			
18	18	79/2	79/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	162												
18	18	36	36	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	163												
18	18	37	37	1.0		1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	164												
18	18	38	38	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	165												
18	18	39	39	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	166												
18	18	36	36	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	167												
18	18	37	37	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	168									18			
18	18	75/2	75/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	169												
18	18	38	38	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	170												
18	18	39	39	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	171									19			
18	18	79/2	79/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	172												
19	19	40	40	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	173									20			
19	19	42	42	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	174									20			
19	19	43	43	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	175									20			
19	19	40	40	0.0		0	0	Dynamic	2/2	1	2	0					sf										
19	19	40	40	0.0		0	0	Spanner	2/2	1	2	0													4		
19	19	40	40	2.0		0	0	Chord	2/2	1	2	1/2	1/2	1	176										4		
19	19	42	42	0.0		1/2	1/2	Spanner	2/2	1	2	0															
19	19	42	42	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	177	p											
19	19	43	43	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	178												
19	19	40	40	3.0		0	0	Chord	2/2	2	1	3/4	1/2	3/2	179												
19	19	43	43	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	180												
20	20	44	44	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	181									20			
20	20	45	45	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	182									20			
20	20	46	46	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	183									20			
20	20	47	47	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	184												
20	20	44	44	1.0		0	0	Chord	2/2	1	2	1/4	1/4	1	185												
20	20	45	45	1.0		1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	186												
20	20	46	46	1.0		1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	187												
20	20	47	47	1.0		3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	188												
20	20	44	44	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	189												
20	20	45	45	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	190												
20	20	46	46	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	191												
20	20	47	47	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	192												
21	21	48	48	0.0		0	0	Spanner	2/2	1	1	0														4	
21	21	48	48	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	193			articStaccatoAbove								4	
21	21	50	50	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	194			articStaccatoAbove								4	
21	21	48	48	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	195												
21	21	97/2	97/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	196												
21	21	49	49	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	197												
21	21	99/2	99/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	198												
21	21	50	50	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	199												
21	21	101/2	101/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	200												
21	21	51	51	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	201												
21	21	103/2	103/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	202												
22	22	52	52	0.0		0	0	Dynamic	2/2	1	1	0					sf										
22	22	52	52	0.0		0	0	Spanner	2/2	1	1	0															
22	22	52	52	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	203												
22	22	55	55	0.0		3/4	3/4	Dynamic	2/2	1	1	0					sfp										
22	22	55	55	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	204												
22	22	52	52	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	205												
22	22	105/2	105/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	206												
22	22	53	53	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	207												
22	22	107/2	107/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	208												
22	22	54	54	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	209												
22	22	109/2	109/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	210												
22	22	55	55	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	211												
22	22	111/2	111/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	212												
23	23	56	56	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	213												
23	23	59	59	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	214									21			
23	23	56	56	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	215												
23	23	113/2	113/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	216												
23	23	57	57	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	217												
23	23	115/2	115/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	218												
23	23	58	58	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	219												
23	23	117/2	117/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	220												
23	23	59	59	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	221												
23	23	119/2	119/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	222												
24	24	60	60	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	223									21			
24	24	61	61	1.0		1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	224									21			
24	24	62	62	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	225									21			
24	24	63	63	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	226												
24	24	60	60	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	227												
24	24	121/2	121/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	228												
24	24	61	61	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	229												
24	24	123/2	123/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	230												
24	24	62	62	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	231												
24	24	125/2	125/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	232												
24	24	63	63	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	233												
24	24	127/2	127/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	234												
25	25	64	64	0.0		0	0	Spanner	2/2	1	1	0														5	
25	25	64	64	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	235			articStaccatoBelow								5	
25	25	66	66	1.0		1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	236			articStaccatoAbove								5	
25	25	64	64	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	237												
25	25	129/2	129/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	238												
25	25	65	65	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	239												
25	25	131/2	131/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	240												
25	25	66	66	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	241												
25	25	133/2	133/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	242												
25	25	67	67	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	243												
25	25	135/2	135/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	244												
26	26	68	68	0.0		0	0	Dynamic	2/2	1	1	0					sf										
26	26	68	68	0.0		0	0	Spanner	2/2	1	1	0															
26	26	68	68	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	245												
26	26	71	71	0.0		3/4	3/4	Dynamic	2/2	1	1	0					sfp										
26	26	71	71	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	246												
26	26	68	68	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	247												
26	26	137/2	137/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	248												
26	26	69	69	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	249												
26	26	139/2	139/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	250												
26	26	70	70	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	251												
26	26	141/2	141/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	252												
26	26	71	71	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	253												
26	26	143/2	143/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	254												
27	27	72	72	3.0		0	0	Chord	2/2	1	1	3/4	1/2	3/2	255												
27	27	75	75	1.0		3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	256									22			
27	27	72	72	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	257												
27	27	145/2	145/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	258												
27	27	73	73	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	259												
27	27	147/2	147/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	260												
27	27	74	74	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	261												
27	27	149/2	149/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	262												
27	27	75	75	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	263												
27	27	151/2	151/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	264												
28	28	76	76	1.0		0	0	Chord	2/2	1	1	1/4	1/4	1	265									22			
