mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	slur	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
18	18	34	34	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	73			6			
18	18	69/2	69/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	74			6			
18	18	35	35	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	75						
18	18	34	34	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	76						
19	19	36	36	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	77						
19	19	37	37	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	78			8			
19	19	37	37	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	79			9			
20	20	38	38	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	80			8			
20	20	77/2	77/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	81			8			
20	20	39	39	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	82						
20	20	38	38	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	83						
21	21	40	40	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	84						
21	21	41	41	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	85			10			
21	21	41	41	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	86			11			
22	22	42	42	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	87			10			
22	22	43	43	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	88			10			
22	22	42	42	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	89			11			
22	22	43	43	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	90			11			
23	23	44	44	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	91			10			
23	23	45	45	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	92			10			
23	23	44	44	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	93			11			
23	23	45	45	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	94			11			
24	24	46	46	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	95			10			
24	24	47	47	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	96						
24	24	46	46	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	97			11			
24	24	47	47	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	98						
25	25	48	48	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	99						
25	25	49	49	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	100			12			
25	25	48	48	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	101						
25	25	49	49	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	102			13			
26	26	50	50	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	103			12			
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	104			12			
26	26	51	51	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	105						
26	26	50	50	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	106						
27	27	52	52	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	107						
27	27	53	53	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	108			14			
27	27	53	53	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	109			15			
28	28	54	54	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	110			14			
28	28	109/2	109/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	111			14			
28	28	55	55	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	112						
28	28	54	54	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	113						
29	29	56	56	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	114						
29	29	57	57	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	115			16			
29	29	57	57	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	116			17			
30	30	58	58	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	117			16			
30	30	59	59	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	118			16			
30	30	58	58	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	119			17			
30	30	59	59	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	120			17			
31	31	60	60	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	121			16			
31	31	61	61	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	122			16			
31	31	60	60	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	123			17			
31	31	61	61	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	124			17			
32	32	62	62	2.0		0	0	Chord	2/4	1	1	1/2	1/2	1	125						
32	32	62	62	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	126						
33	33	64	64	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	127						
33	33	65	65	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	128						
33	33	64	64	2.0		0	0	Chord	2/4	1	2	1/2	1/2	1	129						
33	33	64	64	2.0		0	0	Chord	2/4	2	1	1/2	1/2	1	130						
33	33	64	64	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	131						
34	34	66	66	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	132			18			
34	34	67	67	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	133						
34	34	66	66	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	134						
34	34	67	67	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	135						
34	34	66	66	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	136						
35	35	68	68	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	137		articStaccatoAbove	19			
35	35	69	69	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	138		articStaccatoAbove				
35	35	68	68	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	139						
35	35	69	69	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	140						
35	35	68	68	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	141						
36	36	70	70	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	142			20			
36	36	71	71	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	143						
36	36	70	70	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	144						
36	36	71	71	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	145						
36	36	70	70	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	146						
36	36	71	71	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	147						
36	36	70	70	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	148						
36	36	71	71	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	149						
39	39	76	76	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	150		articStaccatoAbove				
39	39	77	77	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	151		articStaccatoAbove				
39	39	76	76	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	152						
39	39	77	77	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	153						
39	39	76	76	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	154		articStaccatoAbove				
39	39	77	77	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	155		articStaccatoAbove				
40	40		78	1.0	1	0	0	Chord	2/4	1	1	1/4	1/4	1	156		articStaccatoAbove				
40	40		79	0.0	1	1/4	1/4	Dynamic	2/4	1	1	0				sf					
40	40		79	1.0	1	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	157						
40	40		78	1.0	1	0	0	Chord	2/4	2	1	1/4	1/4	1	158		articStaccatoBelow				
40	40		79	1.0	1	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	159						
41	40		80	1.0	1	0	0	Chord	2/4	1	1	1/4	1/4	1	160		articStaccatoAbove				
41	40		81	1.0	1	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	161		articStaccatoAbove				
41	40		80	1.0	1	0	0	Chord	2/4	2	1	1/4	1/4	1	162		articStaccatoBelow				
41	40		81	1.0	1	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	163		articStaccatoBelow				
42	40	78	82	1.0	2	0	0	Chord	2/4	1	1	1/4	1/4	1	164		articStaccatoAbove				
42	40	79	83	0.0	2	1/4	1/4	Dynamic	2/4	1	1	0				sf					
42	40	79	83	1.0	2	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	165			21			
42	40	78	82	1.0	2	0	0	Chord	2/4	2	1	1/4	1/4	1	166		articStaccatoBelow				
42	40	79	83	0.0	2	1/4	1/4	Spanner	2/4	2	1	0								0	0
43	41	80	84	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	167			21			
43	41	161/2	169/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	168			21			
43	41	81	85	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	169			21			
43	41	163/2	171/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	170			21			
43	41	80	84	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	171					0	0
43	41	81	85	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	172					0	0
44	42	82	86	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	173			21			
44	42	165/2	173/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	174			21			
44	42	83	87	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	175			21			
44	42	167/2	175/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	176			21			
44	42	83	87	0.0		1/4	1/4	Spanner	2/4	2	1	0									
44	42	83	87	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	177						
45	43	84	88	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	178			21			
45	43	169/2	177/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	179			21			
45	43	85	89	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	180			21			
45	43	171/2	179/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	181			21			
45	43	85	89	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	182						
46	44	86	90	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	183			21			
46	44	173/2	181/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	184			21			
46	44	87	91	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	185			21			
46	44	175/2	183/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	186			21			
46	44	87	91	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	187						
47	45	88	92	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	188			21			
47	45	177/2	185/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	189			21			
47	45	89	93	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	190			21			
47	45	179/2	187/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	191			21			
47	45	89	93	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	192						
48	46	90	94	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	193			21			
48	46	181/2	189/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	194			21			
48	46	91	95	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	195			21			
48	46	183/2	191/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	196			21			
48	46	91	95	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	197						
49	47	92	96	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	198			21			
49	47	185/2	193/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	199			21			
49	47	93	97	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	200			21			
49	47	187/2	195/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	201						
49	47	93	97	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	202						
50	48	94	98	0.0		0	0	Dynamic	2/4	1	1	0				ff					
50	48	94	98	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	203						
50	48	95	99	0.0		1/4	1/4	Dynamic	2/4	1	1	0				sf					
50	48	95	99	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	204			22			
50	48	94	98	0.0		0	0	Spanner	2/4	2	1	0								1	1
50	48	94	98	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	205					1	1
51	49	96	100	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	206			22			
51	49	193/2	201/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	207			22			
51	49	97	101	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	208			22			
51	49	195/2	203/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	209			22			
51	49	96	100	0.0		0	0	Dynamic	2/4	2	1	0				ff				1	1
51	49	96	100	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	210					1	1
51	49	97	101	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	211					1	1
52	50	98	102	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	212			22			
52	50	197/2	205/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	213			22			
52	50	99	103	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	214			22			
52	50	199/2	207/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	215			22			
52	50	99	103	0.0		1/4	1/4	Spanner	2/4	2	1	0									
52	50	99	103	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	216						
53	51	100	104	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	217			22			
53	51	201/2	209/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	218			22			
53	51	101	105	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	219			22			
53	51	203/2	211/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	220			22			
53	51	101	105	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	221						
54	52	102	106	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	222			22			
54	52	205/2	213/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	223			22			
54	52	103	107	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	224			22			
54	52	207/2	215/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	225			22			
54	52	103	107	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	226						
55	53	104	108	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	227			22			
55	53	209/2	217/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	228			22			
55	53	105	109	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	229			22			
55	53	211/2	219/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	230			22			
55	53	105	109	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	231						
56	54	106	110	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	232			22			
56	54	213/2	221/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	233			22			
56	54	107	111	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	234			22			
56	54	215/2	223/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	235			22			
56	54	107	111	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	236						
57	55	108	112	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	237			22			
57	55	217/2	225/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	238			22			
57	55	109	113	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	239			22			
57	55	219/2	227/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	240						
57	55	109	113	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	241						
58	56	110	114	0.0		0	0	Dynamic	2/4	1	1	0				ff					
58	56	110	114	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	242						
58	56	111	115	0.0		1/4	1/4	Dynamic	2/4	1	1	0				other-dynamics					
58	56	111	115	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	243			23			
58	56	110	114	0.0		0	0	Spanner	2/4	2	1	0								2	2
58	56	110	114	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	244					2	2
59	57	112	116	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	245			23			
59	57	225/2	233/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	246			23			
59	57	113	117	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	247			23			
59	57	227/2	235/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	248			23			
59	57	112	116	0.0		0	0	Dynamic	2/4	2	1	0				other-dynamics				2	2
59	57	112	116	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	249					2	2
59	57	113	117	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	250					2	2
60	58	114	118	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	251			23			
60	58	229/2	237/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	252			23			
60	58	115	119	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	253			23			
60	58	231/2	239/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	254			23			
60	58	115	119	0.0		1/4	1/4	Spanner	2/4	2	1	0									
60	58	115	119	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	255						
61	59	116	120	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	256			23			
61	59	233/2	241/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	257			23			
61	59	117	121	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	258			23			
61	59	235/2	243/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	259			23			
61	59	117	121	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	260						
62	60	118	122	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	261			23			
62	60	237/2	245/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	262			23			
62	60	119	123	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	263			23			
62	60	239/2	247/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	264			23			
62	60	119	123	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	265						
63	61	120	124	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	266			23			
63	61	241/2	249/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	267			23			
63	61	121	125	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	268			23			
63	61	243/2	251/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	269			23			
63	61	121	125	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	270						
64	62	122	126	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	271			23			
64	62	245/2	253/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	272			23			
64	62	123	127	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	273			23			
64	62	247/2	255/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	274			23			
64	62	123	127	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	275						
65	63	124	128	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	276			23			
65	63	249/2	257/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	277			23			
65	63	125	129	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	278			23			
65	63	251/2	259/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	279						
65	63	125	129	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	280						
