mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	decrescendo_hairpin	crescendo_hairpin	diminuendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill	Ottava:8vb
2	1	8	8	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	39												0					
2	1	33/4	33/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	40												0					
2	1	17/2	17/2	0.0	11/16	11/16	Spanner	4/4	1	1	0																						
2	1	17/2	17/2	0.0	11/16	11/16	Spanner	4/4	1	1	0																0						
2	1	17/2	17/2	0.1875	11/16	11/16	Chord	4/4	1	1	3/64			1/32	3/2	41											0						
2	1	139/16	139/16	0.0625	47/64	47/64	Chord	4/4	1	1	1/64			1/64	1	42											0						
2	1	47/8	47/8	0.125	1/32	1/32	Chord	4/4	1	2	1/32			1/32	1	43									7		0						
2	1	6	6	0.125	1/16	1/16	Chord	4/4	1	2	1/32			1/32	1	44									7		0						
2	1	49/8	49/8	0.125	3/32	3/32	Chord	4/4	1	2	1/32			1/32	1	45									7		0						
2	1	25/4	25/4	0.125	1/8	1/8	Chord	4/4	1	2	1/32			1/32	1	46									7		0						
2	1	51/8	51/8	0.125	5/32	5/32	Chord	4/4	1	2	1/32			1/32	1	47									7		0						
2	1	13/2	13/2	0.125	3/16	3/16	Chord	4/4	1	2	1/32			1/32	1	48									7		0						
2	1	53/8	53/8	0.125	7/32	7/32	Chord	4/4	1	2	1/32			1/32	1	49											0						
2	1	27/4	27/4	0.125	1/4	1/4	Chord	4/4	1	2	1/32			1/32	1	50									8		0						
2	1	55/8	55/8	0.125	9/32	9/32	Chord	4/4	1	2	1/32			1/32	1	51									8		0						
2	1	7	7	0.125	5/16	5/16	Chord	4/4	1	2	1/32			1/32	1	52									8		0						
2	1	57/8	57/8	0.125	11/32	11/32	Chord	4/4	1	2	1/32			1/32	1	53									8		0						
2	1	29/4	29/4	0.125	3/8	3/8	Chord	4/4	1	2	1/32			1/32	1	54									8		0						
2	1	59/8	59/8	0.125	13/32	13/32	Chord	4/4	1	2	1/32			1/32	1	55									8		0						
2	1	15/2	15/2	0.125	7/16	7/16	Chord	4/4	1	2	1/32			1/32	1	56									8		0						
2	1	61/8	61/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32			1/32	1	57											0						
2	1	31/4	31/4	0.25	1/2	1/2	Chord	4/4	1	2	1/16			1/16	1	58											0						
2	1	8	8	0.25	9/16	9/16	Chord	4/4	1	2	1/16			1/16	1	59											0						
2	1	33/4	33/4	0.25	5/8	5/8	Chord	4/4	1	2	1/16			1/16	1	60											0						
2	1	17/2	17/2	0.1875	11/16	11/16	Chord	4/4	1	2	3/64			1/32	3/2	61											0						
2	1	139/16	139/16	0.0625	47/64	47/64	Chord	4/4	1	2	1/64			1/64	1	62											0						
2	1	55/8	55/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32			1/32	1	63									9								
2	1	7	7	0.125	5/16	5/16	Chord	4/4	2	1	1/32			1/32	1	64									9								
2	1	57/8	57/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32			1/32	1	65									9								
2	1	29/4	29/4	0.125	3/8	3/8	Chord	4/4	2	1	1/32			1/32	1	66									9								
2	1	59/8	59/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32			1/32	1	67									9								
2	1	15/2	15/2	0.125	7/16	7/16	Chord	4/4	2	1	1/32			1/32	1	68									9								
2	1	61/8	61/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32			1/32	1	69																	
2	1	31/4	31/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	70																	
2	1	8	8	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	71																	
2	1	33/4	33/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	72																	
2	1	17/2	17/2	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	73																	
3	2	35/4	35/4	0.0	0	0	Spanner	4/4	1	1	0																						
3	2	35/4	35/4	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	74																	
3	2	77/8	77/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	75																	
3	2	39/4	39/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	76																	
3	2	85/8	85/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32			1/32	1	77																	
3	2	43/4	43/4	0.125	1/2	1/2	Chord	4/4	1	1	1/32			1/32	1	78																	
3	2	35/4	35/4	0.0	0	0	Spanner	4/4	2	1	0																			4	4		
3	2	9	9	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	79														4	4		
3	2	19/2	19/2	0.0	3/16	3/16	Spanner	4/4	2	1	0																						
3	2	39/4	39/4	0.0	1/4	1/4	Spanner	4/4	2	1	0																			5	5		
3	2	10	10	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	80														5	5		
3	2	43/4	43/4	0.0	1/2	1/2	Spanner	4/4	2	1	0																						
3	2	43/4	43/4	0.0	1/2	1/2	Spanner	4/4	2	1	0																			6	6		
3	2	43/4	43/4	0.125	1/2	1/2	Chord	4/4	2	1	1/32			1/32	1	81														6	6		
4	2	87/8	87/8	0.0	0	17/32	SystemText	4/4	1	1	0								"<i><font size=""12""/>un poco più vivace</i>"														
4	2	87/8	87/8	0.0	0	17/32	Tempo	4/4	1	1	0									𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0									
4	2	95/8	95/8	0.125	1/4	25/32	Chord	4/4	1	1	1/32			1/32	1	82																	
4	2	12	12	0.125	9/32	13/16	Chord	4/4	1	1	1/32			1/32	1	83																	
4	2	97/8	97/8	0.125	5/16	27/32	Chord	4/4	1	1	1/32			1/32	1	84																	
4	2	49/4	49/4	0.125	11/32	7/8	Chord	4/4	1	1	1/32			1/32	1	85																	
4	2	99/8	99/8	0.125	3/8	29/32	Chord	4/4	1	1	1/32			1/32	1	86																	
4	2	25/2	25/2	0.125	13/32	15/16	Chord	4/4	1	1	1/32			1/32	1	87																	
4	2	101/8	101/8	0.125	7/16	31/32	Chord	4/4	1	1	1/32			1/32	1	88																	
4	2	87/8	87/8	0.0	0	17/32	Spanner	4/4	2	1	0																						
4	2	87/8	87/8	0.125	0	17/32	Chord	4/4	2	1	1/32			1/32	1	89																	
4	2	11	11	0.125	1/32	9/16	Chord	4/4	2	1	1/32			1/32	1	90																	
4	2	89/8	89/8	0.125	1/16	19/32	Chord	4/4	2	1	1/32			1/32	1	91																	
4	2	45/4	45/4	0.125	3/32	5/8	Chord	4/4	2	1	1/32			1/32	1	92																	
4	2	91/8	91/8	0.125	1/8	21/32	Chord	4/4	2	1	1/32			1/32	1	93																	
4	2	23/2	23/2	0.125	5/32	11/16	Chord	4/4	2	1	1/32			1/32	1	94																	
4	2	93/8	93/8	0.125	3/16	23/32	Chord	4/4	2	1	1/32			1/32	1	95																	
4	2	47/4	47/4	0.125	7/32	3/4	Chord	4/4	2	1	1/32			1/32	1	96																	
4	2	95/8	95/8	0.125	1/4	25/32	Chord	4/4	2	1	1/32			1/32	1	97																	
4	2	12	12	0.125	9/32	13/16	Chord	4/4	2	1	1/32			1/32	1	98																	
4	2	97/8	97/8	0.125	5/16	27/32	Chord	4/4	2	1	1/32			1/32	1	99																	
4	2	49/4	49/4	0.125	11/32	7/8	Chord	4/4	2	1	1/32			1/32	1	100																	
4	2	99/8	99/8	0.125	3/8	29/32	Chord	4/4	2	1	1/32			1/32	1	101																	
4	2	25/2	25/2	0.125	13/32	15/16	Chord	4/4	2	1	1/32			1/32	1	102																	
4	2	101/8	101/8	0.125	7/16	31/32	Chord	4/4	2	1	1/32			1/32	1	103																	
5	2	51/4	51/4	0.125	0	0	Chord	4/4	1	1	1/32			1/32	1	104																	
5	2	103/8	103/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32			1/32	1	105																	
5	2	13	13	0.125	1/16	1/16	Chord	4/4	1	1	1/32			1/32	1	106																	
5	2	105/8	105/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32			1/32	1	107																	
5	2	53/4	53/4	0.125	1/8	1/8	Chord	4/4	1	1	1/32			1/32	1	108																	
5	2	107/8	107/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32			1/32	1	109																	
5	2	27/2	27/2	0.125	3/16	3/16	Chord	4/4	1	1	1/32			1/32	1	110																	
5	2	109/8	109/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32			1/32	1	111																	
5	2	55/4	55/4	0.125	1/4	1/4	Chord	4/4	1	1	1/32			1/32	1	112																	
5	2	111/8	111/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32			1/32	1	113																	
5	2	14	14	0.125	5/16	5/16	Chord	4/4	1	1	1/32			1/32	1	114																	
5	2	113/8	113/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32			1/32	1	115																	
5	2	57/4	57/4	0.125	3/8	3/8	Chord	4/4	1	1	1/32			1/32	1	116																	
5	2	115/8	115/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32			1/32	1	117																	
5	2	29/2	29/2	0.125	7/16	7/16	Chord	4/4	1	1	1/32			1/32	1	118																	
5	2	117/8	117/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32			1/32	1	119																	
5	2	59/4	59/4	0.125	1/2	1/2	Chord	4/4	1	1	1/32			1/32	1	120																	
5	2	119/8	119/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32			1/32	1	121																	
5	2	15	15	0.125	9/16	9/16	Chord	4/4	1	1	1/32			1/32	1	122																	
5	2	121/8	121/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32			1/32	1	123																	
5	2	61/4	61/4	0.125	5/8	5/8	Chord	4/4	1	1	1/32			1/32	1	124																	
5	2	123/8	123/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32			1/32	1	125																	
5	2	31/2	31/2	0.125	11/16	11/16	Chord	4/4	1	1	1/32			1/32	1	126																	
5	2	125/8	125/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32			1/32	1	127																	
5	2	63/4	63/4	0.0	3/4	3/4	Spanner	4/4	1	1	0																	1					
5	2	63/4	63/4	0.125	3/4	3/4	Chord	4/4	1	1	1/32			1/32	1	128												1					
5	2	127/8	127/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32			1/32	1	129												1					
5	2	16	16	0.125	13/16	13/16	Chord	4/4	1	1	1/32			1/32	1	130												1					
5	2	129/8	129/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32			1/32	1	131												1					
5	2	65/4	65/4	0.125	7/8	7/8	Chord	4/4	1	1	1/32			1/32	1	132												1					
5	2	131/8	131/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32			1/32	1	133												1					
5	2	33/2	33/2	0.125	15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	134												1					
5	2	133/8	133/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	135												1					
5	2	67/4	67/4	0.0	1	1	Spanner	4/4	1	1	0																						
5	2	67/4	67/4	0.0	1	1	Spanner	4/4	1	1	0																1						
5	2	67/4	67/4	0.125	1	1	Chord	4/4	1	1	1/32			1/32	1	136											1						
5	2	135/8	135/8	0.125	33/32	33/32	Chord	4/4	1	1	1/32			1/32	1	137											1						
5	2	17	17	0.125	17/16	17/16	Chord	4/4	1	1	1/32			1/32	1	138											1						
5	2	137/8	137/8	0.125	35/32	35/32	Chord	4/4	1	1	1/32			1/32	1	139											1						
5	2	69/4	69/4	0.0	9/8	9/8	Spanner	4/4	1	1	0																						
5	2	69/4	69/4	0.375	9/8	9/8	Chord	4/4	1	1	3/32			1/16	3/2	140																	
5	2	141/8	141/8	0.0	39/32	39/32	Tempo	4/4	1	1	0									𝅘𝅥=24	24.0	𝅘𝅥	24.0	0.0									
5	2	141/8	141/8	0.0	39/32	39/32	SystemText	4/4	1	1	0								"<i><font size=""12""/>tempo I.</i>"														
5	2	141/8	141/8	0.0	39/32	39/32	Dynamic	4/4	1	1	0						p																
5	2	141/8	141/8	0.125	39/32	39/32	Chord	4/4	1	1	1/32			1/32	1	141																	
5	2	71/4	71/4	0.25	5/4	5/4	Chord	4/4	1	1	1/16			1/16	1	142																	
5	2	149/8	149/8	0.0	47/32	47/32	Dynamic	4/4	1	1	0						mf																
5	2	149/8	149/8	0.125	47/32	47/32	Chord	4/4	1	1	1/32			1/32	1	143																	
5	2	51/4	51/4	0.125	0	0	Chord	4/4	2	1	1/32			1/32	1	144																	
5	2	103/8	103/8	0.125	1/32	1/32	Chord	4/4	2	1	1/32			1/32	1	145																	
5	2	13	13	0.125	1/16	1/16	Chord	4/4	2	1	1/32			1/32	1	146																	
5	2	105/8	105/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32			1/32	1	147																	
5	2	53/4	53/4	0.125	1/8	1/8	Chord	4/4	2	1	1/32			1/32	1	148																	
5	2	107/8	107/8	0.125	5/32	5/32	Chord	4/4	2	1	1/32			1/32	1	149																	
5	2	27/2	27/2	0.125	3/16	3/16	Chord	4/4	2	1	1/32			1/32	1	150																	
5	2	109/8	109/8	0.125	7/32	7/32	Chord	4/4	2	1	1/32			1/32	1	151																	
5	2	55/4	55/4	0.125	1/4	1/4	Chord	4/4	2	1	1/32			1/32	1	152																	
5	2	111/8	111/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32			1/32	1	153																	
5	2	14	14	0.125	5/16	5/16	Chord	4/4	2	1	1/32			1/32	1	154																	
5	2	113/8	113/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32			1/32	1	155																	
5	2	57/4	57/4	0.125	3/8	3/8	Chord	4/4	2	1	1/32			1/32	1	156																	
5	2	115/8	115/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32			1/32	1	157																	
5	2	29/2	29/2	0.125	7/16	7/16	Chord	4/4	2	1	1/32			1/32	1	158																	
5	2	117/8	117/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32			1/32	1	159																	
5	2	59/4	59/4	0.125	1/2	1/2	Chord	4/4	2	1	1/32			1/32	1	160																	
5	2	119/8	119/8	0.125	17/32	17/32	Chord	4/4	2	1	1/32			1/32	1	161																	
5	2	15	15	0.125	9/16	9/16	Chord	4/4	2	1	1/32			1/32	1	162																	
5	2	121/8	121/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32			1/32	1	163																	
5	2	61/4	61/4	0.125	5/8	5/8	Chord	4/4	2	1	1/32			1/32	1	164																	
5	2	123/8	123/8	0.125	21/32	21/32	Chord	4/4	2	1	1/32			1/32	1	165																	
5	2	31/2	31/2	0.125	11/16	11/16	Chord	4/4	2	1	1/32			1/32	1	166																	
5	2	125/8	125/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32			1/32	1	167																	
5	2	63/4	63/4	0.125	3/4	3/4	Chord	4/4	2	1	1/32			1/32	1	168																	
5	2	127/8	127/8	0.125	25/32	25/32	Chord	4/4	2	1	1/32			1/32	1	169																	
5	2	16	16	0.125	13/16	13/16	Chord	4/4	2	1	1/32			1/32	1	170																	
5	2	129/8	129/8	0.125	27/32	27/32	Chord	4/4	2	1	1/32			1/32	1	171																	
5	2	65/4	65/4	0.125	7/8	7/8	Chord	4/4	2	1	1/32			1/32	1	172																	
5	2	131/8	131/8	0.125	29/32	29/32	Chord	4/4	2	1	1/32			1/32	1	173																	
5	2	33/2	33/2	0.125	15/16	15/16	Chord	4/4	2	1	1/32			1/32	1	174																	
5	2	133/8	133/8	0.125	31/32	31/32	Chord	4/4	2	1	1/32			1/32	1	175																	
5	2	67/4	67/4	0.125	1	1	Chord	4/4	2	1	1/32			1/32	1	176																	
5	2	135/8	135/8	0.125	33/32	33/32	Chord	4/4	2	1	1/32			1/32	1	177																	
5	2	17	17	0.125	17/16	17/16	Chord	4/4	2	1	1/32			1/32	1	178																	
5	2	137/8	137/8	0.125	35/32	35/32	Chord	4/4	2	1	1/32			1/32	1	179																	
5	2	69/4	69/4	0.0	9/8	9/8	Spanner	4/4	2	1	0																			7	7		
5	2	69/4	69/4	0.375	9/8	9/8	Chord	4/4	2	1	3/32			1/16	3/2	180														7	7		
5	2	141/8	141/8	0.0	39/32	39/32	Spanner	4/4	2	1	0																						
5	2	141/8	141/8	0.0	39/32	39/32	Spanner	4/4	2	1	0																			8	8		
5	2	18	18	0.25	21/16	21/16	Chord	4/4	2	1	1/16			1/16	1	181														8	8		
5	2	37/2	37/2	0.0	23/16	23/16	Spanner	4/4	2	1	0																						
5	2	37/2	37/2	0.0	23/16	23/16	Spanner	4/4	2	1	0																			9	9		
6	3	75/4	75/4	0.0	0	0	SystemText	4/4	1	1	0								"<b><font size=""12""/>Allegro.</b>"														
6	3	75/4	75/4	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=128	128.0	𝅘𝅥	128.0	0.0									
6	3	75/4	75/4	0.0	0	0	Dynamic	4/4	1	1	0						f																
6	3	75/4	75/4	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	182																	
6	3	19	19	0.0	1/16	1/16	Dynamic	4/4	1	1	0						p																
6	3	19	19	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	183																	
6	3	77/4	77/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	184																	
6	3	39/2	39/2	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	185																	
6	3	79/4	79/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	186																	
6	3	20	20	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	187																	
6	3	81/4	81/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	188																	
6	3	41/2	41/2	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	189																	
6	3	83/4	83/4	2.0	1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	190																	
6	3	75/4	75/4	0.0	0	0	Spanner	4/4	2	1	0																						
6	3	75/4	75/4	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	191																	
6	3	21	21	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	192																	
6	3	85/4	85/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	193																	
6	3	43/2	43/2	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	194																	
6	3	87/4	87/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	195																	
6	3	22	22	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	196																	
6	3	89/4	89/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	197																	
6	3	45/2	45/2	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	198																	
7	4	91/4	91/4	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	199																	
7	4	23	23	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	200																	
7	4	93/4	93/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	201																	
7	4	47/2	47/2	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	202																	
7	4	95/4	95/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	203																	
7	4	24	24	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	204																	
7	4	97/4	97/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	205																	
7	4	49/2	49/2	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	206																	
7	4	99/4	99/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	207																	
7	4	25	25	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	208																	
7	4	101/4	101/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	209																	
7	4	51/2	51/2	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	210																	
7	4	103/4	103/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	211																	
7	4	26	26	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	212																	
7	4	105/4	105/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	213																	
7	4	53/2	53/2	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	214																	
7	4	91/4	91/4	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	215																	
7	4	97/4	97/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	216																	
7	4	99/4	99/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	217																	
7	4	101/4	101/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	218																	
