mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
28	28	109/2	109/2	0.041666666666666664	1/8	1/8	Chord	2/4	1	1	1/96		1/64	2/3	273				34			
28	28	1309/24	1309/24	0.041666666666666664	13/96	13/96	Chord	2/4	1	1	1/96		1/64	2/3	274				34			
28	28	655/12	655/12	0.041666666666666664	7/48	7/48	Chord	2/4	1	1	1/96		1/64	2/3	275				34			
28	28	437/8	437/8	0.041666666666666664	5/32	5/32	Chord	2/4	1	1	1/96		1/64	2/3	276				34			
28	28	164/3	164/3	0.041666666666666664	1/6	1/6	Chord	2/4	1	1	1/96		1/64	2/3	277				34			
28	28	1313/24	1313/24	0.041666666666666664	17/96	17/96	Chord	2/4	1	1	1/96		1/64	2/3	278							
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	279							
28	28	55	55	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	280							
28	28	223/4	223/4	0.03571428571428571	7/16	7/16	Chord	2/4	1	1	1/112		1/64	4/7	281				35			
28	28	781/14	781/14	0.03571428571428571	25/56	25/56	Chord	2/4	1	1	1/112		1/64	4/7	282				35			
28	28	1563/28	1563/28	0.03571428571428571	51/112	51/112	Chord	2/4	1	1	1/112		1/64	4/7	283				35			
28	28	391/7	391/7	0.03571428571428571	13/28	13/28	Chord	2/4	1	1	1/112		1/64	4/7	284				35			
28	28	8943/160	8943/160	0.03571428571428571	303/640	303/640	Chord	2/4	1	1	1/112		1/64	4/7	285				35			
28	28	62641/1120	62641/1120	0.03571428571428571	2161/4480	2161/4480	Chord	2/4	1	1	1/112		1/64	4/7	286				35			
28	28	62681/1120	62681/1120	0.03571428571428571	2201/4480	2201/4480	Chord	2/4	1	1	1/112		1/64	4/7	287							
28	28	54	54	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	288							
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	289							
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	290							
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	291							
29	29	56	56	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	292				36			
29	29	451/8	451/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	293				36			
29	29	113/2	113/2	0.1875	1/8	1/8	Chord	2/4	1	1	3/64		1/32	3/2	294				36			
29	29	907/16	907/16	0.0625	11/64	11/64	Chord	2/4	1	1	1/64		1/64	1	295				36			
29	29	227/4	227/4	0.1875	3/16	3/16	Chord	2/4	1	1	3/64		1/32	3/2	296				36			
29	29	911/16	911/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64		1/64	1	297							
29	29	57	57	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	298							
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	299							
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	300							
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	301							
30	30	1393/24	1393/24	0.041666666666666664	1/96	1/96	Chord	2/4	1	1	1/96		1/64	2/3	302				37			
30	30	697/12	697/12	0.041666666666666664	1/48	1/48	Chord	2/4	1	1	1/96		1/64	2/3	303				37			
30	30	465/8	465/8	0.041666666666666664	1/32	1/32	Chord	2/4	1	1	1/96		1/64	2/3	304				37			
30	30	349/6	349/6	0.041666666666666664	1/24	1/24	Chord	2/4	1	1	1/96		1/64	2/3	305				37			
30	30	1397/24	1397/24	0.041666666666666664	5/96	5/96	Chord	2/4	1	1	1/96		1/64	2/3	306				37			
30	30	233/4	233/4	0.041666666666666664	1/16	1/16	Chord	2/4	1	1	1/96		1/64	2/3	307				37			
30	30	1399/24	1399/24	0.041666666666666664	7/96	7/96	Chord	2/4	1	1	1/96		1/64	2/3	308				37			
30	30	175/3	175/3	0.041666666666666664	1/12	1/12	Chord	2/4	1	1	1/96		1/64	2/3	309				37			
30	30	467/8	467/8	0.041666666666666664	3/32	3/32	Chord	2/4	1	1	1/96		1/64	2/3	310				37			
30	30	701/12	701/12	0.041666666666666664	5/48	5/48	Chord	2/4	1	1	1/96		1/64	2/3	311				37			
30	30	1403/24	1403/24	0.041666666666666664	11/96	11/96	Chord	2/4	1	1	1/96		1/64	2/3	312							
30	30	117/2	117/2	0.041666666666666664	1/8	1/8	Chord	2/4	1	1	1/96		1/64	2/3	313				38			
30	30	1405/24	1405/24	0.041666666666666664	13/96	13/96	Chord	2/4	1	1	1/96		1/64	2/3	314				38			
30	30	703/12	703/12	0.041666666666666664	7/48	7/48	Chord	2/4	1	1	1/96		1/64	2/3	315				38			
30	30	469/8	469/8	0.041666666666666664	5/32	5/32	Chord	2/4	1	1	1/96		1/64	2/3	316				38			
30	30	176/3	176/3	0.041666666666666664	1/6	1/6	Chord	2/4	1	1	1/96		1/64	2/3	317				38			
30	30	1409/24	1409/24	0.041666666666666664	17/96	17/96	Chord	2/4	1	1	1/96		1/64	2/3	318							
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	319							
30	30	59	59	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	320							
30	30	239/4	239/4	0.041666666666666664	7/16	7/16	Chord	2/4	1	1	1/96		1/64	2/3	321				39			
30	30	1435/24	1435/24	0.041666666666666664	43/96	43/96	Chord	2/4	1	1	1/96		1/64	2/3	322				39			
30	30	359/6	359/6	0.041666666666666664	11/24	11/24	Chord	2/4	1	1	1/96		1/64	2/3	323				39			
30	30	479/8	479/8	0.041666666666666664	15/32	15/32	Chord	2/4	1	1	1/96		1/64	2/3	324				39			
30	30	719/12	719/12	0.041666666666666664	23/48	23/48	Chord	2/4	1	1	1/96		1/64	2/3	325				39			
30	30	1439/24	1439/24	0.041666666666666664	47/96	47/96	Chord	2/4	1	1	1/96		1/64	2/3	326							
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	327							
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	328							
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	329							
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	330							
31	31	60	60	0.0	0	0	Spanner	2/4	1	1	0											1
31	31	60	60	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	331							1
31	31	487/8	487/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	332							1
31	31	61	61	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	333							1
31	31	495/8	495/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	334							1
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	335							
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	336							
32	32	62	62	0.0	0	0	Spanner	2/4	1	1	0											
32	32	62	62	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	337							
32	32	503/8	503/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	338							
32	32	63	63	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	339							
32	32	511/8	511/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	340							
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	341							
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	342							
33	33	64	64	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	343							
33	33	519/8	519/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	344							
33	33	65	65	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	345							
33	33	527/8	527/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	346							
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	347							
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	348							
34	34	66	66	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	349							
34	34	535/8	535/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	350			ornamentTurn	40			
34	34	67	67	0.0	1/4	1/4	Dynamic	2/4	1	1	0						sf		40			
34	34	67	67	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	351				40			
34	34	269/4	269/4	0.0	5/16	5/16	Spanner	2/4	1	1	0									2		
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	352					2		
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	353			articStaccatoAbove	41	2		
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	354			articStaccatoAbove		2		
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	355							
35	35	68	68	0.0	0	0	Dynamic	2/4	1	1	0						p					
35	35	68	68	0.0	0	0	Spanner	2/4	1	1	0											
35	35	68	68	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	356				42			
35	35	273/4	273/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	357				42			
35	35	137/2	137/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	358				42			
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	359				42			
35	35	69	69	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	360				42			
35	35	277/4	277/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	361				42			
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	362				42			
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	363							
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	364							
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	365							
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	366							
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	367							
36	36	70	70	0.0	0	0	Dynamic	2/4	1	1	0						pp					
36	36	70	70	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	368				43			
36	36	421/6	421/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	369				43			
36	36	211/3	211/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	370							
36	36	212/3	212/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	371				44			
36	36	425/6	425/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	372							
36	36	71	71	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	373				45			
36	36	427/6	427/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	374				45			
36	36	214/3	214/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	375							
36	36	215/3	215/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	376				46			
36	36	431/6	431/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	377							
36	36	211/3	211/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	378				47			
36	36	141/2	141/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	379				47			
36	36	212/3	212/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	380				47			
36	36	425/6	425/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	381							
36	36	214/3	214/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	382				48			
36	36	143/2	143/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	383				48			
36	36	215/3	215/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	384				48			
36	36	431/6	431/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	385							
37	37	72	72	0.0	0	0	Spanner	2/4	1	1	0											2
37	37	72	72	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	386				49			2
37	37	433/6	433/6	0.0	1/24	1/24	Spanner	2/4	1	1	0								49			
37	37	433/6	433/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	387				49			
37	37	217/3	217/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	388							
37	37	218/3	218/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	389				50			
37	37	437/6	437/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	390							
37	37	73	73	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	391				51			
37	37	439/6	439/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	392				51			
37	37	220/3	220/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	393							
37	37	221/3	221/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	394				52			
37	37	443/6	443/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	395							
37	37	217/3	217/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	396				53			
37	37	145/2	145/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	397				53			
37	37	218/3	218/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	398				53			
37	37	437/6	437/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	399							
37	37	220/3	220/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	400				54			
37	37	147/2	147/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	401				54			
37	37	221/3	221/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	402				54			
37	37	443/6	443/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	403							
38	38	74	74	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	404				55			
38	38	445/6	445/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	405				55			
38	38	223/3	223/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	406							
38	38	224/3	224/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	407				56			
38	38	449/6	449/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	408							
38	38	75	75	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	409				57			
38	38	451/6	451/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	410				57			
38	38	226/3	226/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	411							
38	38	227/3	227/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	412				58			
38	38	455/6	455/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	413							
38	38	223/3	223/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	414				59			
38	38	149/2	149/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	415				59			
38	38	224/3	224/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	416				59			
38	38	449/6	449/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	417							
38	38	226/3	226/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	418				60			
38	38	151/2	151/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	419				60			
38	38	227/3	227/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	420				60			
38	38	455/6	455/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	421							
39	39	76	76	0.0	0	0	Dynamic	2/4	1	1	0						rf					
39	39	76	76	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	422				61			
39	39	457/6	457/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	423				61			
39	39	229/3	229/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	424							
39	39	230/3	230/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	425				62			
39	39	461/6	461/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	426				62			
39	39	77	77	0.0	1/4	1/4	Dynamic	2/4	1	1	0						f		62			
39	39	77	77	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	427				62			
39	39	463/6	463/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	428				62			
39	39	232/3	232/3	0.0	1/3	1/3	Dynamic	2/4	1	1	0						sf		62			
39	39	232/3	232/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	429				62			
39	39	155/2	155/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	430				62			
39	39	233/3	233/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	431				62			
39	39	467/6	467/6	0.0	11/24	11/24	Dynamic	2/4	1	1	0						sf					
39	39	467/6	467/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	432							
39	39	229/3	229/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	433				63			
39	39	153/2	153/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	434				63			
39	39	230/3	230/3	0.3333333333333333	1/6	1/6	Chord	2/4	2	1	1/12		1/8	2/3	435				63			
39	39	77	77	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	436							
39	39	461/6	461/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	2	1/24		1/16	2/3	437							
39	39	77	77	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	438							
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	439							
40	40	78	78	0.0	0	0	Dynamic	2/4	1	1	0						p					
40	40	78	78	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	440				64			
40	40	79	79	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	441				64			
40	40	475/6	475/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	442				64			
40	40	238/3	238/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	443							
40	40	159/2	159/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	444			articStaccatoAbove	65			
40	40	239/3	239/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	445			articStaccatoAbove	65			
40	40	479/6	479/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	446			articStaccatoAbove				
40	40	79	79	0.16666666666666666	1/4	1/4	Chord	2/4	1	2	1/24		1/16	2/3	447				66			
40	40	475/6	475/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	2	1/24		1/16	2/3	448				66			
40	40	238/3	238/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	2	1/24		1/16	2/3	449							
40	40	159/2	159/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	2	1/24		1/16	2/3	450			articStaccatoBelow	67			
40	40	239/3	239/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	2	1/24		1/16	2/3	451			articStaccatoBelow	67			
40	40	479/6	479/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	2	1/24		1/16	2/3	452			articStaccatoBelow				
40	40	469/6	469/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	453			articStaccatoBelow				
40	40	235/3	235/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	454			articStaccatoBelow				
40	40	157/2	157/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	455			articStaccatoAbove				
40	40	236/3	236/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	456			articStaccatoAbove				
40	40	473/6	473/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	457			articStaccatoAbove				
41	41	80	80	0.0	0	0	Dynamic	2/4	1	1	0						rf					
41	41	80	80	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	458							
41	41	647/8	647/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	459			ornamentTrill				
41	41	81	81	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	460							
41	41	81	81	0.0	1/4	1/4	Chord	2/4	1	1	0	grace32	1/32	1	461							
41	41	81	81	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	462							
41	41	655/8	655/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	463							
41	41	80	80	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	464							
41	41	81	81	0.0	1/4	1/4	Dynamic	2/4	1	2	0						sf					
41	41	81	81	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	465							
41	41	80	80	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	466							
42	42	82	82	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	467							
42	42	499/6	499/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	468				68			
42	42	250/3	250/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	469							
42	42	167/2	167/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	470			articStaccatoBelow	69			
42	42	251/3	251/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	471			articStaccatoBelow	69			
42	42	503/6	503/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	472			articStaccatoBelow				
42	42	82	82	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	473							
42	42	82	82	0.0	0	0	Dynamic	2/4	2	1	0						f					
42	42	493/6	493/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	474			articStaccatoBelow				
42	42	247/3	247/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	475			articStaccatoBelow				
42	42	165/2	165/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	476			articStaccatoBelow				
42	42	248/3	248/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	477			articStaccatoBelow				
42	42	497/6	497/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	478			articStaccatoBelow				
42	42	83	83	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	479			articStaccatoAbove				
42	42	499/6	499/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	480				70			
42	42	250/3	250/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	481							
42	42	167/2	167/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	482			articStaccatoAbove	71			
42	42	251/3	251/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	483			articStaccatoAbove	71			
42	42	503/6	503/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	484			articStaccatoAbove				
43	43	84	84	0.0	0	0	Dynamic	2/4	1	1	0						rf					
43	43	84	84	0.875	0	0	Chord	2/4	1	1	7/32		1/8	7/4	485							
43	43	679/8	679/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	486			ornamentTrill				
43	43	85	85	0.875	1/4	1/4	Chord	2/4	1	1	7/32		1/8	7/4	487							
43	43	687/8	687/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	488							
43	43	84	84	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	489							
43	43	85	85	0.0	1/4	1/4	Dynamic	2/4	1	2	0						sfp					
43	43	85	85	0.0	1/4	1/4	Chord	2/4	1	2	0	grace16	1/16	1	490							
43	43	85	85	0.0	1/4	1/4	Chord	2/4	1	2	0	grace16	1/16	1	491							
43	43	85	85	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	492							
43	43	84	84	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	493							
44	44	86	86	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	494							
44	44	86	86	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	495							
45	45	88	88	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	496							
45	45	88	88	0.0	0	0	Dynamic	2/4	2	1	0						ff					
45	45	88	88	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	497							
46	46	90	90	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	498			ornamentTurn	72			
46	46	91	91	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	499				72			
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	500							
46	46	90	90	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	501				73			
46	46	91	91	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	502				73			
46	46	90	90	0.0	0	0	Dynamic	2/4	2	1	0						p					
46	46	90	90	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	503							
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	504							
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	505							
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	506							
47	47	92	92	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	507				74			
47	47	93	93	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	508				74			
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	509				74			
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	510				74			
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	511							
47	47	92	92	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	512							
47	47	92	92	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	513							
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	514							
