mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	diminuendo_line	crescendo_line
3	2	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	34						
3	2	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	35						
3	2	9	9	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	36						
3	2	28/3	28/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	37						
3	2	29/3	29/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	38						
4	3	10	10	0.0	0	0	Spanner	2/2	1	1	0									0
4	3	10	10	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	39	<		articStaccatoAbove			0
4	3	11	11	0.0	1/4	1/4	Spanner	2/2	1	1	0									
4	3	11	11	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	40			articStaccatoAbove			
4	3	12	12	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	41			articStaccatoAbove			
4	3	13	13	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	42			articStaccatoAbove			
4	3	10	10	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	43						
4	3	31/3	31/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	44						
4	3	32/3	32/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	45						
4	3	11	11	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	46						
4	3	34/3	34/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	47						
4	3	35/3	35/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	48						
4	3	12	12	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	49						
4	3	37/3	37/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	50						
4	3	38/3	38/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	51						
4	3	13	13	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	52						
4	3	40/3	40/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	53						
4	3	41/3	41/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	54						
5	4	14	14	0.0	0	0	Dynamic	2/2	1	1	0					p				
5	4	14	14	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	55	f					
5	4	16	16	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	56	p			2		
5	4	65/4	65/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	57				2		
5	4	33/2	33/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	58				2		
5	4	67/4	67/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	59				2		
5	4	17	17	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	60				2		
5	4	69/4	69/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	61				2		
5	4	35/2	35/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	62				2		
5	4	71/4	71/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	63						
5	4	14	14	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	64				3		
5	4	15	15	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	65						
5	4	14	14	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	66						
6	5	18	18	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	67				4		
6	5	19	19	0.0	1/4	1/4	Dynamic	2/2	1	1	0					sf		4		
6	5	19	19	2.0	1/4	1/4	Chord	2/2	1	1	1/2	1/2	1	68				4		
6	5	21	21	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	69				4		
6	5	87/4	87/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	70						
6	5	18	18	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	71						
6	5	20	20	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	72						
6	5	19	19	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	73						
6	5	21	21	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	74						
6	5	18	18	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	75						
6	5	20	20	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	76						
7	6	22	22	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	77						
7	6	24	24	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	78				5		
7	6	97/4	97/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	79				5		
7	6	49/2	49/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	80				5		
7	6	99/4	99/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	81				5		
7	6	25	25	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	82				5		
7	6	101/4	101/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	83				5		
7	6	51/2	51/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	84				5		
7	6	103/4	103/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	85						
7	6	22	22	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	86						
7	6	22	22	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	87						
7	6	23	23	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	88						
7	6	22	22	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	89						
8	7	26	26	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	90				6		
8	7	27	27	0.0	1/4	1/4	Dynamic	2/2	1	1	0					sf		6		
8	7	27	27	2.0	1/4	1/4	Chord	2/2	1	1	1/2	1/2	1	91				6		
8	7	29	29	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	92				6		
8	7	119/4	119/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	93						
8	7	26	26	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	94						
8	7	28	28	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	95						
8	7	27	27	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	96						
8	7	29	29	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	97						
8	7	26	26	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	98						
8	7	28	28	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	99						
9	8	30	30	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	100						
9	8	30	30	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	101						
9	8	31	31	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	102						
10	8	32	32	0.0	0	1/2	Dynamic	2/2	1	1	0					p				
10	8	32	32	1.0	0	1/2	Chord	2/2	1	1	1/4	1/4	1	103	p			7		
10	8	33	33	1.0	1/4	3/4	Chord	2/2	1	1	1/4	1/4	1	104						
10	8	32	32	0.3333333333333333	0	1/2	Chord	2/2	2	1	1/12	1/8	2/3	105						
10	8	97/3	97/3	0.3333333333333333	1/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	106						
10	8	98/3	98/3	0.3333333333333333	1/6	2/3	Chord	2/2	2	1	1/12	1/8	2/3	107						
10	8	33	33	0.3333333333333333	1/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	108						
10	8	100/3	100/3	0.3333333333333333	1/3	5/6	Chord	2/2	2	1	1/12	1/8	2/3	109						
10	8	101/3	101/3	0.3333333333333333	5/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	110						
11	9	34	34	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	111						
11	9	36	36	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	112			articStaccatoAbove			
11	9	37	37	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	113			articStaccatoAbove			
11	9	34	34	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	114						
11	9	103/3	103/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	115						
11	9	104/3	104/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	116						
11	9	35	35	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	117						
11	9	106/3	106/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	118						
11	9	107/3	107/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	119						
11	9	36	36	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	120						
11	9	109/3	109/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	121						
11	9	110/3	110/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	122						
11	9	37	37	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	123						
11	9	112/3	112/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	124						
11	9	113/3	113/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	125						
12	10	38	38	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	126				8		
12	10	79/2	79/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	127						
12	10	40	40	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	128			articStaccatoAbove			
12	10	41	41	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	129			articStaccatoAbove			
12	10	38	38	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	130						
12	10	115/3	115/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	131						
12	10	116/3	116/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	132						
12	10	39	39	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	133						
12	10	118/3	118/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	134						
12	10	119/3	119/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	135						
12	10	40	40	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	136						
12	10	121/3	121/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	137						
12	10	122/3	122/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	138						
12	10	41	41	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	139						
12	10	124/3	124/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	140						
12	10	125/3	125/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	141						
13	11	42	42	0.0	0	0	Spanner	2/2	1	1	0									1
13	11	42	42	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	142	<		articStaccatoAbove			1
13	11	43	43	0.0	1/4	1/4	Spanner	2/2	1	1	0									
13	11	43	43	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	143			articStaccatoAbove			
13	11	44	44	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	144			articStaccatoAbove			
13	11	45	45	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	145			articStaccatoAbove			
13	11	42	42	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	146						
13	11	127/3	127/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	147						
13	11	128/3	128/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	148						
13	11	43	43	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	149						
13	11	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	150						
13	11	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	151						
13	11	44	44	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	152						
13	11	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	153						
13	11	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	154						
13	11	45	45	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	155						
13	11	136/3	136/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	156						
13	11	137/3	137/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	157						
14	12	46	46	0.0	0	0	Dynamic	2/2	1	1	0					p				
14	12	46	46	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	158	f					
14	12	48	48	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	159	p			9		
14	12	193/4	193/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	160				9		
14	12	97/2	97/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	161				9		
14	12	195/4	195/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	162				9		
14	12	49	49	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	163				9		
14	12	197/4	197/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	164				9		
14	12	99/2	99/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	165				9		
14	12	199/4	199/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	166						
14	12	46	46	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	167				10		
14	12	47	47	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	168						
14	12	46	46	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	169						
15	13	50	50	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	170				11		
15	13	51	51	0.0	1/4	1/4	Dynamic	2/2	1	1	0					sf		11		
15	13	51	51	2.0	1/4	1/4	Chord	2/2	1	1	1/2	1/2	1	171				11		
15	13	53	53	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	172				11		
15	13	215/4	215/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	173						
15	13	50	50	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	174						
15	13	52	52	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	175						
15	13	51	51	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	176						
15	13	53	53	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	177						
15	13	50	50	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	178						
15	13	52	52	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	179						
16	14	54	54	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	180						
16	14	54	54	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	181						
16	14	54	54	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	182						
16	14	54	54	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	183						
16	14	56	56	0.25	1/2	1/2	Chord	2/2	2	2	1/16	1/16	1	184				12		
16	14	225/4	225/4	0.25	9/16	9/16	Chord	2/2	2	2	1/16	1/16	1	185				12		
16	14	113/2	113/2	0.25	5/8	5/8	Chord	2/2	2	2	1/16	1/16	1	186				12		
16	14	227/4	227/4	0.25	11/16	11/16	Chord	2/2	2	2	1/16	1/16	1	187				12		
16	14	57	57	0.25	3/4	3/4	Chord	2/2	2	2	1/16	1/16	1	188				12		
16	14	229/4	229/4	0.25	13/16	13/16	Chord	2/2	2	2	1/16	1/16	1	189				12		
16	14	115/2	115/2	0.25	7/8	7/8	Chord	2/2	2	2	1/16	1/16	1	190				12		
16	14	231/4	231/4	0.25	15/16	15/16	Chord	2/2	2	2	1/16	1/16	1	191						
17	15	60	60	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	192				13		
17	15	241/4	241/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	193				13		
17	15	121/2	121/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	194				13		
17	15	243/4	243/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	195				13		
17	15	61	61	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	196				13		
17	15	245/4	245/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	197				13		
17	15	123/2	123/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	198				13		
17	15	247/4	247/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	199						
17	15	58	58	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	200				14		
17	15	59	59	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	201				14		
17	15	60	60	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	202				14		
17	15	61	61	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	203						
18	16	62	62	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	204				15		
18	16	63	63	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	205				15		
18	16	64	64	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	206				15		
18	16	65	65	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	207						
18	16	62	62	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	208						
18	16	64	64	0.25	1/2	1/2	Chord	2/2	2	1	1/16	1/16	1	209				16		
18	16	257/4	257/4	0.25	9/16	9/16	Chord	2/2	2	1	1/16	1/16	1	210				16		
18	16	129/2	129/2	0.25	5/8	5/8	Chord	2/2	2	1	1/16	1/16	1	211				16		
18	16	259/4	259/4	0.25	11/16	11/16	Chord	2/2	2	1	1/16	1/16	1	212				16		
18	16	65	65	0.25	3/4	3/4	Chord	2/2	2	1	1/16	1/16	1	213				16		
18	16	261/4	261/4	0.25	13/16	13/16	Chord	2/2	2	1	1/16	1/16	1	214				16		
18	16	131/2	131/2	0.25	7/8	7/8	Chord	2/2	2	1	1/16	1/16	1	215				16		
18	16	263/4	263/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16	1/16	1	216						
19	17	66	66	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	217						
19	17	68	68	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	218				17		
19	17	273/4	273/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	219				17		
19	17	137/2	137/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	220				17		
19	17	275/4	275/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	221						
19	17	69	69	0.25	3/4	3/4	Chord	2/2	2	1	1/16	1/16	1	222						
19	17	277/4	277/4	0.25	13/16	13/16	Chord	2/2	2	1	1/16	1/16	1	223						
19	17	139/2	139/2	0.25	7/8	7/8	Chord	2/2	2	1	1/16	1/16	1	224						
19	17	279/4	279/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16	1/16	1	225						
19	17	66	66	1.0	0	0	Chord	2/2	2	2	1/4	1/4	1	226				18		
19	17	67	67	1.0	1/4	1/4	Chord	2/2	2	2	1/4	1/4	1	227				18		
19	17	68	68	1.0	1/2	1/2	Chord	2/2	2	2	1/4	1/4	1	228				18		
19	17	69	69	1.0	3/4	3/4	Chord	2/2	2	2	1/4	1/4	1	229						
20	18	70	70	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	230				19		
20	18	281/4	281/4	0.0	1/16	1/16	Spanner	2/2	1	1	0							19		2
20	18	281/4	281/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	231	<			19		2
20	18	141/2	141/2	0.0	1/8	1/8	Spanner	2/2	1	1	0							19		
20	18	141/2	141/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	232				19		
20	18	283/4	283/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	233				19		
20	18	71	71	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	234				19		
20	18	285/4	285/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	235				19		
20	18	143/2	143/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	236				19		
20	18	287/4	287/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	237						
20	18	72	72	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	238						
20	18	70	70	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	239						
20	18	71	71	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	240						
20	18	72	72	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	241						
20	18	73	73	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	242						
20	18	70	70	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	243						
20	18	72	72	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	244						
21	19	74	74	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	245				20		
21	19	297/4	297/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	246				20		
21	19	149/2	149/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	247				20		
21	19	299/4	299/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	248				20		
21	19	75	75	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	249				20		
21	19	301/4	301/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	250				20		
21	19	151/2	151/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	251				20		
21	19	303/4	303/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	252						
21	19	76	76	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	253						
21	19	74	74	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	254						
21	19	75	75	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	255						
21	19	76	76	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	256						
21	19	77	77	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	257						
21	19	74	74	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	258						
21	19	76	76	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	259						
22	20	78	78	0.0	0	0	Dynamic	2/2	1	1	0					f				
22	20	78	78	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	260	f		ornamentTrill	21		
22	20	157/2	157/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	261				21		
22	20	315/4	315/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	262						
22	20	79	79	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	263			articStaccatoAbove			
22	20	80	80	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	264			ornamentTrill	22		
22	20	161/2	161/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	265				22		
