mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	37							
7	6	18	18	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	38							
7	6	73/4	73/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	39							
7	6	37/2	37/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	40							
7	6	75/4	75/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	41							
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	42							
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	43							
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	44			articStaccatoBelow				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	45			articStaccatoBelow				
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46			articStaccatoAbove				
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47			articStaccatoAbove				
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	48				1			
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49							
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50				2			
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51							
9	8	22	22	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	52							
10	8	24	24	0.25	0	1/2	Chord	3/4	2	1	1/16		1/16	1	53							
10	8	97/4	97/4	0.25	1/16	9/16	Chord	3/4	2	1	1/16		1/16	1	54							
10	8	49/2	49/2	0.25	1/8	5/8	Chord	3/4	2	1	1/16		1/16	1	55							
10	8	99/4	99/4	0.25	3/16	11/16	Chord	3/4	2	1	1/16		1/16	1	56							
11	9	26	26	0.0	1/4	1/4	Spanner	3/4	1	1	0											0
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	57							0
11	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	58							
11	9	27	27	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	59							
11	9	109/4	109/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	60							
11	9	55/2	55/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	61							
11	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	62							
12	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	63							0
12	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	64							
12	10	30	30	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	65							
12	10	121/4	121/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	66							
12	10	61/2	61/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	67							
12	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	68							
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	69							0
13	11	33	33	0.0	1/2	1/2	Spanner	3/4	1	1	0											
13	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	70							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71							
14	12	34	34	0.0	0	0	Dynamic	3/4	1	1	0						f					
14	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	72				3			
14	12	35	35	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p					
14	12	35	35	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	73							
14	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74				4			
14	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	75							
14	12	36	36	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	76							
14	12	145/4	145/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	77							
14	12	73/2	73/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	78							
14	12	147/4	147/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	79							
15	13	38	38	0.0	1/4	1/4	Spanner	3/4	1	1	0											1
15	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	80							1
15	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81							
15	13	39	39	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	82							
15	13	157/4	157/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	83							
15	13	79/2	79/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	84							
15	13	159/4	159/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	85							
16	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	86							1
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	87							
16	14	42	42	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	88							
16	14	169/4	169/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	89							
16	14	85/2	85/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	90							
16	14	171/4	171/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	91							
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	92							1
17	15	45	45	0.0	1/2	1/2	Spanner	3/4	1	1	0											
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93							
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	94							
18	16	46	46	0.0	0	0	Dynamic	3/4	1	1	0						f					
18	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	95				5			
18	16	47	47	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	96							
18	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97				6			
18	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98							
19	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0						ff					
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	99				7			
19	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	100							
19	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101				8			
19	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	102							
20	18	53	53	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p					
20	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	103				9			
20	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	104							
20	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105				10			
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106							
21	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	107							
21	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	108			articStaccatoAbove	11			
21	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	109			articStaccatoAbove				
21	19	55	55	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	110							
21	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	111							
21	19	56	56	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	112							
21	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	113							
21	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	114							
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	115							
22	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	116				12			
22	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	117							
22	20	58	58	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	118							
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	119							
22	20	59	59	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	120							
22	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	121							
22	20	60	60	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	122							
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	123							
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	124				13			
23	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	125				13			
23	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	126							
23	21	61	61	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	127							
23	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	128							
23	21	62	62	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	129							
23	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	130							
23	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	131							
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	132							
24	22	64	64	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	133							
24	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	134				14			
24	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	135				14			
24	22	66	66	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	136							
24	22	66	66	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16after	1/16	1	137							
24	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	138			ornamentTrill				
24	22	64	64	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	139							
24	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	140							
24	22	65	65	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	141							
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	142							
24	22	66	66	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	143							
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	144							
25	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	145							
25	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	146			articStaccatoAbove	15			
25	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	147			articStaccatoAbove				
25	23	67	67	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	148							
25	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	149							
25	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	150							
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	151							
25	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	152							
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	153							
26	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	154				16			
26	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	155							
26	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	156							
26	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	157							
26	24	71	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	158							
26	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	159							
26	24	72	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	160							
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	161							
27	25	73	73	0.0	0	0	Spanner	3/4	1	1	0									0		
27	25	74	74	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	162			articStaccatoAbove	17	0		
27	25	75	75	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	163			articStaccatoAbove		0		
27	25	73	73	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	164					0		
27	25	73	73	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	165							
28	26	76	76	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	166					0		
28	26	77	77	0.0	1/4	1/4	Spanner	3/4	1	1	0									0	0	
28	26	77	77	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	167			articStaccatoBelow	18	0	0	
28	26	78	78	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	168			articStaccatoBelow		0	0	
28	26	76	76	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	169							
29	27	79	79	0.0	0	0	Spanner	3/4	1	1	0										0	
29	27	80	80	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	170			articStaccatoAbove	19		0	
29	27	81	81	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	171			articStaccatoAbove			0	
29	27	79	79	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	172						0	
29	27	79	79	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	173							
30	28	82	82	0.0	0	0	Spanner	3/4	1	1	0											
30	28	82	82	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	174							
30	28	83	83	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	175			articStaccatoBelow	20			
30	28	84	84	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	176			articStaccatoBelow				
30	28	82	82	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	177							
31	29	85	85	0.0	0	0	Dynamic	3/4	1	1	0						pp					
31	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	178			articStaccatoAbove	21			
31	29	87	87	0.0	1/2	1/2	Dynamic	3/4	1	1	0						other-dynamics					
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	179			articStaccatoAbove				
31	29	85	85	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	180							
31	29	85	85	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	181							
32	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	182			articStaccatoAbove	22			
32	30	90	90	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183			articStaccatoAbove				
32	30	88	88	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	184							
32	30	88	88	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	185							
34	32	96	96	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p					
34	32	96	96	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	186							
34	32	385/4	385/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	187							
34	32	193/2	193/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	188							
34	32	387/4	387/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	189							
35	33	97	97	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	190							
35	33	99	99	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	191							
35	33	397/4	397/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	192							
35	33	199/2	199/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	193							
35	33	399/4	399/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	194							
35	33	98	98	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	195							
36	34	100	100	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196							
36	34	102	102	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	197							
36	34	409/4	409/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	198							
36	34	205/2	205/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	199							
36	34	411/4	411/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	200							
36	34	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	201							
37	35	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	202			articStaccatoBelow				
37	35	104	104	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	203			articStaccatoBelow				
37	35	105	105	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	204			articStaccatoBelow				
37	35	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	205							
37	35	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	206							
37	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	207							
38	36	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	208				23			
38	36	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	209							
38	36	108	108	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	210							
38	36	433/4	433/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	211							
38	36	217/2	217/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	212							
38	36	435/4	435/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	213							
38	36	106	106	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	214							
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	215							
38	36	107	107	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	216							
39	37	109	109	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	217							
39	37	111	111	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	218							
39	37	445/4	445/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	219							
39	37	223/2	223/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	220							
39	37	447/4	447/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	221							
39	37	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222							
40	38	112	112	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	223							
40	38	114	114	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	224							
40	38	457/4	457/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	225							
40	38	229/2	229/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	226							
40	38	459/4	459/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	227							
40	38	113	113	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	228							
41	39	115	115	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	229							
41	39	116	116	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	230			articStaccatoBelow				
41	39	117	117	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	231			articStaccatoBelow				
41	39	116	116	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232			articStaccatoAbove				
41	39	117	117	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	233			articStaccatoAbove				
42	40	118	118	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	234				24			
42	40	119	119	0.0	1/4	1/4	Dynamic	3/4	1	1	0						f					
42	40	119	119	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	235							
42	40	118	118	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236				25			
42	40	119	119	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	237							
42	40	120	120	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	238							
42	40	481/4	481/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	239							
42	40	241/2	241/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	240							
42	40	483/4	483/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	241							
42	40	118	118	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	242							
43	41	122	122	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	243							
43	41	121	121	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	244							
43	41	123	123	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	245							
43	41	493/4	493/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	246							
43	41	247/2	247/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	247							
43	41	495/4	495/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	248							
44	42	125	125	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	249							
44	42	124	124	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	250							
44	42	126	126	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	251							
44	42	505/4	505/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	252							
44	42	253/2	253/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	253							
44	42	507/4	507/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	254							
45	43	128	128	0.0	1/4	1/4	Dynamic	3/4	1	1	0						ff					
45	43	128	128	0.0	1/4	1/4	Dynamic	3/4	1	1	0						ff					
45	43	128	128	0.0	1/4	1/4	Dynamic	3/4	1	1	0						ff					
45	43	128	128	0.0	1/4	1/4	Dynamic	3/4	1	1	0						ff					
45	43	128	128	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	255							
45	43	127	127	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	256							
45	43	129	129	0.0	1/2	1/2	Dynamic	3/4	2	1	0						ff					
45	43	129	129	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	257							
46	44	130	130	0.0	0	0	Dynamic	3/4	1	1	0						ff					
46	44	130	130	0.0	0	0	Dynamic	3/4	1	1	0						ff					
46	44	130	130	0.0	0	0	Dynamic	3/4	1	1	0						ff					
46	44	130	130	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	258							
46	44	131	131	0.0	1/4	1/4	Dynamic	3/4	2	1	0						ff					
46	44	131	131	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	259							
47	44	132	132	0.0	0	1/2	Dynamic	3/4	1	1	0						p					
47	44	132	132	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	260							
48	45	133	133	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	261				26			
48	45	134	134	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	262				26			
48	45	135	135	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	263							
48	45	133	133	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	264							
48	45	267/2	267/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	265							
48	45	134	134	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	266							
48	45	269/2	269/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	267							
48	45	135	135	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	268							
48	45	271/2	271/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	269							
49	46	136	136	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	270				27			
