mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	108				21				
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	109				21				
15	15	42	42	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	110								
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	111								
16	16	45	45	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	112								
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	113								
16	16	45	45	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	114								
17	17	48	48	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	115	p							
17	17	48	48	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	116				22				
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	117				22				
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	118								
17	17	48	48	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	119								
17	17	48	48	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	120								
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	121								
18	18	51	51	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	122								
18	18	51	51	0.0	0	0	Dynamic	3/4	2	1	0					sf						
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	123								
18	18	51	51	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	124								
19	19	54	54	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	125	p							
19	19	54	54	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	126				23				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	127				23				
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	128								
19	19	54	54	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	129								
19	19	54	54	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	130								
20	20	57	57	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	131								
20	20	57	57	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	132								
20	20	57	57	0.0	0	0	Dynamic	3/4	2	1	0					sf						
20	20	57	57	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	133								
20	20	57	57	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	134								
21	21	60	60	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	135	p							
21	21	60	60	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	136				24				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	137				24				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	138								
21	21	60	60	0.0	0	0	Dynamic	3/4	2	1	0					p						
21	21	60	60	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	139								
21	21	60	60	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	140								
22	22	63	63	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	141								
22	22	63	63	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	142								
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	143								
22	22	63	63	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	144								
23	23	66	66	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	145				25				
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	146				25				
