mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	3	12	12	0.125		31/32	31/32	Chord	4/4	1	2	1/32		1/32	1	39							1					
4	3	65/8	65/8	0.0		0	0	Dynamic	4/4	2	1	0						sf										
4	3	65/8	65/8	0.0		0	0	Spanner	4/4	2	1	0																
4	3	65/8	65/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	40												
4	3	9	9	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	41												
4	3	73/8	73/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	42												
4	3	81/8	81/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	43												
4	3	11	11	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	44												
4	3	89/8	89/8	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	45												
5	4	97/8	97/8	0.0		0	0	Spanner	4/4	1	1	0																
5	4	97/8	97/8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	46												
5	4	105/8	105/8	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	47												
5	4	109/8	109/8	0.0		3/8	3/8	Spanner	4/4	1	1	0													1			
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	48									1			
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	49									1			
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/32	1	50									1			
5	4	113/8	113/8	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	51									1			
5	4	97/8	97/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	52												
5	4	105/8	105/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	53												
5	4	109/8	109/8	0.0		3/8	3/8	Spanner	4/4	2	1	0															1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	54											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	55											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	56											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	57											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	58											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	59											1	1
5	4	113/8	113/8	0.0		1/2	1/2	Chord	4/4	2	1	0	acciaccatura	1/32	1	60											1	1
5	4	113/8	113/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	61											1	1
5	4	16	16	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	62											1	1
6	5	129/8	129/8	0.0		0	0	Spanner	4/4	1	1	0																
6	5	17	17	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	63												
6	5	137/8	137/8	0.0		1/4	1/4	Dynamic	4/4	1	1	0						sf										
6	5	137/8	137/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	64												
6	5	145/8	145/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	65												
6	5	19	19	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	66												
6	5	153/8	153/8	0.0		3/4	3/4	Dynamic	4/4	1	1	0						sf										
6	5	153/8	153/8	0.0		3/4	3/4	Spanner	4/4	1	1	0											2					
6	5	153/8	153/8	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	67							2					
6	5	153/8	153/8	0.75		3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	68			ornamentTrill				2					
6	5	159/8	159/8	0.125		15/16	15/16	Chord	4/4	1	2	1/32		1/32	1	69							2					
6	5	20	20	0.125		31/32	31/32	Chord	4/4	1	2	1/32		1/32	1	70							2					
6	5	129/8	129/8	0.0		0	0	Spanner	4/4	2	1	0																
6	5	129/8	129/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	71												
6	5	17	17	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	72												
6	5	137/8	137/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	73												
6	5	145/8	145/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	74												
6	5	19	19	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	75												
6	5	153/8	153/8	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	76												
7	6	161/8	161/8	0.0		0	0	Dynamic	4/4	1	1	0						p										
7	6	161/8	161/8	0.0		0	0	Spanner	4/4	1	1	0																
7	6	161/8	161/8	0.875		0	0	Chord	4/4	1	1	7/32		1/8	7/4	77												
7	6	21	21	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	78												
7	6	169/8	169/8	0.0		1/4	1/4	Spanner	4/4	1	1	0												0				
7	6	169/8	169/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	79								0				
7	6	177/8	177/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	80								0				
7	6	23	23	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	81								0				
7	6	185/8	185/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	82								0				
7	6	24	24	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	83								0				
7	6	161/8	161/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	84												
7	6	21	21	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	85												
7	6	169/8	169/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	86												
7	6	177/8	177/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	87												
7	6	23	23	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	88												
7	6	185/8	185/8	0.875		3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	89												
7	6	24	24	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	90												
8	7	193/8	193/8	0.0		0	0	Spanner	4/4	1	1	0																
8	7	193/8	193/8	0.875		0	0	Chord	4/4	1	1	7/32		1/8	7/4	91												
8	7	25	25	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	92												
8	7	201/8	201/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	93												
8	7	209/8	209/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	94												
8	7	27	27	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	95												
8	7	217/8	217/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	96												
8	7	28	28	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	97												
8	7	193/8	193/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	98												
8	7	25	25	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	99												
8	7	201/8	201/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	100												
8	7	209/8	209/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	101												
8	7	27	27	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	102												
8	7	217/8	217/8	0.875		3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	103												
8	7	28	28	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	104												
9	8	225/8	225/8	0.875		0	0	Chord	4/4	1	1	7/32		1/8	7/4	105												
9	8	29	29	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	106												
9	8	233/8	233/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	107												
9	8	241/8	241/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	108												
9	8	31	31	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	109												
9	8	249/8	249/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	110												
9	8	32	32	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	111												
9	8	225/8	225/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	112												
9	8	29	29	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	113												
9	8	233/8	233/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	114												
9	8	241/8	241/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	115												
9	8	31	31	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	116												
9	8	249/8	249/8	0.875		3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	117												
9	8	32	32	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	118												
10	9	257/8	257/8	0.875		0	0	Chord	4/4	1	1	7/32		1/8	7/4	119												
10	9	33	33	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	120												
10	9	265/8	265/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	121												
10	9	273/8	273/8	0.875		1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	122												
10	9	35	35	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	123												
10	9	281/8	281/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	124												
10	9	36	36	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	125												
10	9	257/8	257/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	126												
10	9	33	33	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	127												
10	9	265/8	265/8	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	128												
10	9	273/8	273/8	0.875		1/2	1/2	Chord	4/4	2	1	7/32		1/8	7/4	129												
10	9	35	35	0.125		23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	130												
10	9	281/8	281/8	0.875		3/4	3/4	Chord	4/4	2	1	7/32		1/8	7/4	131												
10	9	36	36	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	132												
11	10	289/8	289/8	0.0		0	0	Spanner	4/4	1	1	0													2			
11	10	289/8	289/8	0.875		0	0	Chord	4/4	1	1	7/32		1/8	7/4	133									2			
11	10	37	37	0.125		7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	134									2			
11	10	297/8	297/8	0.875		1/4	1/4	Chord	4/4	1	1	7/32		1/8	7/4	135									2			
11	10	38	38	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	136									2			
11	10	305/8	305/8	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	137									2			
11	10	309/8	309/8	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	138			articStaccatoBelow						2			
11	10	313/8	313/8	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	139			articStaccatoBelow						2			
11	10	317/8	317/8	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	140			articStaccatoBelow						2			
11	10	289/8	289/8	0.875		0	0	Chord	4/4	2	1	7/32		1/8	7/4	141												
11	10	37	37	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	142												
11	10	297/8	297/8	0.875		1/4	1/4	Chord	4/4	2	1	7/32		1/8	7/4	143												
11	10	38	38	0.125		15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	144												
11	10	305/8	305/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	145			articStaccatoBelow									
11	10	309/8	309/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	146			articStaccatoBelow									
11	10	313/8	313/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	147			articStaccatoBelow									
11	10	317/8	317/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	148			articStaccatoBelow									
12	11	321/8	321/8	0.0		0	0	Dynamic	4/4	1	1	0						sf										
12	11	321/8	321/8	0.0		0	0	Spanner	4/4	1	1	0																
12	11	321/8	321/8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	149												
12	11	345/8	345/8	0.0		3/4	3/4	Dynamic	4/4	1	1	0						p										
12	11	345/8	345/8	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	150					0							
12	11	349/8	349/8	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	151												
12	11	321/8	321/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	152												
12	11	325/8	325/8	0.0		1/8	1/8	Dynamic	4/4	2	1	0						sfp										
12	11	325/8	325/8	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	153												
12	11	329/8	329/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	154												
12	11	333/8	333/8	0.0		3/8	3/8	Dynamic	4/4	2	1	0						sfp										
12	11	333/8	333/8	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	155												
12	11	337/8	337/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	156												
12	11	341/8	341/8	0.0		5/8	5/8	Dynamic	4/4	2	1	0						sfp										
12	11	341/8	341/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	157												
12	11	345/8	345/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	158												
12	11	349/8	349/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	159												
13	12	353/8	353/8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	160					0							
13	12	361/8	361/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	161					0							
13	12	369/8	369/8	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	162												
13	12	377/8	377/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	163					1							
13	12	48	48	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	164												
13	12	353/8	353/8	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	165												
13	12	361/8	361/8	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	166												
13	12	369/8	369/8	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	167												
13	12	353/8	353/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	168												
13	12	357/8	357/8	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	169												
13	12	361/8	361/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	170												
13	12	365/8	365/8	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	171												
13	12	369/8	369/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	172												
13	12	373/8	373/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	173												
13	12	377/8	377/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	174												
13	12	381/8	381/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	175												
13	12	353/8	353/8	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	176												
13	12	361/8	361/8	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	177												
13	12	369/8	369/8	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	178												
13	12	377/8	377/8	0.875		3/4	3/4	Chord	4/4	2	2	7/32		1/8	7/4	179					2							
13	12	48	48	0.125		31/32	31/32	Chord	4/4	2	2	1/32		1/32	1	180												
14	13	385/8	385/8	0.0		0	0	Dynamic	4/4	1	1	0						sf										
14	13	385/8	385/8	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	181												
14	13	409/8	409/8	0.0		3/4	3/4	Dynamic	4/4	1	1	0						p										
14	13	409/8	409/8	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	182					3							
14	13	413/8	413/8	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	183												
14	13	385/8	385/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	184												
14	13	389/8	389/8	0.0		1/8	1/8	Dynamic	4/4	2	1	0						sfp										
14	13	389/8	389/8	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	185												
14	13	393/8	393/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	186												
14	13	397/8	397/8	0.0		3/8	3/8	Dynamic	4/4	2	1	0						sfp										
14	13	397/8	397/8	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	187												
14	13	401/8	401/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	188												
14	13	405/8	405/8	0.0		5/8	5/8	Dynamic	4/4	2	1	0						sfp										
14	13	405/8	405/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	189												
14	13	409/8	409/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	190												
14	13	413/8	413/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	191												
15	14	417/8	417/8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	192					3							
15	14	425/8	425/8	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	193					3							
15	14	433/8	433/8	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	194												
15	14	441/8	441/8	0.875		3/4	3/4	Chord	4/4	1	1	7/32		1/8	7/4	195					4							
15	14	56	56	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	196												
15	14	441/8	441/8	0.875		3/4	3/4	Chord	4/4	1	2	7/32		1/8	7/4	197												
15	14	56	56	0.125		31/32	31/32	Chord	4/4	1	2	1/32		1/32	1	198												
15	14	417/8	417/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	199												
15	14	421/8	421/8	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	200												
15	14	425/8	425/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	201												
15	14	429/8	429/8	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	202												
15	14	433/8	433/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	203												
15	14	437/8	437/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	204												
15	14	441/8	441/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	205												
15	14	445/8	445/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	206												
15	14	417/8	417/8	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	207												
15	14	425/8	425/8	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	208												
15	14	433/8	433/8	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	209												
15	14	441/8	441/8	0.875		3/4	3/4	Chord	4/4	2	2	7/32		1/8	7/4	210					5							
15	14	56	56	0.125		31/32	31/32	Chord	4/4	2	2	1/32		1/32	1	211												
16	15	449/8	449/8	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	212												
16	15	465/8	465/8	1.75		1/2	1/2	Chord	4/4	1	1	7/16		1/4	7/4	213												
16	15	479/8	479/8	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	214												
16	15	449/8	449/8	0.0		0	0	Spanner	4/4	2	1	0															2	2
16	15	449/8	449/8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	215											2	2
16	15	453/8	453/8	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	216											2	2
16	15	457/8	457/8	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	217											2	2
16	15	461/8	461/8	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	218											2	2
16	15	465/8	465/8	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	219											2	2
16	15	469/8	469/8	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	220											2	2
16	15	473/8	473/8	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	221											2	2
16	15	477/8	477/8	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	222											2	2
16	15	449/8	449/8	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	223											2	2
16	15	465/8	465/8	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	224											2	2
17	16	481/8	481/8	4.0		0	0	Chord	4/4	1	1	1		1	1	225												
17	16	481/8	481/8	0.0		0	0	Spanner	4/4	2	1	0																
17	16	481/8	481/8	0.125		0	0	Chord	4/4	2	1	1/32		1/32	1	226												
17	16	241/4	241/4	0.125		1/32	1/32	Chord	4/4	2	1	1/32		1/32	1	227												
17	16	483/8	483/8	0.125		1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	228												
17	16	121/2	121/2	0.125		3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	229												
17	16	485/8	485/8	0.125		1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	230												
17	16	243/4	243/4	0.125		5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	231												
17	16	487/8	487/8	0.125		3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	232												
17	16	61	61	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	233												
17	16	489/8	489/8	0.125		1/4	1/4	Chord	4/4	2	1	1/32		1/32	1	234												
17	16	245/4	245/4	0.125		9/32	9/32	Chord	4/4	2	1	1/32		1/32	1	235												
17	16	491/8	491/8	0.125		5/16	5/16	Chord	4/4	2	1	1/32		1/32	1	236												
17	16	123/2	123/2	0.125		11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	237												
17	16	493/8	493/8	0.125		3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	238												
17	16	247/4	247/4	0.125		13/32	13/32	Chord	4/4	2	1	1/32		1/32	1	239												
17	16	495/8	495/8	0.125		7/16	7/16	Chord	4/4	2	1	1/32		1/32	1	240												
17	16	62	62	0.125		15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	241												
17	16	497/8	497/8	0.125		1/2	1/2	Chord	4/4	2	1	1/32		1/32	1	242												
