mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	43								
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	44								
7	7	37/2	37/2	0.0	1/8	1/8	Dynamic	6/8	1	1	0						p						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	45	p			6				
7	7	19	19	0.0	1/4	1/4	Spanner	6/8	1	1	0								6		0		
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	46				6		0		
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	1	1	0												
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	1	1	0									1			
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	47					1			
7	7	41/2	41/2	0.0	5/8	5/8	Spanner	6/8	1	1	0												
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	48								
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	49								
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	50								
8	8	43/2	43/2	0.0	1/8	1/8	Spanner	6/8	1	1	0												0
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	51	>							0
8	8	22	22	0.0	1/4	1/4	Spanner	6/8	1	1	0												
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	52								
8	8	21	21	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	53								
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	54								
9	9	24	24	0.0	0	0	Dynamic	6/8	1	1	0						pp						
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	55	pp			7				
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	56				7				
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	57								
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						rfz						
9	9	53/2	53/2	0.375	5/8	5/8	Chord	6/8	1	1	3/32		1/16	3/2	58								
9	9	215/8	215/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	59								
9	9	24	24	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	60								
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	61								
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	62								
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	63								
10	10	27	27	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	64								
10	10	27	27	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	65								
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	66			articStaccatoAbove	8				
10	10	28	28	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	67			articStaccatoAbove	8				
10	10	113/4	113/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	68			articStaccatoAbove					
10	10	57/2	57/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	69								
10	10	115/4	115/4	0.0	7/16	7/16	Dynamic	6/8	1	1	0						sf						
10	10	115/4	115/4	0.5	7/16	7/16	Chord	6/8	1	1	1/8		1/8	1	70								
10	10	117/4	117/4	0.0	9/16	9/16	Dynamic	6/8	1	1	0						sf						
10	10	117/4	117/4	0.5	9/16	9/16	Chord	6/8	1	1	1/8		1/8	1	71				9				
10	10	119/4	119/4	0.0	11/16	11/16	Spanner	6/8	1	1	0								9				1
10	10	119/4	119/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	72				9				1
10	10	239/8	239/8	0.0	23/32	23/32	Spanner	6/8	1	1	0												
10	10	239/8	239/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	73								
10	10	27	27	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	74								
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	75			articStaccatoAbove	10				
10	10	28	28	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	76			articStaccatoAbove	10				
10	10	113/4	113/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	77			articStaccatoAbove					
10	10	57/2	57/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	78								
10	10	115/4	115/4	0.5	7/16	7/16	Chord	6/8	2	1	1/8		1/8	1	79								
10	10	117/4	117/4	0.5	9/16	9/16	Chord	6/8	2	1	1/8		1/8	1	80				11				
10	10	119/4	119/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	81				11				
10	10	119/4	119/4	0.125	11/16	11/16	Chord	6/8	2	2	1/32		1/32	1	82								
10	10	239/8	239/8	0.125	23/32	23/32	Chord	6/8	2	2	1/32		1/32	1	83								
11	11	30	30	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	84	>							
11	11	121/4	121/4	0.0	1/16	1/16	Dynamic	6/8	1	1	0						p						
11	11	121/4	121/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	85			articStaccatoBelow	12				
11	11	61/2	61/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	86			articStaccatoBelow	12				
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	87	p		articStaccatoBelow	12				
11	11	31	31	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	88			articStaccatoBelow					
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	89			articStaccatoBelow	13				
11	11	63/2	63/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	90			articStaccatoAbove	13				
11	11	127/4	127/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	91			articStaccatoAbove	13				
11	11	32	32	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	92			articStaccatoAbove					
11	11	65/2	65/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						rfz						
11	11	65/2	65/2	0.375	5/8	5/8	Chord	6/8	1	1	3/32		1/16	3/2	93								
11	11	263/8	263/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	94								
11	11	30	30	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	95								
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	96			articStaccatoAbove	14				
11	11	31	31	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	97			articStaccatoAbove	14				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	98			articStaccatoAbove	14				
11	11	63/2	63/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	99			articStaccatoAbove					
11	11	127/4	127/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	100			articStaccatoBelow	15				
11	11	32	32	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	101			articStaccatoBelow	15				
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	102			articStaccatoBelow	15				
11	11	65/2	65/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	103			articStaccatoBelow	15				
11	11	131/4	131/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	104			articStaccatoBelow					
12	12	33	33	0.0	0	0	Chord	6/8	1	1	0	grace32	1/32	1	105								
12	12	33	33	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	106								
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	107			articStaccatoAbove	16				
12	12	34	34	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	108			articStaccatoAbove	16				
12	12	137/4	137/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	109			articStaccatoAbove					
12	12	69/2	69/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	110								
12	12	139/4	139/4	0.0	7/16	7/16	Dynamic	6/8	1	1	0						sf						
12	12	139/4	139/4	0.5	7/16	7/16	Chord	6/8	1	1	1/8		1/8	1	111								
12	12	141/4	141/4	0.0	9/16	9/16	Dynamic	6/8	1	1	0						sf						
12	12	141/4	141/4	0.5	9/16	9/16	Chord	6/8	1	1	1/8		1/8	1	112				17				
12	12	143/4	143/4	0.0	11/16	11/16	Spanner	6/8	1	1	0								17				2
12	12	143/4	143/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	113				17				2
12	12	287/8	287/8	0.0	23/32	23/32	Spanner	6/8	1	1	0												
12	12	287/8	287/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	114								
12	12	141/4	141/4	0.5	9/16	9/16	Chord	6/8	1	2	1/8		1/8	1	115	>							
12	12	143/4	143/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	116								
12	12	33	33	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	117								
12	12	133/4	133/4	0.5	1/16	1/16	Chord	6/8	2	1	1/8		1/8	1	118								
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	119			articStaccatoBelow	18				
12	12	34	34	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	120			articStaccatoBelow	18				
12	12	137/4	137/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	121			articStaccatoBelow					
12	12	69/2	69/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	122								
12	12	139/4	139/4	0.5	7/16	7/16	Chord	6/8	2	1	1/8		1/8	1	123								
12	12	141/4	141/4	0.5	9/16	9/16	Chord	6/8	2	1	1/8		1/8	1	124								
12	12	143/4	143/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	125								
13	13	36	36	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	126								
13	13	145/4	145/4	0.0	1/16	1/16	Dynamic	6/8	1	1	0						p						
13	13	145/4	145/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	127			articStaccatoBelow	19				
13	13	73/2	73/2	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	128			articStaccatoBelow	19				
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	129			articStaccatoBelow	19				
13	13	37	37	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	130			articStaccatoBelow					
13	13	149/4	149/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	131			articStaccatoBelow	20				
13	13	75/2	75/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	132			articStaccatoAbove	20				
13	13	151/4	151/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	133			articStaccatoAbove					
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	134			articStaccatoAbove					
13	13	77/2	77/2	0.375	5/8	5/8	Chord	6/8	1	1	3/32		1/16	3/2	135								
13	13	311/8	311/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	136								
13	13	36	36	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	137								
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	138			articStaccatoAbove					
13	13	37	37	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	139			articStaccatoAbove					
13	13	149/4	149/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	140			articStaccatoAbove					
13	13	75/2	75/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	141			articStaccatoAbove					
13	13	151/4	151/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	142			articStaccatoBelow					
13	13	38	38	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	143			articStaccatoBelow					
13	13	153/4	153/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	144			articStaccatoBelow					
13	13	77/2	77/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	145			articStaccatoBelow					
13	13	155/4	155/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	146			articStaccatoBelow					
14	14	39	39	0.0	0	0	Spanner	6/8	1	1	0											1	
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	147				21			1	
14	14	79/2	79/2	0.0	1/8	1/8	Spanner	6/8	1	1	0								21				
14	14	79/2	79/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	148				21				
14	14	319/8	319/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	149				21				
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	150				21				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	151				21				
14	14	41	41	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	152				21				
14	14	331/8	331/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	153								
14	14	83/2	83/2	0.0	5/8	5/8	Chord	6/8	1	1	0	grace16	1/16	1	154								
14	14	83/2	83/2	0.125	5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	155				22				
14	14	333/8	333/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	156				22				
14	14	167/4	167/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	157				22				
14	14	335/8	335/8	0.0	23/32	23/32	Dynamic	6/8	1	1	0						sf						
14	14	335/8	335/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	158								
14	14	39	39	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	159								
14	14	40	40	0.0	1/4	1/4	Dynamic	6/8	1	2	0						sf						
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	160								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	161								
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	162								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	163								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	164								
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	165								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	166								
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	167								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	168								
14	14	39	39	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	169								
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8		1/8	1	170								
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	171								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	172								
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	2	1/8		1/8	1	173								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	174								
15	15	42	42	0.0	0	0	Dynamic	6/8	1	1	0						p						
15	15	42	42	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	175				23				
15	15	85/2	85/2	0.0	1/8	1/8	Spanner	6/8	1	1	0								23			2	
15	15	85/2	85/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	176				23			2	
15	15	343/8	343/8	0.0	7/32	7/32	Spanner	6/8	1	1	0								23				
15	15	343/8	343/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	177				23				
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	178				23				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	179				23, 24				
15	15	44	44	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	180				23				
15	15	355/8	355/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	181				23				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	182								
15	15	42	42	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	183	<							
15	15	43	43	0.0	1/4	1/4	Dynamic	6/8	1	2	0						sf						
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	184								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	185								
15	15	44	44	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	186								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	187								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	188								
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	189								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	190								
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	191								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	192								
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8		1/8	1	193								
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	194								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	195								
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	2	1/8		1/8	1	196								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	197								
16	16	91/2	91/2	0.0	1/8	1/8	Spanner	6/8	1	1	0												3
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	198	>							3
16	16	46	46	0.0	1/4	1/4	Spanner	6/8	1	1	0												
16	16	47	47	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	199								
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	200								
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	201								
17	17	97/2	97/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	202	pp							
17	17	391/8	391/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	203								
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	204								
17	17	50	50	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	205								
17	17	403/8	403/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	206								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	207								
17	17	48	48	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	208								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	209								
17	17	101/2	101/2	0.0	5/8	5/8	Spanner	6/8	2	1	0										1		
17	17	101/2	101/2	0.125	5/8	5/8	Chord	6/8	2	1	1/32		1/32	1	210						1		
17	17	405/8	405/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32		1/32	1	211						1		
17	17	203/4	203/4	0.0	11/16	11/16	Spanner	6/8	2	1	0												
17	17	203/4	203/4	0.0	11/16	11/16	Spanner	6/8	2	1	0									2			
17	17	203/4	203/4	0.125	11/16	11/16	Chord	6/8	2	1	1/32		1/32	1	212					2			
17	17	407/8	407/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32		1/32	1	213					2			
18	18	51	51	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	214								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	215			articStaccatoAbove	25				
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	216			articStaccatoAbove					
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	217	<							
18	18	53	53	0.0	1/2	1/2	Spanner	6/8	1	1	0											3	
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	218			articStaccatoAbove	26			3	
18	18	107/2	107/2	0.0	5/8	5/8	Spanner	6/8	1	1	0												
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	219			articStaccatoAbove					
18	18	51	51	0.0	0	0	Spanner	6/8	2	1	0												
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	220								
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	221			articStaccatoBelow	27				
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	222			articStaccatoBelow					
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	223								
19	19	54	54	0.0	0	0	Dynamic	6/8	1	1	0						pp						
19	19	109/2	109/2	0.375	1/8	1/8	Chord	6/8	1	1	3/32		1/16	3/2	224	pp							
19	19	439/8	439/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	225								
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	226								
19	19	56	56	0.375	1/2	1/2	Chord	6/8	1	1	3/32		1/16	3/2	227								
19	19	451/8	451/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	228	<							
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	229								
19	19	54	54	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	230								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	231								
19	19	113/2	113/2	0.0	5/8	5/8	Spanner	6/8	2	1	0										2		
19	19	113/2	113/2	0.125	5/8	5/8	Chord	6/8	2	1	1/32		1/32	1	232						2		
19	19	453/8	453/8	0.125	21/32	21/32	Chord	6/8	2	1	1/32		1/32	1	233				28		2		
