mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	Trill:trill
11	10	37/2	37/2	0.0		0	0	Chord	2/4	1	1	0	grace16	1/16	1	47									
11	10	37/2	37/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	48				7					
11	10	19	19	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	49				7					
11	10	39/2	39/2	0.375		1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	50				7					
11	10	159/8	159/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	51				7					
11	10	20	20	0.375		3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	52				7					
11	10	163/8	163/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	53									
11	10	37/2	37/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	54				6					
11	10	39/2	39/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	55									
12	11	41/2	41/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	56				8					
12	11	21	21	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	57				8					
12	11	43/2	43/2	0.375		1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	58				8					
12	11	175/8	175/8	0.125		11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	59				8					
12	11	22	22	0.375		3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	60				8					
12	11	179/8	179/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	61									
12	11	41/2	41/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	62									
12	11	43/2	43/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	63									
13	12	45/2	45/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	64									
13	12	24	24	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65			articStaccatoBelow						
13	12	45/2	45/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	66									
13	12	24	24	0.0		3/8	3/8	Dynamic	2/4	2	1	0						p							
13	12	24	24	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	67			articStaccatoBelow						
14	13	49/2	49/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	68			articStaccatoBelow						
14	13	26	26	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	69				9					
14	13	157/6	157/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	70				9					
14	13	79/3	79/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	71									
14	13	49/2	49/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	72			articStaccatoBelow						
15	14	53/2	53/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	73			articStaccatoAbove						
15	14	28	28	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	74			articStaccatoBelow						
15	14	28	28	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	75			articStaccatoBelow						
16	15	57/2	57/2	0.0		0	0	Dynamic	2/4	1	1	0						rf							
16	15	57/2	57/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	76			articStaccatoBelow						
16	15	30	30	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	77				10					
16	15	181/6	181/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	78				10					
16	15	91/3	91/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	79									
16	15	57/2	57/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	80			articStaccatoBelow						
17	16	61/2	61/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	81									
17	16	32	32	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	82				11					
17	16	193/6	193/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	83				11					
17	16	97/3	97/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	84				11					
17	16	32	32	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	85				12					
17	16	32	32	0.0		3/8	3/8	Dynamic	2/4	2	1	0						f							
17	16	32	32	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	86				13					
17	16	193/6	193/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	87				13					
17	16	97/3	97/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	88				13					
17	16	32	32	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	89				14					
18	17	65/2	65/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	90			articStaccatoAbove						
18	17	33	33	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	91				15					
18	17	199/6	199/6	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	92				15					
18	17	100/3	100/3	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	93				15					
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94			articStaccatoAbove						
18	17	34	34	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	95				16					
18	17	205/6	205/6	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	96				16					
18	17	103/3	103/3	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	97				16					
18	17	65/2	65/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	98			articStaccatoBelow						
18	17	33	33	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	99				17					
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	100			articStaccatoBelow						
18	17	34	34	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	101				18					
18	17	65/2	65/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	102			articStaccatoAbove						
18	17	33	33	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	103				19					
18	17	199/6	199/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	104				19					
18	17	100/3	100/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	105				19					
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	106			articStaccatoAbove						
18	17	34	34	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	107				20					
18	17	205/6	205/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	108				20					
18	17	103/3	103/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	109				20					
18	17	65/2	65/2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	110			articStaccatoBelow						
18	17	33	33	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	111				21					
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	112			articStaccatoBelow						
18	17	34	34	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	113				22					
19	18	69/2	69/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	114			articStaccatoAbove						
19	18	69/2	69/2	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	115			articStaccatoBelow						
19	18	36	36	0.0		3/8	3/8	Dynamic	2/4	1	2	0						p							
19	18	36	36	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	116									
19	18	69/2	69/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	117			articStaccatoAbove						
19	18	36	36	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	118				23					
19	18	145/4	145/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	119				23					
19	18	69/2	69/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	120			articStaccatoBelow						
20	19	73/2	73/2	0.0		0	0	Spanner	2/4	1	1	0										1			
20	19	73/2	73/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	121				24		1			
20	19	75/2	75/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	122				24		1			
20	19	73/2	73/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	123				23					
20	19	147/4	147/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	124				23					
20	19	37	37	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	125				23					
20	19	149/4	149/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	126				23					
20	19	75/2	75/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	127				23					
20	19	151/4	151/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	128				23					
20	19	38	38	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	129				23					
20	19	153/4	153/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	130				23					
21	20	77/2	77/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	131						1			
21	20	40	40	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	132				25		1			
21	20	77/2	77/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	133				23					
21	20	155/4	155/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	134				23					
21	20	39	39	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	135				23					
21	20	157/4	157/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	136				23					
21	20	79/2	79/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	137				23					
21	20	159/4	159/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	138				23					
21	20	40	40	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	139				23					
21	20	161/4	161/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	140				23					
22	21	81/2	81/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	141				25		1			
22	21	41	41	0.0		1/8	1/8	Dynamic	2/4	1	1	0						sf		25					
22	21	41	41	0.0		1/8	1/8	Spanner	2/4	1	1	0								25					
22	21	41	41	0.0		1/8	1/8	Spanner	2/4	1	1	0								25				1	
22	21	41	41	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	142				25				1	
22	21	42	42	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	143				25				1	
22	21	169/4	169/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	144								1	
22	21	81/2	81/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	145				23					
22	21	163/4	163/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	146				23					
22	21	41	41	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	147				23					
22	21	165/4	165/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	148				23					
22	21	83/2	83/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	149				23					
22	21	167/4	167/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	150				23					
22	21	42	42	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	151				23					
22	21	169/4	169/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	152				23					
23	22	85/2	85/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	153				26				1	
23	22	87/2	87/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	154								1	
23	22	44	44	0.0		3/8	3/8	Spanner	2/4	1	1	0													
23	22	85/2	85/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	155				23					
23	22	171/4	171/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	156				23					
23	22	43	43	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	157				23					
23	22	173/4	173/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	158				23					
23	22	87/2	87/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	159				23					
23	22	175/4	175/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	160				23					
23	22	44	44	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	161				23					
23	22	177/4	177/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	162				23					
24	23	89/2	89/2	0.0		0	0	Spanner	2/4	1	1	0										2			
24	23	89/2	89/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	163				27		2			
24	23	91/2	91/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	164				27		2			
24	23	89/2	89/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	165				23					
24	23	179/4	179/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	166				23					
24	23	45	45	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	167				23					
24	23	181/4	181/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	168				23					
24	23	91/2	91/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	169				23					
24	23	183/4	183/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	170				23					
24	23	46	46	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	171				23					
24	23	185/4	185/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	172				23					
25	24	93/2	93/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	173						2			
25	24	48	48	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	174				28		2			
25	24	93/2	93/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	175				23					
25	24	187/4	187/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	176				23					
25	24	47	47	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	177				23					
25	24	189/4	189/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	178				23					
25	24	95/2	95/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	179				23					
25	24	191/4	191/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	180				23					
25	24	48	48	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	181				23					
25	24	193/4	193/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	182				23					
26	25	97/2	97/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	183				28		2			
26	25	49	49	0.0		1/8	1/8	Dynamic	2/4	1	1	0						sf		28					
26	25	49	49	0.0		1/8	1/8	Spanner	2/4	1	1	0								28					
26	25	49	49	0.0		1/8	1/8	Spanner	2/4	1	1	0								28				2	
26	25	49	49	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	184				28				2	
26	25	50	50	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	185								2	
26	25	97/2	97/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	186				23					
26	25	195/4	195/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	187				23					
26	25	49	49	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	188				23					
26	25	197/4	197/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	189				23					
26	25	99/2	99/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	190				23					
26	25	199/4	199/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	191				23					
26	25	50	50	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	192				23					
26	25	201/4	201/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	193				23					
27	26	101/2	101/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	194				29				2	
27	26	103/2	103/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	195								2	
27	26	101/2	101/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	196				23					
27	26	203/4	203/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	197				23					
27	26	51	51	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	198				23					
27	26	205/4	205/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	199				23					
27	26	103/2	103/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	200				23					
27	26	207/4	207/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	201				23					
27	26	52	52	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	202				23					
27	26	209/4	209/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	203									
28	27	105/2	105/2	0.0		0	0	Dynamic	2/4	1	1	0						ff							
28	27	105/2	105/2	0.0		0	0	Spanner	2/4	1	1	0													
28	27	105/2	105/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	204									
28	27	107/2	107/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	205									
28	27	105/2	105/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	206				30					
28	27	211/4	211/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	207				30					
28	27	53	53	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	208				30					
28	27	213/4	213/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	209				30					
28	27	107/2	107/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	210				30					
28	27	215/4	215/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	211				30					
28	27	54	54	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	212				30					
28	27	217/4	217/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	213				30					
29	28	109/2	109/2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	214									
29	28	56	56	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	215				31					
29	28	109/2	109/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	216				30					
29	28	219/4	219/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	217				30					
29	28	55	55	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	218				30					
29	28	221/4	221/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	219				30					
29	28	111/2	111/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	220				30					
29	28	223/4	223/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	221				30					
29	28	56	56	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	222				30					
29	28	225/4	225/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	223				30					
30	29	113/2	113/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	224				31					
30	29	57	57	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	225				31					
30	29	58	58	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	226									
30	29	113/2	113/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	227				30					
30	29	227/4	227/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	228				30					
30	29	57	57	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	229				30					
30	29	229/4	229/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	230				30					
30	29	115/2	115/2	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	231				30					
30	29	231/4	231/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	232				30					
30	29	58	58	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	233				30					
30	29	233/4	233/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	234									
31	30	60	60	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	235			articStaccatoAbove						
31	30	117/2	117/2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	236				32					
31	30	59	59	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	237									
31	30	60	60	0.0		3/8	3/8	Dynamic	2/4	1	2	0						p							
31	30	60	60	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	238									
31	30	117/2	117/2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24		1/16	2/3	239				33					
31	30	176/3	176/3	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	240				33					
31	30	353/6	353/6	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	241				33					
31	30	59	59	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	242				33					
31	30	355/6	355/6	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	243				33					
31	30	178/3	178/3	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	244									
31	30	119/2	119/2	0.16666666666666666		1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	245				34					
31	30	179/3	179/3	0.16666666666666666		7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	246				34					
31	30	359/6	359/6	0.16666666666666666		1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	247				34					
31	30	60	60	0.16666666666666666		3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	248				34					
31	30	361/6	361/6	0.16666666666666666		5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	249				34					
31	30	181/3	181/3	0.16666666666666666		11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	250									
31	30	117/2	117/2	1.0		0	0	Chord	2/4	2	2	1/4		1/4	1	251									
