mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	diminuendo_line	crescendo_line
17	16	23	23	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	93						
17	16	24	24	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p				
17	16	24	24	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	94	p			14		
17	16	97/4	97/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	95				14		
17	16	23	23	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	96						
18	17	49/2	49/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	97			articStaccatoAbove			
18	17	25	25	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	98				15		
18	17	101/4	101/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	99				15		
18	17	51/2	51/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	100			articStaccatoAbove			
19	18	26	26	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	101				16		
19	18	105/4	105/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	102				16		
19	18	53/2	53/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	103			articStaccatoAbove			
19	18	27	27	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	104			articStaccatoAbove			
20	19	55/2	55/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	105	p			17		
20	19	57/2	57/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	106				17		
20	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	107				17		
20	19	55/2	55/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	108				18		
20	19	57/2	57/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	109				18		
20	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	110				18		
20	19	55/2	55/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	111						
21	20	29	29	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	112			articStaccatoAbove			
21	20	30	30	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	113				19		
21	20	121/4	121/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	114				19		
21	20	30	30	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	115						
21	20	29	29	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	116						
21	20	30	30	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	117						
21	20	29	29	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	118						
22	21	61/2	61/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	119						
22	21	63/2	63/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	120				20		
22	21	127/4	127/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	121				20		
22	21	61/2	61/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	122						
22	21	63/2	63/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	123						
22	21	61/2	61/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	124						
22	21	63/2	63/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	125						
23	22	32	32	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	126						
23	22	32	32	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	127						
23	22	32	32	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	128						
24	23	67/2	67/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	129	f					
24	23	67/2	67/2	0.0	0	0	Dynamic	3/8	2	1	0						f				
24	23	67/2	67/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	130						
25	24	35	35	0.0	0	0	Dynamic	3/8	1	1	0						p				
25	24	35	35	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	131	p					
25	24	211/6	211/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	132						
25	24	106/3	106/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	133						
25	24	71/2	71/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	134						
25	24	107/3	107/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	135						
25	24	215/6	215/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	136						
25	24	36	36	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	137						
25	24	217/6	217/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	138						
25	24	109/3	109/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	139						
25	24	36	36	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	140						
26	25	73/2	73/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	141						
26	25	110/3	110/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	142						
26	25	221/6	221/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	143						
26	25	37	37	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	144						
26	25	223/6	223/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	145						
26	25	112/3	112/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	146						
26	25	75/2	75/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	147						
26	25	113/3	113/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	148						
26	25	227/6	227/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	149						
26	25	73/2	73/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	150						
26	25	37	37	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	151						
26	25	75/2	75/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	152						
27	26	38	38	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	153						
27	26	38	38	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	154						
28	27	79/2	79/2	0.0	0	0	Dynamic	3/8	1	1	0						f				
28	27	79/2	79/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	155	f					
28	27	79/2	79/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	156						
29	28	41	41	0.0	0	0	Dynamic	3/8	1	1	0						p				
29	28	41	41	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	157	p					
29	28	247/6	247/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	158						
29	28	124/3	124/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	159						
29	28	83/2	83/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	160						
29	28	125/3	125/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	161						
29	28	251/6	251/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	162						
29	28	42	42	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	163						
29	28	253/6	253/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	164						
29	28	127/3	127/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	165						
29	28	42	42	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	166						
30	29	85/2	85/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	167						
30	29	128/3	128/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	168						
30	29	257/6	257/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	169						
30	29	43	43	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	170						
30	29	259/6	259/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	171						
30	29	130/3	130/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	172						
30	29	87/2	87/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	173						
30	29	131/3	131/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	174						
30	29	263/6	263/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	175						
30	29	85/2	85/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	176						
30	29	43	43	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	177						
30	29	87/2	87/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	178						
31	30	44	44	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	179						
31	30	44	44	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	180						
32	31	91/2	91/2	0.0	0	0	Dynamic	3/8	1	1	0						f				
32	31	91/2	91/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	181	f					
32	31	91/2	91/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	182						
33	32	47	47	0.0	0	0	Dynamic	3/8	1	1	0						p				
33	32	47	47	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	183	p					
33	32	283/6	283/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	184						
33	32	142/3	142/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	185						
33	32	95/2	95/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	186						
33	32	143/3	143/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	187						
33	32	287/6	287/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	188						
33	32	48	48	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	189						
33	32	289/6	289/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	190						
33	32	145/3	145/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	191						
33	32	48	48	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	192						
34	33	97/2	97/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	193						
34	33	146/3	146/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	194						
34	33	293/6	293/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	195						
34	33	49	49	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	196						
34	33	295/6	295/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	197						
34	33	148/3	148/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	198						
34	33	99/2	99/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	199						
34	33	149/3	149/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	200						
34	33	299/6	299/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	201						
34	33	97/2	97/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	202						
34	33	49	49	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	203						
34	33	99/2	99/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	204						
35	34	50	50	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	205						
35	34	50	50	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	206						
36	35	103/2	103/2	0.0	0	0	Dynamic	3/8	1	1	0						f				
36	35	103/2	103/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	207	f					
36	35	103/2	103/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	208						
37	36	53	53	0.0	0	0	Dynamic	3/8	1	1	0						p				
37	36	53	53	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	209	p					
37	36	319/6	319/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	210						
37	36	160/3	160/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	211						
37	36	107/2	107/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	212						
37	36	161/3	161/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	213						
37	36	323/6	323/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	214						
37	36	54	54	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	215						
37	36	325/6	325/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	216						
37	36	163/3	163/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	217						
37	36	54	54	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	218						
38	37	109/2	109/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	219						
38	37	164/3	164/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	220						
38	37	329/6	329/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	221						
38	37	55	55	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	222						
38	37	331/6	331/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	223						
38	37	166/3	166/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	224						
38	37	111/2	111/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	225						
38	37	167/3	167/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	226						
38	37	335/6	335/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	227						
38	37	109/2	109/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	228						
38	37	55	55	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	229						
38	37	111/2	111/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	230						
39	38	56	56	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	231						
39	38	56	56	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	232						
40	39	115/2	115/2	0.0	0	0	Dynamic	3/8	1	1	0						pp				
40	39	115/2	115/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	233	pp					
40	39	115/2	115/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	234						
41	40	59	59	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	235						
41	40	59	59	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	236						
43	42	63	63	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p				
43	42	63	63	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	237	p			21		
43	42	253/4	253/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	238				21		
44	43	127/2	127/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	239			articStaccatoBelow			
44	43	64	64	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	240				22		
44	43	257/4	257/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	241				22		
44	43	129/2	129/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	242			articStaccatoBelow			
45	44	65	65	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	243				23		
45	44	261/4	261/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	244				23		
45	44	131/2	131/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	245			articStaccatoAbove			
45	44	66	66	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	246			articStaccatoAbove			
46	45	133/2	133/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	247				24		
46	45	135/2	135/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	248				24		
46	45	271/4	271/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	249				24		
46	45	133/2	133/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	250				25		
46	45	135/2	135/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	251				25		
46	45	271/4	271/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	252				25		
46	45	133/2	133/2	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	253				26		
