mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	3	15	15	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	29				2						
4	3	16	16	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	30										
4	3	33/2	33/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									0					
4	3	33/2	33/2	0.0	3/4	3/4	Chord	12/8	1	1	0	appoggiatura	1/8	1	31					0					
4	3	33/2	33/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	32					0					
4	3	18	18	0.75	9/8	9/8	Chord	12/8	1	1	3/16		1/8	3/2	33					0					
4	3	75/4	75/4	0.0	21/16	21/16	Spanner	12/8	1	1	0														
4	3	75/4	75/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	34				3						
4	3	19	19	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	35				3						
4	3	77/4	77/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	36										
4	3	27/2	27/2	0.0	0	0	Spanner	12/8	2	1	0														
4	3	27/2	27/2	0.0	0	0	Spanner	12/8	2	1	0													4	
4	3	27/2	27/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	37									4	
4	3	33/2	33/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
4	3	33/2	33/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													5	
4	3	33/2	33/2	3.0	3/4	3/4	Chord	12/8	2	1	3/4		1/2	3/2	38									5	
5	4	39/2	39/2	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	39										
5	4	24	24	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	40				4						
5	4	25	25	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	41				4						
5	4	101/4	101/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	42				4						
5	4	39/2	39/2	0.0	0	0	Spanner	12/8	2	1	0														
5	4	39/2	39/2	0.0	0	0	Spanner	12/8	2	1	0													6	
5	4	39/2	39/2	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	43									6	
5	4	21	21	0.0	3/8	3/8	Spanner	12/8	2	1	0														
5	4	24	24	0.0	9/8	9/8	Spanner	12/8	2	1	0													7	
5	4	24	24	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	44				5					7	
5	4	25	25	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	45				5					7	
5	4	101/4	101/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	46				5					7	
6	5	51/2	51/2	3.0	0	0	Chord	12/8	1	1	3/4		1/2	3/2	47				4						
6	5	57/2	57/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	48				4						
6	5	30	30	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	49				4						
6	5	31	31	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	50				4						
6	5	125/4	125/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	51				4						
6	5	51/2	51/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	52				5					7	
6	5	57/2	57/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	53				5					7	
6	5	30	30	0.0	9/8	9/8	Spanner	12/8	2	1	0								5						
6	5	30	30	0.0	9/8	9/8	Spanner	12/8	2	1	0								5					8	
6	5	30	30	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	54				5					8	
6	5	31	31	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	55				5					8	
6	5	125/4	125/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	56				5					8	
7	6	63/2	63/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	57				4						
7	6	33	33	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	58				4						
7	6	34	34	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	59				4						
7	6	137/4	137/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	60				4						
7	6	69/2	69/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	61				4						
7	6	36	36	1.5	9/8	9/8	Chord	12/8	1	1	3/8		1/4	3/2	62										
7	6	63/2	63/2	1.5	0	0	Chord	12/8	2	1	3/8		1/4	3/2	63				5					8	
7	6	33	33	0.0	3/8	3/8	Spanner	12/8	2	1	0								5						
7	6	33	33	0.0	3/8	3/8	Spanner	12/8	2	1	0								5					9	
7	6	33	33	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	64				5					9	
7	6	34	34	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	65				5					9	
7	6	137/4	137/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	66				5					9	
7	6	69/2	69/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	67				5					9	
7	6	36	36	0.0	9/8	9/8	Spanner	12/8	2	1	0														
7	6	36	36	0.0	9/8	9/8	Spanner	12/8	2	1	0													10	
7	6	36	36	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	68									10	
8	7	75/2	75/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	69				6						
8	7	39	39	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	70				6						
8	7	40	40	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	71										
8	7	81/2	81/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									1					
8	7	81/2	81/2	0.0	3/4	3/4	Chord	12/8	1	1	0	appoggiatura	1/8	1	72					1					
8	7	81/2	81/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	73					1					
8	7	42	42	0.75	9/8	9/8	Chord	12/8	1	1	3/16		1/8	3/2	74					1					
8	7	171/4	171/4	0.0	21/16	21/16	Spanner	12/8	1	1	0														
8	7	171/4	171/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	75				7						
8	7	43	43	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	76				7						
8	7	173/4	173/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	77										
8	7	75/2	75/2	0.0	0	0	Spanner	12/8	2	1	0														
8	7	75/2	75/2	0.0	0	0	Spanner	12/8	2	1	0													11	
8	7	75/2	75/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	78									11	
8	7	81/2	81/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
8	7	81/2	81/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													12	
8	7	81/2	81/2	3.0	3/4	3/4	Chord	12/8	2	1	3/4		1/2	3/2	79									12	
9	8	87/2	87/2	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	80										
9	8	87/2	87/2	0.0	0	0	Spanner	12/8	2	1	0														
9	8	87/2	87/2	0.0	0	0	Spanner	12/8	2	1	0													13	
9	8	87/2	87/2	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	81									13	
9	8	45	45	0.0	3/8	3/8	Spanner	12/8	2	1	0														
10	9	99/2	99/2	0.0	0	0	Spanner	12/8	1	1	0												0		
10	9	99/2	99/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	82				8				0		
10	9	51	51	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	83				8				0		
10	9	52	52	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	84								0		
10	9	105/2	105/2	0.0	3/4	3/4	Spanner	12/8	1	1	0														
10	9	105/2	105/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									2					
10	9	105/2	105/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									2		0			
10	9	105/2	105/2	0.0	3/4	3/4	Chord	12/8	1	1	0	appoggiatura	1/8	1	85					2		0			
10	9	105/2	105/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	86					2		0			
10	9	54	54	0.75	9/8	9/8	Chord	12/8	1	1	3/16		1/8	3/2	87					2		0			
10	9	219/4	219/4	0.0	21/16	21/16	Spanner	12/8	1	1	0											0			
10	9	219/4	219/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	88				9			0			
10	9	55	55	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	89				9			0			
10	9	221/4	221/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	90							0			
10	9	99/2	99/2	0.0	0	0	Spanner	12/8	2	1	0													14	
10	9	99/2	99/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	91									14	
10	9	105/2	105/2	0.0	3/4	3/4	Spanner	12/8	2	1	0														
10	9	105/2	105/2	0.0	3/4	3/4	Spanner	12/8	2	1	0													15	
10	9	105/2	105/2	3.0	3/4	3/4	Chord	12/8	2	1	3/4		1/2	3/2	92									15	
11	10	111/2	111/2	0.0	0	0	Dynamic	12/8	1	1	0					pp									
11	10	111/2	111/2	0.0	0	0	Spanner	12/8	1	1	0														
11	10	111/2	111/2	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	93										
11	10	111/2	111/2	0.0	0	0	Spanner	12/8	2	1	0														
11	10	111/2	111/2	0.0	0	0	Spanner	12/8	2	1	0													16	
11	10	111/2	111/2	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	94									16	
11	10	57	57	0.0	3/8	3/8	Spanner	12/8	2	1	0														
11	10	57	57	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	95		articStaccatoBelow								
11	10	115/2	115/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	96		articStaccatoBelow								
11	10	58	58	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	97		articStaccatoBelow								
11	10	117/2	117/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	98		articStaccatoBelow								
12	11	123/2	123/2	0.0	0	0	Spanner	12/8	1	1	0												1		
12	11	123/2	123/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	99				10				1		
12	11	63	63	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	100				10				1		
12	11	64	64	0.5	5/8	5/8	Chord	12/8	1	1	1/8		1/8	1	101								1		
12	11	129/2	129/2	0.0	3/4	3/4	Spanner	12/8	1	1	0														
12	11	129/2	129/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									3					
12	11	129/2	129/2	0.0	3/4	3/4	Spanner	12/8	1	1	0									3		1			
12	11	129/2	129/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	102					3		1			
12	11	66	66	0.75	9/8	9/8	Chord	12/8	1	1	3/16		1/8	3/2	103					3		1			
12	11	267/4	267/4	0.0	21/16	21/16	Spanner	12/8	1	1	0											1			
12	11	267/4	267/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	104				11			1			
12	11	67	67	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	105				11			1			
12	11	269/4	269/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	106							1			
12	11	123/2	123/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	107										
12	11	129/2	129/2	3.0	3/4	3/4	Chord	12/8	2	1	3/4		1/2	3/2	108										
13	12	135/2	135/2	0.0	0	0	Spanner	12/8	1	1	0														
13	12	135/2	135/2	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	109										
13	12	72	72	0.0	9/8	9/8	Dynamic	12/8	1	1	0					pp									
13	12	72	72	0.5	9/8	9/8	Chord	12/8	1	1	1/8		1/8	1	110										
13	12	145/2	145/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8		1/8	1	111										
13	12	73	73	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	112										
13	12	135/2	135/2	1.0	0	0	Chord	12/8	2	1	1/4		1/4	1	113										
13	12	69	69	0.0	3/8	3/8	StaffText	12/8	2	1	0							<i>poco ritardando</i>							
13	12	69	69	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	114		articStaccatoBelow								
13	12	139/2	139/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	115		articStaccatoBelow								
13	12	70	70	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	116		articStaccatoBelow								
13	12	141/2	141/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	117										
14	13	147/2	147/2	1.0	0	0	Chord	12/8	1	1	1/4		1/4	1	118										
14	13	78	78	0.0	9/8	9/8	Dynamic	12/8	1	1	0					f									
14	13	78	78	0.5	9/8	9/8	Chord	12/8	1	1	1/8		1/8	1	119										
14	13	157/2	157/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8		1/8	1	120										
14	13	79	79	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	121										
14	13	75	75	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	122										
14	13	151/2	151/2	0.5	1/2	1/2	Chord	12/8	2	1	1/8		1/8	1	123										
14	13	76	76	0.5	5/8	5/8	Chord	12/8	2	1	1/8		1/8	1	124										
14	13	153/2	153/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	125										
15	14	159/2	159/2	0.0	0	0	Dynamic	12/8	1	1	0					f									
15	14	159/2	159/2	0.25	0	0	Chord	12/8	1	1	1/16		1/16	1	126										
15	14	319/4	319/4	0.25	1/16	1/16	Chord	12/8	1	1	1/16		1/16	1	127										
15	14	80	80	0.25	1/8	1/8	Chord	12/8	1	1	1/16		1/16	1	128										
15	14	321/4	321/4	0.25	3/16	3/16	Chord	12/8	1	1	1/16		1/16	1	129										
15	14	161/2	161/2	0.25	1/4	1/4	Chord	12/8	1	1	1/16		1/16	1	130										
15	14	323/4	323/4	0.25	5/16	5/16	Chord	12/8	1	1	1/16		1/16	1	131										
15	14	81	81	0.25	3/8	3/8	Chord	12/8	1	1	1/16		1/16	1	132										
15	14	325/4	325/4	0.25	7/16	7/16	Chord	12/8	1	1	1/16		1/16	1	133										
15	14	163/2	163/2	0.25	1/2	1/2	Chord	12/8	1	1	1/16		1/16	1	134										
15	14	327/4	327/4	0.25	9/16	9/16	Chord	12/8	1	1	1/16		1/16	1	135										
15	14	82	82	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	136										
15	14	329/4	329/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	137										
15	14	165/2	165/2	0.25	3/4	3/4	Chord	12/8	1	1	1/16		1/16	1	138										
15	14	331/4	331/4	0.25	13/16	13/16	Chord	12/8	1	1	1/16		1/16	1	139										
15	14	83	83	0.25	7/8	7/8	Chord	12/8	1	1	1/16		1/16	1	140										
15	14	333/4	333/4	0.25	15/16	15/16	Chord	12/8	1	1	1/16		1/16	1	141										
15	14	167/2	167/2	0.25	1	1	Chord	12/8	1	1	1/16		1/16	1	142										
15	14	335/4	335/4	0.25	17/16	17/16	Chord	12/8	1	1	1/16		1/16	1	143										
15	14	84	84	0.25	9/8	9/8	Chord	12/8	1	1	1/16		1/16	1	144										
15	14	337/4	337/4	0.25	19/16	19/16	Chord	12/8	1	1	1/16		1/16	1	145										
15	14	169/2	169/2	0.25	5/4	5/4	Chord	12/8	1	1	1/16		1/16	1	146										
15	14	339/4	339/4	0.25	21/16	21/16	Chord	12/8	1	1	1/16		1/16	1	147										
15	14	85	85	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	148										
15	14	341/4	341/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	149										
15	14	159/2	159/2	0.0	0	0	Spanner	12/8	2	1	0													17	
16	15	179/2	179/2	0.0	1	1	Dynamic	12/8	1	1	0					f									
16	15	171/2	171/2	0.25	0	0	Chord	12/8	2	1	1/16		1/16	1	150									17	
16	15	343/4	343/4	0.25	1/16	1/16	Chord	12/8	2	1	1/16		1/16	1	151									17	
16	15	86	86	0.25	1/8	1/8	Chord	12/8	2	1	1/16		1/16	1	152									17	
16	15	345/4	345/4	0.25	3/16	3/16	Chord	12/8	2	1	1/16		1/16	1	153									17	
16	15	88	88	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	154									17	
16	15	353/4	353/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	155									17	
16	15	177/2	177/2	0.5	3/4	3/4	Chord	12/8	2	1	1/8		1/8	1	156									17	
16	15	179/2	179/2	0.0	1	1	Spanner	12/8	2	1	0														
16	15	90	90	0.0	9/8	9/8	Spanner	12/8	2	1	0													18	
16	15	90	90	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	157									18	
16	15	181/2	181/2	0.0	5/4	5/4	Spanner	12/8	2	1	0														
16	15	173/2	173/2	0.25	1/4	1/4	Chord	12/8	2	2	1/16		1/16	1	158										
16	15	347/4	347/4	0.25	5/16	5/16	Chord	12/8	2	2	1/16		1/16	1	159										
16	15	87	87	0.25	3/8	3/8	Chord	12/8	2	2	1/16		1/16	1	160										
16	15	349/4	349/4	0.25	7/16	7/16	Chord	12/8	2	2	1/16		1/16	1	161										
16	15	175/2	175/2	0.25	1/2	1/2	Chord	12/8	2	2	1/16		1/16	1	162										
16	15	351/4	351/4	0.25	9/16	9/16	Chord	12/8	2	2	1/16		1/16	1	163										
16	15	90	90	0.5	9/8	9/8	Chord	12/8	2	2	1/8		1/8	1	164										
17	16	183/2	183/2	0.0	0	0	Dynamic	12/8	1	1	0					p									
17	16	96	96	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	165										
17	16	97	97	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	166										
17	16	389/4	389/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	167										
17	16	183/2	183/2	0.0	0	0	Dynamic	12/8	2	1	0					p									
17	16	183/2	183/2	0.0	0	0	Spanner	12/8	2	1	0													19	
17	16	183/2	183/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	168									19	
17	16	189/2	189/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	169									19	
17	16	96	96	0.0	9/8	9/8	Dynamic	12/8	2	1	0					pp									
17	16	96	96	0.0	9/8	9/8	Spanner	12/8	2	1	0														
17	16	96	96	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	170										
17	16	97	97	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	171										
17	16	389/4	389/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	172										
17	16	183/2	183/2	3.0	0	0	Chord	12/8	2	2	3/4		1/2	3/2	173										
17	16	189/2	189/2	1.5	3/4	3/4	Chord	12/8	2	2	3/8		1/4	3/2	174										
18	17	195/2	195/2	0.5	0	0	Chord	12/8	1	1	1/8		1/8	1	175										
18	17	98	98	1.0	1/8	1/8	Chord	12/8	1	1	1/4		1/4	1	176										
18	17	99	99	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	177										
18	17	100	100	1.0	5/8	5/8	Chord	12/8	1	1	1/4		1/4	1	178										
18	17	101	101	1.0	7/8	7/8	Chord	12/8	1	1	1/4		1/4	1	179										
18	17	102	102	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	180										
18	17	103	103	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	181										
18	17	195/2	195/2	0.0	0	0	Dynamic	12/8	2	1	0					ff									
18	17	195/2	195/2	0.5	0	0	Chord	12/8	2	1	1/8		1/8	1	182										
18	17	197/2	197/2	0.5	1/4	1/4	Chord	12/8	2	1	1/8		1/8	1	183										
18	17	99	99	0.5	3/8	3/8	Chord	12/8	2	1	1/8		1/8	1	184										
18	17	199/2	199/2	1.0	1/2	1/2	Chord	12/8	2	1	1/4		1/4	1	185										
18	17	201/2	201/2	1.0	3/4	3/4	Chord	12/8	2	1	1/4		1/4	1	186										
18	17	203/2	203/2	0.5	1	1	Chord	12/8	2	1	1/8		1/8	1	187										
18	17	102	102	0.5	9/8	9/8	Chord	12/8	2	1	1/8		1/8	1	188										
18	17	205/2	205/2	1.0	5/4	5/4	Chord	12/8	2	1	1/4		1/4	1	189										
19	18	207/2	207/2	3.0	0	0	Chord	12/8	1	1	3/4		1/2	3/2	190										
19	18	213/2	213/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	191										
19	18	108	108	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	192				12						
19	18	109	109	0.25	11/8	11/8	Chord	12/8	1	1	1/16		1/16	1	193				12						
19	18	437/4	437/4	0.25	23/16	23/16	Chord	12/8	1	1	1/16		1/16	1	194				12						
19	18	207/2	207/2	3.0	0	0	Chord	12/8	2	1	3/4		1/2	3/2	195										
19	18	213/2	213/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	196										
19	18	108	108	0.0	9/8	9/8	Dynamic	12/8	2	1	0					p									
19	18	108	108	0.0	9/8	9/8	Spanner	12/8	2	1	0													20	
19	18	108	108	1.0	9/8	9/8	Chord	12/8	2	1	1/4		1/4	1	197				13					20	
19	18	109	109	0.25	11/8	11/8	Chord	12/8	2	1	1/16		1/16	1	198				13					20	
19	18	437/4	437/4	0.25	23/16	23/16	Chord	12/8	2	1	1/16		1/16	1	199				13					20	
20	19	219/2	219/2	1.5	0	0	Chord	12/8	1	1	3/8		1/4	3/2	200				12						
20	19	111	111	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	201				12						
20	19	112	112	0.25	5/8	5/8	Chord	12/8	1	1	1/16		1/16	1	202				12						
20	19	449/4	449/4	0.25	11/16	11/16	Chord	12/8	1	1	1/16		1/16	1	203				12						
20	19	225/2	225/2	1.5	3/4	3/4	Chord	12/8	1	1	3/8		1/4	3/2	204				12						
20	19	114	114	1.5	9/8	9/8	Chord	12/8	1	1	3/8		1/4	3/2	205										
20	19	219/2	219/2	1.5	0	0	Chord	12/8	2	1	3/8		1/4	3/2	206				13					20	
20	19	111	111	0.0	3/8	3/8	Spanner	12/8	2	1	0								13						
20	19	111	111	0.0	3/8	3/8	Spanner	12/8	2	1	0								13					21	
20	19	111	111	1.0	3/8	3/8	Chord	12/8	2	1	1/4		1/4	1	207				13					21	
20	19	112	112	0.25	5/8	5/8	Chord	12/8	2	1	1/16		1/16	1	208				13					21	
20	19	449/4	449/4	0.25	11/16	11/16	Chord	12/8	2	1	1/16		1/16	1	209				13					21	
20	19	225/2	225/2	1.5	3/4	3/4	Chord	12/8	2	1	3/8		1/4	3/2	210				13					21	
20	19	114	114	0.0	9/8	9/8	Spanner	12/8	2	1	0														
20	19	114	114	0.0	9/8	9/8	Spanner	12/8	2	1	0													22	
20	19	114	114	1.5	9/8	9/8	Chord	12/8	2	1	3/8		1/4	3/2	211									22	
21	20	231/2	231/2	0.0	0	0	Dynamic	12/8	1	1	0					ff									
21	20	231/2	231/2	0.5	0	0	Chord	12/8	1	1	1/8		1/8	1	212										
21	20	116	116	1.0	1/8	1/8	Chord	12/8	1	1	1/4		1/4	1	213										
21	20	117	117	1.0	3/8	3/8	Chord	12/8	1	1	1/4		1/4	1	214										
21	20	118	118	1.0	5/8	5/8	Chord	12/8	1	1	1/4		1/4	1	215										
21	20	119	119	1.0	7/8	7/8	Chord	12/8	1	1	1/4		1/4	1	216										
21	20	120	120	1.0	9/8	9/8	Chord	12/8	1	1	1/4		1/4	1	217										
21	20	121	121	0.5	11/8	11/8	Chord	12/8	1	1	1/8		1/8	1	218										
21	20	231/2	231/2	0.0	0	0	Spanner	12/8	2	1	0														
