mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	Trill:trill
163	163	324	324	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	1635			articStaccatoAbove	114				
163	163	325	325	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1636			articStaccatoAbove					
163	163	324	324	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1637								
163	163	1297/4	1297/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1638								
163	163	649/2	649/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1639								
163	163	1299/4	1299/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1640								
163	163	325	325	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1641								
163	163	1301/4	1301/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1642								
163	163	651/2	651/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1643								
163	163	1303/4	1303/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1644								
164	164	326	326	0.0	0	0	Spanner	2/4	1	1	0											5	
164	164	326	326	0.0	0	0	Spanner	2/4	1	1	0											5	2
164	164	326	326	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	1645							5	2
164	164	326	326	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	1646							5	2
164	164	326	326	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1647			articStaccatoAbove					
164	164	1305/4	1305/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1648								
164	164	653/2	653/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1649								
164	164	1307/4	1307/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1650								
164	164	327	327	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1651			articStaccatoAbove					
164	164	1309/4	1309/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1652								
164	164	655/2	655/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1653								
164	164	1311/4	1311/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1654								
165	165	328	328	0.0	0	0	Spanner	2/4	1	1	0												2
165	165	328	328	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	1655								2
165	165	328	328	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1656			articStaccatoAbove					
165	165	1313/4	1313/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1657								
165	165	657/2	657/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1658								
165	165	1315/4	1315/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1659								
165	165	329	329	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1660			articStaccatoAbove					
165	165	1317/4	1317/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1661								
165	165	659/2	659/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1662								
165	165	1319/4	1319/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1663								
166	166	330	330	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	1664								2
166	166	330	330	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1665			articStaccatoAbove					
166	166	1321/4	1321/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1666								
166	166	661/2	661/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1667								
166	166	1323/4	1323/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1668								
166	166	331	331	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1669			articStaccatoAbove					
166	166	1325/4	1325/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1670								
166	166	663/2	663/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1671								
166	166	1327/4	1327/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1672								
167	167	332	332	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	1673								2
167	167	332	332	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1674			articStaccatoAbove					
167	167	1329/4	1329/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1675								
167	167	665/2	665/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1676								
167	167	1331/4	1331/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1677								
167	167	333	333	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1678			articStaccatoAbove					
167	167	1333/4	1333/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1679								
167	167	667/2	667/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1680								
167	167	1335/4	1335/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1681								
168	168	334	334	0.0	0	0	Spanner	2/4	1	1	0												
168	168	335	335	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1682			articStaccatoAbove					
168	168	334	334	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	1683	ff							
168	168	334	334	0.0	0	0	Dynamic	2/4	2	1	0						ff						
168	168	334	334	0.0	0	0	Spanner	2/4	2	1	0												3
168	168	334	334	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1684			articStaccatoBelow					3
168	168	1337/4	1337/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	1685								3
168	168	2675/8	2675/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	1686								3
168	168	669/2	669/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	1687								3
168	168	2677/8	2677/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	1688								3
168	168	1339/4	1339/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	1689			articStaccatoAbove					3
168	168	2679/8	2679/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	1690								3
168	168	335	335	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1691			articStaccatoBelow					3
168	168	1341/4	1341/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	1692								3
168	168	2683/8	2683/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	1693								3
168	168	671/2	671/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	1694								3
168	168	2685/8	2685/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	1695								3
168	168	1343/4	1343/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	1696								3
168	168	2687/8	2687/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	1697								3
169	169	336	336	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1698				115				
169	169	675/2	675/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1699				115				
169	169	336	336	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	1700	>							
169	169	336	336	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1701			articStaccatoBelow					3
169	169	1345/4	1345/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1702			articStaccatoBelow					3
169	169	673/2	673/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1703			articStaccatoBelow					3
169	169	1347/4	1347/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1704			articStaccatoBelow					3
169	169	337	337	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1705			articStaccatoBelow					3
169	169	1349/4	1349/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1706			articStaccatoBelow					3
169	169	675/2	675/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1707			articStaccatoBelow					3
169	169	1351/4	1351/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1708			articStaccatoBelow					3
170	170	338	338	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	1709				115				
170	170	339	339	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1710			ornamentTrill					
170	170	338	338	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	1711								
170	170	339	339	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1712								
170	170	338	338	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1713			articStaccatoAbove					3
170	170	1353/4	1353/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1714			articStaccatoAbove					3
170	170	677/2	677/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1715			articStaccatoAbove					3
170	170	1355/4	1355/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1716			articStaccatoAbove					3
170	170	339	339	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1717			articStaccatoAbove					3
170	170	1357/4	1357/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1718			articStaccatoAbove					3
170	170	679/2	679/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1719			articStaccatoAbove					3
170	170	1359/4	1359/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1720			articStaccatoAbove					3
171	171	340	340	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	1721				116				
171	171	341	341	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1722								
171	171	340	340	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	1723								
171	171	340	340	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1724								3
171	171	1361/4	1361/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1725			articStaccatoBelow					3
171	171	681/2	681/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1726			articStaccatoBelow					3
171	171	1363/4	1363/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1727			articStaccatoBelow					3
171	171	341	341	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1728			articStaccatoBelow					3
171	171	1365/4	1365/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1729			articStaccatoBelow					3
171	171	683/2	683/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1730			articStaccatoBelow					3
171	171	1367/4	1367/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1731			articStaccatoBelow					3
172	172	343	343	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1732			articStaccatoAbove					
172	172	342	342	0.0	0	0	Dynamic	2/4	1	2	0						ff						
172	172	342	342	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	1733	ff							
172	172	342	342	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1734			articStaccatoBelow					3
172	172	1369/4	1369/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	1735								3
172	172	2739/8	2739/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	1736								3
172	172	685/2	685/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	1737								3
172	172	2741/8	2741/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	1738								3
172	172	1371/4	1371/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	1739								3
172	172	2743/8	2743/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	1740								3
172	172	343	343	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1741			articStaccatoBelow					3
172	172	1373/4	1373/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	1742								3
172	172	2747/8	2747/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	1743								3
172	172	687/2	687/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	1744								3
172	172	2749/8	2749/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	1745								3
172	172	1375/4	1375/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	1746								3
172	172	2751/8	2751/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	1747								3
173	173	344	344	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1748				117				
173	173	691/2	691/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1749				117				
173	173	344	344	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	1750								
173	173	344	344	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1751			articStaccatoBelow					3
173	173	1377/4	1377/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1752			articStaccatoBelow					3
173	173	689/2	689/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1753			articStaccatoBelow					3
173	173	1379/4	1379/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1754			articStaccatoBelow					3
173	173	345	345	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1755			articStaccatoBelow					3
173	173	1381/4	1381/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1756			articStaccatoBelow					3
173	173	691/2	691/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1757			articStaccatoBelow					3
173	173	1383/4	1383/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1758			articStaccatoBelow					3
174	174	346	346	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	1759								
174	174	347	347	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16after	1/16	1	1760								
174	174	347	347	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16after	1/16	1	1761								
174	174	347	347	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1762			ornamentTrill					
174	174	346	346	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	1763								
174	174	347	347	0.0	1/4	1/4	Chord	2/4	1	2	0	grace16after	1/16	1	1764								
174	174	347	347	0.0	1/4	1/4	Chord	2/4	1	2	0	grace16after	1/16	1	1765								
174	174	347	347	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	1766								
174	174	346	346	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1767			articStaccatoAbove					3
174	174	1385/4	1385/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1768			articStaccatoAbove					3
174	174	693/2	693/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1769			articStaccatoAbove					3
174	174	1387/4	1387/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1770			articStaccatoAbove					3
174	174	347	347	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1771								3
174	174	1389/4	1389/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1772			articStaccatoAbove					3
174	174	695/2	695/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1773			articStaccatoAbove					3
174	174	1391/4	1391/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1774			articStaccatoAbove					3
175	175	348	348	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1775								
175	175	1395/4	1395/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1776								
175	175	1397/4	1397/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1777								
175	175	1399/4	1399/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1778								
175	175	348	348	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	1779								
175	175	348	348	0.0	0	0	Spanner	2/4	2	1	0												
175	175	348	348	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1780								
175	175	697/2	697/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0						other-dynamics						
175	175	697/2	697/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1781			articStaccatoBelow					
175	175	349	349	0.0	1/4	1/4	Dynamic	2/4	2	1	0						f						
175	175	349	349	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1782			articStaccatoBelow					
175	175	699/2	699/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1783			articStaccatoBelow					
176	176	1401/4	1401/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1784								
176	176	1403/4	1403/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1785								
176	176	1405/4	1405/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1786								
176	176	1407/4	1407/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1787								
176	176	350	350	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1788			articStaccatoBelow					
176	176	701/2	701/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1789			articStaccatoBelow					
176	176	351	351	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1790			articStaccatoBelow					
176	176	703/2	703/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1791			articStaccatoBelow					
177	177	1409/4	1409/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1792								
177	177	1411/4	1411/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1793								
177	177	1413/4	1413/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1794								
177	177	1415/4	1415/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1795								
177	177	352	352	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1796			articStaccatoBelow					
177	177	705/2	705/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1797			articStaccatoBelow					
177	177	353	353	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1798			articStaccatoBelow					
177	177	707/2	707/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1799			articStaccatoBelow					
178	178	1417/4	1417/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1800								
178	178	1419/4	1419/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1801								
178	178	1421/4	1421/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1802								
178	178	1423/4	1423/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1803								
178	178	354	354	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1804			articStaccatoBelow					
178	178	709/2	709/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1805			articStaccatoBelow					
178	178	355	355	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1806			articStaccatoBelow					
178	178	711/2	711/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1807			articStaccatoBelow					
179	179	1425/4	1425/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1808								
179	179	1427/4	1427/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1809								
179	179	1429/4	1429/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1810								
179	179	1431/4	1431/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1811								
179	179	356	356	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1812			articStaccatoBelow					
179	179	713/2	713/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1813			articStaccatoBelow					
179	179	357	357	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1814			articStaccatoAbove					
179	179	715/2	715/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1815			articStaccatoAbove					
180	180	1433/4	1433/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1816								
180	180	1435/4	1435/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1817								
180	180	1437/4	1437/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1818								
180	180	1439/4	1439/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1819								
180	180	358	358	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1820			articStaccatoAbove					
180	180	717/2	717/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1821			articStaccatoAbove					
180	180	359	359	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1822			articStaccatoAbove					
180	180	719/2	719/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1823			articStaccatoAbove					
181	181	1441/4	1441/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1824								
181	181	1443/4	1443/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1825								
181	181	1445/4	1445/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1826								
181	181	1447/4	1447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1827								
181	181	360	360	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1828			articStaccatoAbove					
181	181	721/2	721/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1829			articStaccatoAbove					
181	181	361	361	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1830			articStaccatoAbove					
181	181	723/2	723/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1831			articStaccatoAbove					
182	182	1449/4	1449/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1832								
182	182	1451/4	1451/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1833								
182	182	1453/4	1453/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1834								
182	182	1455/4	1455/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1835								
182	182	362	362	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1836			articStaccatoAbove					
182	182	725/2	725/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1837			articStaccatoAbove					
182	182	363	363	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1838			articStaccatoAbove					
182	182	727/2	727/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1839			articStaccatoAbove					
183	183	364	364	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1840								
183	183	729/2	729/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1841			articStaccatoBelow					
183	183	365	365	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1842			articStaccatoBelow					
183	183	731/2	731/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1843			articStaccatoBelow					
183	183	364	364	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1844								
183	183	729/2	729/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	1845								
183	183	1094/3	1094/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	1846								
183	183	2189/6	2189/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	1847								
183	183	365	365	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	1848								
183	183	2191/6	2191/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	1849								
183	183	1096/3	1096/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	1850								
183	183	731/2	731/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	1851								
183	183	1097/3	1097/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	1852								
183	183	2195/6	2195/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	1853								
184	184	366	366	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1854			articStaccatoBelow					
184	184	733/2	733/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1855			articStaccatoBelow					
184	184	367	367	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1856			articStaccatoBelow					
184	184	735/2	735/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1857			articStaccatoBelow					
184	184	366	366	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	1858								
184	184	2197/6	2197/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	1859								
184	184	1099/3	1099/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	1860								
184	184	733/2	733/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	1861								
184	184	1100/3	1100/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	1862								
184	184	2201/6	2201/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	1863								
184	184	367	367	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	1864								
184	184	2203/6	2203/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	1865								
184	184	1102/3	1102/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	1866								
184	184	735/2	735/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	1867								
184	184	1103/3	1103/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	1868								
184	184	2207/6	2207/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	1869								
185	185	368	368	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1870			articStaccatoBelow					
185	185	737/2	737/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1871			articStaccatoBelow					
185	185	369	369	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1872			articStaccatoAbove					
185	185	739/2	739/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1873			articStaccatoAbove					
185	185	368	368	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1874								
185	185	737/2	737/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	1875								
185	185	1106/3	1106/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	1876								
185	185	2213/6	2213/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	1877								
185	185	369	369	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	1878								
185	185	2215/6	2215/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	1879								
185	185	1108/3	1108/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	1880								
185	185	739/2	739/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	1881								
185	185	1109/3	1109/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	1882								
185	185	2219/6	2219/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	1883								
