mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
20	19	38	38	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	165						
20	19	153/4	153/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	166						
21	20	77/2	77/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	167				26		
21	20	39	39	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	168						
21	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	169		articStaccatoAbove		27		
21	20	40	40	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	170		articStaccatoAbove				
21	20	77/2	77/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	171						
21	20	155/4	155/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	172						
21	20	39	39	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	173						
21	20	157/4	157/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	174						
21	20	79/2	79/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	175						
21	20	159/4	159/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	176						
21	20	40	40	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	177						
21	20	161/4	161/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	178						
22	21	81/2	81/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	179		ornamentTurn		28		
22	21	165/4	165/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	180				28		
22	21	83/2	83/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	181				28		
22	21	167/4	167/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	182				28		
22	21	42	42	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	183				28		
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	184						
22	21	81/2	81/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	185						
22	21	163/4	163/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	186						
22	21	41	41	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	187						
22	21	165/4	165/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	188						
22	21	83/2	83/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	189						
22	21	167/4	167/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	190						
22	21	42	42	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	191						
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	192						
23	22	85/2	85/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	193		ornamentTurn		29		
23	22	173/4	173/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	194				29		
23	22	87/2	87/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	195				29		
23	22	175/4	175/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	196				29		
23	22	44	44	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	197				29		
23	22	177/4	177/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	198						
23	22	85/2	85/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	199						
23	22	171/4	171/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	200						
23	22	43	43	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	201						
23	22	173/4	173/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	202						
23	22	87/2	87/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	203						
23	22	175/4	175/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	204						
23	22	44	44	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	205						
23	22	177/4	177/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	206						
24	23	89/2	89/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	207				30		
24	23	179/4	179/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	208				30		
24	23	45	45	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	209				30		
24	23	181/4	181/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	210				30		
24	23	91/2	91/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	211				30		
24	23	183/4	183/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	212				30		
24	23	46	46	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	213				30		
24	23	185/4	185/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	214						
24	23	89/2	89/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	215						
24	23	179/4	179/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	216						
24	23	45	45	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	217						
24	23	181/4	181/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	218						
24	23	91/2	91/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	219						
24	23	183/4	183/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	220						
24	23	46	46	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	221						
24	23	185/4	185/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	222						
25	24	93/2	93/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	223				31		
25	24	187/4	187/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	224				31		
25	24	47	47	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	225				31		
25	24	189/4	189/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	226				31		
25	24	95/2	95/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	227				31		
25	24	191/4	191/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	228				31		
25	24	48	48	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	229				31		
25	24	193/4	193/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	230						
25	24	93/2	93/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	231						
26	25	97/2	97/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	232		ornamentTurn		32		
26	25	197/4	197/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	233				32		
26	25	99/2	99/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	234				32		
26	25	199/4	199/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	235				32		
26	25	50	50	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	236				32		
26	25	201/4	201/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	237						
26	25	97/2	97/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	238						
26	25	195/4	195/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	239						
26	25	49	49	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	240						
26	25	197/4	197/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	241						
26	25	99/2	99/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	242						
26	25	199/4	199/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	243						
26	25	50	50	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	244						
26	25	201/4	201/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	245						
27	26	101/2	101/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	246				33		
27	26	203/4	203/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	247				33		
27	26	51	51	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	248				33		
27	26	205/4	205/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	249						
27	26	103/2	103/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	250				34		
27	26	207/4	207/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	251				34		
27	26	52	52	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	252				34		
27	26	209/4	209/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	253						
27	26	101/2	101/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	254						
27	26	203/4	203/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	255						
27	26	51	51	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	256						
27	26	205/4	205/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	257						
27	26	103/2	103/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	258						
27	26	207/4	207/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	259						
27	26	52	52	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	260						
27	26	209/4	209/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	261						
28	27	105/2	105/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	262				35		
28	27	211/4	211/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	263				35		
28	27	53	53	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	264				35		
28	27	213/4	213/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	265				35		
28	27	107/2	107/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	266				35		
28	27	215/4	215/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	267				35		
28	27	54	54	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	268				35		
28	27	217/4	217/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	269						
28	27	105/2	105/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	270						
28	27	211/4	211/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	271						
28	27	53	53	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	272						
28	27	213/4	213/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	273						
28	27	107/2	107/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	274						
28	27	215/4	215/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	275						
28	27	54	54	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	276						
