mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
5	5	91/4	91/4	0.0	15/16	15/16	Spanner	4/4	1	1	0														
5	5	91/4	91/4	0.0	15/16	15/16	Spanner	4/4	1	1	0													0	
5	5	91/4	91/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	84									0	
5	5	183/8	183/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	85									0	
5	5	23	23	0.125	1	1	Chord	4/4	1	1	1/32		1/32	1	86				10					0	
5	5	185/8	185/8	0.125	33/32	33/32	Chord	4/4	1	1	1/32		1/32	1	87									0	
5	5	93/4	93/4	0.125	17/16	17/16	Chord	4/4	1	1	1/32		1/32	1	88				11					0	
5	5	187/8	187/8	0.125	35/32	35/32	Chord	4/4	1	1	1/32		1/32	1	89									0	
5	5	47/2	47/2	0.125	9/8	9/8	Chord	4/4	1	1	1/32		1/32	1	90									0	
5	5	189/8	189/8	0.125	37/32	37/32	Chord	4/4	1	1	1/32		1/32	1	91									0	
5	5	95/4	95/4	0.125	19/16	19/16	Chord	4/4	1	1	1/32		1/32	1	92									0	
5	5	191/8	191/8	0.125	39/32	39/32	Chord	4/4	1	1	1/32		1/32	1	93				12					0	
5	5	24	24	0.0	5/4	5/4	Spanner	4/4	1	1	0														
5	5	24	24	0.5	5/4	5/4	Chord	4/4	1	1	1/8		1/8	1	94										
5	5	49/2	49/2	0.5	11/8	11/8	Chord	4/4	1	1	1/8		1/8	1	95										
5	5	25	25	0.5	3/2	3/2	Chord	4/4	1	1	1/8		1/8	1	96										
5	5	51/2	51/2	0.5	13/8	13/8	Chord	4/4	1	1	1/8		1/8	1	97										
5	5	26	26	0.3333333333333333	7/4	7/4	Chord	4/4	1	1	1/12		1/8	2/3	98				13						
5	5	79/3	79/3	0.3333333333333333	11/6	11/6	Chord	4/4	1	1	1/12		1/8	2/3	99				13						
5	5	80/3	80/3	0.3333333333333333	23/12	23/12	Chord	4/4	1	1	1/12		1/8	2/3	100			articStaccatoAbove							
5	5	19	19	4.0	0	0	Chord	4/4	2	1	1		1	1	101										
5	5	23	23	4.0	1	1	Chord	4/4	2	1	1		1	1	102										
6	6	27	27	0.0	0	0	Spanner	4/4	1	1	0														2
6	6	27	27	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	103										2
6	6	55/2	55/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	104										2
6	6	57/2	57/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	105										2
6	6	27	27	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	106										
6	6	28	28	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	107										
7	6	29	29	0.0	0	0	Spanner	4/4	1	1	0														
7	6	29	29	0.0	0	0	Spanner	4/4	1	1	0													1	
7	6	29	29	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	108									1	
7	6	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	109			articStaccatoBelow						1	
7	6	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	110			articStaccatoBelow						1	
7	6	31	31	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	111									1	
7	6	127/4	127/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	112									1	
7	6	29	29	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	113										
8	6	32	32	0.0	0	3/4	Spanner	4/4	1	1	0														
8	6	32	32	0.5	0	3/4	Chord	4/4	1	1	1/8		1/8	1	114										
8	6	65/2	65/2	0.5	1/8	7/8	Chord	4/4	1	1	1/8		1/8	1	115										
9	7	33	33	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	116										
9	7	133/4	133/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	117										
9	7	67/2	67/2	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	118										
9	7	135/4	135/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	119										
9	7	34	34	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	120										
9	7	137/4	137/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	121										
9	7	33	33	0.0	0	0	Spanner	12/16	2	1	0											1	1		
9	7	33	33	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	122							1	1		
9	7	133/4	133/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	123							1	1		
9	7	67/2	67/2	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	124							1	1		
9	7	135/4	135/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	125							1	1		
9	7	34	34	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	126							1	1		
9	7	137/4	137/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	127							1	1		
10	8	69/2	69/2	0.0	0	0	Spanner	12/16	1	1	0														3
10	8	69/2	69/2	0.25	0	0	Chord	12/16	1	1	1/16		1/16	1	128										3
10	8	139/4	139/4	0.25	1/16	1/16	Chord	12/16	1	1	1/16		1/16	1	129										3
10	8	35	35	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	130										3
10	8	141/4	141/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	131										3
10	8	71/2	71/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	132										3
10	8	143/4	143/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	133										3
10	8	36	36	0.25	3/8	3/8	Chord	12/16	1	1	1/16		1/16	1	134										3
10	8	145/4	145/4	0.25	7/16	7/16	Chord	12/16	1	1	1/16		1/16	1	135										3
10	8	73/2	73/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	136										3
10	8	147/4	147/4	0.0	9/16	9/16	Spanner	12/16	1	1	0														
10	8	147/4	147/4	0.0	9/16	9/16	Spanner	12/16	1	1	0													2	
10	8	147/4	147/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	137									2	
10	8	37	37	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	138									2	
10	8	149/4	149/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	139									2	
10	8	69/2	69/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	140							1	1		
10	8	139/4	139/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	141							1	1		
10	8	35	35	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	142							1	1		
10	8	141/4	141/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	143							1	1		
10	8	71/2	71/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	144							1	1		
10	8	143/4	143/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	145							1	1		
10	8	36	36	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	146							1	1		
10	8	145/4	145/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	147							1	1		
10	8	73/2	73/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	148							1	1		
10	8	147/4	147/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	149							1	1		
10	8	37	37	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	150							1	1		
10	8	149/4	149/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	151							1	1		
11	9	75/2	75/2	0.0	0	0	Spanner	12/16	1	1	0														
11	9	75/2	75/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	152				14						
11	9	153/4	153/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	153				14						
11	9	155/4	155/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	154				14						
11	9	39	39	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	155				14						
11	9	79/2	79/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	156										
11	9	159/4	159/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	157										
11	9	40	40	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	158										
11	9	161/4	161/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	159										
11	9	75/2	75/2	0.0	0	0	Spanner	12/16	2	1	0														
11	9	75/2	75/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	160										
11	9	151/4	151/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	161										
11	9	38	38	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	162										
11	9	153/4	153/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	163										
11	9	77/2	77/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	164										
11	9	155/4	155/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	165										
11	9	39	39	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	166										
11	9	157/4	157/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	167										
11	9	79/2	79/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	168										
11	9	159/4	159/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	169										
11	9	40	40	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	170										
11	9	161/4	161/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	171										
12	10	81/2	81/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	172										
12	10	165/4	165/4	0.75	3/16	3/16	Chord	12/16	1	1	3/16		1/8	3/2	173				15						
12	10	42	42	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	174				15						
12	10	85/2	85/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	175				15						
12	10	171/4	171/4	0.5	9/16	9/16	Chord	12/16	1	1	1/8		1/8	1	176				15						
12	10	173/4	173/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	177										
12	10	81/2	81/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	178										
12	10	163/4	163/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	179										
12	10	41	41	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	180										
12	10	165/4	165/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	181										
12	10	83/2	83/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	182										
12	10	167/4	167/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	183										
12	10	42	42	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	184										
12	10	169/4	169/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	185										
12	10	85/2	85/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	186										
12	10	171/4	171/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	187										
12	10	43	43	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	188										
12	10	173/4	173/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	189										
13	11	87/2	87/2	0.0	0	0	Spanner	12/16	1	1	0														4
13	11	87/2	87/2	0.5	0	0	Chord	12/16	1	1	1/8		1/8	1	190				16						4
13	11	44	44	0.25	1/8	1/8	Chord	12/16	1	1	1/16		1/16	1	191				16						4
13	11	177/4	177/4	0.5	3/16	3/16	Chord	12/16	1	1	1/8		1/8	1	192				16						4
13	11	179/4	179/4	0.25	5/16	5/16	Chord	12/16	1	1	1/16		1/16	1	193				16						4
13	11	45	45	0.5	3/8	3/8	Chord	12/16	1	1	1/8		1/8	1	194				16						4
13	11	91/2	91/2	0.25	1/2	1/2	Chord	12/16	1	1	1/16		1/16	1	195				16						4
13	11	183/4	183/4	0.5	9/16	9/16	Chord	12/16	1	1	1/8		1/8	1	196				16						4
13	11	185/4	185/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	197										4
13	11	87/2	87/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	198										
13	11	175/4	175/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	199										
13	11	44	44	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	200										
13	11	177/4	177/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	201										
13	11	89/2	89/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	202										
13	11	179/4	179/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	203										
13	11	45	45	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	204										
13	11	181/4	181/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	205										
13	11	91/2	91/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	206										
13	11	183/4	183/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	207										
13	11	46	46	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	208										
13	11	185/4	185/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	209										
14	12	93/2	93/2	0.0	0	0	Spanner	12/16	1	1	0														
14	12	93/2	93/2	0.75	0	0	Chord	12/16	1	1	3/16		1/8	3/2	210				17						
14	12	189/4	189/4	0.25	3/16	3/16	Chord	12/16	1	1	1/16		1/16	1	211				17						
14	12	95/2	95/2	0.25	1/4	1/4	Chord	12/16	1	1	1/16		1/16	1	212				17						
14	12	191/4	191/4	0.125	5/16	5/16	Chord	12/16	1	1	1/32		1/32	1	213				17						
14	12	383/8	383/8	0.0625	11/32	11/32	Chord	12/16	1	1	1/64		1/64	1	214				17						
14	12	767/16	767/16	0.0625	23/64	23/64	Chord	12/16	1	1	1/64		1/64	1	215										
14	12	48	48	0.0	3/8	3/8	Spanner	12/16	1	1	0														5
14	12	48	48	0.75	3/8	3/8	Chord	12/16	1	1	3/16		1/8	3/2	216										5
14	12	195/4	195/4	0.0	9/16	9/16	Spanner	12/16	1	1	0														
14	12	195/4	195/4	0.0	9/16	9/16	Spanner	12/16	1	1	0													3	
14	12	195/4	195/4	0.25	9/16	9/16	Chord	12/16	1	1	1/16		1/16	1	217									3	
14	12	49	49	0.25	5/8	5/8	Chord	12/16	1	1	1/16		1/16	1	218									3	
14	12	197/4	197/4	0.25	11/16	11/16	Chord	12/16	1	1	1/16		1/16	1	219									3	
14	12	93/2	93/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	220										
14	12	187/4	187/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	221										
14	12	47	47	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	222										
14	12	189/4	189/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	223										
14	12	95/2	95/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	224										
14	12	191/4	191/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	225										
14	12	48	48	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	226										
14	12	193/4	193/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	227										
14	12	97/2	97/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	228										
14	12	195/4	195/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	229										
14	12	49	49	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	230										
14	12	197/4	197/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	231										
15	13	99/2	99/2	0.0	0	0	Spanner	12/16	1	1	0														
15	13	99/2	99/2	0.0	0	0	Spanner	12/16	1	1	0														6
15	13	99/2	99/2	1.5	0	0	Chord	12/16	1	1	3/8		1/4	3/2	232				18						6
15	13	51	51	1.5	3/8	3/8	Chord	12/16	1	1	3/8		1/4	3/2	233				18						6
15	13	99/2	99/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	234										
15	13	199/4	199/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	235										
15	13	50	50	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	236										
15	13	201/4	201/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	237										
15	13	101/2	101/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	238										
15	13	203/4	203/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	239										
15	13	51	51	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	240										
15	13	205/4	205/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	241										
15	13	103/2	103/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	242										
15	13	207/4	207/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	243										
15	13	52	52	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	244										
15	13	209/4	209/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	245										
16	14	105/2	105/2	1.5	0	0	Chord	12/16	1	1	3/8		1/4	3/2	246				18						6
16	14	54	54	0.75	3/8	3/8	Chord	12/16	1	1	3/16		1/8	3/2	247				18						6
16	14	219/4	219/4	0.75	9/16	9/16	Chord	12/16	1	1	3/16		1/8	3/2	248				18						6
16	14	105/2	105/2	0.25	0	0	Chord	12/16	2	1	1/16		1/16	1	249										
16	14	211/4	211/4	0.25	1/16	1/16	Chord	12/16	2	1	1/16		1/16	1	250										
16	14	53	53	0.25	1/8	1/8	Chord	12/16	2	1	1/16		1/16	1	251										
16	14	213/4	213/4	0.25	3/16	3/16	Chord	12/16	2	1	1/16		1/16	1	252										
16	14	107/2	107/2	0.25	1/4	1/4	Chord	12/16	2	1	1/16		1/16	1	253										
16	14	215/4	215/4	0.25	5/16	5/16	Chord	12/16	2	1	1/16		1/16	1	254										
16	14	54	54	0.25	3/8	3/8	Chord	12/16	2	1	1/16		1/16	1	255										
16	14	217/4	217/4	0.25	7/16	7/16	Chord	12/16	2	1	1/16		1/16	1	256										
16	14	109/2	109/2	0.25	1/2	1/2	Chord	12/16	2	1	1/16		1/16	1	257										
16	14	219/4	219/4	0.25	9/16	9/16	Chord	12/16	2	1	1/16		1/16	1	258										
16	14	55	55	0.25	5/8	5/8	Chord	12/16	2	1	1/16		1/16	1	259										
16	14	221/4	221/4	0.25	11/16	11/16	Chord	12/16	2	1	1/16		1/16	1	260										
