mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	67				
9	8	24	24	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	68				
9	8	99/4	99/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	69				
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	70				
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	71				
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	72	>			9
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	73				
10	9	27	27	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	74				
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	75				
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	76				10
10	9	26	26	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	77				
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	78	>			11
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	79				
11	10	30	30	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	80				
11	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	81				
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82				12
11	10	29	29	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	83				
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	84				13
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	85				13
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	86				13
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	87				13
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	88				13
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89				
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	90				
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	91				
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	92				14
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	93				
13	12	36	36	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	94				15
13	12	147/4	147/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	95				
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96				16
13	12	35	35	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	97				
13	12	34	34	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	98				
14	13	37	37	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	99				
14	13	39	39	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	100				17
14	13	159/4	159/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	101				
14	13	37	37	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	102				
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	103				
14	13	38	38	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	104				
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	105				
14	13	39	39	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	106				
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	107				
15	14	40	40	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	108				
15	14	42	42	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	109				18
15	14	171/4	171/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	110				
15	14	40	40	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	111				
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	112				
15	14	41	41	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	113				
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	114				
15	14	42	42	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	115				
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	116				
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	117				19
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	118				19
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	119				19
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	120				19
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	121				
16	15	43	43	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	122				
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	123				
16	15	44	44	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	124				
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	125				
16	15	45	45	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	126				
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	127				
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	128				20
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	129				
17	16	48	48	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	130				21
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	131				
17	16	46	46	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	132				
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	133				
17	16	47	47	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	134				
17	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	135				
17	16	48	48	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	136				
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	137				
18	17	49	49	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	138	<			
18	17	51	51	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	139				22
18	17	207/4	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	140				
18	17	49	49	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	141				
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	142				
18	17	50	50	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	143				
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	144				
18	17	51	51	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	145				
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	146				
19	18	52	52	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	147				
19	18	54	54	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	148				23
19	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	149				
19	18	52	52	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	150				
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	151				
19	18	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	152				
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	153				
19	18	54	54	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	154				
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	155				
20	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	156				
20	19	56	56	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	157	f			24
20	19	225/4	225/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	158				24
20	19	113/2	113/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	159				24
20	19	227/4	227/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	160				24
20	19	57	57	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	161				24
20	19	229/4	229/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	162				24
20	19	115/2	115/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	163				24
20	19	231/4	231/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	164				
20	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	165				
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	166				
21	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	167				
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	168	p			
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169				
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170				
22	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	171				
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	172				
22	21	245/4	245/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	173				
22	21	123/2	123/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	174				
22	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	175				
22	21	62	62	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	176				
22	21	249/4	249/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	177				
22	21	125/2	125/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	178				
22	21	251/4	251/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	179				
22	21	63	63	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	180				
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	181				
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	182				
23	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	183				
23	22	257/4	257/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	184				
23	22	129/2	129/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	185				
23	22	259/4	259/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	186				
23	22	65	65	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	187				
23	22	261/4	261/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	188				
23	22	131/2	131/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	189				
23	22	263/4	263/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	190				
23	22	66	66	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	191				
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	192				
24	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	193				
24	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	194				
24	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	195				
24	23	67	67	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	196				
24	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	197				
24	23	68	68	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	198				
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	199				
24	23	69	69	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	200				
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	201				
25	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	202				
25	24	70	70	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	203				
25	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	204				
25	24	71	71	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	205				
25	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	206				
25	24	72	72	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	207				
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	208				
26	25	293/4	293/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	209				
26	25	147/2	147/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	210				
26	25	295/4	295/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	211				
26	25	74	74	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	212				
26	25	297/4	297/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	213				
26	25	149/2	149/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	214				
26	25	299/4	299/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	215				
26	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	216				
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	217				
26	25	73	73	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	218				
26	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	219				
27	26	305/4	305/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	220	<			
27	26	153/2	153/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	221				
27	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	222				
27	26	77	77	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	223				
27	26	309/4	309/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	224				
27	26	155/2	155/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	225				
27	26	311/4	311/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	226				
27	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	227				
27	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	228				
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	229				
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	230				
28	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	231				
28	27	159/2	159/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	232				
28	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	233				
28	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	234				
28	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	235				
28	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	236				
28	27	80	80	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	237				
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	238				
29	28	82	82	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	239				
29	28	82	82	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	240	f			
29	28	167/2	167/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	241				25
29	28	335/4	335/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	242				
29	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	243			articStaccatoAbove	
29	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	244				26
29	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	245				
29	28	82	82	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	246				
29	28	329/4	329/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	247				
29	28	165/2	165/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	248				
29	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	249				
29	28	83	83	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	250				
29	28	333/4	333/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	251				
29	28	167/2	167/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	252				
29	28	335/4	335/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	253				
29	28	84	84	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	254				
29	28	337/4	337/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	255				
29	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	256				
29	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	257				
30	29	85	85	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	258			articStaccatoAbove	
30	29	171/2	171/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	259				27
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	260				
30	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	261			articStaccatoAbove	
30	29	173/2	173/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	262				28
30	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	263				
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	264			articStaccatoAbove	
30	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	265				29
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	266				
30	29	85	85	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	267				
30	29	341/4	341/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	268				
30	29	171/2	171/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	269				
30	29	343/4	343/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	270				
30	29	86	86	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	271				
30	29	345/4	345/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	272				
30	29	173/2	173/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	273				
30	29	347/4	347/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	274				
30	29	87	87	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	275				
30	29	349/4	349/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	276				
30	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	277				
30	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	278				
31	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	279				
31	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	280				30
31	30	90	90	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	281				30
31	30	361/4	361/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	282				30
31	30	181/2	181/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	283				30
31	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	284				
31	30	88	88	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	285				
31	30	353/4	353/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	286				
31	30	177/2	177/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	287				
31	30	355/4	355/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	288				
31	30	89	89	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	289				
31	30	357/4	357/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	290				
31	30	179/2	179/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	291				
31	30	359/4	359/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	292				
31	30	90	90	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	293				
31	30	361/4	361/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	294				
