mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	decrescendo_hairpin	crescendo_line	diminuendo_line	HairPin:3_decresc.	crescendo_hairpin	TextLine	Trill:trill
4	3	6	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	32							1			0					
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	33							1			0					
4	3	9/2	9/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	34							2								
4	3	19/4	19/4	0.0	1/16	1/16	Spanner	2/4	2	1	0										2			1					
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	35							2			1					
4	3	5	5	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	36							2			1					
4	3	21/4	21/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	37							2			1					
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	38							2			1					
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	39							2			1					
4	3	6	6	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	40							2			1					
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	41							2			1					
5	4	13/2	13/2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	42							1			0					
5	4	27/4	27/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	43							1			0					
5	4	7	7	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	44							1			0					
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	45							1			0					
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	46		articStaccatoAbove								0					
5	4	8	8	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	47		articStaccatoBelow								0					
5	4	13/2	13/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	48							2			1					
5	4	27/4	27/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	49							2			1					
5	4	7	7	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	50							2			1					
5	4	29/4	29/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	51							2			1					
5	4	15/2	15/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	52							2			1					
5	4	31/4	31/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	53							2			1					
5	4	8	8	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	54							2			1					
5	4	33/4	33/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	55										1					
6	5	17/2	17/2	0.0	0	0	Dynamic	2/4	1	1	0				f														
6	5	17/2	17/2	0.0	0	0	Spanner	2/4	1	1	0																		
6	5	17/2	17/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	56															
6	5	19/2	19/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	57															
6	5	17/2	17/2	0.0	0	0	Dynamic	2/4	2	1	0				f														
6	5	17/2	17/2	0.0	0	0	Spanner	2/4	2	1	0																		
6	5	17/2	17/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	58															
6	5	35/4	35/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	59															
6	5	9	9	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	60															
6	5	37/4	37/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	61															
6	5	19/2	19/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	62															
6	5	39/4	39/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	63															
6	5	10	10	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	64															
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	65															
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	66															
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	67		ornamentTrill													
7	6	23/2	23/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	68															
7	6	11	11	0.1	1/8	1/8	Chord	2/4	1	2	1/40	1/16	2/5	69															
7	6	111/10	111/10	0.1	3/20	3/20	Chord	2/4	1	2	1/40	1/16	2/5	70															
7	6	56/5	56/5	0.1	7/40	7/40	Chord	2/4	1	2	1/40	1/16	2/5	71															
7	6	113/10	113/10	0.1	1/5	1/5	Chord	2/4	1	2	1/40	1/16	2/5	72															
7	6	57/5	57/5	0.1	9/40	9/40	Chord	2/4	1	2	1/40	1/16	2/5	73															
7	6	21/2	21/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	74															
7	6	43/4	43/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	75															
7	6	11	11	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	76															
7	6	45/4	45/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	77															
7	6	23/2	23/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	78															
7	6	47/4	47/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	79															
7	6	12	12	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	80															
7	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	81															
8	7	25/2	25/2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	82							3								
8	7	51/4	51/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	83							3								
8	7	13	13	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	84							3								
8	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	85							3								
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	86							3								
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	87							3								
8	7	14	14	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	88							3								
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	89							3								
8	7	25/2	25/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	90							4								
8	7	51/4	51/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	91							4								
8	7	13	13	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	92							4								
8	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	93							4								
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	94							4								
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	95							4								
8	7	14	14	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	96							4								
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	97							4								
9	8	29/2	29/2	0.0	0	0	Dynamic	2/4	1	1	0				sf						3								
9	8	29/2	29/2	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	98							3								
9	8	59/4	59/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	99							3								
9	8	15	15	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	100							3								
9	8	61/4	61/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	101							3								
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	102															
9	8	29/2	29/2	0.0	0	0	Dynamic	2/4	2	1	0				sf						4								
9	8	29/2	29/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	103							4								
9	8	59/4	59/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	104							4								
9	8	15	15	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	105							4								
9	8	61/4	61/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	106							4								
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	107															
9	8	29/2	29/2	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	108															
10	9	33/2	33/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
10	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	109		articStaccatoBelow													
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	110		articStaccatoBelow													
10	9	35/2	35/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
10	9	35/2	35/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	111															
10	9	33/2	33/2	0.0	0	0	Dynamic	2/4	2	1	0				p														
10	9	33/2	33/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	112															
10	9	67/4	67/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	113															
10	9	17	17	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	114															
10	9	69/4	69/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	115															
10	9	35/2	35/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											0							
10	9	35/2	35/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	116								0							
10	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	117								0							
10	9	18	18	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	118								0							
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	119								0							
11	10	37/2	37/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
11	10	37/2	37/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	120		articStaccatoBelow													
11	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	121		articStaccatoBelow													
11	10	39/2	39/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
11	10	39/2	39/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	122							5								
11	10	37/2	37/2	0.0	0	0	Dynamic	2/4	2	1	0				p														
11	10	37/2	37/2	0.0	0	0	Spanner	2/4	2	1	0																		
11	10	37/2	37/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	123															
11	10	75/4	75/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	124															
11	10	19	19	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	125															
11	10	77/4	77/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	126															
11	10	39/2	39/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											1							
11	10	39/2	39/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	127								1							
11	10	79/4	79/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	128								1							
11	10	20	20	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	129								1							
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	130								1							
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	131							5								
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	132		articStaccatoAbove													
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	133		articStaccatoAbove													
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	134		articStaccatoAbove													
12	11	41/2	41/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	135								1							
12	11	83/4	83/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	136								1							
12	11	21	21	0.0	1/8	1/8	Spanner	2/4	2	1	0																		
12	11	21	21	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	137															
12	11	85/4	85/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	138															
12	11	43/2	43/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	139															
12	11	87/4	87/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	140															
12	11	22	22	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	141															
12	11	89/4	89/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	142															
13	12	45/2	45/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	143		articStaccatoBelow													
13	12	23	23	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	144		articStaccatoBelow													
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	145		articStaccatoBelow													
13	12	24	24	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	146		articStaccatoBelow													
13	12	45/2	45/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	147															
13	12	91/4	91/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	148															
13	12	23	23	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	149															
13	12	93/4	93/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	150															
13	12	47/2	47/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	151															
13	12	95/4	95/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	152															
13	12	24	24	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	153															
13	12	97/4	97/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	154															
14	13	49/2	49/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
14	13	49/2	49/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	155		articStaccatoBelow													
14	13	25	25	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	156		articStaccatoBelow													
14	13	51/2	51/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
14	13	51/2	51/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	157															
14	13	49/2	49/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	158															
14	13	99/4	99/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	159															
14	13	25	25	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	160															
14	13	101/4	101/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	161															
14	13	51/2	51/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											2							
14	13	51/2	51/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	162								2							
14	13	103/4	103/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	163								2							
14	13	26	26	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	164								2							
14	13	105/4	105/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	165								2							
15	14	53/2	53/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
15	14	53/2	53/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	166		articStaccatoBelow													
15	14	27	27	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	167		articStaccatoBelow													
15	14	55/2	55/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
15	14	55/2	55/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	168							6								
15	14	53/2	53/2	0.0	0	0	Spanner	2/4	2	1	0																		
15	14	53/2	53/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	169															
15	14	107/4	107/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	170															
15	14	27	27	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	171															
15	14	109/4	109/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	172															
15	14	55/2	55/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											3							
15	14	55/2	55/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	173								3							
15	14	111/4	111/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	174								3							
15	14	28	28	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	175								3							
15	14	113/4	113/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	176								3							
16	15	57/2	57/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	177							6								
16	15	29	29	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	178		articStaccatoAbove													
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	179		articStaccatoAbove													
16	15	30	30	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	180		articStaccatoAbove													
16	15	57/2	57/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	181								3							
16	15	115/4	115/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	182								3							
16	15	29	29	0.0	1/8	1/8	Spanner	2/4	2	1	0																		
16	15	29	29	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	183															
16	15	117/4	117/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	184															
16	15	59/2	59/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	185															
16	15	119/4	119/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	186															
16	15	30	30	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	187															
16	15	121/4	121/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	188															
17	16	61/2	61/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	189		articStaccatoBelow													
17	16	31	31	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	190		articStaccatoBelow													
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	191		articStaccatoBelow													
17	16	61/2	61/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	192															
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	193															
17	16	31	31	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	194															
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	195															
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	196															
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	197															
17	16	32	32	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	198															
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	199															
17	16	61/2	61/2	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	200		articStaccatoBelow													
17	16	31	31	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	201		articStaccatoBelow													
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	202		articStaccatoBelow													
18	17	65/2	65/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
18	17	65/2	65/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	203		articStaccatoBelow													
18	17	33	33	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	204		articStaccatoBelow													
18	17	67/2	67/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
18	17	67/2	67/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	205															
18	17	65/2	65/2	0.0	0	0	Dynamic	2/4	2	1	0				p														
18	17	65/2	65/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	206															
18	17	131/4	131/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	207															
18	17	33	33	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	208															
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	209															
18	17	67/2	67/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											4							
18	17	67/2	67/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	210								4							
18	17	135/4	135/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	211								4							
18	17	34	34	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	212								4							
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	213								4							
19	18	69/2	69/2	0.0	0	0	Dynamic	2/4	1	1	0				p														
19	18	69/2	69/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	214		articStaccatoBelow													
19	18	35	35	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	215		articStaccatoBelow													
19	18	71/2	71/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0				sf														
19	18	71/2	71/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	216							7								
19	18	69/2	69/2	0.0	0	0	Dynamic	2/4	2	1	0				p														
19	18	69/2	69/2	0.0	0	0	Spanner	2/4	2	1	0																		
19	18	69/2	69/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	217															
19	18	139/4	139/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	218															
19	18	35	35	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	219															
19	18	141/4	141/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	220															
19	18	71/2	71/2	0.0	1/4	1/4	Spanner	2/4	2	1	0											5							
19	18	71/2	71/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	221								5							
19	18	143/4	143/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	222								5							
19	18	36	36	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	223								5							
19	18	145/4	145/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	224								5							
20	19	73/2	73/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	225							7								
20	19	37	37	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	226		articStaccatoAbove													
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	227		articStaccatoAbove													
20	19	38	38	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	228		articStaccatoAbove													
20	19	73/2	73/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	229								5							
20	19	147/4	147/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	230								5							
20	19	37	37	0.0	1/8	1/8	Spanner	2/4	2	1	0																		
20	19	37	37	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	231															
20	19	149/4	149/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	232															
20	19	75/2	75/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	233															
20	19	151/4	151/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	234															
20	19	38	38	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	235															
20	19	153/4	153/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	236															
21	20	77/2	77/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	237		articStaccatoBelow													
21	20	39	39	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	238		articStaccatoBelow													
21	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	239		articStaccatoBelow													
21	20	40	40	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	240		articStaccatoBelow													
21	20	77/2	77/2	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	241															
