mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
14	13	148/3	148/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	144											
14	13	149/3	149/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	145											
14	13	50	50	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	146											
14	13	151/3	151/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	147											
14	13	152/3	152/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	148											
14	13	51	51	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	149											
14	13	154/3	154/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	150											
14	13	155/3	155/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	151											
15	14	52	52	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	152		articStaccatoAbove									
15	14	54	54	0.0		1/2	1/2	Dynamic	2/2	1	1	0					ff										
15	14	54	54	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	153		articStaccatoAbove									
15	14	55	55	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	154		articStaccatoAbove									
15	14	52	52	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	155											
15	14	157/3	157/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	156											
15	14	158/3	158/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	157											
15	14	53	53	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	158											
15	14	160/3	160/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	159											
15	14	161/3	161/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	160											
15	14	54	54	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	161											
15	14	163/3	163/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	162											
15	14	164/3	164/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	163											
15	14	55	55	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	164											
15	14	166/3	166/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	165											
15	14	167/3	167/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	166											
16	15	56	56	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	167		articStaccatoAbove									
16	15	58	58	0.0		1/2	1/2	Dynamic	2/2	1	1	0					p										
16	15	58	58	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	168		articStaccatoAbove									
16	15	59	59	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	169		articStaccatoAbove									
16	15	56	56	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	170											
16	15	169/3	169/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	171											
16	15	170/3	170/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	172											
16	15	57	57	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	173											
16	15	172/3	172/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	174											
16	15	173/3	173/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	175											
16	15	58	58	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	176											
16	15	175/3	175/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	177											
16	15	176/3	176/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	178											
16	15	59	59	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	179											
16	15	178/3	178/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	180											
16	15	179/3	179/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	181											
17	16	60	60	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	182		articStaccatoAbove									
17	16	62	62	0.0		1/2	1/2	Dynamic	2/2	1	1	0					ff										
17	16	62	62	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	183											
17	16	63	63	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	184											
17	16	60	60	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	185											
17	16	181/3	181/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	186											
17	16	182/3	182/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	187											
17	16	61	61	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	188											
17	16	184/3	184/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	189											
17	16	185/3	185/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	190											
17	16	62	62	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	191											
17	16	187/3	187/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	192											
17	16	188/3	188/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	193											
17	16	63	63	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	194											
17	16	190/3	190/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	195											
17	16	191/3	191/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	196											
18	17	64	64	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	197											
18	17	66	66	0.0		1/2	1/2	Dynamic	2/2	1	1	0					ff										
18	17	66	66	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	198											
18	17	67	67	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	199											
18	17	64	64	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	200											
18	17	193/3	193/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	201											
18	17	194/3	194/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	202											
18	17	65	65	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	203											
18	17	196/3	196/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	204											
18	17	197/3	197/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	205											
18	17	66	66	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	206											
18	17	199/3	199/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	207											
18	17	200/3	200/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	208											
18	17	67	67	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	209											
18	17	202/3	202/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	210											
18	17	203/3	203/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	211											
19	18	68	68	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	212											
19	18	70	70	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	213											
19	18	71	71	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	214											
19	18	68	68	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	215											
19	18	205/3	205/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	216											
19	18	206/3	206/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	217											
19	18	69	69	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	218											
19	18	208/3	208/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	219											
19	18	209/3	209/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	220											
19	18	70	70	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	221											
19	18	211/3	211/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	222											
19	18	212/3	212/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	223											
19	18	71	71	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	224											
19	18	214/3	214/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	225											
19	18	215/3	215/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	226											
20	19	72	72	0.0		0	0	Dynamic	2/2	1	1	0					sf										
20	19	72	72	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	227											
20	19	74	74	0.0		1/2	1/2	Dynamic	2/2	1	1	0					sf										
20	19	74	74	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	228											
20	19	72	72	0.3333333333333333		0	0	Chord	2/2	2	1	1/12		1/8	2/3	229											
20	19	217/3	217/3	0.3333333333333333		1/12	1/12	Chord	2/2	2	1	1/12		1/8	2/3	230											
20	19	218/3	218/3	0.3333333333333333		1/6	1/6	Chord	2/2	2	1	1/12		1/8	2/3	231											
20	19	73	73	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	232											
20	19	220/3	220/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	233											
20	19	221/3	221/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	234											
20	19	74	74	0.3333333333333333		1/2	1/2	Chord	2/2	2	1	1/12		1/8	2/3	235											
20	19	223/3	223/3	0.3333333333333333		7/12	7/12	Chord	2/2	2	1	1/12		1/8	2/3	236											
20	19	224/3	224/3	0.3333333333333333		2/3	2/3	Chord	2/2	2	1	1/12		1/8	2/3	237											
20	19	75	75	0.3333333333333333		3/4	3/4	Chord	2/2	2	1	1/12		1/8	2/3	238											
20	19	226/3	226/3	0.3333333333333333		5/6	5/6	Chord	2/2	2	1	1/12		1/8	2/3	239											
20	19	227/3	227/3	0.3333333333333333		11/12	11/12	Chord	2/2	2	1	1/12		1/8	2/3	240											
21	20	76	76	0.0		0	0	Dynamic	2/2	1	1	0					ff										
21	20	76	76	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	241											
21	20	229/3	229/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	242											
21	20	230/3	230/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	243											
21	20	77	77	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	244											
21	20	232/3	232/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	245											
21	20	233/3	233/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	246											
21	20	78	78	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	247											
21	20	235/3	235/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	248											
21	20	236/3	236/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	249											
