mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0						f										
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	17												
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	18									3			
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	19									3			
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	20									3			
5	5	12	12	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	21												
6	6	15	15	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	22									3			
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	23									3			
6	6	16	16	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	24									3			
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	25									3			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	26			articStaccatoAbove									
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27			articStaccatoAbove									
7	7	20	20	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	28												
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29												
8	8	21	21	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	30									4			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	31												
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	32									5			
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33												
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	34												
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	35												
9	9	24	24	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	36									6			
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	37									6			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	38									6			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	39									7			
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	40									6			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	41												
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	42												
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	43												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	44												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	45												
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	46												
11	11	30	30	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	47									8			
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	48									8			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	49									8			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	50									9			
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	51									8			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	52												
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	53									9			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	54												
13	13	36	36	0.0	0	0	Dynamic	3/4	1	1	0						rf										
13	13	36	36	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	55												
13	13	36	36	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	56												
13	13	36	36	0.0	0	0	Chord	3/4	1	1	0	grace32	1/32	1	57												
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	58									10			
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	59									11			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	60									11			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61									12			
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	62									11			
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	63			articStaccatoAbove									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	64									13			
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	65									12			
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	66									12			
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	67									13			
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	68			articStaccatoBelow									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	69									14			
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	70									12			
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71									12			
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	72									14			
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	73			articStaccatoBelow									
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74												
17	17	49	49	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	75									15			
17	17	148/3	148/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	76									15			
17	17	149/3	149/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	77									15			
17	17	50	50	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	78									15			
17	17	151/3	151/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	79									15			
17	17	152/3	152/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	80									15			
17	17	49	49	0.0	1/4	1/4	Dynamic	3/4	2	1	0						pp										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81									16			
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	82			articStaccatoBelow									
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83			articStaccatoAbove									
19	19	55	55	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	84									17			
19	19	166/3	166/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	85									17			
19	19	167/3	167/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	86									17			
19	19	56	56	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	87									17			
19	19	169/3	169/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	88									17			
19	19	170/3	170/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	89									17			
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90									18			
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	91			articStaccatoBelow									
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	92			articStaccatoBelow									
21	21	61	61	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	93									19			
21	21	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	94									19			
21	21	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	95									19			
21	21	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	96									19			
21	21	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	97									19			
21	21	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	98												
21	21	61	61	0.0	1/4	1/4	Dynamic	3/4	2	1	0						ff										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99			articStaccatoBelow									
22	22	63	63	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	100												
22	22	259/4	259/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	101									20			
22	22	65	65	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	102									20			
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	103									20			
22	22	63	63	0.0	0	0	Dynamic	3/4	2	1	0						f										
22	22	63	63	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	104												
23	23	66	66	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	105									20			
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	106									20			
23	23	67	67	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	107									20			
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	108												
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	109			articStaccatoAbove									
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110			articStaccatoAbove									
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	111			articStaccatoAbove									
24	24	283/4	283/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	112									21			
24	24	71	71	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	113									21			
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	114									21			
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115			articStaccatoAbove									
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	116									21			
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	117									21			
25	25	73	73	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	118									21			
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	119												
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120			articStaccatoAbove									
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	121			articStaccatoAbove									
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	122			articStaccatoAbove									
26	26	307/4	307/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	123									22			
26	26	77	77	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	124									22			
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	125									22			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	126			articStaccatoAbove									
27	27	78	78	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	127									22			
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	128									22			
27	27	79	79	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	129									22			
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	130									22			
27	27	80	80	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	131									22			
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	132												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133			articStaccatoAbove									
28	28	81	81	0.0	0	0	Dynamic	3/4	1	1	0						ff										
28	28	81	81	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	134			articStaccatoAbove									
28	28	82	82	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	135			articStaccatoAbove									
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	136			articStaccatoAbove									
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0						ff										
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	137			articStaccatoAbove									
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	138			articStaccatoAbove									
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	139			articStaccatoAbove									
30	30	87	87	0.0	0	0	Dynamic	3/4	1	1	0						ff										
30	30	87	87	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	140			articStaccatoAbove									
30	30	88	88	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	141			articStaccatoAbove									
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	142			articStaccatoAbove									
32	32	93	93	0.0	0	0	Dynamic	3/4	1	1	0						fp										
32	32	93	93	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	143									23			
33	33	97	97	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	144									24			
33	33	98	98	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	145												
33	33	97	97	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	146												
33	33	96	96	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	147									23			
34	34	99	99	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	148												
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	149									25			
34	34	99	99	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	150												
34	34	99	99	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	151									23			
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	152									25			
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	153									25			
35	35	104	104	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	154									25			
35	35	102	102	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	155												
35	35	102	102	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	156									23			
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	157									25			
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	158									25			
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	159												
36	36	105	105	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	160												
36	36	105	105	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	161												
37	37	109	109	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	162												
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	163									26			
37	37	110	110	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	164												
37	37	108	108	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	165									27			
38	38	111	111	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	166												
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	167									28			
38	38	111	111	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	168												
38	38	111	111	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	169									27			
38	38	111	111	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	170												
39	39	114	114	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	171									28			
39	39	115	115	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	172									28			
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	173									28			
39	39	114	114	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	174												
39	39	114	114	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	175									27			
39	39	114	114	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	176												
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	177									28			
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	178									28			
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	179												
40	40	117	117	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	180												
40	40	117	117	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	181												
40	40	117	117	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	182												
41	41	121	121	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	183												
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	184									29			
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	185												
41	41	120	120	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	186									30			
42	42	123	123	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	187												
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188									31			
42	42	123	123	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	189												
42	42	123	123	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	190									30			
43	43	126	126	0.0	0	0	Spanner	3/4	1	1	0													31		0	
43	43	126	126	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	191									31		0	
43	43	127	127	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	192									31		0	
43	43	128	128	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	193									31		0	
43	43	126	126	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	194											0	
43	43	126	126	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	195									30			
44	44	129	129	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	196									31		0	
44	44	130	130	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	197									31		0	
44	44	131	131	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	198									31		0	
44	44	129	129	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	199											0	
44	44	129	129	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	200									30			
45	45	132	132	0.0	0	0	Spanner	3/4	1	1	0													31			
45	45	132	132	0.0	0	0	Spanner	3/4	1	1	0													31			0
45	45	132	132	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	201									31			0
45	45	133	133	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	202									31			0
45	45	134	134	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	203									31			0
45	45	132	132	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	204												0
45	45	132	132	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	205									30			
46	46	135	135	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	206												0
46	46	136	136	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	207												0
46	46	137	137	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	208												0
46	46	135	135	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	209												0
46	46	135	135	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	210									30			
47	47	138	138	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	211												0
47	47	139	139	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	212												0
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	213												0
47	47	138	138	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	214												0
47	47	140	140	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	215												0
47	47	138	138	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	216												
48	48	141	141	0.0	0	0	Spanner	3/4	1	1	0																
48	48	141	141	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	217												
48	48	142	142	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p										
48	48	142	142	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p										
48	48	141	141	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	218												
48	48	142	142	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	219									32			
48	48	143	143	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	220									32			
48	48	141	141	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	221												
49	49	145	145	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	222												
49	49	146	146	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	223												
49	49	144	144	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	224									32			
49	49	145	145	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	225									32			
49	49	146	146	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	226									32			
49	49	144	144	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	227												
50	50	147	147	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	228									33			
50	50	148	148	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	229												
50	50	147	147	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	230									32			
50	50	148	148	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	231									32			
50	50	149	149	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	232									32			
50	50	147	147	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	233												
51	51	151	151	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	234												
51	51	152	152	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	235												
51	51	150	150	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236									32			
51	51	151	151	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	237									32			
51	51	152	152	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	238									32			
51	51	150	150	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	239												
52	52	153	153	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	240									34			
52	52	154	154	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	241												
52	52	153	153	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	242									32			
52	52	154	154	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	243									32			
52	52	155	155	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244									32			
52	52	153	153	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	245												
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	246									35			
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	247									35			
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	248									35			
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	249									35			
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	250												
53	53	156	156	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	251									32			
53	53	157	157	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	252									32			
53	53	158	158	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	253									32			
53	53	156	156	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	254												
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	255									36			
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	256									36			
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	257									36			
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	258									36			
54	54	323/2	323/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	259												
54	54	159	159	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	260									32			
54	54	160	160	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	261									32			
54	54	161	161	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	262									32			
54	54	159	159	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	263												
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	264									37			
55	55	163	163	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	265									37			
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	266									37			
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	267									37			
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	268												
55	55	162	162	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	269									32			
55	55	163	163	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	270									32			
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	271												
55	55	162	162	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	272												
56	56	165	165	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	273									38			
