mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill
9	8	97/4	97/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	54					
9	8	43/2	43/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	55			articStaccatoBelow		
10	9	49/2	49/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	56				1	
10	9	99/4	99/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	57				1	
10	9	25	25	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	58				1	
10	9	101/4	101/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	59				1	
10	9	51/2	51/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	60				1	
10	9	103/4	103/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	61					
10	9	26	26	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	62				2	
10	9	105/4	105/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	63				2	
10	9	53/2	53/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	64				2	
10	9	107/4	107/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	65				2	
10	9	27	27	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	66				2	
10	9	109/4	109/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	67					
10	9	49/2	49/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	68					
10	9	26	26	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	69					
10	9	49/2	49/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	70					
11	10	55/2	55/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	71				3	
11	10	111/4	111/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	72				3	
11	10	28	28	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	73				3	
11	10	113/4	113/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	74				3	
11	10	57/2	57/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	75				3	
11	10	115/4	115/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	76					
11	10	29	29	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	77				4	
11	10	117/4	117/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	78				4	
11	10	59/2	59/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	79				4	
11	10	119/4	119/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	80				4	
11	10	30	30	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	81				4	
11	10	121/4	121/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	82					
11	10	55/2	55/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	83					
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	84					
12	11	61/2	61/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	85				5	
12	11	123/4	123/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	86				5	
12	11	31	31	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	87				5	
12	11	125/4	125/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	88				5	
12	11	63/2	63/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	89				5	
12	11	127/4	127/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	90					
12	11	32	32	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	91				6	
12	11	129/4	129/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	92				6	
12	11	65/2	65/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	93				6	
12	11	131/4	131/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	94				6	
12	11	33	33	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	95				6	
12	11	133/4	133/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	96					
12	11	61/2	61/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	97					
12	11	32	32	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	98					
12	11	61/2	61/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	99					
13	12	67/2	67/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	100				7	
13	12	135/4	135/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	101				7	
13	12	34	34	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	102				7	
13	12	137/4	137/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	103				7	
13	12	69/2	69/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	104				7	
13	12	139/4	139/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	105					
13	12	35	35	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	106				8	
13	12	141/4	141/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	107				8	
13	12	71/2	71/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	108				8	
13	12	143/4	143/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	109				8	
13	12	36	36	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	110				8	
13	12	145/4	145/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	111					
13	12	67/2	67/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	112					
13	12	67/2	67/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	113					
14	13	73/2	73/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	114				9	
14	13	147/4	147/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	115				9	
14	13	37	37	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	116				9	
14	13	149/4	149/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	117				9	
14	13	75/2	75/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	118				9	
14	13	151/4	151/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	119					
14	13	38	38	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	120				10	
14	13	153/4	153/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	121				10	
14	13	77/2	77/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	122				10	
14	13	155/4	155/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	123				10	
14	13	39	39	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	124				10	
14	13	157/4	157/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	125					
14	13	73/2	73/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	126				11	
14	13	38	38	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	127				11	
14	13	73/2	73/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	128					
15	14	79/2	79/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	129				12	
15	14	159/4	159/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	130				12	
15	14	40	40	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	131				12	
15	14	161/4	161/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	132				12	
15	14	81/2	81/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	133				12	
15	14	163/4	163/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	134					
15	14	41	41	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	135				13	
15	14	165/4	165/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	136				13	
15	14	83/2	83/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	137				13	
15	14	167/4	167/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	138				13	
15	14	42	42	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	139				13	
15	14	169/4	169/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	140					
15	14	79/2	79/2	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	141					
15	14	79/2	79/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	142					
16	15	85/2	85/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	143				14	
16	15	171/4	171/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	144				14	
16	15	43	43	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	145				14	
16	15	173/4	173/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	146				14	
16	15	87/2	87/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	147				14	
16	15	175/4	175/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	148					
16	15	44	44	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	149				15	
16	15	177/4	177/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	150				15	
16	15	89/2	89/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	151				15	
16	15	179/4	179/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	152				15	
16	15	45	45	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	153				15	
16	15	181/4	181/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	154					
16	15	85/2	85/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	155				16	
16	15	44	44	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	156					
16	15	85/2	85/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	157					
17	16	91/2	91/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	158				17	
17	16	183/4	183/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	159				17	
17	16	46	46	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	160				17	
17	16	185/4	185/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	161				17	
17	16	93/2	93/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	162				17	
17	16	187/4	187/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	163					
17	16	47	47	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	164				18	
17	16	189/4	189/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	165				18	
17	16	95/2	95/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	166				18	
17	16	191/4	191/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	167				18	
17	16	48	48	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	168				18	
17	16	193/4	193/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	169					
17	16	91/2	91/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	170				19	
17	16	47	47	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	171					
17	16	91/2	91/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	172					
18	17	97/2	97/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	173				20	
18	17	195/4	195/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	174				20	
18	17	49	49	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	175				20	
18	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	176				20	
18	17	99/2	99/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	177				20	
18	17	199/4	199/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	178				20	
18	17	97/2	97/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	179					
18	17	50	50	0.25	3/8	3/8	Chord	6/8	1	2	1/16		1/16	1	180					
18	17	201/4	201/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16		1/16	1	181					
18	17	101/2	101/2	0.25	1/2	1/2	Chord	6/8	1	2	1/16		1/16	1	182					
18	17	203/4	203/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	183					
18	17	51	51	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	184					
18	17	205/4	205/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	185					
18	17	97/2	97/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	186					
19	18	103/2	103/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	187				21	
19	18	207/4	207/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	188				21	
19	18	52	52	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	189				21	
19	18	209/4	209/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	190				21	
19	18	105/2	105/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	191				21	
19	18	211/4	211/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	192				21	
19	18	53	53	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	193				21	
19	18	213/4	213/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	194				21	
19	18	107/2	107/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	195				21	
19	18	215/4	215/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	196				21	
19	18	54	54	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	197				21	
19	18	217/4	217/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	198					
20	19	109/2	109/2	0.0	0	0	Dynamic	6/8	1	1	0						fp			
20	19	109/2	109/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	199			articStaccatoBelow		
20	19	55	55	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	200			articStaccatoBelow		
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	201			articStaccatoBelow		
20	19	56	56	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	202			articStaccatoBelow		
20	19	113/2	113/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	203			articStaccatoBelow		
20	19	57	57	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	204			articStaccatoBelow		
20	19	109/2	109/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	205					
21	20	115/2	115/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	206			articStaccatoAbove		
21	20	58	58	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	207			articStaccatoAbove		
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	208			articStaccatoAbove		
21	20	59	59	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	209			articStaccatoAbove		
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	210			articStaccatoAbove		
21	20	60	60	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	211			articStaccatoAbove		
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	212			articStaccatoAbove		
22	21	121/2	121/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	213			articStaccatoAbove		
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	214			articStaccatoAbove		
22	21	62	62	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	215			articStaccatoAbove		
22	21	63	63	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	216			articStaccatoAbove		
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	217			articStaccatoAbove		
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	218			articStaccatoAbove		
22	21	62	62	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	219			articStaccatoAbove		
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	220			articStaccatoAbove		
23	22	127/2	127/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	221			articStaccatoAbove		
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	222					
23	22	127/2	127/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	223			articStaccatoAbove		
24	23	133/2	133/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	224			articStaccatoAbove		
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	225			articStaccatoAbove		
24	23	68	68	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	226			articStaccatoAbove		
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	227			articStaccatoAbove		
24	23	133/2	133/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	228			articStaccatoBelow		
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	229			articStaccatoBelow		
24	23	68	68	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	230			articStaccatoBelow		
24	23	69	69	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	231			articStaccatoBelow		
25	24	139/2	139/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	232			articStaccatoAbove		
25	24	72	72	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	233			ornamentTrill		
25	24	139/2	139/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	234			articStaccatoBelow		
26	25	145/2	145/2	0.0	0	0	Dynamic	6/8	1	1	0						f			
26	25	145/2	145/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	235			articStaccatoAbove		
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	236			articStaccatoAbove		
26	25	74	74	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	237			articStaccatoAbove		
26	25	75	75	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	238			articStaccatoAbove		
26	25	145/2	145/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	239			articStaccatoAbove		
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	240			articStaccatoAbove		
26	25	74	74	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	241			articStaccatoAbove		
26	25	75	75	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	242			articStaccatoAbove		
27	26	151/2	151/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	243			articStaccatoAbove		
27	26	153/2	153/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	244			articStaccatoAbove		
27	26	77	77	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	245			articStaccatoAbove		
27	26	78	78	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	246			articStaccatoAbove		
27	26	151/2	151/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	247			articStaccatoAbove		
27	26	153/2	153/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	248			articStaccatoAbove		
27	26	77	77	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	249			articStaccatoAbove		
27	26	78	78	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	250			articStaccatoAbove		
28	27	157/2	157/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	251			articStaccatoBelow		
28	27	159/2	159/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252			articStaccatoBelow		
28	27	80	80	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	253			articStaccatoBelow		
28	27	81	81	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	254			articStaccatoBelow		
28	27	157/2	157/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	255			articStaccatoAbove		
28	27	159/2	159/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	256			articStaccatoAbove		
28	27	80	80	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	257			articStaccatoAbove		
28	27	81	81	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	258			articStaccatoBelow		
29	28	163/2	163/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	259			articStaccatoBelow		
29	28	165/2	165/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	260			articStaccatoBelow		
29	28	83	83	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	261			articStaccatoBelow		
29	28	84	84	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	262			articStaccatoBelow		
29	28	163/2	163/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	263			articStaccatoBelow		
