mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
28	28	111	111	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	280			articStaccatoAbove					
29	29	112	112	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	281				27				
29	29	113	113	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	282				27				
29	29	114	114	0.0		1/2	1/2	Spanner	4/4	1	1	0								27				1
29	29	115	115	0.0		3/4	3/4	Spanner	4/4	1	1	0								27	1			1
29	29	115	115	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	283				27	1			1
29	29	114	114	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	284	<				1			1
29	29	114	114	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	285				28				
30	30	116	116	0.0		0	0	Spanner	4/4	1	1	0								27	1			
30	30	116	116	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	286				27	1			
30	30	117	117	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	287					1			
30	30	118	118	0.0		1/2	1/2	Dynamic	4/4	1	1	0						p						
30	30	118	118	0.0		1/2	1/2	Spanner	4/4	1	1	0												
30	30	116	116	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	288	>							
30	30	116	116	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	289								
30	30	118	118	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	290				29				
30	30	237/2	237/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	291				29				
30	30	119	119	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	292				29				
30	30	239/2	239/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	293								
31	31	122	122	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	294	p			30				
31	31	245/2	245/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	295				30				
31	31	123	123	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	296				30				
31	31	247/2	247/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	297				30				
31	31	120	120	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	298				31				
31	31	122	122	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	299				31				
31	31	123	123	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	300								
32	32	124	124	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	301								
32	32	126	126	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	302				32				
32	32	253/2	253/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	303				32				
32	32	127	127	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	304				32				
32	32	255/2	255/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	305				32				
32	32	124	124	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	306				33				
32	32	125	125	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	307				33				
32	32	126	126	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	308				33				
32	32	127	127	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	309								
33	33	128	128	0.0		0	0	Spanner	4/4	1	1	0												2
33	33	128	128	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	310	<							2
33	33	130	130	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	311	>			34				2
33	33	128	128	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	312				35				
33	33	129	129	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	313				35				
33	33	131	131	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	314				35				
33	33	128	128	4.0		0	0	Chord	4/4	2	2	1		1	1	315								
34	34	132	132	0.0		0	0	Spanner	4/4	1	1	0								34				
34	34	132	132	0.0		0	0	Spanner	4/4	1	1	0								34	2			
34	34	132	132	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	316				34	2			
34	34	133	133	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	317					2			
34	34	134	134	0.0		1/2	1/2	Spanner	4/4	1	1	0												
34	34	132	132	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	318				35				
34	34	133	133	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	319								
34	34	134	134	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	320				36				
34	34	269/2	269/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	321				36				
34	34	135	135	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	322				36				
34	34	271/2	271/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	323								
34	34	132	132	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	324								
35	35	138	138	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	325				37				
35	35	277/2	277/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	326				37				
35	35	139	139	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	327				37				
35	35	279/2	279/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	328				37				
35	35	136	136	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	329				38				
35	35	138	138	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	330				38				
35	35	139	139	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	331				38				
36	36	140	140	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	332								
36	36	142	142	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	333				39				
36	36	285/2	285/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	334				39				
36	36	143	143	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	335				39				
36	36	287/2	287/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	336				39				
36	36	140	140	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	337				38				
36	36	141	141	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	338				38				
36	36	142	142	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	339				38				
36	36	143	143	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	340				38				
37	37	144	144	0.0		0	0	Spanner	4/4	1	1	0												3
37	37	144	144	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	341	<							3
37	37	146	146	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	342	>			40				3
37	37	144	144	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	343				38				
37	37	145	145	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	344				38				
37	37	147	147	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	345				38				
37	37	144	144	4.0		0	0	Chord	4/4	2	2	1		1	1	346								
38	38	148	148	0.0		0	0	Spanner	4/4	1	1	0								40				
38	38	148	148	0.0		0	0	Spanner	4/4	1	1	0								40	3			
38	38	148	148	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	347				40	3			
38	38	149	149	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	348					3			
38	38	150	150	0.0		1/2	1/2	Dynamic	4/4	1	1	0						p						
38	38	150	150	0.0		1/2	1/2	Spanner	4/4	1	1	0												
38	38	151	151	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	349			articStaccatoAbove					
38	38	151	151	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	350	p							
38	38	148	148	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	351				38				
38	38	149	149	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	352								
38	38	150	150	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	353								
38	38	151	151	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	354								
38	38	148	148	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	355								
38	38	150	150	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	356								
38	38	301/2	301/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	357								
38	38	151	151	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	358								
38	38	303/2	303/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	359								
39	39	152	152	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	360			ornamentTurn	41				
39	39	307/2	307/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	361				41				
39	39	154	154	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	362			articStaccatoAbove					
39	39	155	155	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	363			articStaccatoAbove					
39	39	152	152	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	364								
39	39	154	154	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	365								
39	39	155	155	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	366								
39	39	152	152	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	367				42				
39	39	154	154	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	368								
39	39	155	155	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	369								
39	39	152	152	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	370								
39	39	305/2	305/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	371								
39	39	153	153	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	372								
39	39	307/2	307/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	373								
39	39	154	154	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	374								
39	39	309/2	309/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	375								
39	39	155	155	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	376								
39	39	311/2	311/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	377								
40	40	156	156	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	378			ornamentTurn	43				
40	40	315/2	315/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	379				43				
40	40	158	158	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	380			articStaccatoAbove					
40	40	156	156	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	381								
40	40	158	158	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	382								
40	40	159	159	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	383				44				
40	40	156	156	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	384				45				
40	40	158	158	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	385				45				
40	40	159	159	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	386								
40	40	156	156	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	387								
40	40	313/2	313/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	388								
40	40	157	157	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	389								
40	40	315/2	315/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	390								
40	40	158	158	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	391								
40	40	317/2	317/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	392								
40	40	159	159	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	393								
40	40	319/2	319/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	394								
41	41	160	160	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	395								
41	41	161	161	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	396								
41	41	162	162	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	397								
41	41	163	163	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	398								
41	41	160	160	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	399								
41	41	321/2	321/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	400								
41	41	161	161	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	401								
41	41	323/2	323/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	402								
41	41	162	162	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	403								
41	41	325/2	325/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	404								
41	41	163	163	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	405								
41	41	327/2	327/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	406								
41	41	160	160	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	407								
41	41	161	161	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	408								
41	41	162	162	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	409								
41	41	163	163	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	410								
42	42	164	164	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	411				46				
42	42	166	166	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	412								
42	42	167	167	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	413			articStaccatoAbove					
42	42	164	164	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	414								
42	42	329/2	329/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	415								
42	42	165	165	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	416								
42	42	331/2	331/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	417								
42	42	166	166	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	418								
42	42	333/2	333/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	419								
42	42	167	167	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	420								
42	42	164	164	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	421								
42	42	167	167	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	422								
42	42	335/2	335/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	423								
43	43	168	168	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	424			ornamentTurn	47				
43	43	339/2	339/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	425				47				
43	43	170	170	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	426			articStaccatoAbove					
43	43	171	171	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	427			articStaccatoAbove					
43	43	168	168	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	428								
43	43	170	170	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	429								
43	43	171	171	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	430								
43	43	168	168	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	431				48				
43	43	170	170	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	432								
43	43	171	171	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	433								
43	43	168	168	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	434								
43	43	337/2	337/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	435								
43	43	169	169	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	436								
43	43	339/2	339/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	437								
43	43	170	170	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	438								
43	43	341/2	341/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	439								
43	43	171	171	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	440								
43	43	343/2	343/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	441								
44	44	172	172	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	442			ornamentTurn	49				
44	44	347/2	347/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	443				49				
44	44	174	174	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	444			articStaccatoAbove					
44	44	175	175	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	445				50				
44	44	172	172	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	446								
44	44	174	174	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	447								
44	44	172	172	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	448				51				
44	44	174	174	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	449				51				
44	44	175	175	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	450								
44	44	172	172	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	451								
44	44	345/2	345/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	452								
44	44	173	173	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	453								
44	44	347/2	347/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	454								
44	44	174	174	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	455								
44	44	349/2	349/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	456								
44	44	175	175	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	457								
44	44	351/2	351/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	458								
45	45	176	176	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	459				50				
45	45	177	177	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	460				50				
45	45	178	178	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	461				50				
45	45	179	179	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	462								
45	45	176	176	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	463								
45	45	353/2	353/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	464								
45	45	177	177	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	465								
45	45	355/2	355/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	466								
45	45	178	178	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	467								
45	45	357/2	357/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	468								
45	45	179	179	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	469								
45	45	359/2	359/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	470								
45	45	176	176	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	471								
45	45	177	177	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	472								
45	45	178	178	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	473								
45	45	179	179	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	474								
46	46	180	180	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	475								
46	46	181	181	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	476				52				
46	46	182	182	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf						
46	46	182	182	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	477								
46	46	180	180	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	478								
46	46	181	181	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	479								
46	46	182	182	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	480								
46	46	183	183	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	481				53				
46	46	180	180	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	482								
46	46	367/2	367/2	0.0		7/8	7/8	Dynamic	4/4	2	1	0						f						
46	46	367/2	367/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	483				54				
46	46	551/3	551/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	484				54				
46	46	1103/6	1103/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	485								
46	46	180	180	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	486								
47	47	184	184	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	487				55				
47	47	185	185	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	488				55				
47	47	186	186	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf						
47	47	186	186	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	489								
47	47	184	184	3.0		0	0	Chord	4/4	1	2	3/4		1/2	3/2	490	f							
47	47	187	187	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	491				56				
47	47	184	184	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	492								
47	47	375/2	375/2	0.0		7/8	7/8	Dynamic	4/4	2	1	0						f						
47	47	375/2	375/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	493				57				
47	47	563/3	563/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	494				57				
47	47	1127/6	1127/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	495								
48	48	188	188	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	496				58				
48	48	189	189	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	497				58				
48	48	190	190	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf						
48	48	190	190	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	498								
48	48	188	188	3.0		0	0	Chord	4/4	1	2	3/4		1/2	3/2	499	f							
48	48	191	191	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	500				59				
48	48	188	188	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	501								
48	48	383/2	383/2	0.0		7/8	7/8	Dynamic	4/4	2	1	0						f						
48	48	383/2	383/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	502				60				
48	48	575/3	575/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	503				60				
48	48	1151/6	1151/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	504								
49	49	192	192	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	505				61				
49	49	193	193	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	506				61				
49	49	194	194	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf						
49	49	194	194	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	507								
49	49	192	192	3.0		0	0	Chord	4/4	1	2	3/4		1/2	3/2	508	f							
49	49	195	195	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	509				62				
49	49	192	192	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	510								
49	49	391/2	391/2	0.0		7/8	7/8	Dynamic	4/4	2	1	0						f						
49	49	391/2	391/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	511				63				
49	49	587/3	587/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	512				63				
49	49	1175/6	1175/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	513								
50	50	196	196	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	514								
50	50	197	197	0.0		1/4	1/4	Dynamic	4/4	1	1	0						p						
50	50	197	197	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	515			articStaccatoBelow					
50	50	198	198	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	516			articStaccatoBelow					
50	50	199	199	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	517			articStaccatoBelow					
50	50	196	196	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	518	f							
50	50	196	196	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	519								
50	50	197	197	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	520			articStaccatoAbove					
50	50	198	198	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	521			articStaccatoAbove					
50	50	199	199	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	522			articStaccatoAbove					
50	50	197	197	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	523								
50	50	198	198	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	524								
50	50	199	199	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	525								
51	51	200	200	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	526				64				
51	51	403/2	403/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	527								
51	51	202	202	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	528			articStaccatoAbove					
51	51	203	203	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	529			articStaccatoAbove					
51	51	200	200	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	530								
51	51	202	202	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	531								
51	51	203	203	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	532								
51	51	200	200	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	533								
51	51	202	202	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	534			articStaccatoAbove					
51	51	203	203	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	535			articStaccatoAbove					
52	52	204	204	0.0		0	0	Spanner	4/4	1	1	0										1		
52	52	205	205	0.0		1/4	1/4	Spanner	4/4	1	1	0												
52	52	205	205	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	536			articStaccatoAbove					
52	52	206	206	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	537			articStaccatoAbove					
52	52	207	207	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	538			articStaccatoAbove					
52	52	204	204	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	539	<							
52	52	205	205	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	540								
52	52	206	206	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	541								
52	52	207	207	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	542								
52	52	205	205	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	543			articStaccatoAbove					
52	52	206	206	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	544			articStaccatoAbove					
52	52	207	207	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	545			articStaccatoAbove					
53	53	208	208	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	546				65				
53	53	419/2	419/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	547								
53	53	210	210	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	548			articStaccatoAbove					
53	53	211	211	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	549			articStaccatoAbove					
53	53	208	208	0.0		0	0	Dynamic	4/4	1	2	0						sf						
53	53	208	208	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	550	f							
53	53	210	210	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	551								
