mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
10	10	223/8	223/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	73								
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	74								
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	75								
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	76								
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77								
11	11	30	30	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	78								
11	11	30	30	0.875	0	0	Chord	3/4	1	2	7/32		1/8	7/4	79				12				
11	11	247/8	247/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32		1/32	1	80								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	81								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	82								
11	11	30	30	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	83								
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	84				13				
12	12	67/2	67/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	85			ornamentTurn	13				
12	12	271/8	271/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	86								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	87								
12	12	35	35	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf						
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88								
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	89								
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90								
13	13	36	36	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	91								
13	13	36	36	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	92								
13	13	36	36	0.875	0	0	Chord	3/4	2	1	7/32		1/8	7/4	93				14				
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	94								
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96								
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	97				15				
14	14	79/2	79/2	0.375	1/8	1/8	Chord	3/4	1	1	3/32		1/16	3/2	98			ornamentTurn	15				
14	14	319/8	319/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	99								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	100								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	101				16				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104				17				
14	14	39	39	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	105								
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	106								
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	107								
15	15	43	43	0.0	1/4	1/4	Dynamic	3/4	1	2	0						f						
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	108	f		articStaccatoBelow					
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	109								
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	110			articStaccatoAbove					
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	111								
16	16	45	45	0.0	0	0	Dynamic	3/4	1	2	0						p						
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	112			articStaccatoBelow					
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	113			articStaccatoAbove					
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	114			articStaccatoAbove					
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	115			articStaccatoAbove					
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	116			articStaccatoBelow					
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	117								
17	17	195/4	195/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	118				18				
17	17	293/6	293/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	119				18				
17	17	587/12	587/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	120								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	121			articStaccatoBelow					
17	17	199/4	199/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	122				19				
17	17	299/6	299/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	123				19				
17	17	599/12	599/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	124								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	125			articStaccatoBelow					
17	17	203/4	203/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	126				20				
17	17	305/6	305/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	127				20				
17	17	611/12	611/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	128								
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	129	p			21				
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	130				21				
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	131								
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	132			articStaccatoBelow					
19	19	54	54	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	133				22				
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	134								
19	19	219/4	219/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	135				23				
19	19	329/6	329/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	136				23				
19	19	659/12	659/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	137								
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	138			articStaccatoBelow					
19	19	223/4	223/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	139				24				
19	19	335/6	335/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	140				24				
19	19	671/12	671/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	141								
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	142			articStaccatoBelow					
19	19	227/4	227/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	143				25				
19	19	341/6	341/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	144				25				
19	19	683/12	683/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	145								
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	146				26				
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	147			ornamentTurn	26				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	148				26				
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	149				26				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	150								
20	20	57	57	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	151								
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	152								
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	153			articStaccatoBelow					
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	154				27				
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155								
21	21	243/4	243/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	156				28				
21	21	365/6	365/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	157				28				
21	21	731/12	731/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	158								
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	159			articStaccatoBelow					
21	21	247/4	247/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	160				29				
21	21	371/6	371/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	161				29				
21	21	743/12	743/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	162								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	163			articStaccatoBelow					
21	21	251/4	251/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	164				30				
21	21	377/6	377/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	165				30				
21	21	755/12	755/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	166								
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0										1		
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	167	<			31		1		
22	22	64	64	0.0	1/4	1/4	Spanner	3/4	1	1	0								31				
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	168				31				
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	169								
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	170			articStaccatoBelow					
23	23	66	66	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	171								
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	172				32				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173				32				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174								
23	23	66	66	0.0	0	0	Dynamic	3/4	2	1	0						p						
23	23	267/4	267/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	175				33				
23	23	401/6	401/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	176				33				
23	23	803/12	803/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	177								
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	178			articStaccatoBelow					
23	23	271/4	271/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	179				34				
23	23	407/6	407/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	180				34				
23	23	815/12	815/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	181								
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	182			articStaccatoAbove					
24	24	69	69	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	183				35				
24	24	279/4	279/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	184								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	185			articStaccatoBelow					
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	186				36				
24	24	71	71	0.0	1/2	1/2	Spanner	3/4	1	1	0								36		2		
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	187	<			36		2		
24	24	143/2	143/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	188								
24	24	279/4	279/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	189				37				
24	24	419/6	419/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	190				37				
24	24	839/12	839/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	191								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	192			articStaccatoBelow					
24	24	283/4	283/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	193				38				
24	24	425/6	425/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	194				38				
24	24	851/12	851/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	195								
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	196			articStaccatoAbove					
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	197				39				
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	198								
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	199			articStaccatoAbove					
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	200				40				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201				40				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202								
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	203								
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	204								
25	25	291/4	291/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	205				41				
25	25	437/6	437/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	206				41				
25	25	875/12	875/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	207								
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	208			articStaccatoBelow					
25	25	295/4	295/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	209				42				
25	25	443/6	443/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	210				42				
25	25	887/12	887/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	211								
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	212			articStaccatoAbove					
26	26	75	75	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	213				43				
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	214								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	215			articStaccatoAbove					
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	216				44				
26	26	77	77	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f		44				
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	217				44				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	218								
26	26	75	75	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	219								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	220								
26	26	303/4	303/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	221				45				
26	26	455/6	455/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	222				45				
26	26	911/12	911/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	223								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	224			articStaccatoBelow					
26	26	307/4	307/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	225				46				
26	26	461/6	461/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	226				46				
26	26	923/12	923/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	227								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	228			articStaccatoAbove					
26	26	311/4	311/4	0.08333333333333333	11/16	11/16	Chord	3/4	2	1	1/48		1/32	2/3	229				47				
26	26	467/6	467/6	0.08333333333333333	17/24	17/24	Chord	3/4	2	1	1/48		1/32	2/3	230				47				
26	26	935/12	935/12	0.08333333333333333	35/48	35/48	Chord	3/4	2	1	1/48		1/32	2/3	231								
27	27	78	78	0.0	0	0	Dynamic	3/4	1	1	0						p						
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	232	p			48				
27	27	157/2	157/2	0.0	1/8	1/8	Spanner	3/4	1	1	0												0
27	27	157/2	157/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	233	<							0
27	27	159/2	159/2	0.0	3/8	3/8	Spanner	3/4	1	1	0									0			0
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	234	>			49	0			0
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	1	1	0								49	0			
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	235				49	0			
27	27	161/2	161/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	236								
27	27	315/4	315/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	237				50				
27	27	631/8	631/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	238								
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	239			articStaccatoBelow					
27	27	319/4	319/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	240				51				
27	27	639/8	639/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	241								
27	27	80	80	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	242			articStaccatoAbove					
28	28	81	81	0.0	0	0	Spanner	3/4	1	1	0												1
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	243	<							1
28	28	163/2	163/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	244								1
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	245	>			52				1
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	1	1	0								52				
28	28	83	83	0.0	1/2	1/2	Spanner	3/4	1	1	0								52	1			
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	246				52	1			
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	247					1			
28	28	327/4	327/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	248				53				
28	28	655/8	655/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	249								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	250			articStaccatoBelow					
28	28	331/4	331/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32		1/32	1	251				54				
28	28	663/8	663/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32		1/32	1	252								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	253			articStaccatoAbove					
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0												
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	254								
29	29	169/2	169/2	0.0	1/8	1/8	Spanner	3/4	1	1	0											0	
29	29	169/2	169/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	255							0	
29	29	171/2	171/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												
