mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
16	16	187/4	187/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	268													
16	16	375/8	375/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	269													
16	16	47	47	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	270			articStaccatoAbove										
16	16	377/8	377/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	271													
16	16	189/4	189/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	272													
16	16	379/8	379/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	273													
16	16	95/2	95/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	274													
16	16	381/8	381/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	275													
16	16	191/4	191/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	276													
16	16	383/8	383/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	277													
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	278													
17	17	48	48	0.0	0	0	Spanner	3/4	1	1	0																	3
17	17	48	48	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	279													3
17	17	385/8	385/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	280													3
17	17	193/4	193/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	281													3
17	17	387/8	387/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	282													3
17	17	97/2	97/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	283													3
17	17	389/8	389/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	284													3
17	17	195/4	195/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	285													3
17	17	391/8	391/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	286													3
17	17	49	49	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	287													3
17	17	393/8	393/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	288													3
17	17	197/4	197/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	289													3
17	17	395/8	395/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	290													3
17	17	99/2	99/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	291													3
17	17	397/8	397/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	292													3
17	17	199/4	199/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	293													3
17	17	399/8	399/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	294													3
17	17	50	50	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	295													3
17	17	401/8	401/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	296													3
17	17	201/4	201/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	297													3
17	17	403/8	403/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	298													3
17	17	101/2	101/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	299													3
17	17	405/8	405/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	300													3
17	17	203/4	203/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	301													3
17	17	407/8	407/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	302													3
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	303													
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	304													
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	305													
18	18	51	51	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	306													3
18	18	409/8	409/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	307													3
18	18	205/4	205/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	308													3
18	18	411/8	411/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	309													3
18	18	103/2	103/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	310													3
18	18	413/8	413/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	311													3
18	18	207/4	207/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	312													3
18	18	415/8	415/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	313													3
18	18	52	52	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	314													3
18	18	417/8	417/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	315													3
18	18	209/4	209/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	316													3
18	18	419/8	419/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	317													3
18	18	105/2	105/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	318													3
18	18	421/8	421/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	319													3
18	18	211/4	211/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	320													3
18	18	423/8	423/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	321													3
18	18	53	53	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	322													3
18	18	425/8	425/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	323													3
18	18	213/4	213/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	324													3
18	18	427/8	427/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	325													3
18	18	107/2	107/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	326													3
18	18	429/8	429/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	327													3
18	18	215/4	215/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	328													3
18	18	431/8	431/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	329													3
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	330													
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	331													
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	332													
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0															0		3
19	19	54	54	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	333											0		3
19	19	433/8	433/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	334											0		3
19	19	217/4	217/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	335											0		3
19	19	435/8	435/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	336											0		3
19	19	109/2	109/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	337											0		3
19	19	437/8	437/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	338											0		3
19	19	219/4	219/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	339											0		3
19	19	439/8	439/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	340											0		3
19	19	55	55	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	341											0		3
19	19	441/8	441/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	342											0		3
19	19	221/4	221/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	343											0		3
19	19	443/8	443/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	344											0		3
19	19	111/2	111/2	0.125	3/8	3/8	Chord	3/4	1	1	1/32		1/32	1	345											0		3
19	19	445/8	445/8	0.125	13/32	13/32	Chord	3/4	1	1	1/32		1/32	1	346											0		3
19	19	223/4	223/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	347											0		3
19	19	447/8	447/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	348											0		3
19	19	56	56	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	349											0		3
19	19	449/8	449/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	350											0		3
19	19	225/4	225/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	351											0		3
19	19	451/8	451/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	352											0		3
19	19	113/2	113/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	353											0		3
19	19	453/8	453/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	354											0		3
19	19	227/4	227/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	355											0		3
19	19	455/8	455/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	356											0		3
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	357													
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	358													
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	359													
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	360													
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	361													
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	362													
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0															0		
20	20	57	57	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	363									14		0		
20	20	231/4	231/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	364									14		0		
20	20	58	58	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	365									14		0		
20	20	235/4	235/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	366									14		0		
20	20	59	59	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	367									14		0		
20	20	239/4	239/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	368									14		0		
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	369									15				
20	20	115/2	115/2	0.75	1/8	1/8	Chord	3/4	2	1	3/16		1/8	3/2	370									15				
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	371									15				
20	20	117/2	117/2	0.75	3/8	3/8	Chord	3/4	2	1	3/16		1/8	3/2	372									15				
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	373									15				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	374									15				
21	21	60	60	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	375									14		0		
21	21	243/4	243/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	376									14		0		
21	21	61	61	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	377									14		0		
21	21	247/4	247/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	378									14		0		
21	21	62	62	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	379									14		0		
21	21	249/4	249/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	380									14		0		
21	21	125/2	125/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	381									14		0		
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	382											0		
21	21	60	60	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	383									15				
21	21	241/4	241/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	384									15				
21	21	121/2	121/2	0.75	1/8	1/8	Chord	3/4	2	1	3/16		1/8	3/2	385									15				
21	21	245/4	245/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	386									15				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	387									15				
21	21	62	62	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	388									15				
21	21	249/4	249/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	389									15				
21	21	125/2	125/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	390									15				
21	21	251/4	251/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	391													
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0																	
22	22	63	63	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	392									16				
22	22	253/4	253/4	0.5	1/16	1/16	Chord	3/4	1	1	1/8		1/8	1	393									16				
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	394									16				
22	22	64	64	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	395									16				
22	22	257/4	257/4	0.5	5/16	5/16	Chord	3/4	1	1	1/8		1/8	1	396									16				
22	22	259/4	259/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	397									16				
22	22	65	65	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	398									16				
22	22	261/4	261/4	0.5	9/16	9/16	Chord	3/4	1	1	1/8		1/8	1	399									16				
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	400													
22	22	253/4	253/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	401									17				
22	22	127/2	127/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	402									17				
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	403													
22	22	257/4	257/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	404									18				
22	22	129/2	129/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	405									18				
22	22	259/4	259/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	406													
22	22	261/4	261/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	407									19				
22	22	131/2	131/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	408									19				
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	409													
23	23	68	68	0.0	1/2	1/2	Spanner	3/4	1	1	0																	4
23	23	68	68	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	410									20				4
23	23	273/4	273/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	411													4
23	23	137/2	137/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	412									21				4
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	413													4
23	23	66	66	0.25	0	0	Chord	3/4	1	2	1/16		1/16	1	414									22				4
23	23	265/4	265/4	0.5	1/16	1/16	Chord	3/4	1	2	1/8		1/8	1	415									22				4
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	416									22				4
23	23	67	67	0.25	1/4	1/4	Chord	3/4	1	2	1/16		1/16	1	417									22				4
23	23	269/4	269/4	0.5	5/16	5/16	Chord	3/4	1	2	1/8		1/8	1	418									22				4
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16		1/16	1	419													4
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	420	<												4
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	421													4
23	23	265/4	265/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	422									23				
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	423									23				
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	424													
23	23	269/4	269/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	425									24				
23	23	135/2	135/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	426									24				
23	23	271/4	271/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	427													
23	23	68	68	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	428													
23	23	273/4	273/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	429													
23	23	137/2	137/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	430													
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	431													
23	23	68	68	0.25	1/2	1/2	Chord	3/4	2	2	1/16		1/16	1	432									25				
23	23	273/4	273/4	0.25	9/16	9/16	Chord	3/4	2	2	1/16		1/16	1	433													
23	23	137/2	137/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	434									26				
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	435													
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	436													4
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	437													4
24	24	71	71	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	438									27				4
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	439													4
24	24	143/2	143/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	440									28				4
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	441													4
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	442													4
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	443													4
24	24	71	71	0.25	1/2	1/2	Chord	3/4	1	2	1/16		1/16	1	444													4
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16		1/16	1	445													4
24	24	143/2	143/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	446													4
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	447													4
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	448													
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	449													
24	24	71	71	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	450									29				
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	451													
24	24	143/2	143/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	452									30				
24	24	287/4	287/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	453													
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	454													4
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	1	1	0																	5
25	25	73	73	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/32	1	455													5
25	25	73	73	0.0	1/4	1/4	Chord	3/4	1	1	0	acciaccatura	1/32	1	456													5
25	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	457													5
25	25	149/2	149/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	458													5
25	25	149/2	149/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	459													5
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	460													5
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	461													
25	25	73	73	0.0	1/4	1/4	Spanner	3/4	2	1	0														0			
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	462										0			
25	25	74	74	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
25	25	74	74	0.0	1/2	1/2	Spanner	3/4	2	1	0														1			
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	463										1			
26	26	151/2	151/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	464													5
26	26	151/2	151/2	0.0	1/8	1/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	465													5
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	466													5
26	26	153/2	153/2	0.0	3/8	3/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	467													5
26	26	153/2	153/2	0.0	3/8	3/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	468													5
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	469													5
26	26	155/2	155/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	470													5
26	26	155/2	155/2	0.0	5/8	5/8	Chord	3/4	1	1	0	acciaccatura	1/32	1	471													5
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	472													5
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																	
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0														2			
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	473										2			
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	2	1	0														3			
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	474										3			
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	2	1	0														4			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	475										4			
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	476													5
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	477			articStaccatoAbove										5
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	478			articStaccatoAbove										5
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	479			articStaccatoAbove										5
27	27	80	80	0.0	1/2	1/2	Dynamic	3/4	1	1	0						sf											
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480													
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0														5			
27	27	78	78	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	481										5			
27	27	80	80	0.0	1/2	1/2	Spanner	3/4	2	1	0																	
27	27	80	80	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	482													
27	27	321/4	321/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	483													
27	27	643/8	643/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	484													
27	27	161/2	161/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	485													
27	27	645/8	645/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	486													
27	27	323/4	323/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	487													
27	27	647/8	647/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	488													
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	489													
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	490			articStaccatoAbove										
28	28	331/4	331/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	491									31				
28	28	83	83	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	492													
28	28	333/4	333/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	493									32				
28	28	167/2	167/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	494													
28	28	335/4	335/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	495									33				
28	28	81	81	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	496													
28	28	325/4	325/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	497													
28	28	163/2	163/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	498													
28	28	327/4	327/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	499													
28	28	82	82	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	500													
28	28	329/4	329/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	501													
28	28	165/2	165/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	502													
28	28	331/4	331/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	503													
28	28	83	83	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	504													
28	28	333/4	333/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	505													
28	28	167/2	167/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	506													
28	28	335/4	335/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	507													
29	29	84	84	0.0	0	0	Dynamic	3/4	1	1	0						sf											
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	508			articStaccatoAbove										
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	509			articStaccatoAbove										
29	29	343/4	343/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	510									34				
29	29	86	86	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	511													
29	29	345/4	345/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	512									35				
29	29	173/2	173/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	513													
29	29	347/4	347/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	514									36				
29	29	84	84	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	515													
29	29	337/4	337/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	516													
29	29	169/2	169/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	517													
29	29	339/4	339/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	518													
29	29	85	85	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	519													
29	29	341/4	341/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	520													
29	29	171/2	171/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	521													
29	29	343/4	343/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	522													
29	29	86	86	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	523													
29	29	345/4	345/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	524													
29	29	173/2	173/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	525													
29	29	347/4	347/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	526													
30	30	87	87	0.0	0	0	Dynamic	3/4	1	1	0						sf											
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	527			articStaccatoAbove										
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	528			articStaccatoAbove										
30	30	355/4	355/4	0.0	7/16	7/16	Spanner	3/4	1	1	0															1		
30	30	355/4	355/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	529									37		1		
