mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Trill:prallprall	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
9	8	59/2	59/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	67									4									
9	8	30	30	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	68									4									
9	8	61/2	61/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	69																		
9	8	63/2	63/2	0.0		3/4	3/4	Tempo	2/2	1	1	0									𝅗𝅥=132	264.0	𝅗𝅥	132.0	0.0										
9	8	63/2	63/2	0.0		3/4	3/4	SystemText	2/2	1	1	0								"<i><font size=""12""/>a tempo</i>"															
9	8	63/2	63/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	70									5									
9	8	32	32	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	71									5									
9	8	57/2	57/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	72																		
9	8	59/2	59/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	73																		
9	8	61/2	61/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	74																		
9	8	57/2	57/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	75																		
9	8	59/2	59/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	76																		
9	8	61/2	61/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	77																		
10	9	65/2	65/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	78									5									
10	9	69/2	69/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	79																		
10	9	71/2	71/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	80									6									
10	9	36	36	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	81									6									
10	9	67/2	67/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	82																		
10	9	69/2	69/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	83																		
10	9	71/2	71/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	84																		
10	9	67/2	67/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	85									7									
10	9	69/2	69/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	86									7									
10	9	71/2	71/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	87									7									
11	10	73/2	73/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	88									6									
11	10	77/2	77/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	89																		
11	10	79/2	79/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	90									8									
11	10	40	40	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	91									8									
11	10	73/2	73/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	92																		
11	10	75/2	75/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	93																		
11	10	77/2	77/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	94																		
11	10	79/2	79/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	95																		
11	10	73/2	73/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	96									7									
11	10	75/2	75/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	97									7									
11	10	77/2	77/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	98									7									
11	10	79/2	79/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	99									7									
12	11	81/2	81/2	1.5		0	0	Chord	2/2	1	1	3/8			1/4	3/2	100									8									
12	11	42	42	0.0		3/8	3/8	Spanner	2/2	1	1	0														8						0			
12	11	42	42	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	101									8						0			
12	11	85/2	85/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	102									8						0			
12	11	43	43	1.0		5/8	5/8	Chord	2/2	1	1	1/4			1/4	1	103									8						0			
12	11	87/2	87/2	0.0		3/4	3/4	SystemText	2/2	1	1	0								"<i><font size=""12""/>poco        a        poco      -</i>"						8						0			
12	11	44	44	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	104									8						0			
12	11	81/2	81/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	105															0			
12	11	83/2	83/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	106															0			
12	11	85/2	85/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	107															0			
12	11	87/2	87/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	108															0			
12	11	81/2	81/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	109									7									
12	11	83/2	83/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	110									7									
12	11	85/2	85/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	111									7									
12	11	87/2	87/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	112									7									
13	12	89/2	89/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	113									8						0			
13	12	45	45	1.0		1/8	1/8	Chord	2/2	1	1	1/4			1/4	1	114															0			
13	12	46	46	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	115									9						0			
13	12	93/2	93/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	116									9						0			
13	12	47	47	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	117									9						0			
13	12	95/2	95/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	118									9						0			
13	12	48	48	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	119									9						0			
13	12	89/2	89/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	120															0			
13	12	91/2	91/2	2.0		1/4	1/4	Chord	2/2	1	2	1/2			1/2	1	121															0			
13	12	95/2	95/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	122															0			
13	12	89/2	89/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	123									7									
13	12	91/2	91/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	124									7									
13	12	93/2	93/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	125									7									
13	12	95/2	95/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	126									7									
14	13	97/2	97/2	0.0		0	0	SystemText	2/2	1	1	0								"<font size=""12""/>-        -        -        -        -        -        -        -        -        -       -"						9						0			
14	13	97/2	97/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	127									9						0			
14	13	49	49	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	128									9						0			
14	13	99/2	99/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	129									9						0			
14	13	50	50	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	130									9						0			
14	13	101/2	101/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	131									9						0			
14	13	51	51	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	132									9						0			
14	13	103/2	103/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	133									9						0			
14	13	52	52	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	134									9						0			
14	13	97/2	97/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	135															0			
14	13	99/2	99/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	136															0			
14	13	101/2	101/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	137															0			
14	13	103/2	103/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	138															0			
14	13	97/2	97/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	139									7									
14	13	99/2	99/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	140									7									
14	13	101/2	101/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	141									7									
14	13	103/2	103/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	142									7									
15	14	105/2	105/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	143									9						0			
15	14	53	53	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	144									9						0			
15	14	107/2	107/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	145									9						0			
15	14	54	54	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	146															0			
15	14	109/2	109/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	147									10						0			
15	14	55	55	0.5		5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	148									10						0			
15	14	111/2	111/2	0.5		3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	149									10						0			
15	14	56	56	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	150															0			
15	14	105/2	105/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	151															0			
15	14	107/2	107/2	2.0		1/4	1/4	Chord	2/2	1	2	1/2			1/2	1	152															0			
15	14	111/2	111/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	153															0			
15	14	105/2	105/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	154									7									
15	14	107/2	107/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	155									7									
15	14	109/2	109/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	156									7									
15	14	111/2	111/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	157									7									
16	15	113/2	113/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	158									11						0			
16	15	57	57	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	159															0			
16	15	58	58	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	160									12						0			
16	15	117/2	117/2	0.5		1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	161									12						0			
16	15	59	59	1.0		5/8	5/8	Chord	2/2	1	1	1/4			1/4	1	162									12						0			
16	15	60	60	0.5		7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	163															0			
16	15	113/2	113/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	164															0			
16	15	115/2	115/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	165															0			
16	15	117/2	117/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	166															0			
16	15	119/2	119/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	167															0			
16	15	113/2	113/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	168									7									
16	15	115/2	115/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	169									7									
16	15	117/2	117/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	170									7									
16	15	119/2	119/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	171																		
17	16	121/2	121/2	0.0		0	0	Dynamic	2/2	1	1	0						f																	
17	16	121/2	121/2	0.0		0	0	Spanner	2/2	1	1	0																							
17	16	121/2	121/2	0.5		0	0	Chord	2/2	1	1	1/8			1/8	1	172									13									
17	16	61	61	0.5		1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	173									13									
17	16	123/2	123/2	0.5		1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	174									13									
17	16	62	62	0.5		3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	175																		
17	16	125/2	125/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	176		articStaccatissimoAbove																
17	16	127/2	127/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	177		articStaccatissimoAbove																
17	16	121/2	121/2	1.0		0	0	Chord	2/2	1	2	1/4			1/4	1	178																		
17	16	123/2	123/2	1.0		1/4	1/4	Chord	2/2	1	2	1/4			1/4	1	179																		
17	16	125/2	125/2	1.0		1/2	1/2	Chord	2/2	1	2	1/4			1/4	1	180		articStaccatissimoBelow																
17	16	127/2	127/2	1.0		3/4	3/4	Chord	2/2	1	2	1/4			1/4	1	181		articStaccatissimoBelow																
17	16	121/2	121/2	1.0		0	0	Chord	2/2	2	1	1/4			1/4	1	182																		
17	16	123/2	123/2	1.0		1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	183																		
17	16	125/2	125/2	1.0		1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	184																		
17	16	127/2	127/2	1.0		3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	185																		
18	17	129/2	129/2	0.0		0	0	Dynamic	2/2	1	1	0						sf																	
18	17	129/2	129/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	186																		
18	17	133/2	133/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0						sf																	
18	17	133/2	133/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	187																		
18	17	129/2	129/2	2.0		0	0	Chord	2/2	1	2	1/2			1/2	1	188																		
18	17	129/2	129/2	0.0		0	0	Spanner	2/2	2	1	0																					1	1	
18	17	129/2	129/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	189																1	1	
18	17	65	65	0.0		1/8	1/8	Dynamic	2/2	2	1	0						f															1	1	
18	17	65	65	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	190																1	1	
18	17	131/2	131/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	191																1	1	
18	17	66	66	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	192																1	1	
18	17	67	67	0.0		5/8	5/8	Dynamic	2/2	2	1	0						f															1	1	
18	17	67	67	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	193																1	1	
18	17	135/2	135/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	194																1	1	
18	17	68	68	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	195																1	1	
19	18	137/2	137/2	0.0		0	0	Dynamic	2/2	1	1	0						p																	
19	18	137/2	137/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	196		articStaccatissimoAbove																
19	18	139/2	139/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	197		articStaccatissimoAbove																
19	18	141/2	141/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	198		articStaccatissimoAbove																
19	18	143/2	143/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	199		articStaccatissimoAbove																
19	18	137/2	137/2	0.0		0	0	Spanner	2/2	2	1	0																							
19	18	69	69	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	200																		
19	18	70	70	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	201																		
19	18	71	71	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	202																		
19	18	72	72	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	203																		
20	19	145/2	145/2	0.0		0	0	Dynamic	2/2	1	1	0						f																	
20	19	145/2	145/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	204																		
20	19	149/2	149/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0						sf																	
20	19	149/2	149/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	205																		
20	19	145/2	145/2	0.0		0	0	Spanner	2/2	2	1	0																					2	2	
20	19	145/2	145/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	206																2	2	
20	19	73	73	0.0		1/8	1/8	Dynamic	2/2	2	1	0						f															2	2	
20	19	73	73	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	207																2	2	
20	19	147/2	147/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	208																2	2	
20	19	74	74	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	209																2	2	
20	19	75	75	0.0		5/8	5/8	Dynamic	2/2	2	1	0						f															2	2	
20	19	75	75	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	210																2	2	
20	19	151/2	151/2	0.5		3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	211																2	2	
20	19	76	76	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	212																2	2	
21	20	153/2	153/2	0.0		0	0	Dynamic	2/2	1	1	0						p																	
21	20	153/2	153/2	1.0		0	0	Chord	2/2	1	1	1/4			1/4	1	213		articStaccatissimoAbove																
21	20	155/2	155/2	1.0		1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	214		articStaccatissimoAbove																
21	20	157/2	157/2	1.0		1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	215		articStaccatissimoAbove																
21	20	159/2	159/2	1.0		3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	216		articStaccatissimoAbove																
21	20	153/2	153/2	0.0		0	0	Spanner	2/2	2	1	0																							
21	20	77	77	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	217																		
21	20	78	78	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	218																		
21	20	79	79	0.5		5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	219																		
21	20	80	80	0.5		7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	220																		
22	21	161/2	161/2	0.0		0	0	Dynamic	2/2	1	1	0						f																	
22	21	161/2	161/2	2.0		0	0	Chord	2/2	1	1	1/2			1/2	1	221																		
22	21	165/2	165/2	0.0		1/2	1/2	Dynamic	2/2	1	1	0						sf																	
22	21	165/2	165/2	2.0		1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	222																		
22	21	161/2	161/2	0.0		0	0	Spanner	2/2	2	1	0																					3	3	
22	21	161/2	161/2	0.5		0	0	Chord	2/2	2	1	1/8			1/8	1	223																3	3	
22	21	81	81	0.5		1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	224																3	3	
22	21	163/2	163/2	0.5		1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	225																3	3	
22	21	82	82	0.5		3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	226																3	3	
