mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
10	9	79/4	79/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	105		articStaccatoBelow						
10	9	35/2	35/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	106								
10	9	37/2	37/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	107								
11	10	20	20	0.0	0	0	Spanner	3/4	1	1	0												
11	10	20	20	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	108								
11	10	41/2	41/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0					f							
11	10	41/2	41/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	109								
11	10	21	21	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	110								
11	10	43/2	43/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	111		articStaccatoAbove	41					
11	10	87/4	87/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	112		articStaccatoAbove						
11	10	22	22	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	113			42					
11	10	89/4	89/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	114								
11	10	45/2	45/2	0.0	5/8	5/8	Spanner	3/4	1	1	0											2	
11	10	45/2	45/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	115		articStaccatoBelow	43				2	
11	10	91/4	91/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	116		articStaccatoBelow					2	
11	10	43/2	43/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	117							2	
11	10	81/4	81/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	118								
11	10	41/2	41/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	119		articStaccatoAbove	44					
11	10	83/4	83/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	120		articStaccatoAbove						
11	10	21	21	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	121		articStaccatoAbove	45					
11	10	85/4	85/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	122		articStaccatoAbove						
11	10	43/2	43/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	123								
11	10	22	22	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	124			46					
11	10	89/4	89/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	125								
11	10	45/2	45/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	126		articStaccatoAbove	47					
11	10	91/4	91/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	127		articStaccatoAbove						
11	10	41/2	41/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	128								
11	10	43/2	43/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	129								
12	11	23	23	0.0	0	0	Spanner	3/4	1	1	0												
12	11	23	23	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	130			48					
12	11	93/4	93/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	131			48					
12	11	47/2	47/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	132			48					
12	11	95/4	95/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	133			48					
12	11	24	24	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	134								
12	11	25	25	0.0	1/2	1/2	Spanner	3/4	1	1	0											3	
12	11	25	25	0.1	1/2	1/2	Chord	3/4	1	1	1/40		1/32	4/5	135			49				3	
12	11	251/10	251/10	0.1	21/40	21/40	Chord	3/4	1	1	1/40		1/32	4/5	136			49				3	
12	11	126/5	126/5	0.1	11/20	11/20	Chord	3/4	1	1	1/40		1/32	4/5	137			49				3	
12	11	253/10	253/10	0.1	23/40	23/40	Chord	3/4	1	1	1/40		1/32	4/5	138			49				3	
12	11	127/5	127/5	0.1	3/5	3/5	Chord	3/4	1	1	1/40		1/32	4/5	139							3	
12	11	51/2	51/2	0.08333333333333333	5/8	5/8	Chord	3/4	1	1	1/48		1/32	2/3	140			50				3	
12	11	307/12	307/12	0.08333333333333333	31/48	31/48	Chord	3/4	1	1	1/48		1/32	2/3	141			50				3	
12	11	77/3	77/3	0.08333333333333333	2/3	2/3	Chord	3/4	1	1	1/48		1/32	2/3	142			50				3	
12	11	103/4	103/4	0.08333333333333333	11/16	11/16	Chord	3/4	1	1	1/48		1/32	2/3	143			50				3	
12	11	155/6	155/6	0.08333333333333333	17/24	17/24	Chord	3/4	1	1	1/48		1/32	2/3	144			50				3	
12	11	311/12	311/12	0.08333333333333333	35/48	35/48	Chord	3/4	1	1	1/48		1/32	2/3	145							3	
12	11	23	23	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	146								
12	11	47/2	47/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	147								
12	11	24	24	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	148								
12	11	49/2	49/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	149								
12	11	25	25	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	150								
12	11	51/2	51/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	151								
13	12	26	26	0.0	0	0	Spanner	3/4	1	1	0												
13	12	26	26	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	152								
13	12	209/8	209/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	153								
13	12	105/4	105/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	154								
13	12	211/8	211/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	155								
13	12	53/2	53/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	156								
13	12	213/8	213/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	157								
13	12	107/4	107/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	158								
13	12	215/8	215/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	159								
13	12	27	27	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	160								
13	12	217/8	217/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	161								
13	12	109/4	109/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	162								
13	12	219/8	219/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	163								
13	12	28	28	0.0	1/2	1/2	Spanner	3/4	1	1	0											4	
13	12	28	28	0.0625	1/2	1/2	Chord	3/4	1	1	1/64		1/64	1	164							4	
13	12	449/16	449/16	0.0625	33/64	33/64	Chord	3/4	1	1	1/64		1/64	1	165							4	
13	12	225/8	225/8	0.0625	17/32	17/32	Chord	3/4	1	1	1/64		1/64	1	166							4	
13	12	451/16	451/16	0.0625	35/64	35/64	Chord	3/4	1	1	1/64		1/64	1	167							4	
13	12	113/4	113/4	0.0625	9/16	9/16	Chord	3/4	1	1	1/64		1/64	1	168							4	
13	12	453/16	453/16	0.0625	37/64	37/64	Chord	3/4	1	1	1/64		1/64	1	169							4	
13	12	227/8	227/8	0.0625	19/32	19/32	Chord	3/4	1	1	1/64		1/64	1	170							4	
13	12	455/16	455/16	0.0625	39/64	39/64	Chord	3/4	1	1	1/64		1/64	1	171							4	
13	12	57/2	57/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												
13	12	57/2	57/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	172			51					
13	12	115/4	115/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	173								
13	12	26	26	0.0	0	0	Spanner	3/4	2	1	0									0	0		
13	12	55/2	55/2	0.08333333333333333	3/8	3/8	Chord	3/4	2	1	1/48		1/32	2/3	174					0	0		
13	12	331/12	331/12	0.08333333333333333	19/48	19/48	Chord	3/4	2	1	1/48		1/32	2/3	175					0	0		
13	12	83/3	83/3	0.08333333333333333	5/12	5/12	Chord	3/4	2	1	1/48		1/32	2/3	176					0	0		
13	12	111/4	111/4	0.08333333333333333	7/16	7/16	Chord	3/4	2	1	1/48		1/32	2/3	177					0	0		
13	12	167/6	167/6	0.08333333333333333	11/24	11/24	Chord	3/4	2	1	1/48		1/32	2/3	178					0	0		
13	12	335/12	335/12	0.08333333333333333	23/48	23/48	Chord	3/4	2	1	1/48		1/32	2/3	179					0	0		
13	12	26	26	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	180					0	0		
13	12	28	28	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	181					0	0		
13	12	57/2	57/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	182			52		0	0		
13	12	115/4	115/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16		1/16	1	183					0	0		
14	13	29	29	0.08333333333333333	0	0	Chord	3/4	1	1	1/48		1/32	2/3	184								
14	13	349/12	349/12	0.08333333333333333	1/48	1/48	Chord	3/4	1	1	1/48		1/32	2/3	185								
14	13	175/6	175/6	0.08333333333333333	1/24	1/24	Chord	3/4	1	1	1/48		1/32	2/3	186								
14	13	117/4	117/4	0.08333333333333333	1/16	1/16	Chord	3/4	1	1	1/48		1/32	2/3	187								
14	13	88/3	88/3	0.08333333333333333	1/12	1/12	Chord	3/4	1	1	1/48		1/32	2/3	188								
14	13	353/12	353/12	0.08333333333333333	5/48	5/48	Chord	3/4	1	1	1/48		1/32	2/3	189								
14	13	59/2	59/2	0.08333333333333333	1/8	1/8	Chord	3/4	1	1	1/48		1/32	2/3	190								
14	13	355/12	355/12	0.08333333333333333	7/48	7/48	Chord	3/4	1	1	1/48		1/32	2/3	191								
14	13	89/3	89/3	0.08333333333333333	1/6	1/6	Chord	3/4	1	1	1/48		1/32	2/3	192								
14	13	61/2	61/2	0.0	3/8	3/8	Spanner	3/4	1	1	0												0
14	13	123/4	123/4	0.0625	7/16	7/16	Chord	3/4	1	1	1/64		1/64	1	193								0
14	13	493/16	493/16	0.0625	29/64	29/64	Chord	3/4	1	1	1/64		1/64	1	194								0
14	13	247/8	247/8	0.0625	15/32	15/32	Chord	3/4	1	1	1/64		1/64	1	195								0
14	13	495/16	495/16	0.0625	31/64	31/64	Chord	3/4	1	1	1/64		1/64	1	196								0
14	13	125/4	125/4	0.0625	9/16	9/16	Chord	3/4	1	1	1/64		1/64	1	197								0
14	13	501/16	501/16	0.0625	37/64	37/64	Chord	3/4	1	1	1/64		1/64	1	198								0
14	13	251/8	251/8	0.0625	19/32	19/32	Chord	3/4	1	1	1/64		1/64	1	199								0
14	13	503/16	503/16	0.0625	39/64	39/64	Chord	3/4	1	1	1/64		1/64	1	200								0
14	13	63/2	63/2	0.0	5/8	5/8	Spanner	3/4	1	1	0												
14	13	63/2	63/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	201			53					
14	13	127/4	127/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	202								
14	13	29	29	0.0	0	0	Spanner	3/4	2	1	0												
14	13	29	29	0.0	0	0	Spanner	3/4	2	1	0									1	1		
14	13	119/4	119/4	0.08333333333333333	3/16	3/16	Chord	3/4	2	1	1/48		1/32	2/3	203					1	1		
14	13	179/6	179/6	0.08333333333333333	5/24	5/24	Chord	3/4	2	1	1/48		1/32	2/3	204					1	1		
14	13	359/12	359/12	0.08333333333333333	11/48	11/48	Chord	3/4	2	1	1/48		1/32	2/3	205					1	1		
14	13	30	30	0.0625	1/4	1/4	Chord	3/4	2	1	1/64		1/64	1	206					1	1		
14	13	481/16	481/16	0.0625	17/64	17/64	Chord	3/4	2	1	1/64		1/64	1	207					1	1		
14	13	241/8	241/8	0.0625	9/32	9/32	Chord	3/4	2	1	1/64		1/64	1	208					1	1		
14	13	483/16	483/16	0.0625	19/64	19/64	Chord	3/4	2	1	1/64		1/64	1	209					1	1		
14	13	121/4	121/4	0.0625	5/16	5/16	Chord	3/4	2	1	1/64		1/64	1	210					1	1		
14	13	485/16	485/16	0.0625	21/64	21/64	Chord	3/4	2	1	1/64		1/64	1	211					1	1		
14	13	243/8	243/8	0.0625	11/32	11/32	Chord	3/4	2	1	1/64		1/64	1	212					1	1		
14	13	487/16	487/16	0.0625	23/64	23/64	Chord	3/4	2	1	1/64		1/64	1	213					1	1		
14	13	61/2	61/2	0.0625	3/8	3/8	Chord	3/4	2	1	1/64		1/64	1	214					1	1		
14	13	489/16	489/16	0.0625	25/64	25/64	Chord	3/4	2	1	1/64		1/64	1	215					1	1		
14	13	245/8	245/8	0.0625	13/32	13/32	Chord	3/4	2	1	1/64		1/64	1	216					1	1		
14	13	491/16	491/16	0.0625	27/64	27/64	Chord	3/4	2	1	1/64		1/64	1	217					1	1		
14	13	31	31	0.0625	1/2	1/2	Chord	3/4	2	1	1/64		1/64	1	218					1	1		
14	13	497/16	497/16	0.0625	33/64	33/64	Chord	3/4	2	1	1/64		1/64	1	219					1	1		
14	13	249/8	249/8	0.0625	17/32	17/32	Chord	3/4	2	1	1/64		1/64	1	220					1	1		
14	13	499/16	499/16	0.0625	35/64	35/64	Chord	3/4	2	1	1/64		1/64	1	221					1	1		
14	13	63/2	63/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	222			54		1	1		
14	13	127/4	127/4	0.0	11/16	11/16	Spanner	3/4	2	1	0												
14	13	127/4	127/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	223								
14	13	29	29	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	224								
15	14	32	32	0.125	0	0	Chord	3/4	1	1	1/32		1/32	1	225			55					
15	14	257/8	257/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32		1/32	1	226			55					
15	14	129/4	129/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32		1/32	1	227			55					
15	14	259/8	259/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32		1/32	1	228			55					
15	14	65/2	65/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	229			55					
15	14	261/8	261/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	230			55					
15	14	131/4	131/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	231			55					
15	14	263/8	263/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	232								
15	14	33	33	0.0	1/4	1/4	Spanner	3/4	1	1	0								0				
15	14	33	33	0.125	1/4	1/4	Chord	3/4	1	1	1/32		1/32	1	233			56	0				
15	14	265/8	265/8	0.125	9/32	9/32	Chord	3/4	1	1	1/32		1/32	1	234			56	0				
15	14	133/4	133/4	0.125	5/16	5/16	Chord	3/4	1	1	1/32		1/32	1	235			56	0				
15	14	267/8	267/8	0.125	11/32	11/32	Chord	3/4	1	1	1/32		1/32	1	236				0				
15	14	67/2	67/2	0.0	3/8	3/8	Spanner	3/4	1	1	0								0			5	
15	14	67/2	67/2	0.08333333333333333	3/8	3/8	Chord	3/4	1	1	1/48		1/32	2/3	237				0			5	
15	14	403/12	403/12	0.08333333333333333	19/48	19/48	Chord	3/4	1	1	1/48		1/32	2/3	238				0			5	
15	14	101/3	101/3	0.08333333333333333	5/12	5/12	Chord	3/4	1	1	1/48		1/32	2/3	239				0			5	
15	14	135/4	135/4	0.08333333333333333	7/16	7/16	Chord	3/4	1	1	1/48		1/32	2/3	240				0			5	
15	14	203/6	203/6	0.08333333333333333	11/24	11/24	Chord	3/4	1	1	1/48		1/32	2/3	241				0			5	
15	14	407/12	407/12	0.08333333333333333	23/48	23/48	Chord	3/4	1	1	1/48		1/32	2/3	242				0			5	
15	14	34	34	0.08333333333333333	1/2	1/2	Chord	3/4	1	1	1/48		1/32	2/3	243				0			5	
15	14	409/12	409/12	0.08333333333333333	25/48	25/48	Chord	3/4	1	1	1/48		1/32	2/3	244				0			5	
15	14	205/6	205/6	0.08333333333333333	13/24	13/24	Chord	3/4	1	1	1/48		1/32	2/3	245				0			5	
15	14	137/4	137/4	0.0	9/16	9/16	Spanner	3/4	1	1	0											5	
15	14	137/4	137/4	0.08333333333333333	9/16	9/16	Chord	3/4	1	1	1/48		1/32	2/3	246							5	
15	14	103/3	103/3	0.08333333333333333	7/12	7/12	Chord	3/4	1	1	1/48		1/32	2/3	247							5	
15	14	413/12	413/12	0.08333333333333333	29/48	29/48	Chord	3/4	1	1	1/48		1/32	2/3	248							5	
15	14	69/2	69/2	0.08333333333333333	5/8	5/8	Chord	3/4	1	1	1/48		1/32	2/3	249							5	
15	14	415/12	415/12	0.08333333333333333	31/48	31/48	Chord	3/4	1	1	1/48		1/32	2/3	250							5	
