mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_hairpin
5	4	25/2	25/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	19			articStaccatoBelow		
5	4	12	12	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	20				2	
5	4	25/2	25/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	21				2	
5	4	13	13	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	22					
6	5	27/2	27/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	23					
6	5	27/2	27/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	24			articStaccatoAbove		
6	5	29/2	29/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	25			articStaccatoAbove		
6	5	31/2	31/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	26			articStaccatoAbove		
7	6	33/2	33/2	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	27					
7	6	33/2	33/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	28			articStaccatoAbove		
7	6	35/2	35/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	29			articStaccatoAbove		
7	6	37/2	37/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	30			articStaccatoAbove		
8	7	39/2	39/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	31					
8	7	41/2	41/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	32					
8	7	43/2	43/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	33					
8	7	39/2	39/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	34			articStaccatoBelow		
8	7	41/2	41/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	35			articStaccatoBelow		
8	7	43/2	43/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	36			articStaccatoBelow		
9	8	45/2	45/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	37					
9	8	45/2	45/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	38					
9	8	24	24	0.0		3/8	3/8	Dynamic	3/4	2	1	0					p			
9	8	24	24	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	39				3	
9	8	49/2	49/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	40				3	
9	8	25	25	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	41					
10	9	27	27	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	42				4	
10	9	55/2	55/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	43				4	
10	9	28	28	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	44					
10	9	51/2	51/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	45			articStaccatoAbove		
10	9	53/2	53/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	46			articStaccatoAbove		
10	9	55/2	55/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	47			articStaccatoAbove		
11	10	57/2	57/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	48			articStaccatoAbove		
11	10	30	30	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	49	<			5	
11	10	61/2	61/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	50				5	
11	10	31	31	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	51					
11	10	57/2	57/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	52			articStaccatoBelow		
11	10	59/2	59/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	53			articStaccatoBelow		
11	10	61/2	61/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	54			articStaccatoBelow		
12	11	63/2	63/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	55			articStaccatoAbove		
12	11	33	33	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	56				6	
12	11	67/2	67/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	57				6	
12	11	34	34	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	58					
12	11	63/2	63/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	59			articStaccatoBelow		
12	11	65/2	65/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	60			articStaccatoBelow		
12	11	67/2	67/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	61			articStaccatoBelow		
13	12	69/2	69/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	62			articStaccatoAbove		
13	12	36	36	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	63				7	
13	12	73/2	73/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	64				7	
13	12	37	37	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	65					
13	12	69/2	69/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	66			articStaccatoAbove		
13	12	71/2	71/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	67			articStaccatoAbove		
13	12	73/2	73/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68			articStaccatoAbove		
14	13	75/2	75/2	0.0		0	0	Dynamic	3/4	1	1	0					f			
14	13	75/2	75/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	69			articStaccatoAbove		
14	13	39	39	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	70				8	
14	13	79/2	79/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	71				8	
14	13	40	40	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	72					
14	13	75/2	75/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	73			articStaccatoAbove		
14	13	77/2	77/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	74			articStaccatoAbove		
14	13	79/2	79/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	75			articStaccatoAbove		
15	14	81/2	81/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	76			articStaccatoAbove		
15	14	42	42	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	77				9	
15	14	85/2	85/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	78				9	
15	14	43	43	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	79					
15	14	81/2	81/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	80			articStaccatoBelow		
15	14	83/2	83/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	81			articStaccatoBelow		
15	14	85/2	85/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	82			articStaccatoBelow		
16	15	87/2	87/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	83					
16	15	89/2	89/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	84					
16	15	91/2	91/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	85					
16	15	87/2	87/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	86					
16	15	89/2	89/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	87					
16	15	91/2	91/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	88					
17	15	93/2	93/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	89					
17	15	93/2	93/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	90					
18	15	48	48	0.5		0	3/8	Chord	3/4	1	2	1/8	1/8	1	91				10	
18	15	97/2	97/2	0.5		1/8	1/2	Chord	3/4	1	2	1/8	1/8	1	92				10	
18	15	49	49	0.5		1/4	5/8	Chord	3/4	1	2	1/8	1/8	1	93					
18	15	48	48	0.0		0	3/8	Dynamic	3/4	2	1	0					p			
19	16	51	51	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	94				11	
19	16	103/2	103/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	95				11	
19	16	52	52	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	96					
19	16	99/2	99/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	97			articStaccatoBelow		
19	16	101/2	101/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	98			articStaccatoBelow		
19	16	103/2	103/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	99			articStaccatoBelow		
20	17	105/2	105/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	100			articStaccatoAbove		
20	17	54	54	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	101				12	
20	17	109/2	109/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	102				12	
20	17	55	55	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	103					
20	17	105/2	105/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	104			articStaccatoBelow		
20	17	107/2	107/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	105			articStaccatoBelow		
20	17	109/2	109/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	106			articStaccatoBelow		
21	18	111/2	111/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	107			articStaccatoAbove		
21	18	57	57	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	108				13	
21	18	115/2	115/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	109				13	
21	18	58	58	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	110					
21	18	111/2	111/2	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	111			articStaccatoBelow		
21	18	113/2	113/2	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	112			articStaccatoBelow		
21	18	115/2	115/2	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	113			articStaccatoBelow		
22	19	117/2	117/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	114			articStaccatoBelow		
22	19	60	60	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	115				14	
22	19	121/2	121/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	116				14	
22	19	61	61	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	117					
22	19	117/2	117/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	118			articStaccatoAbove		
22	19	119/2	119/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	119			articStaccatoAbove		
22	19	121/2	121/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	120			articStaccatoAbove		
23	20	123/2	123/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	121			articStaccatoAbove		
23	20	125/2	125/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	122			articStaccatoAbove		
23	20	127/2	127/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	123			articStaccatoAbove		
23	20	123/2	123/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	124			articStaccatoAbove		
23	20	63	63	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	125				15	
23	20	127/2	127/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	126				15	
23	20	64	64	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	127					
24	21	129/2	129/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	128			articStaccatoAbove		
24	21	131/2	131/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	129			articStaccatoAbove		
24	21	133/2	133/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	130			articStaccatoAbove		
24	21	129/2	129/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	131			articStaccatoAbove		
24	21	66	66	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	132				16	
24	21	133/2	133/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	133				16	
24	21	67	67	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	134					
25	22	135/2	135/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	135			articStaccatoAbove		
25	22	137/2	137/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	136			articStaccatoAbove		
25	22	139/2	139/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	137			articStaccatoAbove		
25	22	135/2	135/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	138			articStaccatoAbove		
25	22	69	69	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	139				17	
25	22	139/2	139/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	140				17	
25	22	70	70	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	141					
26	23	141/2	141/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	142			articStaccatoAbove		
26	23	143/2	143/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	143			articStaccatoAbove		
26	23	145/2	145/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	144			articStaccatoAbove		
26	23	141/2	141/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	145			articStaccatoAbove		
26	23	72	72	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	146				18	
26	23	145/2	145/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	147				18	
26	23	73	73	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	148					
27	24	147/2	147/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	149			articStaccatoAbove		
27	24	149/2	149/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	150			articStaccatoAbove		
27	24	151/2	151/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	151			articStaccatoAbove		
27	24	147/2	147/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	152			articStaccatoAbove		
27	24	75	75	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	153				19	
27	24	151/2	151/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	154				19	
27	24	76	76	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	155					
28	25	153/2	153/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	156			articStaccatoAbove		
28	25	155/2	155/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	157			articStaccatoAbove		
28	25	157/2	157/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	158			articStaccatoAbove		
28	25	153/2	153/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	159			articStaccatoAbove		
28	25	78	78	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	160				20	
28	25	157/2	157/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	161				20	
28	25	79	79	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	162					
29	26	159/2	159/2	0.0		0	0	Dynamic	3/4	1	1	0					f			
29	26	159/2	159/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	163			articStaccatoBelow		
29	26	161/2	161/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	164			articStaccatoBelow		
29	26	163/2	163/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	165			articStaccatoBelow		
29	26	159/2	159/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	166			articStaccatoAbove		
29	26	161/2	161/2	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	167			articStaccatoAbove		
29	26	163/2	163/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	168			articStaccatoAbove		
30	27	165/2	165/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	169					
30	27	169/2	169/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p			
30	27	84	84	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	170				21	
30	27	169/2	169/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	171				21	
30	27	85	85	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	172					
30	27	165/2	165/2	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	173					
30	27	84	84	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	174				22	
30	27	169/2	169/2	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	175				22	
30	27	85	85	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	176					
31	28	175/2	175/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
31	28	175/2	175/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	177			articStaccatoAbove		
31	28	171/2	171/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	178				23	
31	28	173/2	173/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	179					
31	28	175/2	175/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	180			articStaccatoAbove		
31	28	171/2	171/2	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	181				24	
31	28	173/2	173/2	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	182					
32	29	177/2	177/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	183				25	
32	29	179/2	179/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	184					
32	29	177/2	177/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	185				26	
32	29	179/2	179/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	186					
32	29	90	90	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	187				27	
32	29	181/2	181/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	188				27	
32	29	91	91	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	189					
32	29	90	90	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	190				28	
32	29	181/2	181/2	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	191				28	
32	29	91	91	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	192					
33	30	187/2	187/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
33	30	187/2	187/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	193			articStaccatoAbove		
33	30	183/2	183/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	194			articStaccatoAbove		
33	30	185/2	185/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	195					
33	30	187/2	187/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	196			articStaccatoAbove		
33	30	183/2	183/2	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	197			articStaccatoBelow		
33	30	185/2	185/2	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	198					
34	31	189/2	189/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	199				29	
34	31	191/2	191/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	200					
34	31	189/2	189/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	201				30	
34	31	191/2	191/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	202					
34	31	96	96	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	203				31	
34	31	193/2	193/2	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	204				31	
34	31	97	97	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	205					
34	31	96	96	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	206				32	
34	31	193/2	193/2	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	207				32	
34	31	97	97	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	208					
35	32	199/2	199/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	209			articStaccatoAbove		
35	32	195/2	195/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	210				33	
35	32	197/2	197/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	211					
35	32	199/2	199/2	0.0		1/2	1/2	Dynamic	3/4	2	1	0					sf			
35	32	199/2	199/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	212			articStaccatoBelow		
35	32	195/2	195/2	1.0		0	0	Chord	3/4	2	2	1/4	1/4	1	213				34	
35	32	197/2	197/2	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	214					
36	33	201/2	201/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	215				35	
36	33	203/2	203/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	216					
36	33	205/2	205/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
36	33	205/2	205/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	217			articStaccatoAbove		
36	33	201/2	201/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	218				36	
36	33	203/2	203/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	219					
36	33	205/2	205/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	220			articStaccatoAbove		
37	34	207/2	207/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	221				37	
37	34	209/2	209/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	222					
37	34	211/2	211/2	0.0		1/2	1/2	Dynamic	3/4	1	1	0					sf			
37	34	211/2	211/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	223			articStaccatoAbove		
37	34	207/2	207/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	224				38	
37	34	209/2	209/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	225					
37	34	211/2	211/2	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	226			articStaccatoAbove		
38	35	213/2	213/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	227				39	
38	35	215/2	215/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	228					
38	35	108	108	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	229				40	
38	35	217/2	217/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	230				40	
38	35	109	109	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	231					
38	35	213/2	213/2	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	232				41	
38	35	215/2	215/2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	233					
39	36	219/2	219/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	234				42	
39	36	221/2	221/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	235					
39	36	111	111	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	236				43	
39	36	223/2	223/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	237				43	
39	36	112	112	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	238					
40	37	225/2	225/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	239				44	
40	37	227/2	227/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	240					
40	37	114	114	0.0		3/8	3/8	Dynamic	3/4	1	1	0					pp			
40	37	114	114	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	241				45	
40	37	229/2	229/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	242				45	
40	37	115	115	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	243					
41	38	231/2	231/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	244				46	
41	38	233/2	233/2	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	245					
41	38	117	117	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	246				47	
41	38	235/2	235/2	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	247				47	
41	38	118	118	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	248					
42	39	237/2	237/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	249			articStaccatoAbove		
42	39	239/2	239/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	250			articStaccatoAbove		
42	39	241/2	241/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	251			articStaccatoAbove		
43	40	243/2	243/2	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	252			articStaccatoBelow		
43	40	245/2	245/2	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	253			articStaccatoAbove		
43	40	247/2	247/2	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	254			articStaccatoAbove		
43	40	123	123	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	255				48	
43	40	247/2	247/2	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	256				48	
