mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
5	4	21/4	21/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	45								
5	4	11/2	11/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	46								
6	5	27/4	27/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	47			articStaccatoAbove					
6	5	15/2	15/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	48				5				
6	5	31/4	31/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	49				5				
6	5	8	8	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	50				5				
6	5	27/4	27/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	51								
6	5	7	7	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	52								
6	5	29/4	29/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	53								
6	5	15/2	15/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	54								
6	5	31/4	31/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	55								
6	5	27/4	27/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	56								
6	5	7	7	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	57								
7	6	33/4	33/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	58			articStaccatoAbove					
7	6	9	9	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	59				6				
7	6	37/4	37/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	60				6				
7	6	19/2	19/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	61				6				
7	6	33/4	33/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	62								
7	6	17/2	17/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	63								
7	6	35/4	35/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	64								
7	6	9	9	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	65								
7	6	37/4	37/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	66								
7	6	33/4	33/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	67								
7	6	17/2	17/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	68								
8	7	39/4	39/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	69			articStaccatoAbove					
8	7	21/2	21/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	70				7				
8	7	43/4	43/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	71				7				
8	7	11	11	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	72				7				
8	7	39/4	39/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	73								
8	7	10	10	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	74								
8	7	41/4	41/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	75								
8	7	21/2	21/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	76								
8	7	43/4	43/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	77								
8	7	39/4	39/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	78								
8	7	10	10	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	79								
9	8	45/4	45/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	80			articStaccatoAbove					
9	8	12	12	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	81				8				
9	8	49/4	49/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	82				8				
9	8	25/2	25/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	83				8				
9	8	45/4	45/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	84								
9	8	23/2	23/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	85								
9	8	47/4	47/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	86								
9	8	12	12	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	87								
9	8	49/4	49/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	88								
9	8	45/4	45/4	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	89								
9	8	23/2	23/2	0.75	1/16	1/16	Chord	3/8	2	2	3/16	1/8	3/2	90								
10	9	51/4	51/4	0.0	0	0	Spanner	3/8	1	1	0										0	
10	9	51/4	51/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	91			articStaccatoAbove				0	
10	9	53/4	53/4	0.0	1/8	1/8	Spanner	3/8	1	1	0											
10	9	27/2	27/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	92				9				
10	9	55/4	55/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	93				9				
10	9	14	14	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	94				9				
10	9	51/4	51/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	95				10				
10	9	13	13	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	96				10				
10	9	53/4	53/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	97								
10	9	51/4	51/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	98								
11	10	57/4	57/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	99			articStaccatoAbove					
11	10	15	15	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	100				11				
11	10	61/4	61/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	101				11				
11	10	31/2	31/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	102				11				
11	10	57/4	57/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	103				12				
11	10	29/2	29/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	104				12				
11	10	59/4	59/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	105								
11	10	57/4	57/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	106								
12	11	63/4	63/4	0.0	0	0	Spanner	3/8	1	1	0									0		
12	11	63/4	63/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	107			articStaccatoAbove			0		
12	11	65/4	65/4	0.0	1/8	1/8	Spanner	3/8	1	1	0											
12	11	33/2	33/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	108				13				
12	11	67/4	67/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	109				13				
12	11	17	17	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	110				13				
12	11	63/4	63/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	111				14				
12	11	16	16	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	112				14				
12	11	65/4	65/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	113								
12	11	63/4	63/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	114								
13	12	69/4	69/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	115			articStaccatoAbove					
13	12	18	18	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	116				15				
13	12	73/4	73/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	117				15				
13	12	37/2	37/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	118				15				
13	12	69/4	69/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	119				16				
13	12	35/2	35/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	120				16				
13	12	71/4	71/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	121								
13	12	69/4	69/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	122								
14	13	75/4	75/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
14	13	75/4	75/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	123	p		articStaccatoAbove					
14	13	39/2	39/2	0.0	3/16	3/16	Spanner	3/8	1	1	0										1	
14	13	39/2	39/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	124				17			1	
14	13	79/4	79/4	0.0	1/4	1/4	Spanner	3/8	1	1	0							17				
14	13	79/4	79/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	125				17				
14	13	20	20	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	126				17				
14	13	75/4	75/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	127				18				
14	13	19	19	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	128				18				
14	13	77/4	77/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	129								
14	13	75/4	75/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	130								
15	14	81/4	81/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	131			articStaccatoAbove					
15	14	21	21	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	132				19				
15	14	85/4	85/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	133				19				
15	14	43/2	43/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	134				19				
15	14	81/4	81/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	135								
15	14	41/2	41/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	136								
15	14	83/4	83/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	137								
15	14	21	21	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	138								
15	14	85/4	85/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	139								
15	14	81/4	81/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	140								
15	14	41/2	41/2	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	141								
15	14	83/4	83/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	142								
16	15	87/4	87/4	0.0	0	0	Dynamic	3/8	1	1	0					f						
16	15	87/4	87/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	143	f		articStaccatoAbove					
16	15	91/4	91/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	144								
16	15	23	23	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	145								
16	15	87/4	87/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	146								
16	15	22	22	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	147								
16	15	89/4	89/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	148								
16	15	45/2	45/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	149								
16	15	91/4	91/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	150								
17	16	93/4	93/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	151								
17	16	47/2	47/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	152								
17	16	95/4	95/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	153								
17	16	24	24	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	154								
17	16	97/4	97/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	155								
17	16	49/2	49/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	156								
18	17	99/4	99/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
18	17	99/4	99/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	157	p		articStaccatoAbove					
18	17	101/4	101/4	0.0	1/8	1/8	Spanner	3/8	1	1	0										2	
18	17	51/2	51/2	0.0	3/16	3/16	Spanner	3/8	1	1	0											
18	17	51/2	51/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	158				20				
18	17	103/4	103/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	159				20				
18	17	26	26	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	160				20				
18	17	99/4	99/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	161				21				
18	17	25	25	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	162				21				
18	17	101/4	101/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	163								
18	17	99/4	99/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	164								
19	18	105/4	105/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	165			articStaccatoAbove					
19	18	27	27	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	166				22				
19	18	109/4	109/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	167				22				
19	18	55/2	55/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	168	>			22				
19	18	105/4	105/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	169				23				
19	18	53/2	53/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	170				23				
19	18	107/4	107/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	171								
19	18	105/4	105/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	172								
20	19	111/4	111/4	0.0	0	0	Spanner	3/8	1	1	0									1		
20	19	111/4	111/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	173			articStaccatoAbove			1		
20	19	113/4	113/4	0.0	1/8	1/8	Spanner	3/8	1	1	0											
20	19	57/2	57/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	174				24				
20	19	115/4	115/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	175				24				
20	19	29	29	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	176				24				
20	19	111/4	111/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	177				25				
20	19	28	28	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	178				25				
20	19	113/4	113/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	179								
20	19	111/4	111/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	180								
21	20	117/4	117/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	181			articStaccatoAbove					
21	20	30	30	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	182				26				
21	20	121/4	121/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	183				26				
21	20	61/2	61/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	184				26				
21	20	117/4	117/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	185				27				
21	20	59/2	59/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	186				27				
21	20	119/4	119/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	187								
21	20	117/4	117/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	188								
22	21	123/4	123/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
22	21	123/4	123/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	189	p		articStaccatoAbove					
22	21	63/2	63/2	0.0	3/16	3/16	Spanner	3/8	1	1	0										3	
22	21	63/2	63/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	190				28			3	
22	21	127/4	127/4	0.0	1/4	1/4	Spanner	3/8	1	1	0							28				
22	21	127/4	127/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	191				28				
22	21	32	32	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	192				28				
22	21	123/4	123/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	193				29				
22	21	31	31	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	194				29				
22	21	125/4	125/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	195								
22	21	123/4	123/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	196								
23	22	129/4	129/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	197			articStaccatoAbove					
23	22	33	33	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	198				30				
23	22	133/4	133/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	199				30				
23	22	67/2	67/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	200				30				
23	22	129/4	129/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	201								
23	22	65/2	65/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	202								
23	22	131/4	131/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	203								
23	22	33	33	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	204								
23	22	133/4	133/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	205								
23	22	129/4	129/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	206								
23	22	65/2	65/2	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	207								
23	22	131/4	131/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	208								
24	23	135/4	135/4	0.0	0	0	Dynamic	3/8	1	1	0					f						
24	23	135/4	135/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	209	f		articStaccatoAbove					
24	23	273/8	273/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32	1/32	1	210								
24	23	137/4	137/4	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf						
24	23	137/4	137/4	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	211				31				
24	23	135/4	135/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	212								
24	23	34	34	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	213								
24	23	137/4	137/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	214								
24	23	69/2	69/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	215								
25	24	141/4	141/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	216	>			31				
25	24	71/2	71/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	217				31				
25	24	143/4	143/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	218				31				
25	24	36	36	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	219				31				
25	24	145/4	145/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	220				31				
25	24	73/2	73/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	221				31				
26	25	147/4	147/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
26	25	147/4	147/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	222	p		articStaccatoAbove					
26	25	149/4	149/4	0.0	1/8	1/8	Spanner	3/8	1	1	0										4	
26	25	75/2	75/2	0.0	3/16	3/16	Spanner	3/8	1	1	0											
26	25	75/2	75/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	223				32				
26	25	151/4	151/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	224				32				
26	25	38	38	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	225				32				
26	25	147/4	147/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	226				33				
26	25	37	37	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	227				33				
26	25	149/4	149/4	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	228								
26	25	147/4	147/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	229								
27	26	153/4	153/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	230			articStaccatoAbove					
27	26	39	39	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	231				34				
27	26	157/4	157/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	232				34				
27	26	79/2	79/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	233				34				
27	26	153/4	153/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	234								
27	26	77/2	77/2	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	235								
27	26	155/4	155/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	236								
27	26	39	39	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	237								
27	26	157/4	157/4	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	238								
27	26	153/4	153/4	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	239								
27	26	77/2	77/2	0.75	1/16	1/16	Chord	3/8	2	3	3/16	1/8	3/2	240								
27	26	155/4	155/4	0.5	1/8	1/8	Chord	3/8	2	4	1/8	1/8	1	241								
28	27	159/4	159/4	0.0	0	0	Dynamic	3/8	1	1	0					f						
28	27	159/4	159/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	242	f		articStaccatoAbove					
28	27	321/8	321/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32	1/32	1	243								
28	27	161/4	161/4	0.0	1/8	1/8	Dynamic	3/8	1	1	0					sf						
28	27	161/4	161/4	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	244				35				
28	27	159/4	159/4	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	245								
28	27	40	40	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	246								
28	27	161/4	161/4	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	247								
28	27	81/2	81/2	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	248								
29	28	165/4	165/4	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	249	>			35				
29	28	83/2	83/2	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	250				35				
29	28	167/4	167/4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	251				35				
29	28	42	42	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	252				35				
29	28	169/4	169/4	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	253				35				
29	28	85/2	85/2	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	254				35				
30	29	171/4	171/4	0.0	0	0	Dynamic	3/8	1	1	0					p						
30	29	171/4	171/4	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	255	p		articStaccatoAbove					
30	29	173/4	173/4	0.0	1/8	1/8	Spanner	3/8	1	1	0										5	
30	29	87/2	87/2	0.0	3/16	3/16	Spanner	3/8	1	1	0											
30	29	87/2	87/2	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	256				36				
