mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_line	crescendo_hairpin
31	30	118	118	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	254													
31	30	237/2	237/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	255													
31	30	119	119	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	256													
31	30	239/2	239/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	257													
31	30	120	120	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	258													
31	30	241/2	241/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	259													
32	31	121	121	0.0	0	0	Spanner	2/2	1	1	0																	
32	31	121	121	0.0	0	0	Spanner	2/2	1	1	0																	6
32	31	243/2	243/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	260									30				6
32	31	122	122	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	261									30				6
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	262													6
32	31	247/2	247/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	263									31				6
32	31	124	124	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	264									31				6
32	31	249/2	249/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	265													6
32	31	121	121	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	266													
32	31	243/2	243/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	267													
32	31	122	122	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	268													
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	269													
32	31	123	123	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	270													
32	31	247/2	247/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	271													
32	31	124	124	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	272													
32	31	249/2	249/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	273													
33	32	251/2	251/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	274									32				6
33	32	126	126	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	275									32				6
33	32	253/2	253/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	276													6
33	32	255/2	255/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	277									33				6
33	32	128	128	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	278									33				6
33	32	257/2	257/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	279													6
33	32	125	125	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	280													
33	32	251/2	251/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	281													
33	32	126	126	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	282													
33	32	253/2	253/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	283													
33	32	127	127	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	284													
33	32	255/2	255/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	285													
33	32	128	128	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	286													
33	32	257/2	257/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	287													
34	33	129	129	0.0	0	0	Dynamic	2/2	1	1	0						f											
34	33	129	129	0.0	0	0	Spanner	2/2	1	1	0																	
34	33	259/2	259/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	288									34				
34	33	130	130	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	289									34				
34	33	261/2	261/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	290									34				
34	33	131	131	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	291									34				
34	33	263/2	263/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	292									34				
34	33	132	132	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	293									34				
34	33	265/2	265/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	294									34				
34	33	129	129	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	295													
34	33	130	130	0.0	1/4	1/4	Dynamic	2/2	2	1	0						sf											
34	33	130	130	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	296													
34	33	132	132	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	297													
35	34	133	133	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	298									34				
35	34	267/2	267/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	299									34				
35	34	134	134	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	300									34				
35	34	269/2	269/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	301									34				
35	34	135	135	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	302									34				
35	34	271/2	271/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	303									34				
35	34	136	136	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	304									34				
35	34	273/2	273/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	305									34				
35	34	133	133	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	306													
35	34	134	134	0.0	1/4	1/4	Dynamic	2/2	2	1	0						sf											
35	34	134	134	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	307													
35	34	136	136	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	308													
36	35	137	137	0.0	0	0	Dynamic	2/2	1	1	0						p							34				
36	35	137	137	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	309									34				
36	35	275/2	275/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	310									34				
36	35	138	138	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	311									34				
36	35	277/2	277/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	312									34				
36	35	139	139	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	313									34				
36	35	279/2	279/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	314									34				
36	35	140	140	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	315									34				
36	35	281/2	281/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	316									34				
36	35	137	137	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	317													
36	35	138	138	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	318													
36	35	140	140	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	319													
37	36	141	141	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	320									34				
37	36	283/2	283/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	321									34				
37	36	142	142	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	322									34				
37	36	285/2	285/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	323									34				
37	36	143	143	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	324									34				
37	36	287/2	287/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	325									34				
37	36	144	144	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	326									34				
37	36	289/2	289/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	327													
37	36	141	141	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	328									35				
37	36	142	142	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	329									35				
37	36	143	143	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	330									35				
37	36	144	144	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	331													
38	37	145	145	0.0	0	0	Dynamic	2/2	1	1	0						f											
38	37	291/2	291/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	332									36				
38	37	146	146	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	333									36				
38	37	293/2	293/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	334									36				
38	37	147	147	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	335									36				
38	37	295/2	295/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	336									36				
38	37	148	148	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	337									36				
38	37	297/2	297/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	338									36				
38	37	145	145	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	339													
38	37	146	146	0.0	1/4	1/4	Dynamic	2/2	2	1	0						sf											
38	37	146	146	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	340													
38	37	148	148	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	341													
39	38	149	149	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	342									36				
39	38	299/2	299/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	343									36				
39	38	150	150	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	344									36				
39	38	301/2	301/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	345									36				
39	38	151	151	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	346									36				
39	38	303/2	303/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	347									36				
39	38	152	152	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	348									36				
39	38	305/2	305/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	349									36				
39	38	149	149	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	350													
39	38	150	150	0.0	1/4	1/4	Dynamic	2/2	2	1	0						sf											
39	38	150	150	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	351													
39	38	152	152	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	352													
40	39	153	153	0.0	0	0	Dynamic	2/2	1	1	0						p							36				
40	39	153	153	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	353									36				
40	39	307/2	307/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	354									36				
40	39	154	154	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	355									36				
40	39	309/2	309/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	356									36				
40	39	155	155	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	357									36				
40	39	311/2	311/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	358									36				
40	39	156	156	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	359									36				
40	39	313/2	313/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	360									36				
40	39	153	153	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	361													
40	39	154	154	0.0	1/4	1/4	Dynamic	2/2	2	1	0						sf											
40	39	154	154	2.0	1/4	1/4	Chord	2/2	2	1	1/2		1/2	1	362													
40	39	156	156	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	363													
41	40	157	157	0.5	0	0	Chord	2/2	1	1	1/8		1/8	1	364									36				
41	40	315/2	315/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	365									36				
41	40	158	158	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	366									36				
41	40	317/2	317/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	367									36				
41	40	159	159	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	368									36				
41	40	319/2	319/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	369									36				
41	40	160	160	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	370									36				
41	40	321/2	321/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	371									36				
41	40	157	157	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	372									37				
41	40	158	158	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	373									37				
41	40	159	159	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	374									37				
41	40	160	160	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	375													
42	41	161	161	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	376													
42	41	163	163	0.0	1/2	1/2	Chord	2/2	1	1	0	acciaccatura	1/8	1	377													
42	41	163	163	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	378									38				
42	41	329/2	329/2	0.0	7/8	7/8	Dynamic	2/2	1	1	0						other-dynamics											
42	41	329/2	329/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	379													
42	41	161	161	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	380													
42	41	162	162	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	381													
42	41	164	164	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	382			articStaccatoAbove										
43	42	165	165	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	383													
43	42	167	167	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	384									39				
43	42	337/2	337/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	385													
43	42	166	166	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	386			articStaccatoAbove										
43	42	168	168	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	387			articStaccatoAbove										
44	43	169	169	0.0	0	0	Dynamic	2/2	1	1	0						sf											
44	43	169	169	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	388									40				
44	43	170	170	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	389													
44	43	171	171	0.0	1/2	1/2	Chord	2/2	1	1	0	acciaccatura	1/8	1	390													
44	43	171	171	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	391									41				
44	43	345/2	345/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	392													
44	43	170	170	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	393			articStaccatoAbove										
44	43	172	172	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	394			articStaccatoAbove										
45	44	173	173	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	395													
45	44	175	175	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	396									42				
45	44	353/2	353/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	397													
45	44	174	174	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	398			articStaccatoAbove										
45	44	176	176	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	399			articStaccatoAbove										
46	45	177	177	0.0	0	0	Dynamic	2/2	1	1	0						other-dynamics											
46	45	177	177	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	400									43				
46	45	178	178	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	401													
46	45	179	179	0.0	1/2	1/2	Chord	2/2	1	1	0	acciaccatura	1/8	1	402													
46	45	179	179	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	403									44				
46	45	361/2	361/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	404													
46	45	178	178	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	405			articStaccatoAbove										
46	45	180	180	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	406			articStaccatoBelow										
47	46	181	181	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	407													
47	46	183	183	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	408									45				
47	46	369/2	369/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	409													
47	46	182	182	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	410			articStaccatoBelow										
47	46	184	184	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	411			articStaccatoBelow										
48	47	185	185	0.0	0	0	Dynamic	2/2	1	1	0						ff											
48	47	185	185	0.0	0	0	Spanner	2/2	1	1	0														7			
48	47	185	185	4.0	0	0	Chord	2/2	1	1	1		1	1	412										7			
48	47	185	185	4.0	0	0	Chord	2/2	2	1	1		1	1	413													
49	48	189	189	0.0	0	0	Dynamic	2/2	1	1	0						p								7			
49	48	189	189	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	414										7			
49	48	190	190	0.0	1/4	1/4	Spanner	2/2	1	1	0																	
49	48	189	189	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	415													
50	48	192	192	0.0	0	3/4	Dynamic	2/2	1	1	0						p											
50	48	192	192	1.0	0	3/4	Chord	2/2	1	1	1/4		1/4	1	416			articStaccatoBelow										
51	49	193	193	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	417			articStaccatoAbove										
51	49	194	194	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	418			articStaccatoAbove										
51	49	195	195	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	419			articStaccatoAbove										
51	49	196	196	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	420			articStaccatoAbove										
52	50	197	197	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	421									46				
52	50	397/2	397/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	422									46				
52	50	596/3	596/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	423									46				
52	50	1193/6	1193/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	424									46				
52	50	199	199	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	425			articStaccatoAbove										
52	50	198	198	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	426													
52	50	199	199	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	427													
52	50	200	200	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	428													
53	51	201	201	0.0	0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	429													
53	51	201	201	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	430									47				
53	51	405/2	405/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	431									47				
53	51	608/3	608/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	432									47				
53	51	1217/6	1217/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	433									47				
53	51	203	203	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	434			articStaccatoAbove										
53	51	202	202	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	435													
53	51	203	203	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	436													
53	51	204	204	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	437													
54	52	205	205	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	438			articStaccatoAbove										
54	52	206	206	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	439			articStaccatoAbove										
54	52	207	207	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	440			articStaccatoAbove										
54	52	208	208	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	441			articStaccatoAbove										
55	53	209	209	0.0	0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	442													
55	53	209	209	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	443									48				
55	53	421/2	421/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	444									48				
55	53	632/3	632/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	445									48				
55	53	1265/6	1265/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	446									48				
55	53	211	211	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	447			articStaccatoAbove										
55	53	210	210	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	448													
55	53	211	211	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	449													
55	53	212	212	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	450													
56	54	213	213	0.0	0	0	Spanner	2/2	1	1	0																	7
56	54	213	213	0.0	0	0	Chord	2/2	1	1	0	acciaccatura	1/8	1	451													7
56	54	213	213	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	452									49				7
56	54	429/2	429/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24		1/16	2/3	453									49				7
56	54	644/3	644/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24		1/16	2/3	454									49				7
56	54	1289/6	1289/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24		1/16	2/3	455									49				7
56	54	215	215	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	456			articStaccatoAbove										7
56	54	214	214	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	457													
56	54	215	215	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	458													
56	54	216	216	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	459													
57	55	217	217	0.0	0	0	Dynamic	2/2	1	1	0						fp											
57	55	217	217	0.0	0	0	Spanner	2/2	1	1	0																	
57	55	217	217	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	460													
57	55	220	220	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	461									50				
57	55	217	217	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	462													
57	55	435/2	435/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	463													
57	55	218	218	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	464													
57	55	437/2	437/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	465													
57	55	219	219	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	466													
57	55	439/2	439/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	467													
57	55	220	220	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	468													
57	55	441/2	441/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	469													
58	56	221	221	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	470									50				
58	56	222	222	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	471									50				
58	56	223	223	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	472									50				
58	56	224	224	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	473													
58	56	221	221	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	474													
58	56	443/2	443/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	475													
58	56	222	222	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	476													
58	56	445/2	445/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	477													
58	56	223	223	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	478													
58	56	447/2	447/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	479													
58	56	224	224	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	480													
58	56	449/2	449/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	481													
59	57	225	225	0.0	0	0	Dynamic	2/2	1	1	0						sf											
59	57	225	225	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	482									51				
59	57	453/2	453/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	483									51				
59	57	227	227	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	484			articStaccatoAbove										
59	57	228	228	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	485									52				
59	57	225	225	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	486									53				
59	57	227	227	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	487													
59	57	225	225	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	488													
59	57	226	226	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	489													
59	57	227	227	0.5	1/2	1/2	Chord	2/2	2	2	1/8		1/8	1	490													
59	57	455/2	455/2	0.5	5/8	5/8	Chord	2/2	2	2	1/8		1/8	1	491													
59	57	228	228	0.5	3/4	3/4	Chord	2/2	2	2	1/8		1/8	1	492													
59	57	457/2	457/2	0.5	7/8	7/8	Chord	2/2	2	2	1/8		1/8	1	493													
60	58	229	229	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	494									52				
60	58	230	230	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	495									52				
60	58	231	231	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	496									52				
60	58	232	232	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	497													
60	58	229	229	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	498													
60	58	459/2	459/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	499													
60	58	230	230	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	500													
60	58	461/2	461/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	501													
60	58	231	231	0.5	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	502													
60	58	463/2	463/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	503													
60	58	232	232	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	504													
60	58	465/2	465/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	505													
61	59	233	233	0.0	0	0	Dynamic	2/2	1	1	0						sf											
61	59	233	233	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	506									54				
61	59	469/2	469/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	507									54				
61	59	235	235	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	508			articStaccatoAbove										
61	59	236	236	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	509									55				
61	59	233	233	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	510									56				
61	59	235	235	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	511													
61	59	233	233	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	512													
61	59	234	234	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	513													
61	59	235	235	0.5	1/2	1/2	Chord	2/2	2	2	1/8		1/8	1	514													
61	59	471/2	471/2	0.5	5/8	5/8	Chord	2/2	2	2	1/8		1/8	1	515													
61	59	236	236	0.5	3/4	3/4	Chord	2/2	2	2	1/8		1/8	1	516													
61	59	473/2	473/2	0.5	7/8	7/8	Chord	2/2	2	2	1/8		1/8	1	517													
62	60	237	237	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	518									55				
62	60	238	238	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	519									55				
62	60	239	239	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	520									55				
62	60	240	240	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	521													
62	60	237	237	0.5	0	0	Chord	2/2	2	1	1/8		1/8	1	522													
