mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
14	13	49/2	49/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	55												
14	13	99/4	99/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	56												
14	13	25	25	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	57												
14	13	101/4	101/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	58												
14	13	51/2	51/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	59												
14	13	103/4	103/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	60												
14	13	26	26	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	61												
14	13	97/4	97/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	62												
14	13	49/2	49/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	63												
14	13	99/4	99/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	64												
14	13	25	25	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	65												
14	13	101/4	101/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	66												
14	13	51/2	51/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	67												
14	13	103/4	103/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	68												
14	13	26	26	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	69												
15	14	105/4	105/4	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	70												
15	14	28	28	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	71												
15	14	105/4	105/4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	72												
15	14	109/4	109/4	0.0	1/4	1/4	Dynamic	2/4	2	1	0					p										
16	15	113/4	113/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	73												
16	15	29	29	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	74												
16	15	117/4	117/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	75												
16	15	30	30	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	76												
16	15	113/4	113/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	77			articStaccatoBelow									
16	15	117/4	117/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	78			articStaccatoBelow									
17	16	121/4	121/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	79												
17	16	32	32	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	80												
17	16	121/4	121/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	81			articStaccatoBelow									
17	16	125/4	125/4	0.0	1/4	1/4	Dynamic	2/4	2	1	0					f										
18	17	129/4	129/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	82												
18	17	33	33	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	83												
18	17	133/4	133/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	84												
18	17	34	34	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	85												
18	17	129/4	129/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	86			articStaccatoBelow									
18	17	133/4	133/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	87			articStaccatoBelow									
19	18	137/4	137/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	88												
19	18	36	36	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	89	f											
19	18	137/4	137/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	90			articStaccatoBelow									
19	18	141/4	141/4	0.0	1/4	1/4	Dynamic	2/4	2	1	0					f										
20	19	145/4	145/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	91												
20	19	37	37	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	92												
20	19	149/4	149/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	93												
20	19	38	38	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	94												
20	19	145/4	145/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	95			articStaccatoBelow									
20	19	149/4	149/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	96			articStaccatoBelow									
21	20	153/4	153/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	97												
21	20	153/4	153/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	98			articStaccatoBelow									
22	21	161/4	161/4	0.0	0	0	Dynamic	2/4	1	1	0					p										
22	21	161/4	161/4	0.0	0	0	Dynamic	2/4	1	1	0					f										
22	21	161/4	161/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	99			articStaccatoBelow									
22	21	165/4	165/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	100			articStaccatoBelow									
22	21	161/4	161/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	101			articStaccatoBelow									
22	21	165/4	165/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	102			articStaccatoBelow									
23	22	169/4	169/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	103			articStaccatoBelow									
23	22	44	44	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	104												
23	22	169/4	169/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	105			articStaccatoBelow									
23	22	173/4	173/4	0.0	1/4	1/4	Dynamic	2/4	2	1	0					f										
24	23	177/4	177/4	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	106												
24	23	45	45	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	107												
24	23	181/4	181/4	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	108												
24	23	46	46	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	109												
24	23	177/4	177/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	110			articStaccatoAbove									
24	23	181/4	181/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	111			articStaccatoAbove									
25	24	185/4	185/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	112												
25	24	185/4	185/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	113			articStaccatoAbove									
26	25	193/4	193/4	0.0	0	0	Dynamic	2/4	1	1	0					p										
26	25	193/4	193/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	114			articStaccatoAbove									
26	25	197/4	197/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	115			articStaccatoAbove									
26	25	193/4	193/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	116			articStaccatoAbove									
26	25	197/4	197/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	117			articStaccatoBelow									
27	26	201/4	201/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	118			articStaccatoAbove									
27	26	201/4	201/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	119			articStaccatoAbove									
28	27	209/4	209/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	120			articStaccatoAbove									
28	27	213/4	213/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	121			articStaccatoAbove									
28	27	209/4	209/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	122			articStaccatoAbove									
28	27	213/4	213/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	123			articStaccatoBelow									
29	28	217/4	217/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	124			articStaccatoAbove									
29	28	217/4	217/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	125			articStaccatoAbove									
30	29	225/4	225/4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	126			articStaccatoAbove									
30	29	229/4	229/4	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	127			articStaccatoAbove									
30	29	225/4	225/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	128			articStaccatoAbove									
30	29	229/4	229/4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	129			articStaccatoBelow									
31	30	233/4	233/4	0.0	0	0	Spanner	2/4	1	1	0															0
31	30	233/4	233/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	130	<											0
31	30	117/2	117/2	0.0	1/16	1/16	Spanner	2/4	1	1	0															
31	30	117/2	117/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	131												
31	30	235/4	235/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	132												
31	30	59	59	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	133												
31	30	237/4	237/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	134												
31	30	119/2	119/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	135												
31	30	239/4	239/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	136												
31	30	60	60	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	137												
31	30	233/4	233/4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	138												
32	31	241/4	241/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	139												
32	31	121/2	121/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	140												
32	31	243/4	243/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	141												
32	31	61	61	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	142												
32	31	245/4	245/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	143												
32	31	123/2	123/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	144												
32	31	247/4	247/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	145												
32	31	62	62	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	146												
32	31	241/4	241/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	147												
32	31	121/2	121/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	148												
32	31	243/4	243/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	149												
32	31	61	61	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	150												
32	31	245/4	245/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	151												
32	31	123/2	123/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	152												
32	31	247/4	247/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	153												
32	31	62	62	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	154												
33	32	249/4	249/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	155												
33	32	125/2	125/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	156												
33	32	251/4	251/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	157												
33	32	63	63	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	158												
33	32	253/4	253/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	159												
33	32	127/2	127/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	160												
33	32	255/4	255/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	161												
33	32	64	64	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	162												
33	32	249/4	249/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	163												
33	32	125/2	125/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	164												
33	32	251/4	251/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	165												
33	32	63	63	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	166												
33	32	253/4	253/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	167												
33	32	127/2	127/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	168												
33	32	255/4	255/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	169												
33	32	64	64	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	170												
34	33	257/4	257/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	171												
34	33	129/2	129/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	172												
34	33	259/4	259/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	173												
34	33	65	65	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	174												
34	33	261/4	261/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	175												
34	33	131/2	131/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	176												
34	33	263/4	263/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	177												
34	33	66	66	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	178												
34	33	257/4	257/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	179												
34	33	129/2	129/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	180												
34	33	259/4	259/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	181												
34	33	65	65	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	182												
34	33	261/4	261/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	183												
34	33	131/2	131/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	184												
34	33	263/4	263/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	185												
34	33	66	66	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	186												
35	34	265/4	265/4	0.0	0	0	Dynamic	2/4	1	1	0					f										
35	34	265/4	265/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	187	f											
35	34	133/2	133/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	188												
35	34	267/4	267/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	189												
35	34	67	67	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	190												
35	34	269/4	269/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	191												
35	34	135/2	135/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	192												
35	34	271/4	271/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	193												
35	34	68	68	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	194												
35	34	265/4	265/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	195												
35	34	133/2	133/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	196												
35	34	267/4	267/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	197												
35	34	67	67	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	198												
35	34	269/4	269/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	199												
35	34	135/2	135/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	200												
35	34	271/4	271/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	201												
35	34	68	68	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	202												
36	35	273/4	273/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	203												
36	35	137/2	137/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	204												
36	35	275/4	275/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	205												
36	35	69	69	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	206												
36	35	277/4	277/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	207												
36	35	139/2	139/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	208												
36	35	279/4	279/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	209												
36	35	70	70	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	210												
36	35	273/4	273/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	211												
36	35	137/2	137/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	212												
36	35	275/4	275/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	213												
36	35	69	69	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	214												
36	35	277/4	277/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	215												
36	35	139/2	139/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	216												
36	35	279/4	279/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	217												
36	35	70	70	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	218												
37	36	281/4	281/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	219												
37	36	141/2	141/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	220												
37	36	283/4	283/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	221												
37	36	71	71	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	222												
37	36	285/4	285/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	223												
37	36	143/2	143/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	224												
37	36	287/4	287/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	225												
37	36	72	72	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	226												
37	36	281/4	281/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	227												
37	36	141/2	141/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	228												
37	36	283/4	283/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	229												
37	36	71	71	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	230												
37	36	285/4	285/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	231												
37	36	143/2	143/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	232												
37	36	287/4	287/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	233												
37	36	72	72	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	234												
38	37	289/4	289/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	235												
38	37	145/2	145/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	236												
38	37	291/4	291/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	237												
38	37	73	73	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	238												
38	37	293/4	293/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	239												
38	37	147/2	147/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	240												
38	37	295/4	295/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	241												
38	37	74	74	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	242												
38	37	289/4	289/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	243												
38	37	145/2	145/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	244												
38	37	291/4	291/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	245												
38	37	73	73	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	246												
38	37	293/4	293/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	247												
38	37	147/2	147/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	248												
38	37	295/4	295/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	249												
38	37	74	74	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	250												
39	38	297/4	297/4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	251												
39	38	149/2	149/2	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	252												
39	38	299/4	299/4	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	253												
39	38	75	75	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	254												
39	38	301/4	301/4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	255												
39	38	151/2	151/2	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	256												
39	38	303/4	303/4	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	257												
39	38	76	76	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	258												
39	38	297/4	297/4	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	259												
39	38	149/2	149/2	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	260												
39	38	299/4	299/4	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	261												
39	38	75	75	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	262												
39	38	301/4	301/4	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	263												
39	38	151/2	151/2	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	264												
39	38	303/4	303/4	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	265												
