mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	64			10				
7	7	25/2	25/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	65			10				
7	7	103/8	103/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	66							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	67			11				
7	7	27/2	27/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	68			11				
7	7	111/8	111/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	69							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	70							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	71							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	72							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	73							
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	74			12				
8	8	57/4	57/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	75			12				
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	76							
8	8	61/4	61/4	0.0	5/16	5/16	Spanner	2/4	1	1	0								0			
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	77			13	0			
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	78			13	0			
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	79				0			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	80				0			
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	81				0			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	82							
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	83							
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	84							
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	85							
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	86							
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	87				0			
9	9	33/2	33/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	88				0			
9	9	33/2	33/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	89				0			
9	9	33/2	33/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	90				0			
9	9	33/2	33/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	91				0			
9	9	33/2	33/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	92				0			
9	9	135/8	135/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	93				0			
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94				0			
9	9	35/2	35/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	95				0			
9	9	141/8	141/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	96				0			
9	9	71/4	71/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	97				0			
9	9	143/8	143/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	98				0			
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	99							
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	100							
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	101							
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	102							
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	103							
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	104							
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0											
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0									2		
10	10	18	18	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	105			14		2		
10	10	75/4	75/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	106			14		2		
10	10	151/8	151/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	107					2		
10	10	39/2	39/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p						
10	10	39/2	39/2	0.0	3/8	3/8	Spanner	2/4	1	1	0											
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	108			15				
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	109							
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	110							
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	111							
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0								1			
11	11	20	20	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	112			16	1			
11	11	163/8	163/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	113				1			
11	11	41/2	41/2	0.0	1/8	1/8	Spanner	2/4	1	1	0											
11	11	41/2	41/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	114							
11	11	43/2	43/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	115			17				
11	11	175/8	175/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	116							
11	11	20	20	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	117							
11	11	43/2	43/2	0.0	3/8	3/8	Dynamic	2/4	1	2	0					sf						
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	118							
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	119							
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	120							
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	121							
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	122							
11	11	20	20	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	123							
12	12	22	22	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	124			18				
12	12	179/8	179/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	125							
12	12	45/2	45/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	126			19				
12	12	183/8	183/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	127							
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	1	1	0									3		
12	12	23	23	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	128			20		3		
12	12	187/8	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	129					3		
12	12	47/2	47/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p						
12	12	47/2	47/2	0.0	3/8	3/8	Spanner	2/4	1	1	0											
12	12	47/2	47/2	0.0	3/8	3/8	Spanner	2/4	1	1	0									4		
12	12	47/2	47/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	130					4		
12	12	189/8	189/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	131					4		
12	12	95/4	95/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	132					4		
12	12	191/8	191/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	133					4		
12	12	22	22	0.0	0	0	Dynamic	2/4	1	2	0					sf				4		
12	12	22	22	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	134					4		
12	12	45/2	45/2	0.0	1/8	1/8	Dynamic	2/4	1	2	0					sf				4		
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	135					4		
12	12	23	23	0.0	1/4	1/4	Dynamic	2/4	1	2	0					sf				4		
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	136					4		
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	137							
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	138							
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	139							
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0											
13	13	24	24	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	140							
13	13	193/8	193/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	141							
13	13	97/4	97/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	142							
13	13	195/8	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	143							
13	13	49/2	49/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	144							
13	13	197/8	197/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	145							
13	13	99/4	99/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	146							
13	13	199/8	199/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	147							
13	13	25	25	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	148							
13	13	201/8	201/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	149							
13	13	101/4	101/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	150							
13	13	203/8	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	151							
13	13	51/2	51/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	152							
13	13	205/8	205/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	153							
13	13	103/4	103/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	154							
13	13	207/8	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	155							
14	14	26	26	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	156							
14	14	209/8	209/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	157							
14	14	105/4	105/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	158							
14	14	211/8	211/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	159							
14	14	53/2	53/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	160							
14	14	213/8	213/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	161							
14	14	107/4	107/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	162							
14	14	215/8	215/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	163							
14	14	27	27	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	164							
14	14	217/8	217/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	165							
14	14	109/4	109/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	166							
14	14	219/8	219/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	167							
14	14	55/2	55/2	0.0	3/8	3/8	Spanner	2/4	1	1	0								2			
14	14	55/2	55/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	168		articStaccatoAbove	21	2			
14	14	221/8	221/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	169		articStaccatoAbove	21	2			
14	14	111/4	111/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	170		articStaccatoAbove	21	2			
14	14	223/8	223/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	171		articStaccatoAbove		2			
15	15	28	28	0.0	0	0	Spanner	2/4	1	1	0											
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	172			22				
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	173			22				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	174			22				
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	175			22				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	176							
15	15	28	28	0.125	0	0	Chord	2/4	2	1	1/32		1/32	1	177							
15	15	225/8	225/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	178							
15	15	113/4	113/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	179							
15	15	227/8	227/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	180							
15	15	57/2	57/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	181							
15	15	229/8	229/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	182							
15	15	115/4	115/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	183							
15	15	231/8	231/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	184							
15	15	29	29	0.125	1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	185							
15	15	233/8	233/8	0.125	9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	186							
15	15	117/4	117/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	187							
15	15	235/8	235/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	188							
15	15	59/2	59/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	189							
15	15	237/8	237/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	190							
15	15	119/4	119/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	191							
15	15	239/8	239/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	192							
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	193			23				
16	16	61/2	61/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	194			23				
16	16	61/2	61/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	195			23				
16	16	61/2	61/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	196			23				
16	16	61/2	61/2	0.0	1/8	1/8	Chord	2/4	1	1	0	grace32	1/32	1	197			23				
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	198			23				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	199							
16	16	31	31	0.0	1/4	1/4	Spanner	2/4	1	1	0								3			
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	200		articStaccatoBelow	24	3			
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	201		articStaccatoBelow		3			
16	16	63/2	63/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	202			25	3			
16	16	253/8	253/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	203				3			
16	16	127/4	127/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	204			26	3			
16	16	255/8	255/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	205				3			
16	16	30	30	0.125	0	0	Chord	2/4	2	1	1/32		1/32	1	206							
16	16	241/8	241/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	207							
16	16	121/4	121/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	208							
16	16	243/8	243/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	209							
16	16	61/2	61/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	210							
16	16	245/8	245/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	211							
16	16	123/4	123/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	212							
16	16	247/8	247/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	213							
16	16	31	31	0.125	1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	214							
16	16	249/8	249/8	0.125	9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	215							
16	16	125/4	125/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	216							
16	16	251/8	251/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	217							
16	16	63/2	63/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	218							
16	16	253/8	253/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	219							
16	16	127/4	127/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	220							
16	16	255/8	255/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	221							
17	17	32	32	0.0	0	0	Spanner	2/4	1	1	0											
17	17	32	32	0.0	0	0	Spanner	2/4	1	1	0									5		
17	17	32	32	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	222			27		5		
17	17	257/8	257/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	223			27		5		
17	17	129/4	129/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	224			27		5		
17	17	259/8	259/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	225					5		
17	17	65/2	65/2	0.0	1/8	1/8	Spanner	2/4	1	1	0											
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	226							
17	17	33	33	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	227							
17	17	265/8	265/8	0.0625	9/32	9/32	Chord	2/4	1	1	1/64		1/64	1	228							
17	17	531/16	531/16	0.0625	19/64	19/64	Chord	2/4	1	1	1/64		1/64	1	229							
17	17	133/4	133/4	0.0625	5/16	5/16	Chord	2/4	1	1	1/64		1/64	1	230			28				
17	17	533/16	533/16	0.0625	21/64	21/64	Chord	2/4	1	1	1/64		1/64	1	231							
17	17	267/8	267/8	0.0625	11/32	11/32	Chord	2/4	1	1	1/64		1/64	1	232			29				
17	17	535/16	535/16	0.0625	23/64	23/64	Chord	2/4	1	1	1/64		1/64	1	233							
17	17	67/2	67/2	0.0625	3/8	3/8	Chord	2/4	1	1	1/64		1/64	1	234			30				
17	17	537/16	537/16	0.0625	25/64	25/64	Chord	2/4	1	1	1/64		1/64	1	235							
17	17	269/8	269/8	0.0625	13/32	13/32	Chord	2/4	1	1	1/64		1/64	1	236			31				
17	17	539/16	539/16	0.0625	27/64	27/64	Chord	2/4	1	1	1/64		1/64	1	237							
17	17	135/4	135/4	0.03125	7/16	7/16	Chord	2/4	1	1	1/128		1/128	1	238							
17	17	1081/32	1081/32	0.03125	57/128	57/128	Chord	2/4	1	1	1/128		1/128	1	239							
17	17	541/16	541/16	0.03125	29/64	29/64	Chord	2/4	1	1	1/128		1/128	1	240							
17	17	1083/32	1083/32	0.03125	59/128	59/128	Chord	2/4	1	1	1/128		1/128	1	241							
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	242							
17	17	32	32	0.125	0	0	Chord	2/4	2	1	1/32		1/32	1	243							
17	17	257/8	257/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	244							
17	17	129/4	129/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	245							
17	17	259/8	259/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	246							
17	17	65/2	65/2	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	247							
17	17	261/8	261/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	248							
17	17	131/4	131/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	249							
17	17	263/8	263/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	250							
17	17	33	33	0.125	1/4	1/4	Chord	2/4	2	1	1/32		1/32	1	251							
17	17	265/8	265/8	0.125	9/32	9/32	Chord	2/4	2	1	1/32		1/32	1	252							
17	17	133/4	133/4	0.125	5/16	5/16	Chord	2/4	2	1	1/32		1/32	1	253							
17	17	267/8	267/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32		1/32	1	254							
17	17	67/2	67/2	0.125	3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	255							
17	17	269/8	269/8	0.125	13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	256							
17	17	135/4	135/4	0.125	7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	257							
17	17	271/8	271/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	258							
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	259			32				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	260		ornamentTrill	32				
