mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	120		
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	121		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	122		
16	16	45	45	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	123		
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	124	p	
17	17	48	48	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	125		
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	126		
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	127		
17	17	48	48	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	128		
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8	1/8	1	129		
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	2	1/8	1/8	1	130		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	131		
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	132		
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	133		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	134		
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	135		
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	2	1/8	1/8	1	136		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	137		
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	138		
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	139		
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	140		
19	19	54	54	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	141		
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	142		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	143		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	144		
19	19	56	56	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	145		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	146		
19	19	54	54	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	147		
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8	1/8	1	148		
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	2	1/8	1/8	1	149		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	150		
19	19	56	56	0.5	1/2	1/2	Chord	6/8	1	2	1/8	1/8	1	151		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	152		
20	20	57	57	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	153		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	154		
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	155		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	156		
20	20	59	59	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	157		
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	158		
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	159		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	160		
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	161		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	162		
20	20	59	59	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	163		
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	164		
21	21	60	60	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	165	<	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	166		
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	167		
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	168		
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	169		
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	170		
21	21	60	60	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	171		
22	22	63	63	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	172		
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	173		
22	22	64	64	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	174		
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	175		
22	22	65	65	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	176		
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	177		
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	178		
22	22	65	65	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	179		
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	180		
23	23	66	66	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	181	>	
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	182		
23	23	67	67	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	183		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	184		
23	23	68	68	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	185		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	186		
23	23	66	66	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	187		
23	23	133/2	133/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	188		
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	189		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	190		
23	23	68	68	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	191		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	192		
24	24	69	69	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	193		
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	194		
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	195		
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	196		
24	24	71	71	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	197		
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	198		
24	24	69	69	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	199		
24	24	139/2	139/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	200		
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	201		
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	202		
24	24	71	71	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	203		
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	204		
25	25	72	72	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	205	ff	
25	25	72	72	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	206		
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	207		
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	208	pp	articStaccatoAbove
26	26	75	75	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	209		
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	210		articStaccatoAbove
27	27	78	78	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	211		articStaccatoAbove
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	212		articStaccatoAbove
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	213		articStaccatoAbove
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	214		articStaccatoAbove
27	27	78	78	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	215		articStaccatoAbove
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	216		articStaccatoAbove
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	217		articStaccatoAbove
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	218		articStaccatoAbove
28	28	81	81	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	219		articStaccatoAbove
28	28	81	81	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	220		articStaccatoAbove
29	29	84	84	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	221	ff	
29	29	84	84	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	222		
30	30	87	87	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	223		
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	224	pp	articStaccatoAbove
30	30	87	87	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	225		
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	226		articStaccatoBelow
31	31	90	90	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	227		articStaccatoAbove
31	31	91	91	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	228		articStaccatoAbove
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	229		articStaccatoAbove
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	230		articStaccatoAbove
31	31	90	90	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	231		articStaccatoBelow
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	232		articStaccatoBelow
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	233		articStaccatoBelow
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	234		articStaccatoBelow
32	32	93	93	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	235		articStaccatoAbove
32	32	93	93	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	236		articStaccatoBelow
33	33	96	96	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	237		
33	33	96	96	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	238		
34	34	99	99	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	239		
34	34	99	99	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	240		
35	35	102	102	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	241	pp	
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	242		
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	243		
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	244		
35	35	102	102	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	245		
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	246		
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	247		
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	248		
35	35	102	102	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	249		
36	36	105	105	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	250		
36	36	106	106	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	251		
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	252		
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	253		
36	36	105	105	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	254		
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	255		
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	256		
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	257		
36	36	105	105	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	258		
37	37	108	108	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	259		
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	260		
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	261		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	262		
37	37	108	108	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	263		
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	264		
37	37	219/2	219/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	265		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	266		
37	37	108	108	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	267		
38	38	111	111	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	268		
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	269		
38	38	225/2	225/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	270		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	271		
38	38	111	111	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	272		
38	38	112	112	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	273		
38	38	225/2	225/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	274		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	275		
38	38	111	111	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	276		
39	39	114	114	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	277		articStaccatoAbove
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	278		
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	279		
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	280		
39	39	116	116	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	281		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	282		
39	39	114	114	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	283		
40	40	117	117	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	284		articStaccatoAbove
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	285		
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	286		
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	287		articStaccatoAbove
40	40	119	119	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	288		articStaccatoAbove
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	289		
41	41	120	120	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	290		
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	291		
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	292		
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	293		
41	41	122	122	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	294		
