mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
6	6	11	11	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	32									
6	6	45/4	45/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	33									
6	6	23/2	23/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	34									
6	6	47/4	47/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	35									
7	7	12	12	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	36									
7	7	27/2	27/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	37									
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	38									
8	8	14	14	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	39									
8	8	57/4	57/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	40									
8	8	29/2	29/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	41									
8	8	59/4	59/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	42									
8	8	15	15	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	43									
8	8	61/4	61/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	44									
8	8	31/2	31/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	45									
8	8	63/4	63/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	46									
9	9	16	16	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	47									
9	9	35/2	35/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	48									
9	9	71/4	71/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	49									
10	10	18	18	0.0		0	0	Spanner	2/4	1	1	0									0			
10	10	18	18	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	50						0			
10	10	73/4	73/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	51						0			
10	10	37/2	37/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	52						0			
10	10	75/4	75/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	53						0			
10	10	19	19	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	54						0			
10	10	77/4	77/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	55						0			
10	10	39/2	39/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	56						0			
10	10	79/4	79/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	57						0			
11	11	20	20	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	58						0			
11	11	81/4	81/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	59						0			
11	11	41/2	41/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	60						0			
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	61						0			
11	11	21	21	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	62						0			
11	11	85/4	85/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	63						0			
11	11	43/2	43/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	64						0			
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	65						0			
12	12	22	22	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	66						0			
12	12	89/4	89/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	67						0			
12	12	45/2	45/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	68						0			
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	69						0			
12	12	23	23	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	70						0			
12	12	93/4	93/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	71						0			
12	12	47/2	47/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	72						0			
12	12	95/4	95/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	73						0			
13	13	24	24	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	74						0			
13	13	97/4	97/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	75						0			
13	13	49/2	49/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	76						0			
13	13	99/4	99/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	77						0			
13	13	25	25	0.0		1/4	1/4	Spanner	2/4	1	1	0												
13	13	25	25	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	78									
13	13	101/4	101/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	79									
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	80									
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	81									
13	13	25	25	0.0		1/4	1/4	Dynamic	2/4	2	1	0				f								
13	13	25	25	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	82									
13	13	101/4	101/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	83									
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	84									
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	85									
14	14	26	26	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	86									
14	14	105/4	105/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	87									
14	14	53/2	53/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	88									
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	89									
14	14	27	27	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	90									
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	91									
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	92									
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	93									
14	14	26	26	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	94									
14	14	105/4	105/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	95									
14	14	53/2	53/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	96									
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	97									
14	14	27	27	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	98									
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	99									
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	100									
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	101									
15	15	28	28	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	102									
15	15	113/4	113/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	103									
15	15	57/2	57/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	104									
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	105									
15	15	29	29	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	106									
15	15	117/4	117/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	107									
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	108									
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	109									
15	15	28	28	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	110									
15	15	113/4	113/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	111									
15	15	57/2	57/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	112									
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	113									
15	15	29	29	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	114									
15	15	117/4	117/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	115									
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	116									
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	117									
16	16	30	30	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	118									
16	16	121/4	121/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	119									
16	16	61/2	61/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	120									
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	121									
16	16	31	31	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	122									
16	16	125/4	125/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	123									
16	16	63/2	63/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	124									
16	16	127/4	127/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	125									
16	16	30	30	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	126									
16	16	121/4	121/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	127									
16	16	61/2	61/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	128									
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	129									
16	16	31	31	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	130									
16	16	125/4	125/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	131									
16	16	63/2	63/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	132									
16	16	127/4	127/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	133									
17	17	32	32	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	134									
17	17	129/4	129/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	135									
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	136									
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	137									
17	17	33	33	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	138									
17	17	133/4	133/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	139									
17	17	67/2	67/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	140									
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	141									
17	17	32	32	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	142									
17	17	129/4	129/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	143									
17	17	65/2	65/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	144									
17	17	131/4	131/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	145									
17	17	33	33	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	146									
17	17	133/4	133/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	147									
17	17	67/2	67/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	148									
17	17	135/4	135/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	149									
18	18	34	34	0.0		0	0	Spanner	2/4	1	1	0								0				
18	18	34	34	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	150					0				
18	18	137/4	137/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	151					0				
18	18	69/2	69/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	152					0				
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	153					0				
18	18	35	35	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	154					0				
18	18	141/4	141/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	155					0				
18	18	71/2	71/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	156					0				
18	18	143/4	143/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	157					0				
18	18	34	34	0.0		0	0	StaffText	2/4	2	1	0						<i>dimin.</i>						
18	18	34	34	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	158									
18	18	137/4	137/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	159									
18	18	69/2	69/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	160									
18	18	139/4	139/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	161									
18	18	35	35	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	162									
18	18	141/4	141/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	163									
18	18	71/2	71/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	164									
18	18	143/4	143/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	165									
19	19	36	36	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	166					0				
19	19	145/4	145/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	167					0				
19	19	73/2	73/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	168					0				
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	169					0				
19	19	37	37	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	170					0				
19	19	149/4	149/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	171					0				
19	19	75/2	75/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	172					0				
19	19	151/4	151/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	173					0				
19	19	36	36	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	174									
19	19	145/4	145/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	175									
19	19	73/2	73/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	176									
19	19	147/4	147/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	177									
19	19	37	37	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	178									
19	19	149/4	149/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	179									
19	19	75/2	75/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	180									
19	19	151/4	151/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	181									
20	20	38	38	0.0		0	0	Spanner	2/4	1	1	0												
20	20	153/4	153/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	182									
20	20	77/2	77/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	183									
20	20	155/4	155/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	184									
20	20	39	39	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	185									
20	20	157/4	157/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	186									
20	20	79/2	79/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	187									
20	20	159/4	159/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	188									
20	20	38	38	0.0		0	0	Dynamic	2/4	2	1	0				pp								
20	20	38	38	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	189									
21	21	40	40	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	190									
21	21	161/4	161/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	191									
21	21	81/2	81/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	192									
21	21	163/4	163/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	193									
21	21	41	41	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	194									
21	21	165/4	165/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	195									
21	21	83/2	83/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	196									
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	197									
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	198									
22	22	169/4	169/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	199									
22	22	85/2	85/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	200									
22	22	171/4	171/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	201									
22	22	43	43	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	202									
22	22	173/4	173/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	203									
22	22	87/2	87/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	204									
22	22	175/4	175/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	205									
22	22	42	42	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	206									
23	23	44	44	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	207									
23	23	177/4	177/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	208									
23	23	89/2	89/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	209									
23	23	179/4	179/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	210									
23	23	45	45	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	211									
23	23	181/4	181/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	212									
23	23	91/2	91/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	213									
23	23	183/4	183/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	214									
23	23	183/4	183/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	215									
24	24	185/4	185/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	216									
24	24	93/2	93/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	217									
24	24	187/4	187/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	218									
24	24	47	47	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	219									
24	24	189/4	189/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	220									
24	24	95/2	95/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	221									
24	24	191/4	191/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	222									
24	24	46	46	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	223									
25	25	48	48	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	224									
25	25	193/4	193/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	225									
25	25	97/2	97/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	226									
25	25	195/4	195/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	227									
25	25	49	49	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	228									
25	25	197/4	197/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	229									
25	25	99/2	99/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	230									
25	25	199/4	199/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	231									
25	25	199/4	199/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	232									
26	26	50	50	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	233									
26	26	201/4	201/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	234									
26	26	101/2	101/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	235									
26	26	203/4	203/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	236									
26	26	51	51	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	237									
26	26	205/4	205/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	238									
26	26	103/2	103/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	239									
26	26	207/4	207/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	240									
26	26	50	50	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	241									
26	26	51	51	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	242									
27	27	52	52	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	243									
27	27	209/4	209/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	244									
27	27	105/2	105/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	245									
27	27	211/4	211/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	246									
27	27	53	53	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	247									
27	27	213/4	213/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	248									
27	27	107/2	107/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	249									
27	27	215/4	215/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	250									
27	27	52	52	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	251									
27	27	53	53	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	252									
28	28	54	54	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	253									
28	28	217/4	217/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	254									
28	28	109/2	109/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	255									
28	28	219/4	219/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	256									
28	28	55	55	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	257									
28	28	221/4	221/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	258									
28	28	111/2	111/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	259									
28	28	223/4	223/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	260									
28	28	54	54	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	261									
28	28	223/4	223/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	262									
29	29	56	56	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	263									
29	29	225/4	225/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	264									
29	29	113/2	113/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	265									
29	29	227/4	227/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	266									
29	29	57	57	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	267									
29	29	229/4	229/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	268									
29	29	115/2	115/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	269									
29	29	231/4	231/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	270									
29	29	56	56	0.0		0	0	Dynamic	2/4	2	1	0				sf								
29	29	56	56	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	271				0					
29	29	57	57	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	272									
