mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Trill:trill
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	30							7				
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	31											
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	32							8				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	33											
7	7	18	18	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	34											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	35											
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	36											
7	7	18	18	0.0	0	0	Dynamic	3/4	2	1	0						p									
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	37											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	38											
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	39											
8	8	21	21	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	40											
8	8	85/4	85/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	41											
8	8	43/2	43/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	42											
8	8	87/4	87/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	43											
8	8	22	22	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	44			articStaccatoBelow								
8	8	67/3	67/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	45			articStaccatoBelow								
8	8	68/3	68/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	46			articStaccatoBelow								
8	8	23	23	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	47			articStaccatoBelow								
8	8	70/3	70/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	48			articStaccatoBelow								
8	8	71/3	71/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	49			articStaccatoBelow								
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50											
9	9	24	24	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	51			articStaccatoAbove								
9	9	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	52			articStaccatoAbove								
9	9	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	53			articStaccatoAbove								
9	9	25	25	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	54			articStaccatoAbove								
9	9	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	55			articStaccatoAbove								
9	9	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	56			articStaccatoAbove								
9	9	26	26	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	57			articStaccatoAbove								
9	9	79/3	79/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	58			articStaccatoAbove								
9	9	80/3	80/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	59			articStaccatoAbove								
10	10	27	27	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	60							9				
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	61											
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	62											
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	63											
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	64											
11	11	30	30	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	65							10				
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	66											
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	67											
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	68											
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	69			articStaccatoAbove				11				
12	12	34	34	0.0	1/4	1/4	Dynamic	3/4	1	1	0						other-dynamics					11				
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	70			articStaccatoAbove				11				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	71			articStaccatoAbove								
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	72			articStaccatoBelow				12				
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	73			articStaccatoBelow				12				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	74			articStaccatoBelow								
13	13	36	36	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	75											
13	13	36	36	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	76											
14	14	39	39	0.0	0	0	Spanner	3/4	1	1	0													1		
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	77	<		articStaccatoAbove				13		1		
14	14	40	40	0.0	1/4	1/4	Spanner	3/4	1	1	0											13				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	78			articStaccatoAbove				13				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	79			articStaccatoAbove								
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	80			articStaccatoBelow				14				
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	81			articStaccatoBelow				14				
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82			articStaccatoBelow								
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0						sf									
15	15	42	42	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	83											
15	15	42	42	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	84											
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	85							15				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86											
16	16	46	46	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	87							16				
16	16	185/4	185/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	88							16				
16	16	93/2	93/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	89							16				
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	90											
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	91							17				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	92											
16	16	45	45	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	93	p										
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	94											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	95											
16	16	45	45	0.0	0	0	Dynamic	3/4	2	1	0						p									
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	96											
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	97											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	98											
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	99											
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	100											
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	101											
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	102											
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	103											
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	104											
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	105											
18	18	51	51	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	106											
18	18	51	51	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	107							18				
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108											
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	109											
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	110											
18	18	51	51	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	111											
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	112											
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	113											
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	114											
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	115											
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	116											
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	117											
19	19	54	54	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	118							19				
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	119											
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	120											
19	19	54	54	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	121											
19	19	54	54	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	122											
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	123											
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	124											
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	125											
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	126											
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	127											
20	20	57	57	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	128							20				
20	20	229/4	229/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	129											
20	20	58	58	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	130							21				
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	131											
20	20	59	59	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	132							22				
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	133											
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134											
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	135											
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	136											
20	20	57	57	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	137											
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	138											
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	139											
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	140											
20	20	59	59	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	141											
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	142											
21	21	60	60	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	143							23				
21	21	241/4	241/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	144											
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145											
21	21	60	60	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	146											
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	147											
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	148											
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	149											
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	150											
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	151											
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	152	<		ornamentTrill								
22	22	64	64	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	153											
22	22	64	64	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	154											
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	155											
22	22	63	63	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	156											
22	22	63	63	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	157											
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	158											
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	159											
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	160											
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	161											
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	162											
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	163			ornamentTrill								
23	23	67	67	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	164											
23	23	67	67	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	165											
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	166											
23	23	66	66	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	167											
23	23	66	66	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	168											
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	169											
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	170											
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	171											
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	172											
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	173											
24	24	69	69	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	174							24				
24	24	277/4	277/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	175											
24	24	70	70	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	176							25				
24	24	281/4	281/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	177											
24	24	71	71	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	178							26				
24	24	285/4	285/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	179											
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	180											
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	181											
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	182											
24	24	69	69	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	183											
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	184											
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	185											
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	186											
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	187											
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	188											
25	25	72	72	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	189	p										
25	25	289/4	289/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	190											
25	25	145/2	145/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	191											
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	192											
25	25	73	73	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	193											
25	25	293/4	293/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	194											
25	25	147/2	147/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	195											
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	196											
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	197											
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	198											
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199											
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	200			articStaccatoAbove								
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	201			articStaccatoBelow								
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	202			articStaccatoBelow								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	203			articStaccatoBelow								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	204			articStaccatoBelow								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	205			articStaccatoBelow								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	206			articStaccatoBelow								
26	26	75	75	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	207			articStaccatoAbove								
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	208			articStaccatoAbove								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	209			articStaccatoAbove								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	210			articStaccatoAbove								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	211											
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	212			articStaccatoAbove								
27	27	78	78	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	213											
27	27	313/4	313/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	214											
27	27	157/2	157/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	215											
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	216											
27	27	79	79	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	217											
27	27	317/4	317/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	218											
27	27	159/2	159/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	219											
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	220											
27	27	80	80	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	221											
27	27	321/4	321/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	222											
27	27	161/2	161/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	223											
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	224											
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	225											
27	27	80	80	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	226											
27	27	321/4	321/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	227											
27	27	161/2	161/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	228											
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	229											
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	230			articStaccatoBelow								
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	231			articStaccatoBelow								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	232			articStaccatoBelow								
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	233			articStaccatoBelow								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	234			articStaccatoBelow								
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	235			articStaccatoBelow								
28	28	81	81	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	236			articStaccatoAbove								
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	237			articStaccatoAbove								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	238			articStaccatoAbove								
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	239			articStaccatoAbove								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	240			articStaccatoAbove								
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	241			articStaccatoAbove								
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	242			articStaccatoBelow								
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	243			articStaccatoBelow								
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	244			articStaccatoBelow								
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	245			articStaccatoBelow								
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	246			articStaccatoBelow								
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	247			articStaccatoBelow								
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	248			articStaccatoAbove								
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	249			articStaccatoAbove								
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	250			articStaccatoAbove								
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	251			articStaccatoAbove								
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	252			articStaccatoAbove								
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	253			articStaccatoAbove								
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	254			articStaccatoBelow								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	255			articStaccatoBelow								
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	256			articStaccatoBelow								
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	257			articStaccatoBelow								
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	258			articStaccatoBelow								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	259			articStaccatoBelow								
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	260			articStaccatoAbove								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	261			articStaccatoAbove								
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	262			articStaccatoAbove								
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	263			articStaccatoAbove								
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	264			articStaccatoAbove								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	265			articStaccatoAbove								
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	266			articStaccatoBelow								
