mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation
9	8	43/2	43/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	54		
9	8	22	22	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	55		
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	56		articStaccatoAbove
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	57		articStaccatoAbove
9	8	24	24	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	58		
9	8	43/2	43/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	59		
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	60		
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	61		
9	8	24	24	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	62		
9	8	43/2	43/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	63		
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	64		
9	8	23	23	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	65		
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	66		
10	9	49/2	49/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	67		
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	68		
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	69		articStaccatoAbove
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	70		
10	9	49/2	49/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	71	<	
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	72		
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	73		
10	9	49/2	49/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	74		
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	75		
10	9	26	26	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	76		
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	77		
11	10	55/2	55/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	78		
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	79		
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	80		articStaccatoAbove
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	81		
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	82	<	
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	83		
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	84		
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	85		
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	86		
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	87		
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	88		
12	11	61/2	61/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	89		
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	90		
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	91		articStaccatoAbove
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	92		
12	11	61/2	61/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	93	<	
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	94		
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	95		
12	11	61/2	61/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	96		
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	97		
12	11	32	32	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	98		
12	11	33	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	99		
13	12	67/2	67/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	100		
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	101		
13	12	67/2	67/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	102		
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	103		
13	12	67/2	67/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	104		
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	105		
13	12	35	35	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	106		
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	107		
14	13	73/2	73/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	108		
14	13	149/4	149/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	109		
14	13	75/2	75/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	110		
14	13	151/4	151/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	111		
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	112		articStaccatoAbove
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	113		
14	13	73/2	73/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	114	<	
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	115	]	
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	116		
14	13	73/2	73/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	117		
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	118		
14	13	38	38	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	119		
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	120		
15	14	79/2	79/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	121		
15	14	161/4	161/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	122		
15	14	81/2	81/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	123		
15	14	163/4	163/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	124		
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	125		articStaccatoAbove
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	126		
15	14	79/2	79/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	127	<	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	128		
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	129		
15	14	79/2	79/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	130		
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	131		
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	132		
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	133		
16	15	85/2	85/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	134		
16	15	173/4	173/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	135		
16	15	87/2	87/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	136		
16	15	175/4	175/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	137		
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	138		articStaccatoAbove
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	139		
16	15	85/2	85/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	140	<	
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	141		
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	142		
16	15	85/2	85/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	143		
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	144		
16	15	44	44	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	145		
16	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	146		
17	16	91/2	91/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	147		
17	16	48	48	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	148		
17	16	193/4	193/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	149		
17	16	91/2	91/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	150		
17	16	91/2	91/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	151		
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	152		
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	153		
17	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	154		
18	17	49	49	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	155		
18	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	156		
18	17	99/2	99/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	157		
18	17	199/4	199/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	158		
18	17	101/2	101/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	159		
18	17	203/4	203/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	160		
18	17	51	51	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	161		
18	17	205/4	205/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	162		
18	17	97/2	97/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	163		
18	17	195/4	195/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	164		
18	17	49	49	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	165		
18	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	166		
18	17	50	50	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	167		
18	17	201/4	201/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	168		
18	17	101/2	101/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	169		
18	17	203/4	203/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	170		
19	18	52	52	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	171		
19	18	209/4	209/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	172		
19	18	105/2	105/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	173		
19	18	211/4	211/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	174		
19	18	107/2	107/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	175		
19	18	215/4	215/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	176		
19	18	54	54	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	177		
19	18	217/4	217/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	178		
19	18	103/2	103/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	179		
19	18	207/4	207/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	180		
19	18	52	52	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	181		
19	18	209/4	209/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	182		
19	18	53	53	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	183		
19	18	213/4	213/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	184		
19	18	107/2	107/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	185		
19	18	215/4	215/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	186		
20	19	55	55	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	187		
20	19	221/4	221/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	188		
20	19	111/2	111/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	189		
20	19	223/4	223/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	190		
20	19	113/2	113/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	191		
20	19	227/4	227/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	192		
20	19	57	57	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	193		
20	19	229/4	229/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	194		
20	19	109/2	109/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	195		
20	19	219/4	219/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	196		
20	19	55	55	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	197		
20	19	221/4	221/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	198		
20	19	56	56	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	199		
20	19	225/4	225/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	200		
20	19	113/2	113/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	201		
20	19	227/4	227/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	202		
21	20	115/2	115/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	203		articStaccatoAbove
21	20	231/4	231/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	204		
21	20	58	58	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	205		articStaccatoAbove
21	20	233/4	233/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	206		
21	20	117/2	117/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	207		articStaccatoAbove
21	20	235/4	235/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	208		
21	20	59	59	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	209		
21	20	237/4	237/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	210		
21	20	119/2	119/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	211		
21	20	239/4	239/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	212		
21	20	60	60	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	213		
21	20	241/4	241/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	214		
21	20	115/2	115/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	215		articStaccatoAbove
21	20	58	58	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	216		articStaccatoAbove
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	217		articStaccatoAbove
21	20	59	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	218		articStaccatoAbove
22	21	61	61	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	219		
22	21	245/4	245/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	220		
22	21	123/2	123/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	221		
22	21	247/4	247/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	222		
22	21	125/2	125/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	223	<	
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	224		
22	21	63	63	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	225		
22	21	253/4	253/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	226		
22	21	121/2	121/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	227		
22	21	243/4	243/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	228		
22	21	61	61	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	229		
22	21	245/4	245/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	230		
22	21	62	62	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	231		
22	21	249/4	249/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	232		
22	21	125/2	125/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	233		
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	234		
23	22	64	64	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	235		
23	22	257/4	257/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	236		
23	22	129/2	129/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	237		
23	22	259/4	259/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	238		
23	22	131/2	131/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	239		
23	22	263/4	263/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	240		
23	22	66	66	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	241		
23	22	265/4	265/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	242		
23	22	127/2	127/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	243		
23	22	255/4	255/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	244		
23	22	64	64	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	245		
23	22	257/4	257/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	246		
23	22	65	65	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	247		
23	22	261/4	261/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	248		
23	22	131/2	131/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	249		
23	22	263/4	263/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	250		
24	23	67	67	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	251		
24	23	269/4	269/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	252		
24	23	135/2	135/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	253		
24	23	271/4	271/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	254		
24	23	137/2	137/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	255		
24	23	275/4	275/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	256		
24	23	69	69	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	257		
24	23	277/4	277/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	258		
24	23	133/2	133/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	259		
24	23	267/4	267/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	260		
24	23	67	67	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	261		
24	23	269/4	269/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	262		
24	23	68	68	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	263		
24	23	273/4	273/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	264		
24	23	137/2	137/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	265		
24	23	275/4	275/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	266		
25	24	70	70	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	267		
25	24	281/4	281/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	268		
25	24	141/2	141/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	269		
25	24	283/4	283/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	270		
25	24	143/2	143/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	271		
25	24	287/4	287/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	272		
25	24	72	72	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	273		
25	24	289/4	289/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	274		
25	24	139/2	139/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	275		
25	24	279/4	279/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	276		
25	24	70	70	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	277		
25	24	281/4	281/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	278		
25	24	71	71	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	279		
25	24	285/4	285/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	280		
25	24	143/2	143/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	281		
25	24	287/4	287/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	282		
26	25	73	73	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	283		
26	25	293/4	293/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	284		
26	25	147/2	147/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	285		
26	25	295/4	295/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	286		
26	25	149/2	149/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	287		
26	25	299/4	299/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	288		
26	25	75	75	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	289		
26	25	301/4	301/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	290		
