mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	74								
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	75								
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	76				8				
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	77				8				
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	78								
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	79			articStaccatoAbove	9				
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	80			articStaccatoAbove	9				
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	81			articStaccatoAbove	9				
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	82			articStaccatoAbove					
7	7	12	12	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	83								
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	84								
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	85								
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	86								
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	87								
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	88								
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	89								
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	90								
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	91				8				
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	92								
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	93				10				
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	94								
8	8	31/2	31/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	95			articStaccatoBelow					
8	8	47/3	47/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	96			articStaccatoBelow					
8	8	95/6	95/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	97			articStaccatoBelow					
8	8	14	14	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	98								
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	99								
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	100								
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	101								
8	8	15	15	0.16666666666666666	1/4	1/4	Chord	2/4	1	2	1/24		1/16	2/3	102			articStaccatoBelow					
8	8	91/6	91/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	2	1/24		1/16	2/3	103			articStaccatoBelow					
8	8	46/3	46/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	2	1/24		1/16	2/3	104			articStaccatoBelow					
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	105								
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	106								
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	107								
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	108				11				
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	109				11				
9	9	16	16	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	110								
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	111								
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	112								
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	113								
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	114								
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	115								
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	116								
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	117								
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	118								
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	119								
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	120								
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	121								
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	122								
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	123								
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	124								
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	125								
9	9	16	16	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	126				12				
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	127				12				
10	10	18	18	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	128				11				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	129								
10	10	18	18	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	130								
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	131								
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	132								
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	133								
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	134								
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	135								
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	136								
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	137								
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	138								
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	139								
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	140								
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	141								
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	142								
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	143								
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	144								
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	145								
10	10	18	18	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	146				12				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	147								
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	148				13				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	149				13				
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	150				13				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	151								
11	11	20	20	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	152								
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	153								
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	154								
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	155								
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	156								
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	157								
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	158								
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	159								
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	160								
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	161								
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	162								
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	163								
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	164								
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	165								
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	166								
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	167								
11	11	20	20	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	168				14				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	169				14				
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	170				14				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	171								
12	12	22	22	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	172				15				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	173				15				
12	12	22	22	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	174								
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	175								
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	176								
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	177								
12	12	23	23	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	178								
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	179								
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	180								
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	181								
12	12	22	22	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	182				16				
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	183				16				
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	184				16				
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	185				16				
12	12	23	23	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	186				16				
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	187				16				
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	188				16				
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	189								
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	190								
13	13	25	25	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	191				17				
13	13	103/4	103/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	192				17				
13	13	207/8	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	193								
13	13	24	24	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	194								
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	195								
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	196								
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	197								
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	198								
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	199								
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	200								
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	201								
13	13	24	24	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	202				18				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	203				18				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	204				18				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	205								
13	13	25	25	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	206				19				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	207				19				
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	208				19				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	209								
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	210				20				
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	211				20				
14	14	26	26	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	212								
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	213								
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	214								
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	215								
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	216								
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	217								
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	218								
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	219								
14	14	26	26	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	220								
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	221								
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	222								
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	223								
14	14	27	27	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	224								
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	225								
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	226								
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	227								
14	14	26	26	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	228								
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	229								
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	230				21				
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	231								
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	232			articStaccatoAbove	22				
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	233			articStaccatoAbove	22				
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	234			articStaccatoAbove	22				
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	235			articStaccatoAbove					
15	15	28	28	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	236								
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	237								
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	238								
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	239								
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	240								
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	241								
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	242								
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	243								
15	15	28	28	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	244								
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	245								
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	246								
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	247								
15	15	29	29	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	248								
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	249								
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	250								
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	251								
15	15	28	28	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	252				21				
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	253								
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	254				23				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	255								
16	16	255/8	255/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	256								
16	16	30	30	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	257								
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	258								
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	259								
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	260								
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	261								
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	262								
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	263								
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	264								
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	265								
16	16	30	30	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	266								
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	267				24				
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	268				24				
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	269				24				
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	270				24				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	271								
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	272								
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	273								
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	274								
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	275								
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	276								
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	277								
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	278								
18	18	34	34	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	279				25				
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	280				25				
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	281				25				
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	282				25				
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	283								
18	18	34	34	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	284								
