mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin	diminuendo_line	crescendo_hairpin
4	4	29/4	29/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	32			articStaccatoAbove					
4	4	15/2	15/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	33			articStaccatoAbove					
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	34			articStaccatoAbove					
4	4	6	6	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	35			articStaccatoAbove					
4	4	25/4	25/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	36			articStaccatoAbove					
4	4	13/2	13/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	37			articStaccatoAbove					
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	38			articStaccatoAbove					
4	4	7	7	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	39			articStaccatoAbove					
4	4	29/4	29/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	40			articStaccatoAbove					
4	4	15/2	15/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	41			articStaccatoAbove					
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	42			articStaccatoAbove					
5	5	8	8	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	43								
5	5	19/2	19/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
5	5	19/2	19/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	44								
5	5	8	8	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	45			articStaccatoBelow					
5	5	33/4	33/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	46			articStaccatoBelow					
5	5	17/2	17/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	47			articStaccatoBelow					
5	5	35/4	35/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	48			articStaccatoBelow					
5	5	9	9	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	49			articStaccatoBelow					
5	5	37/4	37/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	50			articStaccatoBelow					
5	5	19/2	19/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	51			articStaccatoBelow					
5	5	39/4	39/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	52			articStaccatoBelow					
6	6	10	10	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	53								
6	6	23/2	23/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
6	6	23/2	23/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	54								
6	6	41/4	41/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	55			articStaccatoBelow					
6	6	21/2	21/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	56			articStaccatoBelow					
6	6	43/4	43/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	57			articStaccatoBelow					
6	6	11	11	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	58			articStaccatoBelow					
6	6	45/4	45/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	59			articStaccatoBelow					
6	6	23/2	23/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	60			articStaccatoBelow					
6	6	47/4	47/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	61			articStaccatoBelow					
7	7	12	12	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	62				1				
7	7	25/2	25/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	63								
7	7	13	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64			articStaccatoAbove					
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65			articStaccatoAbove					
7	7	12	12	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	66			articStaccatoBelow					
7	7	49/4	49/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	67			articStaccatoBelow					
7	7	25/2	25/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	68			articStaccatoBelow					
7	7	51/4	51/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	69			articStaccatoBelow					
7	7	13	13	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	70			articStaccatoBelow					
7	7	53/4	53/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	71			articStaccatoBelow					
7	7	27/2	27/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	72			articStaccatoBelow					
7	7	55/4	55/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	73			articStaccatoBelow					
8	8	14	14	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	74				2				
8	8	15	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	75								
8	8	31/2	31/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												0
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	76	<							0
8	8	14	14	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	77			articStaccatoBelow					
8	8	57/4	57/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	78			articStaccatoBelow					
8	8	29/2	29/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	79			articStaccatoBelow					
8	8	59/4	59/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	80			articStaccatoBelow					
8	8	15	15	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	81			articStaccatoBelow					
8	8	31/2	31/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	82								
9	9	16	16	0.0		0	0	Spanner	2/4	1	1	0												
9	9	16	16	0.0		0	0	Spanner	2/4	1	1	0										0		
9	9	16	16	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	83	>			3		0		
9	9	17	17	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	84						0		
9	9	35/2	35/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						pp						
9	9	35/2	35/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	85	pp		articStaccatoAbove					
9	9	16	16	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	86				4				
9	9	17	17	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	87								
9	9	35/2	35/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	88			articStaccatoBelow					
10	10	18	18	0.875		0	0	Chord	2/4	1	1	7/32		1/8	7/4	89								
10	10	151/8	151/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	90								
10	10	19	19	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	91			articStaccatoBelow					
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	92			articStaccatoBelow					
10	10	18	18	0.875		0	0	Chord	2/4	2	1	7/32		1/8	7/4	93								
10	10	151/8	151/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	94								
10	10	19	19	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	95			articStaccatoAbove					
10	10	39/2	39/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	96			articStaccatoAbove					
11	11	20	20	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	97								
11	11	43/2	43/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	98								
11	11	43/2	43/2	0.0		3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	99								
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	100			ornamentTrill					
11	11	20	20	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	101								
11	11	43/2	43/2	0.0		3/8	3/8	Chord	2/4	2	1	0	grace16after	1/16	1	102								
11	11	43/2	43/2	0.0		3/8	3/8	Chord	2/4	2	1	0	grace16after	1/16	1	103								
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	104			ornamentTrill					
12	12	22	22	0.875		0	0	Chord	2/4	1	1	7/32		1/8	7/4	105								
12	12	183/8	183/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	106								
12	12	23	23	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	107			articStaccatoBelow					
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	108			articStaccatoBelow					
12	12	22	22	0.875		0	0	Chord	2/4	2	1	7/32		1/8	7/4	109								
12	12	183/8	183/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	110								
12	12	23	23	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	111			articStaccatoAbove					
12	12	47/2	47/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	112			articStaccatoAbove					
13	13	24	24	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	113								
13	13	207/8	207/8	0.0		15/32	15/32	Dynamic	2/4	1	1	0						pp						
13	13	207/8	207/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	114	pp							
13	13	24	24	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	115								
13	13	207/8	207/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	116								
14	14	26	26	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	117								
14	14	215/8	215/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	118								
14	14	27	27	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	119								
14	14	223/8	223/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	120								
14	14	26	26	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	121								
14	14	215/8	215/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	122								
14	14	27	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	123								
14	14	223/8	223/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	124								
15	15	28	28	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	125								
15	15	239/8	239/8	0.0		15/32	15/32	Spanner	2/4	1	1	0									0			
15	15	239/8	239/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	126	<				0			
15	15	28	28	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	127								
15	15	239/8	239/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	128								
16	16	30	30	0.0		0	0	Spanner	2/4	1	1	0												
16	16	30	30	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	129								
16	16	247/8	247/8	0.125		7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	130								
16	16	31	31	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	131								
16	16	255/8	255/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	132								
16	16	30	30	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	133								
16	16	247/8	247/8	0.125		7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	134								
16	16	31	31	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	135								
16	16	255/8	255/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	136								
17	17	32	32	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	137								
17	17	271/8	271/8	0.0		15/32	15/32	Dynamic	2/4	1	1	0						f						
17	17	271/8	271/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	138	f							
17	17	32	32	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	139								
17	17	271/8	271/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	140								
18	18	34	34	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	141				5				
18	18	35	35	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	142			articStaccatoBelow					
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	143			articStaccatoBelow					
18	18	34	34	0.0		0	0	Dynamic	2/4	2	1	0						sf						
18	18	34	34	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	144				6				
18	18	35	35	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	145			articStaccatoBelow					
18	18	71/2	71/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	146			articStaccatoBelow					
19	19	36	36	0.0		0	0	Dynamic	2/4	1	1	0						sf						
19	19	36	36	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	147								
19	19	75/2	75/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						p						
19	19	75/2	75/2	0.1		3/8	3/8	Chord	2/4	1	1	1/40		1/32	4/5	148	p			7				
19	19	188/5	188/5	0.1		2/5	2/5	Chord	2/4	1	1	1/40		1/32	4/5	149				7				
19	19	377/10	377/10	0.1		17/40	17/40	Chord	2/4	1	1	1/40		1/32	4/5	150				7				
19	19	189/5	189/5	0.1		9/20	9/20	Chord	2/4	1	1	1/40		1/32	4/5	151				7				
19	19	379/10	379/10	0.1		19/40	19/40	Chord	2/4	1	1	1/40		1/32	4/5	152								
19	19	36	36	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	153								
20	20	38	38	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	154								
20	20	79/2	79/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
20	20	79/2	79/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155								
20	20	153/4	153/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	156			articStaccatoBelow					
20	20	77/2	77/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	157			articStaccatoBelow					
20	20	155/4	155/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	158			articStaccatoBelow					
20	20	39	39	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	159			articStaccatoBelow					
20	20	157/4	157/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	160			articStaccatoBelow					
20	20	79/2	79/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	161			articStaccatoBelow					
20	20	159/4	159/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	162			articStaccatoBelow					
21	21	40	40	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	163								
21	21	83/2	83/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
21	21	83/2	83/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	164								
21	21	161/4	161/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	165			articStaccatoBelow					
21	21	81/2	81/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	166			articStaccatoBelow					
21	21	163/4	163/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	167			articStaccatoBelow					
21	21	41	41	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	168			articStaccatoBelow					
21	21	165/4	165/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	169			articStaccatoBelow					
21	21	83/2	83/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	170			articStaccatoBelow					
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	171			articStaccatoBelow					
22	22	42	42	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	172				8				
22	22	85/2	85/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	173								
22	22	43	43	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	174			articStaccatoAbove					
22	22	87/2	87/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	175			articStaccatoAbove					
22	22	42	42	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	176			articStaccatoBelow					
22	22	169/4	169/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	177			articStaccatoBelow					
22	22	85/2	85/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	178			articStaccatoBelow					
22	22	171/4	171/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	179			articStaccatoBelow					
22	22	43	43	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	180			articStaccatoBelow					
22	22	173/4	173/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	181			articStaccatoBelow					
22	22	87/2	87/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	182			articStaccatoBelow					
22	22	175/4	175/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	183			articStaccatoBelow					
23	23	44	44	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	184								
23	23	45	45	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	185								
23	23	181/4	181/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	186			articStaccatoAbove					
23	23	91/2	91/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	187			articStaccatoAbove					
23	23	183/4	183/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	188			articStaccatoAbove					
23	23	44	44	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	189			articStaccatoAbove					
23	23	177/4	177/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	190			articStaccatoAbove					
23	23	89/2	89/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	191			articStaccatoAbove					
23	23	179/4	179/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	192			articStaccatoAbove					
23	23	45	45	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	193			articStaccatoAbove					
23	23	181/4	181/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	194			articStaccatoAbove					
23	23	91/2	91/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	195			articStaccatoAbove					
23	23	183/4	183/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	196			articStaccatoAbove					
24	24	46	46	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	197								
24	24	95/2	95/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
24	24	95/2	95/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	198								
24	24	46	46	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	199			articStaccatoBelow					
24	24	185/4	185/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	200			articStaccatoBelow					
24	24	93/2	93/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	201			articStaccatoBelow					
24	24	187/4	187/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	202			articStaccatoBelow					
24	24	47	47	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	203			articStaccatoBelow					
24	24	189/4	189/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	204			articStaccatoBelow					
24	24	95/2	95/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	205			articStaccatoBelow					
24	24	191/4	191/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	206			articStaccatoBelow					
25	25	48	48	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	207								
25	25	99/2	99/2	0.0		3/8	3/8	Dynamic	2/4	1	1	0						sf						
25	25	99/2	99/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	208								
25	25	193/4	193/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	209			articStaccatoBelow					
25	25	97/2	97/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	210			articStaccatoBelow					
25	25	195/4	195/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	211			articStaccatoBelow					
25	25	49	49	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	212			articStaccatoBelow					
25	25	197/4	197/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	213			articStaccatoBelow					
25	25	99/2	99/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	214			articStaccatoBelow					
25	25	199/4	199/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	215			articStaccatoBelow					
26	26	50	50	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	216				9				
26	26	101/2	101/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	217								
26	26	51	51	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	218			articStaccatoAbove					
26	26	103/2	103/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	219			articStaccatoAbove					
26	26	50	50	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	220			articStaccatoBelow					
26	26	201/4	201/4	0.0		1/16	1/16	Spanner	2/4	2	1	0										1		
26	26	201/4	201/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	221			articStaccatoBelow			1		
26	26	101/2	101/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	222			articStaccatoBelow			1		
26	26	203/4	203/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	223			articStaccatoBelow			1		
26	26	51	51	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	224			articStaccatoBelow			1		
26	26	205/4	205/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	225			articStaccatoBelow			1		
26	26	103/2	103/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	226			articStaccatoBelow			1		
26	26	207/4	207/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	227			articStaccatoBelow			1		
27	27	52	52	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	228				10				
27	27	53	53	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	229								
27	27	107/2	107/2	0.0		3/8	3/8	Spanner	2/4	1	1	0												1
27	27	107/2	107/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	230								1
27	27	52	52	0.0		0	0	Spanner	2/4	2	1	0												
27	27	52	52	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	231			articStaccatoBelow					
27	27	209/4	209/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	232			articStaccatoBelow					
27	27	105/2	105/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	233			articStaccatoBelow					
27	27	211/4	211/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	234			articStaccatoBelow					
27	27	53	53	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	235			articStaccatoBelow					
27	27	107/2	107/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	236								
28	28	54	54	0.0		0	0	Spanner	2/4	1	1	0												
28	28	54	54	0.0		0	0	Spanner	2/4	1	1	0										2		
