mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Trill:trill
5	4	15/2	15/2	0.75		0	0	Chord	9/16	1	2	3/16		1/8	3/2	32										
5	4	33/4	33/4	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	33										
5	4	9	9	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	34										
5	4	15/2	15/2	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	35										
5	4	33/4	33/4	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	36										
5	4	9	9	0.5		3/8	3/8	Chord	9/16	2	1	1/8		1/8	1	37				5						
5	4	19/2	19/2	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	38				5						
5	4	15/2	15/2	1.5		0	0	Chord	9/16	2	2	3/8		1/4	3/2	39				6						
6	5	39/4	39/4	0.0		0	0	Spanner	9/16	1	1	0												0		
6	5	39/4	39/4	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	40				7				0		
6	5	21/2	21/2	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	41				7				0		
6	5	45/4	45/4	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	42								0		
6	5	39/4	39/4	1.5		0	0	Chord	9/16	1	2	3/8		1/4	3/2	43								0		
6	5	45/4	45/4	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	44								0		
6	5	39/4	39/4	1.5		0	0	Chord	9/16	2	1	3/8		1/4	3/2	45										
6	5	45/4	45/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	46										
7	6	12	12	0.0		0	0	Spanner	9/16	1	1	0														
7	6	12	12	0.0		0	0	Spanner	9/16	1	1	0													0	
7	6	12	12	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	47				8					0	
7	6	51/4	51/4	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	48				8					0	
7	6	27/2	27/2	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	49				8					0	
7	6	14	14	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	50									0	
7	6	12	12	1.5		0	0	Chord	9/16	1	2	3/8		1/4	3/2	51									0	
7	6	27/2	27/2	0.5		3/8	3/8	Chord	9/16	1	2	1/8		1/8	1	52									0	
7	6	14	14	0.25		1/2	1/2	Chord	9/16	1	2	1/16		1/16	1	53									0	
7	6	12	12	1.5		0	0	Chord	9/16	2	1	3/8		1/4	3/2	54										
7	6	27/2	27/2	0.5		3/8	3/8	Chord	9/16	2	1	1/8		1/8	1	55				9						
7	6	14	14	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	56										
8	7	57/4	57/4	0.0		0	0	Spanner	9/16	1	1	0														
8	7	57/4	57/4	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	57				10						
8	7	15	15	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	58				10						
8	7	63/4	63/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	59				10						
8	7	65/4	65/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	60										
8	7	57/4	57/4	0.75		0	0	Chord	9/16	1	2	3/16		1/8	3/2	61										
8	7	15	15	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	62										
8	7	63/4	63/4	0.5		3/8	3/8	Chord	9/16	1	2	1/8		1/8	1	63										
8	7	65/4	65/4	0.25		1/2	1/2	Chord	9/16	1	2	1/16		1/16	1	64										
8	7	57/4	57/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	65				11						
8	7	15	15	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	66				11						
8	7	63/4	63/4	0.5		3/8	3/8	Chord	9/16	2	1	1/8		1/8	1	67										
8	7	65/4	65/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	68										
8	7	57/4	57/4	1.5		0	0	Chord	9/16	2	2	3/8		1/4	3/2	69										
9	8		33/2	0.0	1	0	0	Spanner	9/16	1	1	0												1		
9	8		33/2	1.5	1	0	0	Chord	9/16	1	1	3/8		1/4	3/2	70								1		
9	8		69/4	0.0	1	3/16	3/16	Spanner	9/16	1	1	0														
9	8		69/4	0.0	1	3/16	3/16	Spanner	9/16	1	1	0													1	
9	8		33/2	0.5	1	0	0	Chord	9/16	1	2	1/8		1/8	1	71									1	
9	8		17	0.25	1	1/8	1/8	Chord	9/16	1	2	1/16		1/16	1	72				12					1	
9	8		69/4	0.5	1	3/16	3/16	Chord	9/16	1	2	1/8		1/8	1	73				12					1	
9	8		71/4	0.25	1	5/16	5/16	Chord	9/16	1	2	1/16		1/16	1	74									1	
9	8		33/2	0.5	1	0	0	Chord	9/16	2	1	1/8		1/8	1	75										
9	8		17	0.25	1	1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	76				13						
9	8		69/4	0.5	1	3/16	3/16	Chord	9/16	2	1	1/8		1/8	1	77				13						
9	8		71/4	0.25	1	5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	78										
10	8	33/2	18	0.0	2	0	0	Spanner	9/16	1	1	0														
10	8	33/2	18	0.0	2	0	0	Spanner	9/16	1	1	0												2		
10	8	33/2	18	1.5	2	0	0	Chord	9/16	1	1	3/8		1/4	3/2	79								2		
10	8	69/4	75/4	0.0	2	3/16	3/16	Spanner	9/16	1	1	0														
10	8	69/4	75/4	0.0	2	3/16	3/16	Spanner	9/16	1	1	0													2	
10	8	18	39/2	0.75	2	3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	80									2	
10	8	33/2	18	0.5	2	0	0	Chord	9/16	1	2	1/8		1/8	1	81				14					2	
10	8	17	37/2	0.25	2	1/8	1/8	Chord	9/16	1	2	1/16		1/16	1	82				14					2	
10	8	69/4	75/4	0.5	2	3/16	3/16	Chord	9/16	1	2	1/8		1/8	1	83				14					2	
10	8	71/4	77/4	0.25	2	5/16	5/16	Chord	9/16	1	2	1/16		1/16	1	84									2	
10	8	33/2	18	0.5	2	0	0	Chord	9/16	2	1	1/8		1/8	1	85				15						
10	8	17	37/2	0.25	2	1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	86				15						
10	8	69/4	75/4	0.5	2	3/16	3/16	Chord	9/16	2	1	1/8		1/8	1	87				15						
10	8	71/4	77/4	0.25	2	5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	88										
10	8	18	39/2	0.75	2	3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	89										
11	9	75/4	81/4	0.0		0	0	Spanner	9/16	1	1	0														
11	9	75/4	81/4	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	90										
11	9	81/4	87/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	91				16						
11	9	83/4	89/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	92										
11	9	75/4	81/4	1.5		0	0	Chord	9/16	1	2	3/8		1/4	3/2	93										
11	9	81/4	87/4	0.75		3/8	3/8	Chord	9/16	1	2	3/16		1/8	3/2	94										
11	9	75/4	81/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	95										
11	9	39/2	21	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	96										
11	9	81/4	87/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	97										
11	9	75/4	81/4	1.5		0	0	Chord	9/16	2	2	3/8		1/4	3/2	98										
11	9	81/4	87/4	0.75		3/8	3/8	Chord	9/16	2	2	3/16		1/8	3/2	99										
12	10	21	45/2	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	100										
12	10	45/2	24	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	101				17						
12	10	23	49/2	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	102										
12	10	21	45/2	1.5		0	0	Chord	9/16	1	2	3/8		1/4	3/2	103										
12	10	21	45/2	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	104										
12	10	87/4	93/4	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	105										
12	10	45/2	24	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	106										
12	10	21	45/2	1.5		0	0	Chord	9/16	2	2	3/8		1/4	3/2	107										
12	10	45/2	24	0.75		3/8	3/8	Chord	9/16	2	2	3/16		1/8	3/2	108										
13	11	93/4	99/4	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	109										
13	11	24	51/2	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	110				18						
13	11	99/4	105/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	111				18						
13	11	101/4	107/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	112										
13	11	93/4	99/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	113										
13	11	24	51/2	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	114										
13	11	99/4	105/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	115										
14	12	51/2	27	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	116				19						
14	12	105/4	111/4	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	117				19						
14	12	27	57/2	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	118										
14	12	51/2	27	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	119										
14	12	105/4	111/4	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	120										
14	12	27	57/2	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	121										
14	12	51/2	27	1.5		0	0	Chord	9/16	2	2	3/8		1/4	3/2	122										
15	13	111/4	117/4	0.0		0	0	Spanner	9/16	1	1	0												3		
15	13	111/4	117/4	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	123								3		
15	13	117/4	123/4	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	124								3		
15	13	111/4	117/4	1.5		0	0	Chord	9/16	2	1	3/8		1/4	3/2	125										
15	13	117/4	123/4	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	126										
16	14	30	63/2	1.5		0	0	Chord	9/16	1	1	3/8		1/4	3/2	127								3		
16	14	63/2	33	0.75		3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	128								3		
16	14	30	63/2	1.5		0	0	Chord	9/16	2	1	3/8		1/4	3/2	129										
16	14	63/2	33	0.75		3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	130										
17	15	129/4	135/4	0.75		0	0	Chord	9/16	1	1	3/16		1/8	3/2	131								3		
17	15	33	69/2	0.75		3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	132								3		
17	15	135/4	141/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	133				20				3		
17	15	137/4	143/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	134								3		
17	15	129/4	135/4	0.75		0	0	Chord	9/16	2	1	3/16		1/8	3/2	135										
17	15	33	69/2	0.75		3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	136										
17	15	135/4	141/4	0.5		3/8	3/8	Chord	9/16	2	1	1/8		1/8	1	137										
17	15	137/4	143/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	138										
18	16		36	0.0	1	0	0	Dynamic	9/16	1	1	0						sf								
18	16		36	0.0	1	0	0	Spanner	9/16	1	1	0														
18	16		36	0.0	1	0	0	Spanner	9/16	1	1	0													3	
18	16		36	0.5	1	0	0	Chord	9/16	1	1	1/8		1/8	1	139				21					3	
18	16		73/2	0.25	1	1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	140									3	
18	16		147/4	0.0	1	3/16	3/16	Dynamic	9/16	1	1	0						p								
18	16		147/4	0.0	1	3/16	3/16	Spanner	9/16	1	1	0														
18	16		147/4	0.75	1	3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	141										
18	16		75/2	0.75	1	3/8	3/8	Chord	9/16	1	1	3/16		1/8	3/2	142										
18	16		36	0.5	1	0	0	Chord	9/16	2	1	1/8		1/8	1	143				22						
18	16		73/2	0.25	1	1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	144										
18	16		147/4	0.75	1	3/16	3/16	Chord	9/16	2	1	3/16		1/8	3/2	145										
18	16		75/2	0.75	1	3/8	3/8	Chord	9/16	2	1	3/16		1/8	3/2	146										
19	16	69/2	153/4	0.0	2	0	0	Dynamic	9/16	1	1	0						sf								
19	16	69/2	153/4	0.0	2	0	0	Spanner	9/16	1	1	0													4	
19	16	69/2	153/4	0.5	2	0	0	Chord	9/16	1	1	1/8		1/8	1	147				23					4	
19	16	35	155/4	0.25	2	1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	148									4	
19	16	141/4	39	0.0	2	3/16	3/16	Dynamic	9/16	1	1	0						p								
19	16	141/4	39	0.0	2	3/16	3/16	Spanner	9/16	1	1	0														
19	16	141/4	39	0.75	2	3/16	3/16	Chord	9/16	1	1	3/16		1/8	3/2	149										
19	16	36	159/4	0.5	2	3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	150				24						
19	16	73/2	161/4	0.25	2	1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	151				24						
19	16	69/2	153/4	0.5	2	0	0	Chord	9/16	2	1	1/8		1/8	1	152				25						
19	16	35	155/4	0.25	2	1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	153										
19	16	141/4	39	0.25	2	3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	154				26						
19	16	71/2	157/4	0.25	2	1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	155				26						
19	16	143/4	79/2	0.25	2	5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	156				26						
19	16	36	159/4	0.25	2	3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	157				26						
19	16	145/4	40	0.25	2	7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	158				26						
19	16	73/2	161/4	0.25	2	1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	159										
20	17	147/4	81/2	0.5		0	0	Chord	9/16	1	1	1/8		1/8	1	160				24						
20	17	149/4	41	0.25		1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	161				24						
20	17	75/2	165/4	0.5		3/16	3/16	Chord	9/16	1	1	1/8		1/8	1	162				24						
20	17	38	167/4	0.25		5/16	5/16	Chord	9/16	1	1	1/16		1/16	1	163				24						
20	17	153/4	42	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	164				24						
20	17	155/4	85/2	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	165				24						
20	17	147/4	81/2	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	166				27						
20	17	37	163/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	167				27						
20	17	149/4	41	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	168				27						
20	17	75/2	165/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	169				27						
20	17	151/4	83/2	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	170				27						
20	17	38	167/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	171				27						
20	17	153/4	42	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	172				27						
20	17	77/2	169/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	173				27						
20	17	155/4	85/2	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	174				27						
21	18	39	171/4	0.5		0	0	Chord	9/16	1	1	1/8		1/8	1	175				24						
21	18	79/2	173/4	0.25		1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	176				24						
21	18	159/4	87/2	0.5		3/16	3/16	Chord	9/16	1	1	1/8		1/8	1	177				24						
21	18	161/4	44	0.25		5/16	5/16	Chord	9/16	1	1	1/16		1/16	1	178				24						
21	18	81/2	177/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	179				24						
21	18	41	179/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	180										
21	18	39	171/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	181				27						
21	18	157/4	43	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	182				27						
21	18	79/2	173/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	183				27						
21	18	159/4	87/2	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	184				27						
21	18	40	175/4	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	185				27						
21	18	161/4	44	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	186				27						
21	18	81/2	177/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	187				27						
21	18	163/4	89/2	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	188				27						
21	18	41	179/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	189				27						
22	19	165/4	45	0.5		0	0	Chord	9/16	1	1	1/8		1/8	1	190				28						
22	19	167/4	91/2	0.25		1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	191				28						
22	19	42	183/4	0.5		3/16	3/16	Chord	9/16	1	1	1/8		1/8	1	192				28						
22	19	85/2	185/4	0.25		5/16	5/16	Chord	9/16	1	1	1/16		1/16	1	193				28						
22	19	171/4	93/2	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	194				28						
22	19	173/4	47	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	195										
22	19	165/4	45	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	196				27						
22	19	83/2	181/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	197				27						
22	19	167/4	91/2	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	198				27						
22	19	42	183/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	199				27						
22	19	169/4	46	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	200				27						
22	19	85/2	185/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	201				27						
22	19	171/4	93/2	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	202				27						
22	19	43	187/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	203				27						
22	19	173/4	47	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	204				27						
23	20	87/2	189/4	0.5		0	0	Chord	9/16	1	1	1/8		1/8	1	205				29						
23	20	44	191/4	0.25		1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	206				29						
23	20	177/4	48	0.5		3/16	3/16	Chord	9/16	1	1	1/8		1/8	1	207				29						
23	20	179/4	97/2	0.25		5/16	5/16	Chord	9/16	1	1	1/16		1/16	1	208				29						
23	20	45	195/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	209				29						
23	20	91/2	197/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	210				29						
23	20	87/2	189/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	211				27						
23	20	175/4	95/2	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	212				27						
23	20	44	191/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	213				27						
23	20	177/4	48	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	214				27						
23	20	89/2	193/4	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	215				27						
23	20	179/4	97/2	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	216				27						
23	20	45	195/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	217				27						
23	20	181/4	49	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	218				27						
23	20	91/2	197/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	219				27						
24	21	183/4	99/2	0.0		0	0	Spanner	9/16	1	1	0								29				4		
24	21	189/4	51	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	220				29				4		
24	21	191/4	103/2	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	221								4		
24	21	183/4	99/2	0.5		0	0	Chord	9/16	1	2	1/8		1/8	1	222								4		
24	21	185/4	50	0.25		1/8	1/8	Chord	9/16	1	2	1/16		1/16	1	223								4		
24	21	93/2	201/4	0.5		3/16	3/16	Chord	9/16	1	2	1/8		1/8	1	224								4		
24	21	47	203/4	0.25		5/16	5/16	Chord	9/16	1	2	1/16		1/16	1	225								4		
24	21	189/4	51	0.5		3/8	3/8	Chord	9/16	1	2	1/8		1/8	1	226								4		
24	21	191/4	103/2	0.25		1/2	1/2	Chord	9/16	1	2	1/16		1/16	1	227								4		
24	21	183/4	99/2	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	228				27						
24	21	46	199/4	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	229				27						
24	21	185/4	50	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	230				27						
24	21	93/2	201/4	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	231				27						
24	21	187/4	101/2	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	232				27						
24	21	47	203/4	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	233				27						
24	21	189/4	51	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	234				27						
24	21	95/2	205/4	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	235				27						
24	21	191/4	103/2	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	236				27						
25	22	48	207/4	0.0		0	0	Spanner	9/16	1	1	0														
25	22	48	207/4	0.0		0	0	Spanner	9/16	1	1	0													5	
25	22	48	207/4	0.5		0	0	Chord	9/16	1	1	1/8		1/8	1	237				30					5	
25	22	97/2	209/4	0.25		1/8	1/8	Chord	9/16	1	1	1/16		1/16	1	238				30					5	
25	22	195/4	105/2	0.5		3/16	3/16	Chord	9/16	1	1	1/8		1/8	1	239				30					5	
25	22	197/4	53	0.25		5/16	5/16	Chord	9/16	1	1	1/16		1/16	1	240				30					5	
25	22	99/2	213/4	0.5		3/8	3/8	Chord	9/16	1	1	1/8		1/8	1	241				30					5	
25	22	50	215/4	0.25		1/2	1/2	Chord	9/16	1	1	1/16		1/16	1	242									5	
25	22	48	207/4	0.5		0	0	Chord	9/16	1	2	1/8		1/8	1	243									5	
25	22	97/2	209/4	0.25		1/8	1/8	Chord	9/16	1	2	1/16		1/16	1	244									5	
25	22	195/4	105/2	0.75		3/16	3/16	Chord	9/16	1	2	3/16		1/8	3/2	245									5	
25	22	99/2	213/4	0.5		3/8	3/8	Chord	9/16	1	2	1/8		1/8	1	246									5	
25	22	50	215/4	0.25		1/2	1/2	Chord	9/16	1	2	1/16		1/16	1	247									5	
25	22	48	207/4	0.25		0	0	Chord	9/16	2	1	1/16		1/16	1	248										
25	22	193/4	52	0.25		1/16	1/16	Chord	9/16	2	1	1/16		1/16	1	249										
25	22	97/2	209/4	0.25		1/8	1/8	Chord	9/16	2	1	1/16		1/16	1	250										
25	22	195/4	105/2	0.25		3/16	3/16	Chord	9/16	2	1	1/16		1/16	1	251										
25	22	49	211/4	0.25		1/4	1/4	Chord	9/16	2	1	1/16		1/16	1	252										
25	22	197/4	53	0.25		5/16	5/16	Chord	9/16	2	1	1/16		1/16	1	253										
25	22	99/2	213/4	0.25		3/8	3/8	Chord	9/16	2	1	1/16		1/16	1	254										
25	22	199/4	107/2	0.25		7/16	7/16	Chord	9/16	2	1	1/16		1/16	1	255										
25	22	50	215/4	0.25		1/2	1/2	Chord	9/16	2	1	1/16		1/16	1	256										
26	23	201/4	54	0.0		0	0	Spanner	9/16	1	1	0														
